source,relation,target,edge_domain,note,units
δόξα,contrasts_with,φαντασία,existential,δόξα has πίστις; φαντασία lacks λόγος; animals have φαντασία but not δόξα,FP3b
δόξα,contrasts_with,προαίρεσις,existential,Seven differences; directedness ἦθος-indifference domain,FP3b
δόξα,explains,κοινωνία,existential,δόξα is the genuine discoveredness of being-with-one-another-in-the-world,FP3b
δόξα,supports,ἐπιστήμη/θεωρεῖν,existential,δόξα is also the basis for theoretical comportment,FP3b
δόξα,operationalizes,πρότασις,logical,πρότασις emerges from ἔνδοξον as from-which of discourse,FP3b
δόξα,operationalizes,πρόβλημα,logical,πρόβλημα is the ἔνδοξον raised for debate,FP3b
ἀπορία,explains,τέλος of investigation,methodological,Ἀπορία has the positive sense of disclosing the matter through inability-to-get-through,FP3b
ἦθος,operationalizes,πίστις,rhetorical,Ἦθος is speaker's self-presentation as trust-generating,FP3b
ἦθος,depends_on,φρόνησις + ἀρετή + εὔνοια,rhetorical,Three aspects of ἦθος-cultivation,FP3b
πάθος,operationalizes,πίστις,rhetorical,Πάθος is hearer's disposition as trust-generating,FP3b
πάθη,presupposes,ψυχή,ontological,πάθη are γινόμενα ἐν τῇ ψυχῇ (NE B4),"FP3b,FP3c"
πάθη,explains,being-in-the-world,existential,πάθη define being-in-the-world in a fundamental sense,"FP3b,FP3c,FP3e"
πάθη,depends_on,ἡδονή + λύπη,existential,Co-givenness of ἡδονή and λύπη with all πάθη,"FP3b,FP3c"
καιρός,operationalizes,μέσον,existential,Coming into the genuine frame of mind = coming into the mean = καιρός,FP3b
ἔχειν,presupposes,ἕξις,ontological,ἕξις refers back to ἔχειν: ἕξις = ἐνέργεια of the having (Met. Δ20),FP3c
ἕξις,refines,ἀρετή,existential,ἕξις is itself a basic determination of ἀρετή; ἀρετή = ἕξις προαιρετική,FP3c
ἀρετή,depends_on,μεσότης,existential,The οὐσία of ἀρετή = μεσότης,FP3c
μεσότης,depends_on,καιρός,existential,μεσότης is oriented toward the decisive moment,FP3c
ἕξις,refines,πάθος,existential,ἕξις is nothing other than a how of πάθος,FP3c
πάθος (Met. Δ21),explains,ἀλλοίωσις,ontological,First meaning of πάθος: quality with respect to which alteration is possible,FP3c
πάθος,depends_on,σῶμα,ontological,All πάθη are μετὰ σώματος: inseparable from natural ὕλη,"FP3c,FP3d"
φυσικός,operationalizes,εἶδος (over ὕλη),methodological,The real φυσικός addresses beings in terms of εἶδος not just ὕλη; being of nature = primarily being-moved,"FP3c,FP3d"
ἀρετή,depends_on,ἔθος,existential,γένεσις of ἀρετή through ἔθος (habituation) requiring ἐμπειρία and χρόνος,FP3c
πρᾶξις,contrasts_with,ποίησις,ontological,ποίησις ends in ἔργον; πρᾶξις depends on προαίρεσις -- the how of dealing,"FP3c,SP2b"
νοῦς,presupposes,φαντασία,ontological,νοεῖν requires φαντασία as bodily making-present; ground of νοεῖν,FP3c
νοῦς,explains,being-in-the-world,ontological,νοῦς is the basic condition of the possibility of being-in-the-world,"FP3c,SP1"
ἕξις,depends_on,κίνησις,ontological,ἕξις represents a basic aspect of the analysis of κίνησις of being-moved,FP3c
ἀρετή,depends_on,φρόνησις,existential,λέγειν of ἀρετή corresponds with φρόνησις; φρόνησις = mode of sight in being-in-care,FP3c
μεσότης,exemplifies,αἴσθησις,ontological,Perception as μεσότης: the κριτικόν that separates open to both ends,FP3c
ἡδονή/λύπη,explains,being-in-the-world,existential,ἡδονή/λύπη as fundamental determinations of being-in-the-world; ground of δίωξις/φυγή,FP3d
παιδεία,contrasts_with,ἐπιστήμη,methodological,παιδεία = assurance of manner of treatment vs. ἐπιστήμη = concrete knowledge of subject,FP3d
φόβος,presupposes,φαντασία,existential,φόβος arises ἐκ φαντασίας μέλλοντος (from showing-itself of what is not yet there),FP3e
φόβος,supports,ἀνδρεία,existential,Fear is the condition of the possibility of courage,FP3e
φόβος,explains,futural character of being-there,existential,φόβος discloses the futural character of being-there,FP3e
πάθη,supports,λόγος (genesis),existential,The πάθη are the ground out of which speaking arises,FP3e
ἀληθεύειν,operationalizes,being-in-the-world,existential,ἀληθεύειν is a ἕξις accomplished in being-in-the-world,FP3e
πέρας,explains,τόπος (site),ontological,πέρας is a positive determination of being; site as positive ontological determination,FP3e
Vorhabe/Vorsicht/Vorgriff,operationalizes,Ausgelegtheit,existential,The three fore-structures constitute the interpretedness of being-there,SP1
λόγος,operationalizes,interpretedness (mastery),existential,Λόγος possesses the mastery of interpretedness,SP1
Gerede,undermines,genuine interpretedness,existential,In idle chatter the expressed increasingly loses its ground,SP1
νοῦς as διανοεῖσθαι,operationalizes,conceptuality (positive sense),ontological,Νοῦς as διανοεῖσθαι is the positive possibility of conceptuality,SP1
as-structure (κατά/ἀπό),explains,ψεῦδος + ἀλήθεια,ontological,The as-structure grounds the simultaneous possibility of error and truth,SP1
κίνησις,presupposes,Ausgelegtheit,methodological,The cultivation of κίνησις is the radical grasping of the interpretedness of being-there,SP1
Physics,operationalizes,ἀρχή-research,methodological,The Physics is not physics but ἀρχή-research: setting forth basic respects in which being shows itself,SP2a
κίνησις,depends_on,ἐνέργεια,ontological,Kinesis is a mode of being-there displayed in ἐνέργεια not ἐντελέχεια,SP2a
κίνησις,depends_on,δύναμις,ontological,κίνησις = ἐντελέχεια τοῦ δυνάμει ὄντος,"SP2a,SP2b"
κίνησις,presupposes,στέρησις,ontological,στέρησις enables the dichos (morphe/steresis) structure of categories required for κίνησις,"SP2a,SP2b"
ἐνέργεια,contrasts_with,ἐντελέχεια,ontological,ἐνέργεια = becoming-completed; ἐντελέχεια = completedness; distinct modes of presence,SP2a
στέρησις,contrasts_with,mere negation,ontological,Negation is a position; στέρησις is constitutive absence not nothingness,SP2a
δύναμις,operationalizes,meaningfulness (Bedeutsamkeit),ontological,δύναμει-being is a positive determination: meaningfulness of the world as encountered,SP2a
κατηγορία,operationalizes,λόγος (public speaking),logical,Categories = modes of addressing beings from ἀγορεύειν (marketplace speech),SP2a
ἀγαθόν,contrasts_with,ἀγαθόν καθόλου,ontological,No universal good; ἀγαθόν is always πέρας of πρᾶξις always κατὰ τὸν καιρόν,SP2a
κίνησις,contrasts_with,κίνησις παρὰ τὰ πράγματα,ontological,Movement is not alongside beings but the being of beings of the world,SP2a
rest (ἠρεμία),depends_on,κίνησις,ontological,Rest is an extreme case of movement not its opposite,SP2a
πρός τι,explains,being-in-the-world,ontological,πρός τι is the fundamental character of being-in-the-world; every being in movement is πρός ἄλληλα,SP2b
κίνησις (genuine definition),depends_on,ποιητικόν/παθητικόν,ontological,Genuine definition: ἐνέργεια τοῦ δυνάμει ποιητικοῦ καὶ παθητικοῦ,SP2b
Greek ontology,depends_on,ποίησις/πρᾶξις,genealogical,Greek ontology derives not from nature but from ποίησις/πρᾶξις as primary modes of being-in-the-world,SP2b
φόβος (cosmic),supports,ἀρχή-research,existential,Fear that the familiar world might vanish is the affective ground of the ancients' inquiry into being,SP2a
