edge_id,source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,source_unit,contributor,notes
PHX-E-0014,PHX-01-NUSSBAUM,extends,MODERN:Goodman-LanguagesOfArt,modern-interlocutor,16,225-228,PHX-01,Nussbaum,Heavy borrowing for anti-similarity account of representation
PHX-E-0015,PHX-01-NUSSBAUM,concedes,DeMem-1-449b31,aristotle-locus,56,266,PHX-01,Nussbaum,Triangle example is pictorial; concedes image-language but resists centrality
PHX-E-0016,PHX-01-NUSSBAUM,concedes,DeMem-1-450a25,aristotle-locus,40,250,PHX-01,Nussbaum,"zographema language is metaphorical assimilation, not lexical identity"
PHX-E-0017,PHX-01-NUSSBAUM,concedes,DeMem-2-451a15,aristotle-locus,39,249,PHX-01,Nussbaum,Definition of memory uses phantasma; admitted but localized
PHX-E-0018,PHX-01-NUSSBAUM,concedes,Insomn-3-461b29,aristotle-locus,39,249,PHX-01,Nussbaum,Dream-image as cloud-form residue — imagistic but isolable physiological hypothesis
PHX-E-0019,PHX-01-NUSSBAUM,concedes,DA-III-3-429a1ff-closing,aristotle-locus,41,251,PHX-01,Nussbaum,Decaying-sense paragraph at chapter close — concedes but denies governance
PHX-E-0020,PHX-01-NUSSBAUM,qualifies,READING:White-phantasia-image-relation,interpretive-thesis,40,250,PHX-01,Nussbaum,Imaging finds a place within theory but not theoretically central
PHX-E-0021,PHX-01-NUSSBAUM,cites,MA-6-700b17,aristotle-locus,22,232,PHX-01,Nussbaum,"MA 6 kritika catalog: phantasia, aisthesis, nous/dianoia"
PHX-E-0022,PHX-01-NUSSBAUM,cites,MA-7-701a29-32,aristotle-locus,22,232,PHX-01,Nussbaum,Drink syllogism — disjunctive kritika
PHX-E-0023,PHX-01-NUSSBAUM,cites,MA-10-702a18,aristotle-locus,23,233,PHX-01,Nussbaum,Phantasia prepares desire — umbrella role passage
PHX-E-0024,PHX-01-NUSSBAUM,cites,MA-7-701b17-21,aristotle-locus,28,238,PHX-01,Nussbaum,Noesis + phantasia have power of actual things
PHX-E-0025,PHX-01-NUSSBAUM,cites,MA-7-701b21,aristotle-locus,47,257,PHX-01,Nussbaum,Forms of pleasant/painful
PHX-E-0026,PHX-01-NUSSBAUM,cites,MA-11-703b19-20,aristotle-locus,47,257,PHX-01,Nussbaum,Forms of that which produces affections
PHX-E-0027,PHX-01-NUSSBAUM,cites,MA-10-702a5,aristotle-locus,41,251,PHX-01,Nussbaum,Memory as awareness of eidola/shadows — non-imagistic revision
PHX-E-0028,PHX-01-NUSSBAUM,cites,DA-III-9-432b15,aristotle-locus,23,233,PHX-01,Nussbaum,Motion always with both phantasia and orexis
PHX-E-0029,PHX-01-NUSSBAUM,cites,DA-III-10-433a20,aristotle-locus,23,233 + n.26,PHX-01,Nussbaum,When phantasia imparts motion it does so with orexis
PHX-E-0030,PHX-01-NUSSBAUM,cites,DA-III-10-433a31,aristotle-locus,24,234,PHX-01,Nussbaum,Phantasia and aisthesis: same but different in einai
PHX-E-0031,PHX-01-NUSSBAUM,cites,DA-III-10-433b26-30,aristotle-locus,23,233,PHX-01,Nussbaum,No desire without phantasia; phantasia connected with thinking or perception
PHX-E-0032,PHX-01-NUSSBAUM,cites,DA-III-10-433b28,aristotle-locus,53,263,PHX-01,Nussbaum,Two species: deliberative/calculative and perceptual
PHX-E-0033,PHX-01-NUSSBAUM,cites,DA-III-11-434a7-10,aristotle-locus,53,263,PHX-01,Nussbaum,One phantasma from many — disputes Ross collage reading
PHX-E-0034,PHX-01-NUSSBAUM,cites,DA-III-11-434a11,aristotle-locus,54,264 + n.66,PHX-01,Nussbaum,Phantasian ek syllogismou — phantasia from inference
PHX-E-0035,PHX-01-NUSSBAUM,extends-reading-of,DA-III-7-431a14-17,aristotle-locus,29,239,PHX-01,Nussbaum,Phantasmata serve thinking soul as aisthemata
PHX-E-0036,PHX-01-NUSSBAUM,extends-reading-of,LOCUS:DA-431b2,aristotle-locus,29,239,PHX-01,Nussbaum,Thinking creature thinks forms in phantasmata
PHX-E-0037,PHX-01-NUSSBAUM,extends-reading-of,DA-III-7-432a3-10,aristotle-locus,30,240,PHX-01,Nussbaum,Canonical: phantasmata like aisthemata only without matter — keystone passage
PHX-E-0038,PHX-01-NUSSBAUM,extends-reading-of,DA-II-8-420b31,aristotle-locus,49,259-260,PHX-01,Nussbaum,Voice as semantikos — pivotal evidence for interpretive thesis
PHX-E-0039,PHX-01-NUSSBAUM,extends-reading-of,DA-II-12-424a18,aristotle-locus,47,258,PHX-01,Nussbaum,Wax/signet: aisthesis as passive impress receiving form without matter
PHX-E-0040,PHX-01-NUSSBAUM,extends-reading-of,DA-II-12-424a21,aristotle-locus,48,258,PHX-01,Nussbaum,"Sense-objects as qualities, not substances — generates need for phantasia"
PHX-E-0041,PHX-01-NUSSBAUM,extends-reading-of,DA-III-7-431b6-8,aristotle-locus,54,263-264,PHX-01,Nussbaum,Calculation using phantasmata or noemata 'as if one saw'
PHX-E-0042,PHX-01-NUSSBAUM,extends-reading-of,DA-III-11,aristotle-locus,24,234,PHX-01,Nussbaum,Incomplete creatures; two species of phantasia
PHX-E-0043,PHX-01-NUSSBAUM,extends-reading-of,DA-III-3-428a1-4,aristotle-locus,42,252-253,PHX-01,Nussbaum,Kata metaphoran clause re-reading — bracket the 'mere show' sense
PHX-E-0044,PHX-01-NUSSBAUM,cites,DA-I-1-403a3-10,aristotle-locus,27,237,PHX-01,Nussbaum,Thinking bodily-correlated iff it is or involves phantasia
PHX-E-0045,PHX-01-NUSSBAUM,cites,DA-III-3-427b17-20,aristotle-locus,46,256,PHX-01,Nussbaum,Phantasia is in our power
PHX-E-0046,PHX-01-NUSSBAUM,cites,DA-III-3-428a11-12,aristotle-locus,46,256,PHX-01,Nussbaum,"Aisthesis always accurate, phantasia can be false"
PHX-E-0047,PHX-01-NUSSBAUM,cites,DA-III-3-428a21-23,aristotle-locus,52,262 + n.64,PHX-01,Nussbaum,Doxa requires pistis; animals lack pistis
PHX-E-0048,PHX-01-NUSSBAUM,cites,DA-III-4-429b20,aristotle-locus,47,257 n.52,PHX-01,Nussbaum,Reason judges things as separate from matter
PHX-E-0049,PHX-01-NUSSBAUM,cites,DA-II-12-425a10,aristotle-locus,26,236,PHX-01,Nussbaum,"Phantasia granted to bee/ant, denied to worm (tentatively)"
PHX-E-0050,PHX-01-NUSSBAUM,cites,DA-II-3-415a10,aristotle-locus,26,236,PHX-01,Nussbaum,Some phtharta lack phantasia
PHX-E-0051,PHX-01-NUSSBAUM,cites,DA-I-1-402b22-24,aristotle-locus,35,245,PHX-01,Nussbaum,Incidental attributes kata ten phantasian
PHX-E-0052,PHX-01-NUSSBAUM,cites,DA-III-5,aristotle-locus,58,268 n.69,PHX-01,Nussbaum,Separable nous — blocks functionalist solution
PHX-E-0053,PHX-01-NUSSBAUM,cites,DeMem-1-450b21,aristotle-locus,25,235,PHX-01,Nussbaum,Painted animal qua likeness vs. qua animal — einai analogy
PHX-E-0054,PHX-01-NUSSBAUM,cites,DeMem-2-451a1,aristotle-locus,40,250,PHX-01,Nussbaum,Noema vs. mnemoneuma
PHX-E-0055,PHX-01-NUSSBAUM,cites,Insomn-1-459a15,aristotle-locus,24,234,PHX-01,Nussbaum,"Phantasia same as aisthetikon, different in einai"
PHX-E-0056,PHX-01-NUSSBAUM,cites,Insomn-2-460b19,aristotle-locus,35,245,PHX-01,Nussbaum,Sun appears a foot wide
PHX-E-0057,PHX-01-NUSSBAUM,cites,Insomn-1-458a15,aristotle-locus,40,250 n.45,PHX-01,Nussbaum,Phantasma as active thinking-image in sleep
PHX-E-0058,PHX-01-NUSSBAUM,cites,Insomn-2-460a16-18,aristotle-locus,40,250,PHX-01,Nussbaum,Phantasia explains perceptual mistakes
PHX-E-0059,PHX-01-NUSSBAUM,cites,DeMem-1-449b31,aristotle-locus,56,266,PHX-01,Nussbaum,Triangle envisaging — typically of definite size
PHX-E-0060,PHX-01-NUSSBAUM,cites,DeMem-1-450a25-30,aristotle-locus,40,250,PHX-01,Nussbaum,Zographema; theorema vs phantasma
PHX-E-0061,PHX-01-NUSSBAUM,cites,DA-III-9-432a2,aristotle-locus,56,266,PHX-01,Nussbaum,Perception essential for practical wisdom
PHX-E-0062,PHX-01-NUSSBAUM,cites,APo-I-18-81a38,aristotle-locus,29,239,PHX-01,Nussbaum,Induction from particulars
PHX-E-0063,PHX-01-NUSSBAUM,cites,EN-III-5-1114a32,aristotle-locus,35,245,PHX-01,Nussbaum,Apparent good depends on character
PHX-E-0064,PHX-01-NUSSBAUM,cites,EN-III-4-5,aristotle-locus,21,231 n.22,PHX-01,Nussbaum,Phainomenon agathon and Furley on self-movers
PHX-E-0065,PHX-01-NUSSBAUM,cites,EN-V-1-1130a12,aristotle-locus,25,235,PHX-01,Nussbaum,Arete/dikaiosune — same disposition under different descriptions
PHX-E-0066,PHX-01-NUSSBAUM,cites,EN-VI-11-1143b23,aristotle-locus,25,235 n.28,PHX-01,Nussbaum,Phronesis/politike — same hexis under aspects
PHX-E-0067,PHX-01-NUSSBAUM,cites,EN-VII-3-1147b4,aristotle-locus,35,245,PHX-01,Nussbaum,Following phantasia of particulars vs. general belief
PHX-E-0068,PHX-01-NUSSBAUM,cites,EN-III-6-1115a15,aristotle-locus,43,253,PHX-01,Nussbaum,Andreios used kata metaphoran
PHX-E-0069,PHX-01-NUSSBAUM,cites,EE-VII-2-1235b25-29,aristotle-locus,35,245,PHX-01,Nussbaum,Phantasia and doxa not in same part of soul
PHX-E-0070,PHX-01-NUSSBAUM,cites,Metaph-V-29-1024b17,aristotle-locus,37,247,PHX-01,Nussbaum,False phantasia produced by states of affairs
PHX-E-0071,PHX-01-NUSSBAUM,cites,Metaph-V-29-1025a5,aristotle-locus,37,247,PHX-01,Nussbaum,Hypocrite produces false phantasia
PHX-E-0072,PHX-01-NUSSBAUM,cites,Metaph-XI-10-1066a33,aristotle-locus,25,235,PHX-01,Nussbaum,Road up/down — different in einai
PHX-E-0073,PHX-01-NUSSBAUM,cites,Metaph-I-1-980b26-27,aristotle-locus,59,269 + n.70,PHX-01,Nussbaum,Learning to perceive is learning to make distinctions — closing aphorism
PHX-E-0074,PHX-01-NUSSBAUM,cites,Metaph-IX-10-asuntheta,aristotle-locus,57,267 n.68,PHX-01,Nussbaum,Asuntheta = probable prota noemata
PHX-E-0075,PHX-01-NUSSBAUM,cites,Metaph-V-12-1019b33,aristotle-locus,43,253,PHX-01,Nussbaum,Dunamis kata metaphoran in mathematics
PHX-E-0076,PHX-01-NUSSBAUM,cites,Rhet-I-11-1370b32,aristotle-locus,38,248 n.44,PHX-01,Nussbaum,Victory pleasant because phantasia of superiority
PHX-E-0077,PHX-01-NUSSBAUM,cites,Rhet-I-12-1371b19,aristotle-locus,38,248 n.44,PHX-01,Nussbaum,Being-loved pleasant via phantasia
PHX-E-0078,PHX-01-NUSSBAUM,cites,Rhet-III-1-1404a11,aristotle-locus,44,254,PHX-01,Nussbaum,"Phantasia as 'mere show, aimed at audience' — key for re-reading 428a4"
PHX-E-0079,PHX-01-NUSSBAUM,cites,Phys-I-1-184a24,aristotle-locus,59,269 n.70,PHX-01,Nussbaum,Cognitive development as sorting
PHX-E-0080,PHX-01-NUSSBAUM,cites,HA-I-1-500a3,aristotle-locus,43,253,PHX-01,Nussbaum,Horns kata metaphoran
PHX-E-0081,PHX-01-NUSSBAUM,cites,PA-II-17-662b25,aristotle-locus,43,253,PHX-01,Nussbaum,Horns kata metaphoran by similarity
PHX-E-0082,PHX-01-NUSSBAUM,cites,DI-1-sumbola,aristotle-locus,50,260 n.60,PHX-01,Nussbaum,Vocal sounds as sumbola of pathemata
PHX-E-0083,PHX-01-NUSSBAUM,cites,DI-9,aristotle-locus,58,268 n.69,PHX-01,Nussbaum,Freedom of action and determinism
PHX-E-0084,PHX-01-NUSSBAUM,cites,Cat-5,aristotle-locus,49,259 n.56,PHX-01,Nussbaum,Substance-term as primary identifier
PHX-E-0085,PHX-01-NUSSBAUM,glosses-greek,GREEK-TERM:phantasia,greek-term,11,221,PHX-01,Nussbaum,The faculty of appearing/seeing-as — interpretive aspect of perception
PHX-E-0086,PHX-01-NUSSBAUM,glosses-greek,GREEK-TERM:phantasma,greek-term,12,222,PHX-01,Nussbaum,"Verbal noun of phainesthai = 'what appears'; sometimes image, not by lexical necessity"
PHX-E-0087,PHX-01-NUSSBAUM,glosses-greek,GREEK-TERM:phainesthai,greek-term,12,222,PHX-01,Nussbaum,Anchor verb 'to appear' — anchors entire phantasia-family
PHX-E-0088,PHX-01-NUSSBAUM,glosses-greek,GREEK-TERM:phainomena,greek-term,35,245,PHX-01,Nussbaum,Things as they appear; explanatory starting-points (after Owen)
PHX-E-0089,PHX-01-NUSSBAUM,glosses-greek,GREEK:phainomenon-agathon,greek-term,21,231,PHX-01,Nussbaum,Apparent good — character-relative
PHX-E-0090,PHX-01-NUSSBAUM,glosses-greek,GREEK:aisthesis,greek-term,46,256,PHX-01,Nussbaum,Passive impress; reception of form without matter; quality-receptive
PHX-E-0091,PHX-01-NUSSBAUM,glosses-greek,GREEK:aisthema,greek-term,29,239,PHX-01,Nussbaum,Form-without-matter received in aisthesis
PHX-E-0092,PHX-01-NUSSBAUM,glosses-greek,GREEK:aisthetikon,greek-term,25,235,PHX-01,Nussbaum,Perceptive capacity-name (vs activity-name aisthesis)
PHX-E-0093,PHX-01-NUSSBAUM,glosses-greek,GREEK:phantastikon,greek-term,25,235,PHX-01,Nussbaum,Phantasizing capacity-name; same dunamis as aisthetikon under another description
PHX-E-0094,PHX-01-NUSSBAUM,glosses-greek,GREEK:kritika,greek-term,22,232,PHX-01,Nussbaum,"Distinction-making faculties: phantasia, aisthesis, nous (MA 6)"
PHX-E-0095,PHX-01-NUSSBAUM,glosses-greek,GREEK-TERM:orexis,greek-term,22,232,PHX-01,Nussbaum,Desire; jointly necessary with phantasia for motion
PHX-E-0096,PHX-01-NUSSBAUM,glosses-greek,GREEK-TERM:bouleutike,greek-term,53,263,PHX-01,Nussbaum,Deliberative (phantasia) — rational species (DA 433b28)
PHX-E-0097,PHX-01-NUSSBAUM,glosses-greek,GREEK:einai,greek-term,24,234,PHX-01,Nussbaum,Being / what-it-is-to-be; in 'same X different in einai' = under different description
PHX-E-0098,PHX-01-NUSSBAUM,glosses-greek,GREEK:eidos,greek-term,29,239,PHX-01,Nussbaum,Form — what phantasia presents (object's formal content)
PHX-E-0099,PHX-01-NUSSBAUM,glosses-greek,GREEK:kata-metaphoran,greek-term,42,252,PHX-01,Nussbaum,By transference; Aristotle's marker for non-literal extension
PHX-E-0100,PHX-01-NUSSBAUM,glosses-greek,GREEK:semantikos,greek-term,49,259,PHX-01,Nussbaum,Signifying — voice is semantikos because phantasia is operative
PHX-E-0101,PHX-01-NUSSBAUM,glosses-greek,GREEK-TERM:phone,greek-term,49,259,PHX-01,Nussbaum,"Voice — living creature's sound, meaningful only via phantasia"
PHX-E-0102,PHX-01-NUSSBAUM,glosses-greek,GREEK:horistai,greek-term,55,265,PHX-01,Nussbaum,Is determined — DA 431b2: pursued/avoided determined in phantasmata
PHX-E-0103,PHX-01-NUSSBAUM,glosses-greek,GREEK-TERM:pistis,greek-term,52,262 n.64,PHX-01,Nussbaum,Conviction grounded in logos and experience — distinguishes doxa from phantasia
PHX-E-0104,PHX-01-NUSSBAUM,glosses-greek,GREEK:eidolon,greek-term,41,251,PHX-01,Nussbaum,"Shadow-image, phantom — used in MA 702a5 for memory-as-shadow"
PHX-E-0105,PHX-01-NUSSBAUM,glosses-greek,GREEK:theorema,greek-term,40,250,PHX-01,Nussbaum,Object of contemplation — image regarded in isolation (Mem 450a30) non-pictorially
PHX-E-0106,PHX-01-NUSSBAUM,glosses-greek,GREEK:mnemoneuma,greek-term,40,250,PHX-01,Nussbaum,Memorial; thought regarded as likeness
PHX-E-0107,PHX-01-NUSSBAUM,glosses-greek,GREEK:phantasia-ek-syllogismou,greek-term,54,264,PHX-01,Nussbaum,Phantasia 'from inference' — DA 434a11; only humans
PHX-E-0108,PHX-01-NUSSBAUM,cites,Plato-Republic-596e-599a,ancient-interlocutor,32,242,PHX-01,Nussbaum,Phainomena/phantasmata; eidolon-as-image; earliest known phantasia at 382c
PHX-E-0109,PHX-01-NUSSBAUM,cites,Plato-Sophist-235d-236b,ancient-interlocutor,32,242,PHX-01,Nussbaum,Eikastike vs phantastike techne — phantasma defined via phainetai
PHX-E-0110,PHX-01-NUSSBAUM,cites,Plato-Theaetetus-152,ancient-interlocutor,32,242,PHX-01,Nussbaum,Earliest extant Platonic phantasia use; phantasia and aisthesis 'same' for warmth
PHX-E-0111,PHX-01-NUSSBAUM,cites,Plato-Parmenides-166a,ancient-interlocutor,32,242,PHX-01,Nussbaum,Phantasma as 'appearance' parallel to doxa
PHX-E-0112,PHX-01-NUSSBAUM,cites,Plato-Symposium-211a,ancient-interlocutor,33,243,PHX-01,Nussbaum,Non-sensory phantazesthai of the Form of Beauty
PHX-E-0113,PHX-01-NUSSBAUM,cites,Plato-Philebus-34a-38c,ancient-interlocutor,34,244,PHX-01,Nussbaum,Decaying-sense memory uses kinesis/soteria not phantasia
PHX-E-0114,PHX-01-NUSSBAUM,cites,Herodotus-7.10e,ancient-interlocutor,34,244,PHX-01,Nussbaum,Earliest 'show/pomp' sense of phantazesthai — supports 428a4 re-reading
PHX-E-0115,PHX-01-NUSSBAUM,cites,Themistius-on-432b15,ancient-interlocutor,23,233 n.26,PHX-01,Nussbaum,Textual witness for kai vs e before orexeos
PHX-E-0116,PHX-01-NUSSBAUM,cites,Schofield-1978-Imagination,modern-interlocutor,59,269 n.71,PHX-01,Nussbaum,Parallel paper on same topic — different conclusions
PHX-E-0117,PHX-01-NUSSBAUM,cites,MODERN:Sartre-LImaginaire,modern-interlocutor,14,224 n.7,PHX-01,Nussbaum,Active intentional imagining
PHX-E-0118,PHX-01-NUSSBAUM,cites,MODERN:Dennett-ContentConsciousness,modern-interlocutor,18,228 + ch.IV,PHX-01,Nussbaum,Closest contemporary ally — awareness-of-object analysis
PHX-E-0119,PHX-01-NUSSBAUM,cites,MODERN:Strawson-Individuals,modern-interlocutor,49,259 n.56,PHX-01,Nussbaum,Sortal vs characterizing universals
PHX-E-0120,PHX-01-NUSSBAUM,cites,MODERN:Wiggins-ISTC,modern-interlocutor,24,234 n.27,PHX-01,Nussbaum,Sameness; identity over time
PHX-E-0121,PHX-01-NUSSBAUM,cites,MODERN:White-AristotleOnSameness,modern-interlocutor,24,234 n.27,PHX-01,Nussbaum,On 'same in capacity' formula
PHX-E-0122,PHX-01-NUSSBAUM,cites,MODERN:Cooper-DA-II.12-paper,modern-interlocutor,47,257 n.53,PHX-01,Nussbaum,Unpublished 1973 Princeton paper on DA II.12
PHX-E-0123,PHX-01-NUSSBAUM,cites,MODERN:Owen-Tithenai,modern-interlocutor,36,246 n.40,PHX-01,Nussbaum,Phainomena as wider than perception-data
PHX-E-0124,PHX-01-NUSSBAUM,cites,MODERN:Furley-SelfMovers,modern-interlocutor,21,231 n.22,PHX-01,Nussbaum,On EN III.4-5 and intentional action
PHX-E-0125,PHX-01-NUSSBAUM,cites,Bonitz-IndexAristotelicus,modern-interlocutor,35,245 n.39,PHX-01,Nussbaum,Multiple-senses approach to phantasia — Nussbaum unifies
PHX-E-0126,PHX-01-NUSSBAUM,shifts-debate-axis,DEBATE:image-vs-interpretation,debate-axis,11,221-269,PHX-01,Nussbaum,Establishes the modern axis on which all later phantasia-cluster debate operates
PHX-E-0127,PHX-01-NUSSBAUM,shifts-debate-axis,DEBATE:DA-III.3-canonicity,debate-axis,41,251,PHX-01,Nussbaum,Denies canonical status of DA III.3 — opens space for action-passages-first reading
PHX-E-0128,PHX-01-NUSSBAUM,shifts-debate-axis,DEBATE:phantasia-aisthesis-relation,debate-axis,24,234,PHX-01,Nussbaum,Two-description vs two-activity reading of 433a31 identity
PHX-E-0129,PHX-01-NUSSBAUM,bridges-to-pipeline,PIPELINE:Aristotle-corpus,pipeline,11,221-269,PHX-01,Nussbaum,Cross-corpus thematic concordance of phantasia: DA/MA/PN/EN/EE/Rhet/Metaph/De Int/Cat/Phys/APo/HA/PA
PHX-E-0130,PHX-01-NUSSBAUM,bridges-to-pipeline,PIPELINE:Heidegger-BCAP-GA18,pipeline,49,259,PHX-01,Nussbaum,DA II.8 voice-semantikos passage — central also for Heidegger's rhetorical-ontological reading
PHX-E-0131,PHX-01-NUSSBAUM,bridges-to-pipeline,PIPELINE:Dalton-dissertation-phantasia,pipeline,47,257-258,PHX-01,Nussbaum,Object-as-F structure anchors dissertation's A-chain phantasma sections
PHX-E-0132,PHX-02-WHITE,reads,DA-III-3,aristotle,1-23,427a17-429a8,PHX-02,White,Entire essay is a sustained reading of DA III.3 (the phantasia chapter)
PHX-E-0133,PHX-02-WHITE,reads,DA-III-4-8,aristotle,16-21,429a13-432a10,PHX-02,White,Section 4 of essay reads DA III.4-8 (the nous chapters)
PHX-E-0134,PHX-02-WHITE,cites-locus,DA-III-3-427b15-16,aristotle,1,427b15-16,PHX-02,White,Opening epigraph: no thought without phantasia no phantasia without sensation
PHX-E-0135,PHX-02-WHITE,cites-locus,DA-III-3-427b21-24,aristotle,12,427b21-24,PHX-02,White,Signature picture-vs-encounter passage
PHX-E-0136,PHX-02-WHITE,cites-locus,DA-III-3-428a1-2,aristotle,5,428a1-2,PHX-02,White,Kath' hen formula defining phantasia
PHX-E-0137,PHX-02-WHITE,cites-locus,DA-III-3-428a5-16,aristotle,13,428a5-16,PHX-02,White,Five indications distinguishing phantasia from sensation
PHX-E-0138,PHX-02-WHITE,cites-locus,DA-III-3-428b10-11,aristotle,14,428b10-11,PHX-02,White,Primary phantasia definition: kinesis hypo tes aistheseos kat' energeian gignomenes
PHX-E-0139,PHX-02-WHITE,cites-locus,DA-III-3-429a1-2,aristotle,14,429a1-2,PHX-02,White,Restatement of kinesis-definition
PHX-E-0140,PHX-02-WHITE,cites-locus,DA-III-3-429a3-4,aristotle,3,429a3-4,PHX-02,White,Aristotle's etymology of phantasia from phaos
PHX-E-0141,PHX-02-WHITE,cites-locus,DA-III-3-429a4-8,aristotle,11;22,429a4-8,PHX-02,White,Men act according to phantasia when mind clouded by emotion/disease/sleep
PHX-E-0142,PHX-02-WHITE,cites-locus,DA-III-4-429a13-18,aristotle,16,429a13-18,PHX-02,White,Nous as paschein dektikon dunamei eide amige
PHX-E-0143,PHX-02-WHITE,cites-locus,DA-III-4-429b10-22,aristotle,18,429b10-22,PHX-02,White,Nous distinguishes form from matter
PHX-E-0144,PHX-02-WHITE,cites-locus,DA-III-5-430a17-18,aristotle,14,430a17-18,PHX-02,White,Nous's passionless incorporeity (fn. 59)
PHX-E-0145,PHX-02-WHITE,cites-locus,DA-III-5-430a22,aristotle,21,430a22,PHX-02,White,Thinking tends to constant uninterrupted actualization
PHX-E-0146,PHX-02-WHITE,cites-locus,DA-III-7-431a14-15,aristotle,18,431a14-15,PHX-02,White,Nous thinks the eide in the phantasmata
PHX-E-0147,PHX-02-WHITE,cites-locus,DA-III-7-431b2-10,aristotle,19,431b2-10,PHX-02,White,Soul calculates and plans future via phantasmata
PHX-E-0148,PHX-02-WHITE,cites-locus,DA-III-7-431b21-432a1,aristotle,17,431b21-432a1,PHX-02,White,Soul is in a way all the beings (onta)
PHX-E-0149,PHX-02-WHITE,cites-locus,DA-III-7-432a3-10,aristotle,18-19,432a3-10,PHX-02,White,Aisthesis confined to the now; soul never thinks without phantasma
PHX-E-0150,PHX-02-WHITE,cites-locus,DA-III-9-432a15-17,aristotle,9,432a15-17,PHX-02,White,To kritikon vs. to kinetikon division
PHX-E-0151,PHX-02-WHITE,cites-locus,DA-III-10-433a9-12,aristotle,11,433a9-12,PHX-02,White,Phantasia may be called a kind of noesis
PHX-E-0152,PHX-02-WHITE,cites-locus,DA-I-1-403a3-10,aristotle,7;9,403a3-10,PHX-02,White,Pre-thematic remark on thinking related to phantasia
PHX-E-0153,PHX-02-WHITE,cites-locus,DA-II-2-413b22-23,aristotle,7,413b22-23,PHX-02,White,Phantasia + desire concomitant with sensation
PHX-E-0154,PHX-02-WHITE,cites-locus,DA-II-3-414b16,aristotle,7,414b16,PHX-02,White,Place of phantasia among soul-powers is unclear
PHX-E-0155,PHX-02-WHITE,cites-locus,DA-II-3-414a32-415a13,aristotle,8-9,414a32-415a13,PHX-02,White,Five powers and four grades of living things
PHX-E-0156,PHX-02-WHITE,cites-locus,DA-II-12-425b23-25,aristotle,7;16,425b23-25,PHX-02,White,Phantasiai persist in sense-organs; sensation receives form without matter
PHX-E-0157,PHX-02-WHITE,cites-locus,Insomn-1-459a15-22,aristotle,15,459a15-22,PHX-02,White,Imaginative same as sensitive but different in einai
PHX-E-0158,PHX-02-WHITE,cites-locus,Insomn-3-460b28-461a8,aristotle,15,460b28-461a8,PHX-02,White,Alloiosis analogy and dreams
PHX-E-0159,PHX-02-WHITE,cites-locus,Insomn-2-459b9-30,aristotle,14,459b9-30,PHX-02,White,Projectile-motion analogy for persistence of pathos
