source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
C-AFF,maps-to-pentad-term,burke-attitude,game-studies,2,44,anticipatory-projection (dissertation),affective -> Attitude (sixth pentad term)
C-LUD,awaits-ontological-grounding-in,aristotle-phronesis,game-studies,2,44,anticipatory-projection (dissertation),ludic <-> phronesis + deliberative phantasia
C-LUD,maps-to-pentad-term,burke-purpose-act,game-studies,2,44,anticipatory-projection (dissertation),ludic -> Purpose + Act
C-LUD,bridges-to-pipeline,uexkull-foray,game-studies,3,44,anticipatory-projection (dissertation),ludic <-> Wirkmal + goal-structure
C-MACRO,awaits-ontological-grounding-in,heidegger-bcap,game-studies,1,38,anticipatory-projection (dissertation),macro <-> retentional/anticipatory ekstatic temporality
C-MICRO,awaits-ontological-grounding-in,heidegger-bcap,game-studies,1,40,anticipatory-projection (dissertation),micro <-> ekstatic moment-to-moment temporality
C-MICRO,bridges-to-pipeline,bowin-amt,game-studies,1,40,anticipatory-projection (dissertation),micro + ergodic-disposition <-> Aristotelian continuous-motion
C-PIM,bridges-to-pipeline,dalton-dissertation,game-studies,1,37,dissertation-instrument,PIM is the dissertation's analytical instrument
C-HIER,bridges-to-pipeline,dalton-dissertation,game-studies,1,35,dissertation-instrument,three-tier hierarchy is the dissertation's import-ready stratification
C-METH-GT,bridges-to-pipeline,dalton-dissertation,qualitative-game-research-methods,1,36,dissertation-instrument,grounded-theoretic methodology is the empirical-adaptation seed
C-INTERN,bridges-to-pipeline,phantasia-cluster,game-studies,2,45,anticipatory-projection (dissertation),internalization parallels habituation of phantasia operations
C-DIM-LAYERED,bridges-to-pipeline,phantasia-cluster,game-studies,3,37,anticipatory-projection (dissertation),layered + transparent dimensions echo rhetorical-vision overlay
