source,relation,target,domain,evidence,contributor
anger,qualifies,a desire to adjust the record / restore diminished social standing via a compensatory act of revenge,history-of-emotions,p.75,Konstan
Konstan,defines,shame (aiskhune) as a unitary pathos with three elements (act / character-flaw / loss of community esteem),philology-of-aristotle,Rhet. II.6 1383b12-1385a15 (p.99-102),Konstan
aiskhune,contests,aidos (prospective/inhibitory; 'not shame'),philology-of-aristotle,Cairns 1993 (p.93-96),Konstan
shame,extends-reading-of,a bridge across the modern shame/guilt divide (particular act + the vice it reveals),history-of-emotions,p.101-102,Konstan
Konstan,defines,phthonos (envy) as pain at an equal's success irrespective of desert and of one's own need,philology-of-aristotle,Rhet. II.10 1387b23-25,Konstan
phthonos,qualifies,the only unqualifiedly negative pathos (mark of the mikropsukhos/philodoxos),philology-of-aristotle,Rhet. II.10 1387b33-34 (p.113),Konstan
Konstan,defines,to nemesan / nemesis (indignation) as pain at undeserved good fortune (a judgment of desert),philology-of-aristotle,Rhet. II.9 1386b8-9,Konstan
Konstan,contests,the assumption that 'indignation' (to nemesan) was a common independent Greek emotion,history-of-emotions,p.111-115; EE III.7 1233b16-34,Konstan
Aristotle's emotion-catalogue,qualifies,partly a philosophical construct diverging from ordinary usage (nemesis appropriated to answer phthonos),philology-of-aristotle,EE III.7 1233b16-34 (p.114-115),Konstan
Konstan,defines,fear (phobos) as pain from a phantasia of a near future destructive/painful evil,philology-of-aristotle,Rhet. II.5 1382a21-25,Konstan
fear,qualifies,supposition-laden: the truth lies more with Andronicus (hupolepsis) than with Aspasius (bare phantasia),philosophy-of-mind,Rhet. II.5 1382a21-25 (p.132),Konstan
Konstan,contests,Aspasius's view that the Rhetoric emotions arise from bare phantasiai (perception) prior to supposition,philology-of-aristotle,p.132 (Aspasius CAG 19.1),Konstan
Konstan,extends-reading-of,Andronicus's view that emotion arises from a supposition (hupolepsis) of good/bad,philology-of-aristotle,p.132 (Andronicus On the Emotions),Konstan
fear,defines,a socially conditioned response to hostile agents WITH the power to harm,history-of-emotions,Rhet. II.5 1382a32-b19 (p.132),Konstan
fear,instances-in-text,Fortenbaugh's soldier infers the dust-cloud is a hostile army (logos; 'fear makes men deliberate'),philology-of-aristotle,Rhet. II.5 1385a5 (Fortenbaugh 2002:103; p.133),Konstan
Konstan,defines,pity (eleos) as pain at undeserved harm to one like oneself when near,philology-of-aristotle,Rhet. II.8 1385b13-16,Konstan
pity,qualifies,requires the 'distance' between pitier and pitied (resemblance without shared plight),history-of-emotions,p.201-202,Konstan
Konstan,defines,grief (lupe/penthos) as NOT fitting Aristotle's conception of a pathos,history-of-emotions,Rhet. II (grief absent from the catalogue) (p.245-248),Konstan
grief,contests,the genuine pathe: it involves no judgment of intentions / desert / status and no action-readiness,history-of-emotions,p.247-248,Konstan
lupe ('grief'),qualifies,also Aristotle's word for 'pain' — a constituent sensation (aisthesis) of pathe rather than a pathos itself,philology-of-aristotle,p.245-246 (Harris 2001:340-343),Konstan
grief,extends-reading-of,'might not qualify as a pathos at all' (the natural fact of death stands outside the social system),history-of-emotions,p.248;258,Konstan
Sophocles' Electra,instances-in-text,Electra's driving passion is anger/vengeance (father murdered) not 'passive grief' for a morally neutral event,history-of-emotions,p.249-252,Konstan
Konstan,contests,the neo-Darwinian / basic-emotions program (Ekman; evolutionary psychology) as fixated on expression,history-of-emotions,p.8-20;28-31 (Darwin 1872; Ekman 1998),Konstan
Konstan,cites,appraisal theory (Lazarus; Roseman & Smith) as converging on Aristotle's cognitive account,history-of-emotions,p.23;31 (Lazarus 2001:40),Konstan
Konstan,extends-reading-of,the emotional lexicon as culturally constructed (colour-terminology analogy),history-of-emotions,p.5-16 (J. Lyons; Lutz 1988),Konstan
Konstan,bridges-to-pipeline,Heidegger BCAP (pathos as being-with-others / doxa as the public taking-as; Mitsein),phenomenology-of-emotion,p.24;30-31;248,Konstan
Konstan,bridges-to-pipeline,Gross Uncomfortable Situations (situated/social emotion contra the inner-state model),rhetorical-theory,p.30-31;259-261,Konstan
the pathe,glosses-greek,orge / phthonos / aidos / aiskhune / phobos / eleos / nemesis / lupe / penthos / zelos,philology-of-aristotle,Ch.1-12 (passim),Konstan
