edge_id,source,relation,target,book_pp,provenance,notes
GM04-E025,Spinozistic_intuition,is-derived-from,Reason,151-152,exegetical-burke-grammar-of-motives,"Three kinds of knowledge: intuition derived from Reason hence still scenic; opposite of Bergsonian intuition."
GM04-E026,Spinoza,bridges,Theistic-to-naturalistic-vocabularies,138-139,exegetical-burke-grammar-of-motives,"Pantheist merger of God and Nature provides perfect transition between vocabulary registers."
GM04-E027,Darwin_Conditions-of-Existence,exemplifies,Materialist-higher-law,153,exegetical-burke-grammar-of-motives,"Darwin's own formulation of Conditions of Existence as 'higher law' subsuming Unity of Type."
GM04-E028,Darwin_variability,functions-as,Janus-term-between-scene-and-agent,157-158,exegetical-burke-grammar-of-motives,"Allows two meanings: cause ab extra (scenic) vs internal principle of motion (agentic); productively ambiguous."
GM04-E029,Darwin_organism,is,Agent-minus,155-156,exegetical-burke-grammar-of-motives,"Burke's Grammatical equivalent; organisms partially classed under agent because behavior must be accounted for by some internal principle of self-movement."
GM04-E030,Mivart,exerts-pressure-on,Darwinian-materialism,154-155,exegetical-burke-grammar-of-motives,"Mivart posits 'internal force or tendency'; Darwin's minimum concession ('tendency to ordinary variability') marks where pressure of agent is visible."
GM04-E031,Mendel,contrasts-with,Darwin_as-idealoid-biology,156,exegetical-burke-grammar-of-motives,"Mendelian inheritance laws apply to agents/agent-minuses; cloistered priest sees not selective competition but internal variation."
GM04-E032,Lucretius_clinamen,is,Pre-agentification-of-scene,159-160,exegetical-burke-grammar-of-motives,"Atomic swerve as internal seed of action lodged in pure motion; gives scenic derivation for human freedom."
GM04-E033,Lucretius_clinamen,parallels,Darwin_variability,159,exegetical-burke-grammar-of-motives,"Both perform 'pre-agentification of scene' function: an internal device for transcending sheer motion and opening toward action."
GM04-E034,Stoicism,bridges-to,Pragmatism,161,exegetical-burke-grammar-of-motives,"Marcus Aurelius's moral utilitarianism builds the bridge 'from Providence to pragmatism' via agency-purpose ratio."
GM04-E035,Stoic_pronoia,is,Purposive-scene,161,exegetical-burke-grammar-of-motives,"Nature equated with Providence/Reason/Will-of-God/strict logical Necessity; purposive cosmic scene."
GM04-E036,Epictetus_prokope,differs-from,Aurelius_prokope,166-168,exegetical-burke-grammar-of-motives,"Slave-Stoic vs emperor-Stoic; ladder-from-spiritual-slavery vs voluntary-self-subjection; same word two scenic situations."
GM04-E037,Lucretius_De-Rerum-Natura,exhibits-cross-purposes-at,Rhetorical-and-Symbolic-levels,162-165,exegetical-burke-grammar-of-motives,"Venus-invocation vs plague-ending; Mother-Venus/Mother-Earth/human-mother matrix; Poeni/Poenae pun."
GM04-E038,Marcus-Aurelius_sex-repression,reads-Reichian-as,Political-dispiriting-device,168-169,exegetical-burke-grammar-of-motives,"Burke's Symbolic-level reading via Wilhelm Reich; sex-repression as scenic ground of imperial political stability."
GM04-E039,Stoic_transcendence-of-offal,is-symbolic-collapse-of,Transubstantiation-of-the-excremental,166,exegetical-burke-grammar-of-motives,"Sudden bursts of hatred-of-the-flesh as Symbolic-plane collapse of the doctrine's panentheistic acceptance."
GM04-E040,Scene-act-ratio,operates-under,Materialist-construal,127-170,exegetical-burke-grammar-of-motives,"The materialist version: the act follows mechanically from the scene; will is what the scenic balance of appetites tips toward."
GM04-E041,Scene-agent-ratio,operates-under,Materialist-construal,127-170,exegetical-burke-grammar-of-motives,"The materialist version: agent traits derivable from scenic ground (Hobbesian sovereignty, Darwinian variability, Spinozistic conatus)."
GM04-E042,Materialism,narrows,Circumference-of-scene,131,exegetical-burke-grammar-of-motives,"'With materialism the circumference of scene is so narrowed as to involve the reduction of action to motion.'"
GM04-E043,Scene,answers,Where-and-in-what-situation-question,127_xv,exegetical-burke-grammar-of-motives,"The pentad question for Scene (from GM-00 Introduction recalled in chapter); fixed in chapter's operationalization."
GM04-E044,Spinoza_intellectual-love-of-God,remains,Scenic-despite-idealistic-edge,150-152,exegetical-burke-grammar-of-motives,"Particulars understood sub specie aeternitatis = particulars in their total context = apex of scenic comprehension; not its abandonment."
GM04-E045,Hobbes_State-as-gigantic-man,projects,Scenic-into-political,132-133,exegetical-burke-grammar-of-motives,"Body-politic mechanism extended from individual body to State; Coriolanus belly-and-members parable as literary counterpart."
GM04-E046,Scene,maps-to-dissertation,Game-world+room+social-context,N/A,anticipatory-projection-dissertation,"Dissertation game-user-motive analytic target: stack of layers (game-world, player's room, social/multiplayer/streaming context)."
GM04-E047,Pre-agentification-of-scene,maps-to-dissertation,Game-AI-and-procedural-systems,N/A,anticipatory-projection-dissertation,"Game-world AI, procedural generation, emergent NPC behavior, dynamic difficulty as pre-agentified scene; level behaves quasi-agentically without being discrete agent."
GM04-E048,Scenic-circumference,maps-to-dissertation,Game-studies-theory-boundary,N/A,anticipatory-projection-dissertation,"Different game-studies theories draw player's relevant scene at different radii (screen alone / screen+controller / avatar's diegetic environment / player+room+audience)."
GM04-E049,Scene,awaits-rhetoric-of-motives-modifier,Attitude,N/A,anticipatory-projection-future-pipeline,"Forward-reference: Attitude as 6th pentad term will modify Scene operationalization via affective-coloring slot; maps to Calleja Affective dimension."
GM04-E050,Scene-as-ambient,anticipates,Rickert-ambient-rhetoric,N/A,anticipatory-projection-dissertation,"Cross-pipeline bridge to Rickert Ambient Rhetoric corpus index; scene-as-ambient anticipates ambient-rhetorical environment for persuasion."
GM04-E051,Scene,partial-exegetical-bridge-to,Aristotelian-substance-via-conatus,144-145,partial-exegetical-via-spinoza,"Spinozistic conatus as ground-derived agent-equivalent recalls (without citing) Aristotelian self-mover and psuche-as-form-of-body; partial exegetical bridge weaker than GM-06 Burke-Aristotle bridge."
GM04-E052,Spinoza,anticipates,Hegel-substance-to-subject-shift,147,exegetical-burke-grammar-of-motives,"Cartesian dualism eventually led into subject-object pair of German idealism and 'so finally to Hegel's programmatic replacement of substance by Subject.'"
GM04-E053,Hellenistic-materialisms,featured-scene-with,Pre-agentification-device,159-161,exegetical-burke-grammar-of-motives,"Both Epicureanism and Stoicism endow scene with properties of agent: Epicurean clinamen / Stoic pronoia."
GM04-E054,Lucretius,exhibits-symbolic-trace-of,Maternal-matrix,164,exegetical-burke-grammar-of-motives,"Mother Venus / Mother Earth / human mother converge as 'philosophic matrix alternative to some poetic parent vaguely comprising all in one.'"
GM04-E055,Grammatical-level,impinges-on,Rhetorical-and-Symbolic-levels,161-170,exegetical-burke-grammar-of-motives,"Final subsection's load-bearing claim: scene-featuring at Grammatical level generates traceable Rhetorical (persuasion-effects) and Symbolic (latent imagery, guilt) effects."
