source,relation,target,pdf_locus,contributor,note
P-US02-vested-interests-claim,grounded-in,Carretta-Equiano-2005-p98-122,"PDF 75; n.26","Gross","Carretta supplies the vested-interest vocabulary"
P-US02-vested-interests-claim,cross-discipline-bridges,Butler-Psychic-Life-of-Power-27-28,"PDF 75; n.27","Gross","'Passionate attachments' as the structure by which subjection operates through feeling"
P-US02-vested-interests-claim,opposes,Noe-common-fate-attachment-model,"PDF 74-75","Gross","Common-fate model cannot register asymmetric vested interests"
C-US02-black-freedom-dissipates,grounded-in,Equiano-Interesting-Narrative-161-162,"PDF 86","Gross","West-Indies inadmissibility of black testimony — Robert King defaults on debt"
C-US02-black-freedom-dissipates,extends,C-US02-race-based-slavery-as-environment,"PDF 75-76","Gross","Freedom dissipates because the recognitional infrastructure that would honor it is withdrawn"
C-US02-race-based-slavery-as-environment,cross-discipline-bridges,US-03-RADCLIFFE-hostile-environment,"PDF 75-76 + n.10 forecast","Gross","Salamon n.10 explicitly forecasts Ch.3 on hostile environments"
C-US02-race-based-slavery-as-environment,cross-discipline-bridges,Gibson-Ecological-Approach-affordances,"PDF 72 (via Noe)","Gross","Negative/withdrawn affordances extend Gibson"
P-US02-Afro-Pessimism-engagement,grounded-in,Sexton-Social-Life-Social-Death-InTensions-2011,"PDF 82; n.42","Gross","Sexton's summary at p.28 anchors the engagement"
P-US02-Afro-Pessimism-engagement,grounded-in,Moten-Knowledge-of-Freedom-CR-2004,"PDF 66-67; n.11","Gross","Moten's 'other side of reason or experience' is the chapter's Afro-Pessimist toehold"
P-US02-Afro-Pessimism-engagement,opposes,P-US02-rhetoric-not-reducible-to-feeling,"PDF 82, 86","Gross","Gross engages but does not endorse — rhetorical-humanities methodology preserved"
C-US02-double-consciousness-insufficient,contested-by,DuBois-Souls-Black-Folks-1903-p3,"PDF 66; n.6","Gross","Du Bois supplies double-consciousness; Gross argues Equiano exceeds it"
C-US02-double-consciousness-insufficient,extends,Moten-Knowledge-of-Freedom-CR-2004-p299,"PDF 66-67; n.11","Gross","Moten pursues Equiano beyond double consciousness"
C-US02-spiritual-autobiography,grounded-in,Equiano-Interesting-Narrative-189-190-conversion,"PDF 84-85","Gross","Mount Calvary unsealing set-piece"
C-US02-spiritual-autobiography,opposes,Wollstonecraft-Analytical-Review-1789-vol4,"PDF 85; n.44","Gross","Wollstonecraft pans the conversion material as 'rather tiresome'"
C-US02-spiritual-autobiography,extends,C-US02-prosthetic-emotion-equiano,"PDF 84-85","Gross","Conversion is prosthetic-emotion installation in the Intro's strict sense"
P-US02-conversion-not-tiresome,opposes,Wollstonecraft-Analytical-Review-1789-vol4,"PDF 85; n.44","Gross","Direct rebuttal"
P-US02-rhetoric-not-reducible-to-feeling,grounded-in,Wimsatt-Beardsley-Intentional-Fallacy-1946,"PDF 78; n.37","Gross","Design discernible only at risk of intentional fallacy"
P-US02-rhetoric-not-reducible-to-feeling,grounded-in,Johnson-Rambler-60-1750,"PDF 78; n.38","Gross","Identification as adoption of proposal, not sincere recognition"
P-US02-rhetorical-structure-of-perception,grounded-in,Noe-Varieties-of-Presence-126-128,"PDF 71-72; n.24","Gross","Noe's own 'rhetorical structure' admission"
C-US02-norm-theory-emotional-amplification,grounded-in,Kahneman-Miller-Norm-Theory-1986,"PDF 67-68; n.15","Gross","Counterfactual availability + emotional amplification"
C-US02-hedonic-treadmill,grounded-in,Brickman-Janoff-Bulman-Coates-1978,"PDF 68; n.16","Gross","Lottery winners + accident victims study"
C-US02-hedonic-treadmill,extends,Kahneman-Well-Being-1999-p16,"PDF 68-70","Gross","Becoming-paraplegic vs. being-paraplegic refinement"
C-US02-possibly-vs-practically-vs-predictably-irrational,grounded-in,Kahneman-Well-Being-1999,"PDF 70","Gross","Disciplinary triad extracted from Kahneman's framing"
C-US02-orientation-objects-gather,grounded-in,Ahmed-Queer-Phenomenology-2006,"PDF 67, 79-82; nn.12, 29, 33","Gross","Comfort/orientation methodological ally"
C-US02-orientation-objects-gather,contested-by,P-US02-Afro-Pessimism-engagement,"PDF 82-83","Gross","Amending Ahmed — Equiano outside social-investment frame"
C-US02-books-as-orientation-devices,extends,C-US02-orientation-objects-gather,"PDF 80","Gross","Methodological extension to narrative literature"
C-US02-books-as-orientation-devices,cross-discipline-bridges,Rickert-Ambient-Rhetoric,"PDF 80","Gross","Rhetorical situation as environment, not Bitzer-proximate"
C-US02-bear-as-morphological-cluster,grounded-in,OED-bear-verb-noun,"PDF 81","Gross","OED excursus running senses I-IV + 21 + 37"
C-US02-bear-as-morphological-cluster,grounded-in,Burke-Letters-Regicide-Peace-1796,"PDF 81","Gross","'Bearing up against those vicissitudes of fortune' locus classicus"
C-US02-name-bearing,grounded-in,Equiano-Interesting-Narrative-64,"PDF 82","Gross","Pascal forces 'Gustavus Vassa' over 'Jacob'"
C-US02-certificate-of-behavior,grounded-in,Equiano-Interesting-Narrative-163-164,"PDF 82-83","Gross","Robert King certificate reproduced verbatim Jan 26 1767"
C-US02-litany-of-inoperable,grounded-in,Equiano-Interesting-Narrative-109-112-161-162,"PDF 86","Gross","Five-fold inventory of withdrawn social affordances"
C-US02-anerkennung-foreclosed,grounded-in,Hegel-Phenomenology-Spirit-189-193,"PDF 76-77; n.30","Gross","Findlay translation via marxists.org Hegel-by-Hypertext"
C-US02-going-limp,extends,C-US02-intentional-arc,"PDF 62 epig","Gross","The arc that 'goes limp' generalizes from individual to social body"
C-US02-going-limp,grounded-in,Merleau-Ponty-Phenomenology-172n1,"PDF 77","Gross","General-strike-as-sickness footnote licenses the generalization"
P-US02-Gross-thesis-bearing-up,re-reads-author,HR-01-GROSS-rhetorical-ontology-2005,"PDF 78-79","Gross","Same-author antecedent: 'rhetorical' as positing-a-social-relationship"
P-US02-Gross-thesis-bearing-up,cross-discipline-bridges,Aristotle-Rhetoric-II-pathe,"PDF 78","Gross","Classical pathos lexicon"
P-US02-Gross-thesis-bearing-up,cross-discipline-bridges,US-04-AUSTEN-mixed-feelings,"PDF 69-70","Gross","Bentham 1789 + mixed feelings Ch.4 forecast"
P-US02-Gross-thesis-bearing-up,cross-discipline-bridges,US-00-INTRO-prosthetic-emotion,"PDF 84-85","Gross","Prosthetic emotion gets first major in-text demonstration here"
Equiano-Interesting-Narrative-77,cited-in,US-02-EQUIANO-epigraph,"PDF 62","Gross","First epigraph anchoring the chapter"
Merleau-Ponty-Phenomenology-136,cited-in,US-02-EQUIANO-epigraph,"PDF 62","Gross","Second epigraph — intentional arc"
Robert-King,literary-character-in,Equiano-Interesting-Narrative-163-164,"PDF 82-83","Gross","Named in the chapter text via reproduced certificate"
Michael-Henry-Pascal,literary-character-in,Equiano-Interesting-Narrative-64-93-94,"PDF 67, 75, 82","Gross","Named in the chapter text"
T-US02-Gross-vs-Dreyfus-on-Merleau-Ponty,instantiates,P-US02-Merleau-Ponty-Hegelian-strand,"PDF 75-77","Gross","Tension thematized in note 28 and 35"
T-US02-vested-interest-vs-felt-attachment,instantiates,P-US02-vested-interests-claim,"PDF 75","Gross","Carretta-formula tension between interest and feeling"
T-US02-Afro-Pessimism-engagement-vs-non-endorsement,instantiates,P-US02-Afro-Pessimism-engagement,"PDF 82, 86","Gross","Engagement without programmatic endorsement"
T-US02-amending-Ahmed,instantiates,C-US02-orientation-objects-gather,"PDF 82-83","Gross","Ahmed amended for outside-contract case"
C-US02-prevenient-grace-temporality,grounded-in,Equiano-Interesting-Narrative-87-88-119,"PDF 65-66","Gross","Predestinarian + unhurt ship-ballast fall + 'interposition of Heaven'"
C-US02-comfort-eighteenth-century,grounded-in,OED-comfort-Wallin-1769,"PDF 64-65","Gross","'Creature-comfort' overrated"
C-US02-unsealed-book,grounded-in,Equiano-Interesting-Narrative-189-190,"PDF 84-85","Gross","Scriptures-as-unsealed-book at Mount Calvary"
C-US02-unsealed-book,cross-discipline-bridges,DuBois-veil-metaphor,"PDF 84","Gross","Gross explicitly notes the Du Boisian veil resonance"
