unit	verdict	sim	doc	page_start	page_end	quote
bor-sec-18	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	1	2	illuminate our cultural situation as a whole
bor-sec-18	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	1	2	turning away from ourselves
bor-sec-18	EXACT(doc-restricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	1	2	a feeling of wholeness and full involvement
bor-sec-18	FAIL					philosophy in each case happens in a fundamental mood [*Grundstimmung*]
bor-sec-18	EXACT(unrestricted)	1.000	Heidegger, Martin - The Fundamental Concepts of Metaphysics.pdf	111	112	becomes more and more concentrated on us
bor-sec-18	EXACT(unrestricted)	1.000	Heidegger, Martin - The Fundamental Concepts of Metaphysics.pdf	0	136	makes everything of equally great and equally little worth
bor-sec-18	EXACT(doc-restricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	12	13	responsibility for what is to come
bor-sec-18	FAIL					modern version of the Socratic Method... without platonic metaphysical assumptions
bor-sec-18	EXACT(doc-restricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	12	13	an initiation to metaphysics
bor-sec-18	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	13	14	smug contentment in not being endangered
bor-sec-18	FAIL					slipping away from ourselves toward whatever is happening
bor-sec-18	FAIL					wishes to tell us something... not something arbitrary or contingent
bor-sec-18	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	9	9	desiccated and devoid of energy and life
bor-sec-18	EXACT(doc-restricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	4	5	Heidegger and the Experience of Boredom
bor-sec-18	FAIL					Kierkegaard's conception of *Augenblick
bor-sec-18	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	8	9	learned competencies that can be instilled
bor-sec-18	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	8	9	I think it is possible to discern an interesting correlation here
bor-sec-18	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	10	11	lays hold of the soul itself
bor-sec-18	EXACT(unrestricted)	1.000	Heidegger, Martin - The Fundamental Concepts of Metaphysics.pdf	132	133	wishes to tell us something
bor-sec-18	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	11	12	cited in Thomson 2003, p. 133
bor-sec-18	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	14	14	Heidegger on Ontological Education, or How We Become What We Are
bor-sec-18	FAIL					Boredom Experiment (VR Attention Study)
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	1	2	Heidegger on Ontological Education, or: How We Become What We Are
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	1	2	instrumentalization, professionalization, vocationalization, corporatization, and technologization
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	3	5	On the Essence of Truth
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	10	11	Plato's Teaching on Truth
bor-sec-19	EXACT(unrestricted)	1.000	Heidegger, Martin - The Question Concerning Technology and Other Essays (1977).pdf	1	1	The Question Concerning Technology
bor-sec-19	EXACT(unrestricted)	1.000	Heidegger, Martin - The Fundamental Concepts of Metaphysics.pdf	0	339	the essence of truth
bor-sec-19	EXACT(unrestricted)	1.000	Lefebvre, Henri - The Production of Space (1974  [1991]).pdf	130	131	the history of being
bor-sec-19	FAIL					the rootedness of the sciences … has dried up and died
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	10	11	the essence of paideia
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	10	11	lays hold of the soul itself
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	16	17	learning culminates in teaching
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	17	18	more teachable than his apprentices
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	12	13	ontological drift toward meaninglessness
bor-sec-19	FAIL					impact... can barely be noticed by contemporary humanity because they are continually covered over with the latest information
bor-sec-19	EXACT(unrestricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	21	22	Traditional Language and Technological Language
bor-sec-19	EXACT(doc-restricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	23	24	What Is Called Thinking?
bor-sec-19	EXACT(doc-restricted)	1.000	Thomson, Iain - Heidegger on Ontological Education, or - How We Become What We Are (2001).pdf	12	13	covered over with the latest information
bor-sec-19	FAIL					Heidegger, Technology and Education
bor-sec-19	FAIL					Boredom Experiment (VR Attention Study)
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	1	2	root of all evil
bor-sec-07	EXACT(doc-restricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	3	4	Heidegger and the Experience of Boredom
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	6	7	The Moments of Vision as the Basis of Learning
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	9	10	Listening to the Telling Refusal of Profound Boredom not Pushing it Away
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	10	11	The Moment of Vision as a Moment of Edification
bor-sec-07	EXACT(unrestricted)	1.000	Heidegger, Martin - The Fundamental Concepts of Metaphysics.pdf	0	136	enveloping beings as a whole
bor-sec-07	EXACT(unrestricted)	1.000	Heidegger, Martin - The Fundamental Concepts of Metaphysics.pdf	0	0	driving away of boredom that drives time on
bor-sec-07	EXACT(doc-restricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	2	3	we tend to function in our everyday existence
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	1	2	loss of identity and meaningfulness
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	1	2	definitive, valuable goals are lacking
bor-sec-07	EXACT(doc-restricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	5	5	a life going nowhere
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	2	3	specific value in awakening our ability to experience meaningfulness
bor-sec-07	EXACT(doc-restricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	6	7	the positive attunement it is
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	5	5	time drags and thus paralyzes us
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	5	5	becoming bored is a being held in limbo by time as it drags over an interval of time
bor-sec-07	FAIL					the evening is that with which we are bored… what we are bored with is passing the time
bor-sec-07	EXACT(doc-restricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	5	5	sets us in place
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	5	5	entrainment of the inauthentic
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	9	10	the suffocation of all such things
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	8	9	unfolding of the presencing of the situation
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	8	9	capability and vision to act
bor-sec-07	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	8	9	learned competencies that can be instilled
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	11	12	technical, moral and intellectual skills
bor-sec-07	FAIL					instrumental way of being… enframed in the metrics of quality
bor-sec-07	EXACT(unrestricted)	1.000	Gibbs, P. - The Concept of Profound Boredom - Learning from Moments of Vision (2011).pdf	1	2	Learning from Moments of Vision
bor-sec-07	FAIL					Mansikka (2009), *Can boredom educate us?
bor-sec-28	EXACT(unrestricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	1	1	Detecting Boredom from Eye Gaze and EEG
bor-sec-28	EXACT(unrestricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	3	4	the tendency of an individual to become bored
bor-sec-28	EXACT(unrestricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	3	4	a transitory emotion with a relatively short timespan
bor-sec-28	EXACT(unrestricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	3	4	we treat the boredom as a state rather than a trait
bor-sec-28	EXACT(unrestricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	8	10	our experiment assessed only state boredom while disregarding trait boredom; the latter may have an effect on threshold calculations for individual participants
bor-sec-28	EXACT(unrestricted)	1.000	Fahlman, Shelley, et al. - Development and Validation of the Multidimensional State Boredom Scale (2013).pdf	2	2	boredom is caused by a failure of attentional processes resulting in an inability to focus or engage attention
bor-sec-28	FAIL					engagement... is a prerequisite for reaching the flow state
bor-sec-28	FAIL					without relying on any specific genre of content
bor-sec-28	EXACT(unrestricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	8	10	the monotonous video stimulus
bor-sec-28	EXACT(unrestricted)	1.000	Seo, Jungryul et al - Machine learning approaches for boerdom classification using EEG (2019).pdf	2	3	experiencing a slow passage of time
bor-sec-28	EXACT(doc-restricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	1	2	boredom may have a negative effect on motivation
bor-sec-28	EXACT(doc-restricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	10	11	not boring at all
bor-sec-28	EXACT(unrestricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	8	10	did not perform a detailed analysis of alpha, beta, theta and delta waves
bor-sec-28	EXACT(unrestricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	5	5	eye gaze, pupil size
bor-sec-28	EXACT(doc-restricted)	1.000	Kim, Joochan et al - Detecting boredom from eye gaze and EEG (2018).pdf	11	11	we seek to utilize machine learning for in-depth data analysis
bor-sec-27	FAIL					EEG Differences Between Eyes-Closed and Eyes-Open Resting Conditions
bor-sec-27	FAIL					Boredom Experiment (VR Attention Study)
bor-sec-33	EXACT(doc-restricted)	1.000	Yuvaraj et al. - EEG -based functional connectivity patterns during boredom in an educational context (2025).pdf	1	1	EEG-Based Functional Connectivity Patterns During Boredom in an Educational Context
bor-sec-33	EXACT(unrestricted)	1.000	Yuvaraj et al. - EEG -based functional connectivity patterns during boredom in an educational context (2025).pdf	10	11	more locally integrated yet globally less efficient network organization
bor-sec-33	FAIL					internally directed attention or mind-wandering
bor-sec-33	EXACT(unrestricted)	1.000	Yuvaraj et al. - EEG -based functional connectivity patterns during boredom in an educational context (2025).pdf	12	12	a potential catalyst for cognitive growth
bor-sec-33	EXACT(unrestricted)	1.000	Yuvaraj et al. - EEG -based functional connectivity patterns during boredom in an educational context (2025).pdf	12	12	boredom is not a passive or idle state
bor-sec-33	EXACT(unrestricted)	1.000	Yuvaraj et al. - EEG -based functional connectivity patterns during boredom in an educational context (2025).pdf	12	13	activate important brain processes
bor-sec-33	EXACT(unrestricted)	1.000	Yuvaraj et al. - EEG -based functional connectivity patterns during boredom in an educational context (2025).pdf	12	13	challenge the common belief that boredom only gets in the way
bor-sec-33	EXACT(unrestricted)	1.000	Yuvaraj et al. - EEG -based functional connectivity patterns during boredom in an educational context (2025).pdf	4	6	only EEG data were obtained and analyzed
bor-sec-36	EXACT(unrestricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	1	1	Eye Tracking: Empirical Foundations for a Minimal Reporting Guideline
bor-sec-36	EXACT(doc-restricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	2	3	an over-reliance on the performance of the eye trackers and their default algorithms and settings
bor-sec-36	EXACT(unrestricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	19	20	mental fatigue and workload have been found to affect saccade and microsaccade dynamics
bor-sec-36	EXACT(unrestricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	28	29	it allows for better general monitoring of data quality as well as participant performance and engagement
bor-sec-36	EXACT(unrestricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	21	22	a choice of a specific set of equations
bor-sec-36	EXACT(unrestricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	14	15	of particular importance for experiments using the pupil size as a measurement for estimates of the participant's psychological state (e.g. cognitive load or arousal)
bor-sec-36	EXACT(doc-restricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	2	3	differ substantially from one another
bor-sec-36	EXACT(unrestricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	35	36	incomplete and inconsistent, and often biased towards specific research fields
bor-sec-36	EXACT(unrestricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	37	37	not all of the many aspects in Table 6 are relevant for each and every study
bor-sec-36	EXACT(doc-restricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	14	14	controlled studies of the effect of vibrations on eye-tracking data quality appear to be lacking
bor-sec-36	EXACT(doc-restricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	30	31	very few studies have been made of the effect on higher-order analyses of changing settings and varying data quality
bor-sec-36	EXACT(doc-restricted)	1.000	Holmqvist, K., et al - Eye tracking- empirical foundations for a minimal reporting guideline.pdf	28	29	participant performance and engagement
bor-sec-38	EXACT(doc-restricted)	1.000	Scharinger, Kammerer, Gerjets - Pupil Dilation and EEG Alpha Frequency Band Power Reveal Load on Executive Functions for Link-Selection Processes during Text Reading.pdf	1	2	Pupil Dilation and EEG Alpha Frequency Band Power Reveal Load on Executive Functions for Link-Selection Processes during Text Reading
bor-sec-38	EXACT(unrestricted)	1.000	Scharinger, Kammerer, Gerjets - Pupil Dilation and EEG Alpha Frequency Band Power Reveal Load on Executive Functions for Link-Selection Processes during Text Reading.pdf	2	2	general processes of interference control or executive attention
bor-sec-38	EXACT(doc-restricted)	1.000	Scharinger, Kammerer, Gerjets - Pupil Dilation and EEG Alpha Frequency Band Power Reveal Load on Executive Functions for Link-Selection Processes during Text Reading.pdf	6	7	neither over- nor under-loaded
bor-sec-38	EXACT(unrestricted)	1.000	Scharinger, Kammerer, Gerjets - Pupil Dilation and EEG Alpha Frequency Band Power Reveal Load on Executive Functions for Link-Selection Processes during Text Reading.pdf	8	9	upper third of the common LGVT outcomes
bor-sec-30	EXACT(unrestricted)	1.000	Perone, Sammy et al - Over and over again - Changes in frontal EEG asymmetry across a boring task (2019).pdf	1	1	Over and Over Again: Changes in Frontal EEG Asymmetry Across a Boring Task
bor-sec-30	FAIL					Boredom Experiment (VR Attention Study)
bor-sec-30	EXACT(unrestricted)	1.000	Perone, Sammy et al - Over and over again - Changes in frontal EEG asymmetry across a boring task (2019).pdf	1	1	a signature of dynamic online emotion regulatory processes
bor-sec-30	EXACT(unrestricted)	1.000	Perone, Sammy et al - Over and over again - Changes in frontal EEG asymmetry across a boring task (2019).pdf	4	5	Time is passing by slower than usual
bor-sec-30	EXACT(unrestricted)	1.000	Perone, Sammy et al - Over and over again - Changes in frontal EEG asymmetry across a boring task (2019).pdf	1	1	approach motivation to create stimulation
bor-sec-30	FAIL					time passing slower than usual
bor-sec-30	FAIL					EEG frontal-asymmetry-as-boredom-marker ↔ confound-with-arousal
bor-sec-30	FAIL					self-report ↔ physiological-marker as ground truth
bor-sec-30	FAIL					situational ↔ trait framing
bor-sec-30	FAIL					lower alpha = cortical activation
bor-sec-32	EXACT(unrestricted)	1.000	Yakobi - Behavioral and EEG evidence for reduced attentional control and performance monitoring in Boredom (2021).pdf	1	1	Behavioral and Electroencephalographic Evidence for Reduced Attentional Control and Performance Monitoring in Boredom
bor-sec-32	EXACT(unrestricted)	1.000	Yakobi - Behavioral and EEG evidence for reduced attentional control and performance monitoring in Boredom (2021).pdf	1	1	state and trait boredom are associated with inadequate engagement of attentional resources
bor-sec-32	EXACT(unrestricted)	1.000	Yakobi - Behavioral and EEG evidence for reduced attentional control and performance monitoring in Boredom (2021).pdf	9	10	a simple mechanism of reduced attention
bor-sec-32	EXACT(unrestricted)	1.000	Yakobi - Behavioral and EEG evidence for reduced attentional control and performance monitoring in Boredom (2021).pdf	8	8	had no influence on either behavior or brain activity
bor-sec-32	EXACT(unrestricted)	1.000	Yakobi - Behavioral and EEG evidence for reduced attentional control and performance monitoring in Boredom (2021).pdf	1	1	the unfulfilled desire to be engaged in a satisfying mental activity
bor-sec-32	EXACT(doc-restricted)	1.000	Yakobi - Behavioral and EEG evidence for reduced attentional control and performance monitoring in Boredom (2021).pdf	1	1	characterized by poor self-regulation
bor-sec-32	EXACT(unrestricted)	1.000	Yakobi, Ofir et al - Behavioral and Electroencephalographic evidence for reduce attentional control and performance monitoring in boredom (2021).pdf	5	6	failures of attention precede state boredom
bor-sec-32	EXACT(doc-restricted)	1.000	Yakobi - Behavioral and EEG evidence for reduced attentional control and performance monitoring in Boredom (2021).pdf	9	10	distinct processes related to executive functioning: disruption in working-memory updating and reduced performance monitoring
bor-sec-32	FAIL					would predict higher levels of misses, rather than false-alarms — as opposed to the pattern found here
bor-sec-32	EXACT(unrestricted)	1.000	Yakobi - Behavioral and EEG evidence for reduced attentional control and performance monitoring in Boredom (2021).pdf	9	10	may reflect maladaptive or suboptimal engagement of attentional resources
bor-sec-32	EXACT(unrestricted)	1.000	Hughes, Emily - Meaninglessness and Monotony in Pandemic Boredom (2023).pdf	14	14	Is Boredom One or Many?
bor-sec-32	EXACT(unrestricted)	1.000	Elpidorou, Andreas - Boredome, as a Concept in Phenomenology (2023).pdf	8	8	The Bored Mind Is a Guiding Mind
bor-sec-32	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	1	3	The Good of Boredom
bor-sec-44	EXACT(doc-restricted)	1.000	Nacke, L. and Craig, L. - Flow and Immersion in First-Person Shooters.pdf	1	1	Flow and Immersion in First-Person Shooters: Measuring the Player's Gameplay Experience
bor-sec-44	FAIL					Nacke, L. and Craig, L
bor-sec-44	EXACT(unrestricted)	1.000	Nacke, L. and Craig, L. - Flow and Immersion in First-Person Shooters.pdf	7	8	Nacke, L. and Lindley, C
bor-sec-44	EXACT(doc-restricted)	1.000	Nacke, L. and Craig, L. - Flow and Immersion in First-Person Shooters.pdf	3	3	the lower end of a scale of engagement
bor-sec-44	FAIL					precisely assess[ing] emotional modulations during gameplay in real-time
bor-sec-44	FAIL					the psychophysiological characterization of gameplay experiences...is not well developed, yet
bor-sec-44	FAIL					the holistic sensation that people feel when they act with total involvement
bor-sec-44	EXACT(unrestricted)	1.000	Nacke, L. and Craig, L. - Flow and Immersion in First-Person Shooters.pdf	3	3	repeating textures and models
bor-sec-44	EXACT(unrestricted)	1.000	Nacke, L. and Craig, L. - Flow and Immersion in First-Person Shooters.pdf	3	3	no real winning condition
bor-sec-44	EXACT(unrestricted)	1.000	Nacke, L. and Craig, L. - Flow and Immersion in First-Person Shooters.pdf	3	3	difficulty concentrating on the current activity
bor-sec-44	EXACT(unrestricted)	1.000	Nacke, L. and Craig, L. - Flow and Immersion in First-Person Shooters.pdf	1	2	indistinct sense of time
bor-sec-44	EXACT(unrestricted)	1.000	Nacke, L. and Craig, L. - Flow and Immersion in First-Person Shooters.pdf	4	5	this additional data will form the basis of a future paper
bor-sec-44	FAIL					in line with expectations
bor-sec-44	FAIL					joy...does not come from victory or success, but from challenging gameplay
bor-sec-25	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	1	3	The Good of Boredom
bor-sec-25	EXACT(unrestricted)	1.000	Elpidorou - The Bored Mind is a Guiding Mind - Toward a Regulatory Theory of Boredom (2018).pdf	1	2	both informative and regulatory of one's behavior
bor-sec-25	EXACT(unrestricted)	1.000	Eastwood, John, et al. - The Unegaged Mind - Defining Boredom in Terms of Attention (2012).pdf	4	5	failure to sustain attention
bor-sec-25	EXACT(unrestricted)	1.000	Elpidorou - The Bored Mind is a Guiding Mind - Toward a Regulatory Theory of Boredom (2018).pdf	5	6	disengagement from the environment
bor-sec-25	EXACT(unrestricted)	1.000	Elpidorou - The Bored Mind is a Guiding Mind - Toward a Regulatory Theory of Boredom (2018).pdf	9	11	it would be a mistake to identify boredom with the opposite of flow
bor-sec-25	FAIL					gets us unstuck when we find ourselves stuck
