unit_id,source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
GM-06,C01,awaits-ontological-grounding-in,aristotle-metaphysics-IX,philosophy,1,"227-231,253-262",exegetical-direct,Burke directly anchors Act in Metaphysics IX energeia/dynamis.
GM-06,C04,awaits-ontological-grounding-in,aristotle-metaphysics,philosophy,1,"231,249,261-262",exegetical-direct,Entelechy in Metaphysics: each kind striving to perfection of kind.
GM-06,C11,awaits-ontological-grounding-in,aristotle-poetics-6,philosophy,1,230-231,exegetical-direct,Poetics 6: tragedy as imitation of action and life; plot foremost.
GM-06,C10,awaits-ontological-grounding-in,aristotle-de-anima-II,philosophy,2,227,exegetical-direct,Soul as act of organic physical body capable of life (via Aquinas).
GM-06,C44,awaits-ontological-grounding-in,aristotle-physics-I-6-7,philosophy,1,273-274,exegetical-direct,Physics I.6-7 active/passive/substratum closes chapter and pivots to Agency.
GM-06,C01,awaits-ontological-grounding-in,aquinas-summa-contra-gentiles,philosophy,1,227,exegetical-direct,Aquinas: every thing acts according as it is in act; agent-act ratio.
GM-06,C06,awaits-ontological-grounding-in,aquinas-commentary-four-causes,philosophy,1,228-229,exegetical-direct,Burke calls Aquinas-on-Aristotle the most convenient place to observe dramatist nature.
GM-06,C15,awaits-ontological-grounding-in,aristotelian-phantasia-cluster,philosophy,1,235-243,exegetical-direct,Incipient-act builds on Metaphysics IX potentiality; bridges phantasia cluster.
GM-06,C01,maps-to-pim-dimension,calleja-ludic-narrative-kinesthetic,dramatism,1,227-274,anticipatory-projection (dissertation),Act maps to Ludic+Narrative+Kinesthetic PIM dimensions.
GM-06,C15,maps-to-pim-dimension,calleja-microphase-readiness,dramatism,1,235-247,anticipatory-projection (dissertation),Incipient act maps to Calleja's plan-formulation/readiness-to-act micro-phase.
GM-06,C21,maps-to-pim-dimension,calleja-microtactic-temporal-distance,dramatism,2,238-243,anticipatory-projection (dissertation),Delayed action as temporal-distance qualification on microtactic.
GM-06,C11,maps-to-pim-dimension,calleja-narrative-dimension,dramatism,2,230-231,anticipatory-projection (dissertation),Plot-as-Act anchors PIM narrative-involvement dimension.
GM-06,C01,maps-to-uexkull-construct,uexkull-wirkmal,dramatism,2,227,anticipatory-projection (dissertation),Act maps to Uexküllian Wirkmal closing the functional circle.
GM-06,C10,maps-to-uexkull-construct,uexkull-funktionskreis,dramatism,2,"227,237",anticipatory-projection (dissertation),Hylomorphic soul-as-act-of-body anchors biosemiotic body-environment closure.
GM-06,C42,awaits-ontological-grounding-in,heidegger-bcap-pathe,philosophy,2,262-274,anticipatory-projection (dissertation),Action-passion grammar parallels Heidegger's reading of pathe as ground-determinations.
GM-06,C16,awaits-ontological-grounding-in,heidegger-befindlichkeit,philosophy,2,"236,243",anticipatory-projection (dissertation),Incipient-act ambiguity parallels Heideggerian Befindlichkeit affective-disclosure.
GM-06,C04,awaits-ontological-grounding-in,heidegger-worumwillen,philosophy,3,"231,249",anticipatory-projection (dissertation),Entelechy as end-within-itself parallels Heideggerian Worumwillen.
GM-06,burke-applies-pentad-aristotle,applies-pentad-to,aristotle-four-causes,dramatism,1,228-229,exegetical-direct,Burke applies pentad to Aristotle's four causes via Aquinas commentary.
GM-06,burke-applies-pentad-poetics,applies-pentad-to,aristotle-six-tragic-elements,dramatism,1,230-231,exegetical-direct,Burke applies pentad to Poetics 6 six tragic elements.
GM-06,burke-applies-pentad-hamlet,applies-pentad-to,shakespeare-hamlet,dramatism,2,247,exegetical-direct,Hamletic strategy as paradigm of preparations-as-postponements.
GM-06,burke-applies-pentad-shelley,applies-pentad-to,shelley-ode-west-wind,dramatism,2,243-245,exegetical-direct,Lyric-analogue-of-plot via image-progression in five-stanza arc.
GM-06,burke-applies-pentad-murder-cathedral,applies-pentad-to,eliot-murder-in-cathedral,dramatism,2,263-265,exegetical-direct,Eliot's St Thomas exception of explicit dramatist grammar in character speech.
GM-06,T3,in-tension-with,C21,philosophy,2,241-242,exegetical-direct,Korzybski's delayed-action in motion realm must be opposite of a delay.
GM-06,T4,in-tension-with,scholastic-realism,philosophy,2,252,exegetical-direct,Burke's appreciation of Aristotle is itself un-Aristotelian; reuse without endorsement.
GM-06,C13,anticipates,rickert-ambient-rhetoric,rhetorical-theory,2,232-235,anticipatory-projection (dissertation),Action-motion watershed anticipates Rickert's ambient-rhetoric environment-as-actor.
GM-06,C16,anticipates,gross-uncomfortable-situations,rhetorical-theory,2,235-243,anticipatory-projection (dissertation),Incipient-act ambiguity anticipates Gross's not-quite-emotion not-quite-physiology.
GM-06,C24,anticipates,burke-rhetoric-of-motives-identification,rhetorical-theory,2,235-243,anticipatory-projection (dissertation),Symbolic action anticipates consubstantiation/identification in 1950 sequel.
GM-07,pragmatism,features-as-locus,Agency,features-as-locus,,275;287,exegetical (Burke explicit),Burke's diagnostic: Pragmatist philosophies generated by featuring of Agency; canonical statement at chapter opening.
GM-07,mysticism,features-as-locus,Purpose,features-as-locus,,287;288,exegetical (Burke explicit),Burke's diagnostic: Mysticism features Purpose as motive-locus; mark = unity of individual with cosmic/universal Purpose.
GM-07,William James,exemplifies,pragmatism-Agency,interlocutor-engagement,,275;277;283;288,exegetical,Pragmatism 'a method only'; 'theories thus become instruments'; two-principles-of-truth subsection devoted.
GM-07,John Dewey,exemplifies,pragmatism-Agency,interlocutor-engagement,,275;279,exegetical,Instrumentalism; Experience and Nature; Dewey-Mead biologism replaces Emerson/James personalism.
GM-07,G. H. Mead,exemplifies,pragmatism-Agency,interlocutor-engagement,,279;280,exegetical,Philosophy of the Act; dialectic-other inclusion in internal-dialogue model. Disambiguated from Margaret Mead per Phase 0/1 advisory.
GM-07,Charles Peirce,background-anchor-for,pragmatism-Agency,interlocutor-engagement,,275;277,exegetical,Beliefs as rules for action; James extends Peirce's secular doctrines to religious utility.
GM-07,P. W. Bridgman,limit-case-of,pragmatism-Agency,interlocutor-engagement,,279;280;281;284,exegetical,Operationalism; Logic of Modern Physics; Burke's grammatical critique exposes 'writes about his purpose in eliminating purpose.'
GM-07,Aristotle organon,is-incipiently,pragmatism-Agency,exegetical-bridge,,275;276,exegetical,Logic-as-instrument of human reason; but slave-culture position subordinated agency among four causes.
GM-07,modern-applied-science,inverts-Aristotle-by-raising,Agency,internal-grammar,,276,exegetical,'Non-Aristotelian element in modern science... makes uppermost the very domain of motivation that Aristotle subordinated.' Vocational training as agency-as-ancestor.
GM-07,Hegel-Vermittlung,anticipates,pragmatism-Agency,interlocutor-engagement,,281,exegetical,Ausserung/Vermittlung as utterance/mediation — Hegelian idealism as precursor of pragmatism via mediation.
GM-07,Marx-economic-conditions,does-not-quite-reach,pragmatism-Agency,interlocutor-engagement,,281;282,exegetical,'A pronounced sense of form pervading Marx's view of history. It was not pragmatist.'
GM-07,Plotinus Enneads I.3,exemplifies,mysticism-Purpose,exegetical-bridge,,293;294,exegetical,"'Our journey is to the Good, to the Primal-Principle.' Upward Way to the First."
GM-07,Plato Good=One,nears,mysticism-Purpose,exegetical-bridge,,293;294,exegetical,Platonist Purpose subsection; equating of Good and One brings purpose nearer to mysticism than Aristotle.
GM-07,Bonaventura,exemplifies,Christian-mystical-Purpose,interlocutor-engagement,,293,exegetical,Paired with Plotinus as Neo-Platonist/Christian mystical Purpose anchor.
GM-07,Thomas-a-Kempis-Imitation,exemplifies,mysticism-of-means,interlocutor-engagement,,311,exegetical,'In all things behold the end' — Upward Way as Christian monastic discipline; contemning-of-the-world as means.
GM-07,Aristotle eudaimonia,is-realistic-synonym-for,Purpose,exegetical-bridge,,292;293,EXEGETICAL (Burke 'Purpose in Aristotle' subsection),Rhetoric I.5; Nicomachean Ethics I.1; Politics — wholly realistic not mystical; only TOTAL purpose fits mystic prescription.
GM-07,Aristotle-Poetics-Mitys-statue,illustrates,representative-purposive-design,interlocutor-engagement,,308,exegetical,Criminal-as-mock-communion grounded in Aristotle's account of design-appearance in chance events.
GM-07,Aldous Huxley pacifism,exemplifies,mysticism-of-means,interlocutor-engagement,,309;310,exegetical,Impure-acts-from-impure-means; only peaceful means yield peace — Burke critiques: all means are necessarily impure.
GM-07,Spinoza,has-mystical-strain-despite-denying,Universal-Purpose,interlocutor-engagement,,295,exegetical,Stress on Oneness/Allness; 'all determination is negation' inversion of negative-theology predicates.
GM-07,Bergson Creative Evolution,is-semi-pragmatist-semi-mystical,Purpose-via-negative,interlocutor-engagement,,295;296,exegetical,Negative as function of desire/expectation/interest — Burke dramatistically revises toward 'thou shalt not.'
GM-07,Korzybski Upward Way,structurally-mirrors,Plotinian-ascent,interlocutor-engagement,,293;304;317,exegetical,Higher-and-higher levels of generalization; rites of desanctification as first 'mystical' appreciation of powers; Plato 'good' vs Korzybski 'alas!' transcendence parallel.
GM-07,Freud-repression,is-reciprocal-of,Purpose,internal-grammar,,316;317,exegetical,"'If purpose is the cameo, repression is the intaglio.' Psychoanalysis as secular variant of negative theology."
GM-07,Kant transcendentalism,is-first-step-toward-historical,Conditions,interlocutor-engagement,,281,exegetical,Conditions of experience; unconditioned realm beyond experience as 'condition of conditions.'
GM-07,Burke-pentad-five-terms,is-transcendental-not-formal,Kantian,internal-grammar,,317,exegetical,'Transcendental rather than formal (and are to this extent Kantian) in being categories which human thought necessarily exemplifies.'
GM-07,act-agency-ratio,is-primary-ratio-of,pragmatism,internal-grammar,,275;282;283,exegetical,Documentary historiography as featuring of agency; two principles of verification = two act-agency modes.
GM-07,agency-purpose-ratio,is-culminating-ratio-of,chapter (Mysticism of Means),internal-grammar,,309;310;311,exegetical,Means-end ambiguity Burke critiques in Huxley; means as ancestor of end (deus implicitus/explicitus).
GM-07,act-purpose-ratio,is-primary-ratio-of,mysticism,internal-grammar,,307;308,exegetical,Raskolnikov's 'absolute' act conceived independently of conditions; criminal communion with cosmic motives.
GM-07,agent-purpose-ratio,produces,super-self-non-self,internal-grammar,,300;301,exegetical,Mysticism and Idealism: the Self — universalized first-person; Kant's synthetic unity of apperception.
GM-07,scene-agency-ratio,enables,action-motion-ambiguity,internal-grammar,,286;287,exegetical,Pragmatism straddles action-motion; reduction of action to motion = reduction to Agency.
GM-07,mysticism,converges-with-by-narrowing-circumference,materialism,internal-grammar,,291,exegetical,GM-04↔GM-07 cross-chapter: 'motivational schemes that would feature it less may allow it more.'
GM-07,money,is-indeterminately-Agent-or,Purpose,internal-grammar,,276;286;289;290;314;315;316,exegetical,'Mysticism of money' (Harold Loeb); cash-value; capitalist investment as incipient-act/representative-moment; St Ambrose ransom-resonance.
GM-07,Burke-Grammar-1945,forward-references,Burke-Rhetoric-of-Motives-1950-Attitude,forward-reference,,314,pending-future-rhetoric-of-motives-pipeline,"'Humanitarian ambiguity ... of the attitude, the incipient act' anticipates Attitude as sixth pentad term."
GM-07,Burke-Grammar-1945,forward-references,Burke-War-of-Words-2018,forward-reference,,305;319,pending-future-pipeline,Ad Bellum Purificandum motto + purification-of-war close anticipate recovered Symbolic of Motives apparatus.
GM-07,Burke-physiology-of-mysticism,anticipates,Uexkull-Funktionskreis-Merk-Wirk,cross-pipeline,,294;295,anticipatory-projection (Burke 0 Uexküll hits),Receptor/effector decoupling description of mystic 'pure action / pre-motion' parallels Funktionskreis receptor/effector pairing. Provenance: parallel-discovery.
GM-07,Burke-Silence-and-the-Hunt,anticipates,Uexkull-Bedeutungstrager-closure-on-need,cross-pipeline,,305;306,anticipatory-projection (Burke 0 Uexküll hits),'At the very centre of mobility is the purpose of the hunt; hence the imagery of the desired as that for which we hunger' — Funktionskreis closure on biologically-valenced object.
GM-07,Agency-as-Burke-pentad-term,maps-to,Heideggerian-Zeug-Bewandtnis-Worumwillen,cross-pipeline,,276;281,anticipatory-projection (Burke 0 Heidegger hits),Burke 'instrument has purpose imbedded in structure and design' anticipates Being and Time §18 in-order-to / for-the-sake-of-which structure of equipment.
GM-07,Purpose-as-Burke-pentad-term,maps-to,Heideggerian-Worumwillen,cross-pipeline,,287;288;293,anticipatory-projection (Burke 0 Heidegger hits),'Unity of the individual with cosmic or universal purpose' parallels Dasein's ultimate-for-the-sake-of-which (§18 §69). Provenance: parallel-discovery.
GM-07,Burke-pre-motion-incipient-action,anticipates,BCAP-pathos-incipient-affective-tonality,cross-pipeline,,294;295;314,anticipatory-projection (Burke 0 Heidegger hits),Pre-motion / 'attitude as incipient act' converge with BCAP's reading of Aristotelian pathos as incipient affective comportment.
GM-07,Agency-as-Burke-pentad-term,maps-to,Calleja-PIM-Kinesthetic-and-Ludic,cross-pipeline,,275;281,anticipatory-projection (bi-anticipatory: Burke 0 Calleja; Calleja 0 Burke),Controls + rules-as-means; Bridgman operationalism anchor for kinesthetic-input as constitutive of described-act.
GM-07,Purpose-as-Burke-pentad-term,maps-to,Calleja-PIM-Ludic-goals-and-Narrative-arc,cross-pipeline,,287;293;307,anticipatory-projection (bi-anticipatory),Game-goal pursuit + story-arc closure; unity-with-universal-purpose as structural template for narrative-immersion.
GM-07,Burke-action-motion-ambiguity,anticipates,Rickert-Ambient-Rhetoric-scene-agency-ambience,cross-pipeline,,286;287;299,anticipatory-projection,'Fluctuant situation in which merger and division keep changing places' shares ambient-textured scene-agency dynamics.
GM-07,Burke-attitude-as-incipient-act,anticipates,Gross-Uncomfortable-Situations-situated-emotion,cross-pipeline,,314,anticipatory-projection,"Coin tossed to the leper as 'humanitarian ambiguity ... of the attitude, the incipient act' — situated-incipient-act framing."
GM-07,Burke-Purpose-in-Aristotle,connects-EXEGETICALLY-to,Aristotle-Complete-Works-pipeline,cross-pipeline,,292;293,EXEGETICAL,"Direct citations of Rhetoric I.5, Nicomachean Ethics I.1, Politics — strongest EXEGETICAL cross-pipeline edge for Purpose term."
GM-07,Burke-demonic-trinity-body-thinking,anticipates,Hawhee-Moving-Bodies-Burke-at-edges-of-language,cross-pipeline,,302;303;305,pending-future-hawhee-moving-bodies-pipeline,Cloacal/demonic-trinity + Silence-and-Hunt + physiology of mysticism are canonical Burke-Hawhee body-thinking anchor passages. Hawhee Moving Bodies index not on disk per Phase 0 §9.
GM-05,idealism,features-as-locus,Agent,,,171,exegetical,Core diagnostic: idealism features the term agent as motive-locus
GM-05,materialism,features-as-locus,Scene,,,171,exegetical,Contrast pair invoked by Burke at chapter opening; full development in GM-04
GM-05,Berkeley,exemplifies,idealism,,,177,exegetical,Berkeley as cleanest idealist exhibit per Burke
GM-05,Berkeley,reduces,matter-to-ideas,,,178,exegetical,Esse is percipi; matter as unnecessary hypothesis via reversed Occamite parsimony
GM-05,Berkeley,translates-scene-as,super-agent,,,180,exegetical,God as Almighty Agent; ultimate scene as scene-translated-into-terms-of-agent
GM-05,esse-is-percipi,re-glosses-as,to-be-is-to-be-grounded-in-super-agent,,,180,exegetical,Burke's pentad-grammatical translation of Berkeley's foundational equation
GM-05,Hume,narrows,Berkeleian-idealism,,,181,exegetical,Equates ideas with sensations; drops rationalist/intelligible side via parsimony
GM-05,Hume,dismantles,causality-as-empirical,,,182,exegetical,Causality not empirically observable; arises from custom/habit
GM-05,dramatist-cluster,falls-apart-in,Hume,,,183,exegetical,Reason/substance/cause/necessity/action/idea/God/Nature/generation/power cluster fractures
GM-05,Hume,demands,medium,,,186,exegetical,The 'medium' that explains inference from observed-sequence to causal-necessity
GM-05,Leibniz,treats-monad-as,atom-agent,,,184,exegetical,Substance with internal principle of self-development from implicit to explicit
GM-05,Leibniz,anticipates,unconscious-psychologies,,,184,exegetical,Monad as precursor to modern depth-psychology of the unconscious
GM-05,pre-established-harmony,solves,no-windows-coordination,,,184,exegetical,God as Monas Monadum adjusting monads via deus ex machina
GM-05,Kant,equates,medium-with-agent,,,187,exegetical,Solves Hume by relocating causality from scene to universalized agent
GM-05,universal-agent,distinguishes-from,particular-agent,,,187,exegetical,Not your-understanding or mine but 'the understanding' in general; yields objective necessity
GM-05,sensibility,is-passive-aspect-of,universal-agent,,,188,exegetical,Receives intuitions; first pole of Kantian action-passion split
GM-05,understanding,is-active-aspect-of,universal-agent,,,188,exegetical,Performs unification via concepts; second pole of action-passion split
GM-05,transcendental-logic,locates-in,agent,,,189,exegetical,Conditions of possibility of knowledge in agent rather than in object
GM-05,constitutive,equals,scene-narrowed-to-motion,,,191,exegetical,Burke's translation: empirical + transcendental together = mechanistic scene derived from agent
GM-05,Coleridge,supplies,desynonymize-operation,,,192,exegetical,Biographia Literaria operation imaginatio/phantasia -> imagination/fancy
GM-05,Kant,desynonymizes,transcendental-and-transcendent,,,192,exegetical,Strategic operation generating realm of things-in-themselves
GM-05,transcendent-realm,equals,things-without-context,,,194,exegetical,Grammatically: relations as determinations; thing-without-relation is unconditioned
GM-05,unconditioned,equals,realm-of-freedom,,,194,exegetical,Burke's pentad-grammatical mapping: undetermined yields freedom yields possibility of action
GM-05,als-ob,bridges,necessity-and-freedom,,,196,exegetical,Kantian regulative principle; ideas of God/freedom/immortality as moral motive
GM-05,constitution-enactment,analogizes,freedom-necessity-bridge,,,196,exegetical,Burke's non-Kantian-but-not-anti-Kantian Grammatical gloss
GM-05,Fichte,abolishes,thing-in-itself,,,198,exegetical,Returns idealism to Berkeleian agent-monolithic terminus via Ego/Non-Ego
GM-05,post-Kantian-idealism,exhibits,externalization-pattern,,,199,exegetical,Inner-to-outer figure: implicit-explicit unconscious-conscious magma-lava visceral-excretory
GM-05,Schopenhauer,prefigures,compulsion-neurosis-psychology,,,200,exegetical,Externalizations of universal will as involuntary expressions
GM-05,Marxism,grows-antithetically-from,Hegelian-idealism,,,200,exegetical,Materialist reversal of Hegel's spirit-genealogy
GM-05,Marxism,best-translated-as,idealistic-materialist,,,201,exegetical,Burke's diagnostic verdict: dialectical-materialism is structurally idealist
GM-05,Marxism,features-as-locus,Agent,,,201,exegetical,Hybrid: surface materialist vocabulary masks class-as-collective-agent motive-locus
GM-05,class,is-collective-agent-in,Marxism,,,200,exegetical,Class-consciousness + class-action; bearer of actus/status/properties
GM-05,Lenin,permits,agenthood-in-matter,,,201,exegetical,Property similar to sensation in foundation stones of structure of matter itself
GM-05,Hegel,exhibits,cunning-of-reason,,,203,exegetical,Spirit acts through subjective passions; private aims unconsciously serve Universal design
GM-05,World-Historical-Hero,exemplifies,agent-close-to-spirit,,,204,exegetical,Alexander/Caesar/Napoleon as agents proximate to fountainhead of Spirit
GM-05,Communist-Manifesto,functions-as,constitution,,,204,exegetical,Soundly constitutive: grounds politics in statements about universal scene-narrowed-to-naturalistic-limits
GM-05,actus,grounds,status,,,211,exegetical,Burke's GM-02 substance-vocabulary imported into Marxist reconstruction
GM-05,adequate-idea,equals,active-idea,,,211,exegetical,Spinozist-translated criterion: idea active insofar as accurately names malign/benign properties
GM-05,inadequate-idea,yields,social-passion,,,211,exegetical,Class-level analogue of Spinozist confused-idea/passion pair
GM-05,Santayana,parallels,Marxism-as-idealistic-materialist,,,215,exegetical,Materialism grown antithetically from German transcendentalism; agent-featuring core preserved
GM-05,essence,is-eternal-possibility,Santayanan-realm,,,219,exegetical,Indelible background; infinity of essences only fraction embodied in existence
GM-05,Avicebron-scribe-script-scroll,maps-to,scene-act-agent,,,220,exegetical,Scene=matter (scroll); act=form (script); agent=will (scribe)
GM-05,imagination-cult,inherits-scientism-from,Kantian-idealism,,,224,exegetical,Stevens via Coleridge from Kant; ironic anti-science position inherits scientist patterning
GM-05,Stevens-imagination-cluster,exhibits,idealist-agent-vocabulary,,,224,exegetical,Personality + indirect egotism + nervous sensitiveness + sensation + temperament cluster
GM-05,Agent,maps-anticipatorily-to,Aristotelian-psuche,,,171,anticipatory-projection,Bridge to Aristotle Complete Works + Phantasia Cluster indices; Burke does not himself anchor here
GM-05,Agent,maps-anticipatorily-to,Heideggerian-Dasein,,,171,anticipatory-projection,Bridge to Heidegger BCAP + Being and Time; Burke 1945 predates English-language Heidegger reception
GM-05,Agent,maps-anticipatorily-to,Calleja-Shared-plus-avatar,,,171,anticipatory-projection,Bidirectional Burke-Calleja cross-map; who-is-acting question + avatar/character/player axis
GM-05,Agent,maps-anticipatorily-to,Uexkull-subject-of-functional-circle,,,171,anticipatory-projection,Innenwelt as inner-world bearer of Merken/Wirken loop; risk-flag forcing the parallel
GM-05,Agent,forward-references,RoM-Attitude-and-consubstantiation,,,171,anticipatory-projection,Pending-future-rhetoric-of-motives-pipeline; 6th term + identification mechanism
GM-02,stance-family-vocabulary,grounds,paradox-of-substance,,,21,,The *sthā- Stance family is the etymological substrate from which the master paradox is derived.
GM-02,sub-stance-etymology,exemplifies,paradox-of-substance,,,22,,"Sub-stance literally = standing-under; thus etymologically extrinsic, conventionally intrinsic."
GM-02,lockean-impairment,motivates,paradox-of-substance,,,21,,Locke's 'something I know not what' exposes the structural irony but does not eliminate it.
GM-02,definition-as-boundary-marking,defines,contextual-substance,,,24,,De-finire to mark boundaries — definition requires contextual reference.
GM-02,contextual-substance,specializes-as,geometric-substance,,,29,,Geometric substance is contextual substance with Euclidean / logical necessity.
GM-02,omnis-determinatio-est-negatio,formalizes,contextual-substance,,,25,,Spinoza's slogan: all determination is negation.
GM-02,kath-auto,informs,contextual-substance,,,25,,Aristotelian 'in itself' criterion that Spinoza inherits and radicalizes.
GM-02,universals-ante-in-post-rem,refracts,familial-substance,,,27,,Mediaeval debate read as tribal-substance variants (realist/Aristotelian/nominalist).
GM-02,entelechy,informs,familial-substance,,,27,,Individual as potentiality-for-being-fully-of-the-class.
GM-02,general-generic-genetic-genitive,lexicalizes,familial-substance,,,28,,Cluster marking biological-familial to logical-classificatory gradient.
GM-02,transubstantiation-biology,defines,nutritive-substance,,,30,,Eating as transubstantiation; Angyal's biosphere; organism/environment merge.
GM-02,second-nature-of-language,grounds,dialectic-substance,,,33,,Cultural-linguistic accretions become 'second nature' intrinsic to agents as agents.
