concept_id,concept_label,tier,GM-00,GM-01,GM-02,GM-03,GM-04,GM-05,GM-06,GM-07,GM-08,GM-09,GM-10,GM-11,GM-12,GM-13,total_units_appearing
C-TROPE-METAPHOR,Metaphor / perspective (master trope),1,,,,,,,,,,,,,,P,1
C-TROPE-METONYMY,Metonymy / reduction (master trope),1,,,,P,,,,,P,,,,,P,3
C-TROPE-SYNECDOCHE,Synecdoche / representation (master trope),1,,,,,,,,,P,,,,P,P,3
C-TROPE-IRONY,Irony / dialectic (master trope),1,,,,,,,,,,P,,,,P,2
C-PARADOX-OF-SUBSTANCE,Paradox of substance,1,,,P,,,,P,P,,P,,P,,,5
C-SUBSTANCE-CONTEXTUAL,Contextual / geometric substance,1,,,P,,P,,,,,,,,,,2
C-SUBSTANCE-FAMILIAL,"Familial (tribal, ancestral) substance",1,,,P,,,,P,,,,,,,,2
C-SUBSTANCE-DIRECTIONAL,Directional substance,1,,,P,,,,,,,,,,,,1
C-SUBSTANCE-DIALECTIC,Dialectic substance,1,,,P,,,,,,,,,,,,1
C-SUBSTANCE-PARADOX-PURITY,Paradox of purity (pure substance flips to its negation),1,,,P,,,,P,P,,,,,,,3
C-SUBSTANCE-ACTUS-STATUS,Actus / status (action-state dyad),1,,,P,,,,P,,,P,,,,,3
C-SUBSTANCE-INTRINSIC-EXTRINSIC,Intrinsic / extrinsic substance,1,,,P,P,,,,,,,,P,,,3
C-SUBSTANCE-RHETORICAL,Rhetorical substance,2,,,P,,,,,,,,,,,,1
C-SUBSTANCE-CONSUBSTANTIAL,"Consubstantial substance (epithetic, identificatory)",1,P,,P,,,,,,,P,,,,P,4
C-SUBSTANCE-UNIVERSAL-MONETARY,Universal motive / monetary substance (money as god-term),1,,,P,P,,,,P,P,,,,,,4
C-REPRESENTATIVE-ANECDOTE,Representative anecdote,1,,,,P,,,,,P,,,,,P,3
C-CIRCUMFERENCE,Circumference (scope of scene),1,,,,P,,,,,P,,,P,,,3
C-ACT-VS-MOTION,Action vs. motion (Dramatistic distinction),1,P,P,,,P,,P,,,P,,P,,,6
C-SYMBOLIC-ACTION,Symbolic action,1,,,,,,,P,,,,P,P,P,,4
C-INCIPIENT-ACT-ATTITUDE,Incipient act / attitude (proto-sixth-term),1,,P,,,,,P,P,,P,P,P,,,6
C-PHILOSOPHIC-SCHOOL-FEATURING,Featuring of a term (philosophic-school diagnostic),1,,,,,P,P,P,P,,,,,,,4
C-GRAMMAR-VS-IDIOM,Grammar vs. philosophic idiom (universal vs. open),1,P,,,,P,,,P,,P,,,,,4
C-TRANSFORMATION-OF-TERMS,Transformation of terms (master dialectical apparatus),1,P,,,,,,,,,P,,,,,2
C-MERGER-AND-DIVISION,Merger and division,1,,,,,,,,,,P,,,,,1
C-DIALECTIC-OF-SCAPEGOAT,Dialectic of the scapegoat,1,,,,,,,,,,P,,,,,1
C-TEMPORIZING-OF-ESSENCE,Temporizing of essence,1,,,,,,,,,,P,,,,,1
C-SOCRATIC-TRANSCENDENCE,Socratic transcendence (Upward Way),1,,,,,,,,P,,P,,,,,2
C-PENTAD-OVERLAPS,Pentad overlap / common ground / margins of transformability,2,P,,P,,,,,,,,,,,,2
C-AMBIGUITY-AS-RESOURCE,Ambiguity as resource (not defect),2,P,,,,,,,,,,,,,,1
C-TWO-POINTS-OF-DEPARTURE,Consistent / compensatory points of departure,2,,,P,,,,,,,,,,,,1
C-GOD-TERM,God-term,2,,,,P,,,,,P,P,,,,,3
C-GROUND-DOUBLE-USAGE,Ground (background / reason double-usage),2,,P,,,,,,,,,P,,,,2
C-PATHETIC-FALLACY-EXTENDED,Pathetic fallacy / motion-action ambiguity (extended),2,,,,,,,P,,,,,,,,1
C-POIEMA-PATHEMA-MATHEMA,Poiema / pathema / mathema (tragic-dialectic triad),2,,,P,,,,P,,,,,,,,2
C-EDENIC-PARADIGM,Edenic paradigm (total acts producing total transformations),3,,P,,,,,,,,,,,,,1
C-DEMONIC-TRINITY,Demonic trinity (erotic + urinary + excremental cluster),3,,,,,,,,P,,,,,,,1
C-DISSOLUTION-OF-DRAMA,Dissolution of drama (four ways),3,,,,,,,,,,P,,,,,1
