source_id,relation,target_id,domain,centrality_tier,book_pages,provenance,source_units,notes,resolution_status
C08,operationalizes,C06,dramatism,1,228,exegetical-direct,GM-06,Scholastic hexameter as negative-way confirmation of pentad-as-four-causes.,heuristic-pending-3A
C11,operationalizes,C01,dramatism,1,230-231,exegetical-direct,GM-06,Six tragic elements aligned with five pentad terms; plot=Act foremost.,heuristic-pending-3A
C09,instances,C01,philosophy,1,"230-231,253",exegetical-direct,GM-06,Aristotle's pure-act unmoved-mover as paradigm case of complete actualization.,heuristic-pending-3A
C09,in-tension-with,C26,dramatism,2,"245,253",exegetical-direct,GM-06,Pure act dramatist-conceived but lyrically structured (perfect rest).,heuristic-pending-3A
C12,extends,C13,rhetorical-theory,1,232-235,exegetical-direct,GM-06,Burke extends Ruskin/Miles pathetic-fallacy to broader motion-action ambiguity.,heuristic-pending-3A
C13,contrasts-with,C01,dramatism,1,234,exegetical-direct,GM-06,Action-motion watershed divides dramatism from operationalism.,heuristic-pending-3A
C14,decomposes-into,C13,rhetorical-theory,2,235,exegetical-direct,GM-06,Policy-making function as proverbial-realism vs managerial-idealism axis.,heuristic-pending-3A
C15,extends,C03,rhetorical-theory,1,"235,242-243",exegetical-direct,GM-06,Richards' incipient act = special application of Aristotelian potentiality.,heuristic-pending-3A
C16,extends,C15,rhetorical-theory,1,236,exegetical-direct,GM-06,Burke's central extension: attitude as substitute-for OR first-step-toward act.,heuristic-pending-3A
C17,instances,C15,rhetorical-theory,1,236,exegetical-direct,GM-06,Mead's attitude-as-beginning-of-acts as one of three incipient-act pillars.,heuristic-pending-3A
C18,decomposes-into,C17,rhetorical-theory,2,236,exegetical-direct,GM-06,Vocal gesture is Mead's mechanism for arousing attitude-of-other.,heuristic-pending-3A
C19,decomposes-into,C17,rhetorical-theory,2,237,exegetical-direct,GM-06,Action-minus / attitude-minus = halfway between motion and action.,heuristic-pending-3A
C20,exegetes,C17,rhetorical-theory,2,237-238,exegetical-direct,GM-06,Mead's social-attitude self echoes Hegelian Spirit-alienated-as-Nature.,heuristic-pending-3A
C21,instances,C15,rhetorical-theory,1,238-243,exegetical-direct,GM-06,Korzybski's delayed response as third pillar of incipient-act apparatus.,heuristic-pending-3A
C22,decomposes-into,C21,philosophy,1,240-241,exegetical-direct,GM-06,Consciousness-of-abstracting: haphazardly rediscovered Neo-Platonism.,heuristic-pending-3A
C23,operationalizes,C42,dramatism,1,"241,264-265",exegetical-direct,GM-06,Greek triplet poiema/pathema/mathema organizes action-passion temporally.,heuristic-pending-3A
C24,constituted-by,C16,dramatism,1,243,exegetical-direct,GM-06,Symbolic action is realm of the incipient/attitudinal par excellence.,heuristic-pending-3A
C25,decomposes-into,C24,rhetorical-theory,2,243-246,exegetical-direct,GM-06,Image-as-attitude: lyric-analogue-of-plot via imagery-progression.,heuristic-pending-3A
C26,in-tension-with,C27,dramatism,2,247,exegetical-direct,GM-06,Hamletic-strategy strains drama-vs-lyric distinction from both poles.,heuristic-pending-3A
C28,contrasts-with,C29,philosophy,1,248,exegetical-direct,GM-06,Realism = individuals-as-members-of-group; nominalism = groups-as-aggregates.,heuristic-pending-3A
C32,exegetes,C28,philosophy,2,250,exegetical-direct,GM-06,Scotus's haecceitas: surface-nominalist but retains tribal-familial pattern.,heuristic-pending-3A
C34,exegetes,C02,philosophy,1,"253,261",exegetical-direct,GM-06,Aristotle: actuality prior to potency temporally and form-substantially.,heuristic-pending-3A
C35,decomposes-into,C09,philosophy,1,253-254,exegetical-direct,GM-06,Form-matter hierarchy ascending to motionless prime mover that moves by being loved.,heuristic-pending-3A
C36,in-tension-with,C09,philosophy,2,254,exegetical-direct,GM-06,Final-cause / efficient-cause reversibility; egressus-regressus oxymoron.,heuristic-pending-3A
C37,constituted-by,C03,philosophy,2,255,exegetical-direct,GM-06,Hypokeimenon-substrate possesses potentialities; matter as impulse-to-be-formed.,heuristic-pending-3A
C39,instances,C03,philosophy,2,256-257,exegetical-direct,GM-06,Tendency as ambiguous potentiality; Janus-term caeteris-paribus.,heuristic-pending-3A
C40,contrasts-with,C39,philosophy,2,258-259,exegetical-direct,GM-06,Inevitability substantially merges permanent and changing; vs ambiguous tendency.,heuristic-pending-3A
C42,decomposes-into,C46,dramatism,2,271-272,exegetical-direct,GM-06,Christian transvaluation: suffering as act; willing one's subjection.,heuristic-pending-3A
C43,extends,C42,dramatism,1,271-274,exegetical-direct,GM-06,Actus-status pair: class-that-does transformed to class-that-does-not.,heuristic-pending-3A
C44,exegetes,C43,philosophy,2,273-274,exegetical-direct,GM-06,Indo-European philological closing: passive evolved from middle voice.,heuristic-pending-3A
C45,exegetes,C49,philosophy,2,267-270,exegetical-direct,GM-06,Stoic hegemonikon as reason-authority equation; Aristotelian freedom as participation.,heuristic-pending-3A
C47,operationalizes,C42,rhetorical-theory,2,269,exegetical-direct,GM-06,Psychoanalysis exegesis: frustration=passion; adjustment=action; sublimation=transcendence.,heuristic-pending-3A
C48,instances,C42,dramatism,2,265,exegetical-direct,GM-06,Gods as tribal motives are par excellence dramatist grammar.,heuristic-pending-3A
C01,awaits-ontological-grounding-in,aristotle-metaphysics-IX,philosophy,1,"227-231,253-262",exegetical-direct,GM-06,Burke directly anchors Act in Metaphysics IX energeia/dynamis.,heuristic-pending-3A
C04,awaits-ontological-grounding-in,aristotle-metaphysics,philosophy,1,"231,249,261-262",exegetical-direct,GM-06,Entelechy in Metaphysics: each kind striving to perfection of kind.,heuristic-pending-3A
C11,awaits-ontological-grounding-in,aristotle-poetics-6,philosophy,1,230-231,exegetical-direct,GM-06,Poetics 6: tragedy as imitation of action and life; plot foremost.,heuristic-pending-3A
C10,awaits-ontological-grounding-in,aristotle-de-anima-II,philosophy,2,227,exegetical-direct,GM-06,Soul as act of organic physical body capable of life (via Aquinas).,heuristic-pending-3A
C44,awaits-ontological-grounding-in,aristotle-physics-I-6-7,philosophy,1,273-274,exegetical-direct,GM-06,Physics I.6-7 active/passive/substratum closes chapter and pivots to Agency.,heuristic-pending-3A
C01,awaits-ontological-grounding-in,aquinas-summa-contra-gentiles,philosophy,1,227,exegetical-direct,GM-06,Aquinas: every thing acts according as it is in act; agent-act ratio.,heuristic-pending-3A
C06,awaits-ontological-grounding-in,aquinas-commentary-four-causes,philosophy,1,228-229,exegetical-direct,GM-06,Burke calls Aquinas-on-Aristotle the most convenient place to observe dramatist nature.,heuristic-pending-3A
C15,awaits-ontological-grounding-in,aristotelian-phantasia-cluster,philosophy,1,235-243,exegetical-direct,GM-06,Incipient-act builds on Metaphysics IX potentiality; bridges phantasia cluster.,heuristic-pending-3A
C01,maps-to-pim-dimension,calleja-ludic-narrative-kinesthetic,dramatism,1,227-274,anticipatory-projection (dissertation),GM-06,Act maps to Ludic+Narrative+Kinesthetic PIM dimensions.,heuristic-pending-3A
C15,maps-to-pim-dimension,calleja-microphase-readiness,dramatism,1,235-247,anticipatory-projection (dissertation),GM-06,Incipient act maps to Calleja's plan-formulation/readiness-to-act micro-phase.,heuristic-pending-3A
C21,maps-to-pim-dimension,calleja-microtactic-temporal-distance,dramatism,2,238-243,anticipatory-projection (dissertation),GM-06,Delayed action as temporal-distance qualification on microtactic.,heuristic-pending-3A
C11,maps-to-pim-dimension,calleja-narrative-dimension,dramatism,2,230-231,anticipatory-projection (dissertation),GM-06,Plot-as-Act anchors PIM narrative-involvement dimension.,heuristic-pending-3A
C01,maps-to-uexkull-construct,uexkull-wirkmal,dramatism,2,227,anticipatory-projection (dissertation),GM-06,Act maps to Uexküllian Wirkmal closing the functional circle.,heuristic-pending-3A
C10,maps-to-uexkull-construct,uexkull-funktionskreis,dramatism,2,"227,237",anticipatory-projection (dissertation),GM-06,Hylomorphic soul-as-act-of-body anchors biosemiotic body-environment closure.,heuristic-pending-3A
C42,awaits-ontological-grounding-in,heidegger-bcap-pathe,philosophy,2,262-274,anticipatory-projection (dissertation),GM-06,Action-passion grammar parallels Heidegger's reading of pathe as ground-determinations.,heuristic-pending-3A
C16,awaits-ontological-grounding-in,heidegger-befindlichkeit,philosophy,2,"236,243",anticipatory-projection (dissertation),GM-06,Incipient-act ambiguity parallels Heideggerian Befindlichkeit affective-disclosure.,heuristic-pending-3A
C04,awaits-ontological-grounding-in,heidegger-worumwillen,philosophy,3,"231,249",anticipatory-projection (dissertation),GM-06,Entelechy as end-within-itself parallels Heideggerian Worumwillen.,heuristic-pending-3A
burke-applies-pentad-aristotle,applies-pentad-to,aristotle-four-causes,dramatism,1,228-229,exegetical-direct,GM-06,Burke applies pentad to Aristotle's four causes via Aquinas commentary.,heuristic-pending-3A
burke-applies-pentad-poetics,applies-pentad-to,aristotle-six-tragic-elements,dramatism,1,230-231,exegetical-direct,GM-06,Burke applies pentad to Poetics 6 six tragic elements.,heuristic-pending-3A
burke-applies-pentad-hamlet,applies-pentad-to,shakespeare-hamlet,dramatism,2,247,exegetical-direct,GM-06,Hamletic strategy as paradigm of preparations-as-postponements.,heuristic-pending-3A
burke-applies-pentad-shelley,applies-pentad-to,shelley-ode-west-wind,dramatism,2,243-245,exegetical-direct,GM-06,Lyric-analogue-of-plot via image-progression in five-stanza arc.,heuristic-pending-3A
burke-applies-pentad-murder-cathedral,applies-pentad-to,eliot-murder-in-cathedral,dramatism,2,263-265,exegetical-direct,GM-06,Eliot's St Thomas exception of explicit dramatist grammar in character speech.,heuristic-pending-3A
T3,in-tension-with,C21,philosophy,2,241-242,exegetical-direct,GM-06,Korzybski's delayed-action in motion realm must be opposite of a delay.,heuristic-pending-3A
T4,in-tension-with,scholastic-realism,philosophy,2,252,exegetical-direct,GM-06,Burke's appreciation of Aristotle is itself un-Aristotelian; reuse without endorsement.,heuristic-pending-3A
C13,anticipates,rickert-ambient-rhetoric,rhetorical-theory,2,232-235,anticipatory-projection (dissertation),GM-06,Action-motion watershed anticipates Rickert's ambient-rhetoric environment-as-actor.,heuristic-pending-3A
C16,anticipates,gross-uncomfortable-situations,rhetorical-theory,2,235-243,anticipatory-projection (dissertation),GM-06,Incipient-act ambiguity anticipates Gross's not-quite-emotion not-quite-physiology.,heuristic-pending-3A
C24,anticipates,burke-rhetoric-of-motives-identification,rhetorical-theory,2,235-243,anticipatory-projection (dissertation),GM-06,Symbolic action anticipates consubstantiation/identification in 1950 sequel.,heuristic-pending-3A
pragmatism,features-as-locus,Agency,features-as-locus,,275;287,exegetical (Burke explicit),GM-07,Burke's diagnostic: Pragmatist philosophies generated by featuring of Agency; canonical statement at chapter opening.,heuristic-pending-3A
mysticism,features-as-locus,Purpose,features-as-locus,,287;288,exegetical (Burke explicit),GM-07,Burke's diagnostic: Mysticism features Purpose as motive-locus; mark = unity of individual with cosmic/universal Purpose.,heuristic-pending-3A
William James,exemplifies,pragmatism-Agency,interlocutor-engagement,,275;277;283;288,exegetical,GM-07,Pragmatism 'a method only'; 'theories thus become instruments'; two-principles-of-truth subsection devoted.,heuristic-pending-3A
John Dewey,exemplifies,pragmatism-Agency,interlocutor-engagement,,275;279,exegetical,GM-07,Instrumentalism; Experience and Nature; Dewey-Mead biologism replaces Emerson/James personalism.,heuristic-pending-3A
G. H. Mead,exemplifies,pragmatism-Agency,interlocutor-engagement,,279;280,exegetical,GM-07,Philosophy of the Act; dialectic-other inclusion in internal-dialogue model. Disambiguated from Margaret Mead per Phase 0/1 advisory.,heuristic-pending-3A
Charles Peirce,background-anchor-for,pragmatism-Agency,interlocutor-engagement,,275;277,exegetical,GM-07,Beliefs as rules for action; James extends Peirce's secular doctrines to religious utility.,heuristic-pending-3A
P. W. Bridgman,limit-case-of,pragmatism-Agency,interlocutor-engagement,,279;280;281;284,exegetical,GM-07,Operationalism; Logic of Modern Physics; Burke's grammatical critique exposes 'writes about his purpose in eliminating purpose.',heuristic-pending-3A
Aristotle organon,is-incipiently,pragmatism-Agency,exegetical-bridge,,275;276,exegetical,GM-07,Logic-as-instrument of human reason; but slave-culture position subordinated agency among four causes.,heuristic-pending-3A
modern-applied-science,inverts-Aristotle-by-raising,Agency,internal-grammar,,276,exegetical,GM-07,'Non-Aristotelian element in modern science... makes uppermost the very domain of motivation that Aristotle subordinated.' Vocational training as agency-as-ancestor.,heuristic-pending-3A
Hegel-Vermittlung,anticipates,pragmatism-Agency,interlocutor-engagement,,281,exegetical,GM-07,Ausserung/Vermittlung as utterance/mediation — Hegelian idealism as precursor of pragmatism via mediation.,heuristic-pending-3A
Marx-economic-conditions,does-not-quite-reach,pragmatism-Agency,interlocutor-engagement,,281;282,exegetical,GM-07,'A pronounced sense of form pervading Marx's view of history. It was not pragmatist.',heuristic-pending-3A
Plotinus Enneads I.3,exemplifies,mysticism-Purpose,exegetical-bridge,,293;294,exegetical,GM-07,"'Our journey is to the Good, to the Primal-Principle.' Upward Way to the First.",heuristic-pending-3A
Plato Good=One,nears,mysticism-Purpose,exegetical-bridge,,293;294,exegetical,GM-07,Platonist Purpose subsection; equating of Good and One brings purpose nearer to mysticism than Aristotle.,heuristic-pending-3A
Bonaventura,exemplifies,Christian-mystical-Purpose,interlocutor-engagement,,293,exegetical,GM-07,Paired with Plotinus as Neo-Platonist/Christian mystical Purpose anchor.,heuristic-pending-3A
Thomas-a-Kempis-Imitation,exemplifies,mysticism-of-means,interlocutor-engagement,,311,exegetical,GM-07,'In all things behold the end' — Upward Way as Christian monastic discipline; contemning-of-the-world as means.,heuristic-pending-3A
Aristotle eudaimonia,is-realistic-synonym-for,Purpose,exegetical-bridge,,292;293,EXEGETICAL (Burke 'Purpose in Aristotle' subsection),GM-07,Rhetoric I.5; Nicomachean Ethics I.1; Politics — wholly realistic not mystical; only TOTAL purpose fits mystic prescription.,heuristic-pending-3A
Aristotle-Poetics-Mitys-statue,illustrates,representative-purposive-design,interlocutor-engagement,,308,exegetical,GM-07,Criminal-as-mock-communion grounded in Aristotle's account of design-appearance in chance events.,heuristic-pending-3A
Aldous Huxley pacifism,exemplifies,mysticism-of-means,interlocutor-engagement,,309;310,exegetical,GM-07,Impure-acts-from-impure-means; only peaceful means yield peace — Burke critiques: all means are necessarily impure.,heuristic-pending-3A
Spinoza,has-mystical-strain-despite-denying,Universal-Purpose,interlocutor-engagement,,295,exegetical,GM-07,Stress on Oneness/Allness; 'all determination is negation' inversion of negative-theology predicates.,heuristic-pending-3A
Bergson Creative Evolution,is-semi-pragmatist-semi-mystical,Purpose-via-negative,interlocutor-engagement,,295;296,exegetical,GM-07,Negative as function of desire/expectation/interest — Burke dramatistically revises toward 'thou shalt not.',heuristic-pending-3A
Korzybski Upward Way,structurally-mirrors,Plotinian-ascent,interlocutor-engagement,,293;304;317,exegetical,GM-07,Higher-and-higher levels of generalization; rites of desanctification as first 'mystical' appreciation of powers; Plato 'good' vs Korzybski 'alas!' transcendence parallel.,heuristic-pending-3A
Freud-repression,is-reciprocal-of,Purpose,internal-grammar,,316;317,exegetical,GM-07,"'If purpose is the cameo, repression is the intaglio.' Psychoanalysis as secular variant of negative theology.",heuristic-pending-3A
Kant transcendentalism,is-first-step-toward-historical,Conditions,interlocutor-engagement,,281,exegetical,GM-07,Conditions of experience; unconditioned realm beyond experience as 'condition of conditions.',heuristic-pending-3A
Burke-pentad-five-terms,is-transcendental-not-formal,Kantian,internal-grammar,,317,exegetical,GM-07,'Transcendental rather than formal (and are to this extent Kantian) in being categories which human thought necessarily exemplifies.',heuristic-pending-3A
act-agency-ratio,is-primary-ratio-of,pragmatism,internal-grammar,,275;282;283,exegetical,GM-07,Documentary historiography as featuring of agency; two principles of verification = two act-agency modes.,heuristic-pending-3A
agency-purpose-ratio,is-culminating-ratio-of,chapter (Mysticism of Means),internal-grammar,,309;310;311,exegetical,GM-07,Means-end ambiguity Burke critiques in Huxley; means as ancestor of end (deus implicitus/explicitus).,heuristic-pending-3A
act-purpose-ratio,is-primary-ratio-of,mysticism,internal-grammar,,307;308,exegetical,GM-07,Raskolnikov's 'absolute' act conceived independently of conditions; criminal communion with cosmic motives.,heuristic-pending-3A
agent-purpose-ratio,produces,super-self-non-self,internal-grammar,,300;301,exegetical,GM-07,Mysticism and Idealism: the Self — universalized first-person; Kant's synthetic unity of apperception.,heuristic-pending-3A
scene-agency-ratio,enables,action-motion-ambiguity,internal-grammar,,286;287,exegetical,GM-07,Pragmatism straddles action-motion; reduction of action to motion = reduction to Agency.,heuristic-pending-3A
mysticism,converges-with-by-narrowing-circumference,materialism,internal-grammar,,291,exegetical,GM-07,GM-04↔GM-07 cross-chapter: 'motivational schemes that would feature it less may allow it more.',heuristic-pending-3A
money,is-indeterminately-Agent-or,Purpose,internal-grammar,,276;286;289;290;314;315;316,exegetical,GM-07,'Mysticism of money' (Harold Loeb); cash-value; capitalist investment as incipient-act/representative-moment; St Ambrose ransom-resonance.,heuristic-pending-3A
Burke-Grammar-1945,forward-references,Burke-Rhetoric-of-Motives-1950-Attitude,forward-reference,,314,pending-future-rhetoric-of-motives-pipeline,GM-07,"'Humanitarian ambiguity ... of the attitude, the incipient act' anticipates Attitude as sixth pentad term.",heuristic-pending-3A
Burke-Grammar-1945,forward-references,Burke-War-of-Words-2018,forward-reference,,305;319,pending-future-pipeline,GM-07,Ad Bellum Purificandum motto + purification-of-war close anticipate recovered Symbolic of Motives apparatus.,heuristic-pending-3A
Burke-physiology-of-mysticism,anticipates,Uexkull-Funktionskreis-Merk-Wirk,cross-pipeline,,294;295,anticipatory-projection (Burke 0 Uexküll hits),GM-07,Receptor/effector decoupling description of mystic 'pure action / pre-motion' parallels Funktionskreis receptor/effector pairing. Provenance: parallel-discovery.,heuristic-pending-3A
Burke-Silence-and-the-Hunt,anticipates,Uexkull-Bedeutungstrager-closure-on-need,cross-pipeline,,305;306,anticipatory-projection (Burke 0 Uexküll hits),GM-07,'At the very centre of mobility is the purpose of the hunt; hence the imagery of the desired as that for which we hunger' — Funktionskreis closure on biologically-valenced object.,heuristic-pending-3A
Agency-as-Burke-pentad-term,maps-to,Heideggerian-Zeug-Bewandtnis-Worumwillen,cross-pipeline,,276;281,anticipatory-projection (Burke 0 Heidegger hits),GM-07,Burke 'instrument has purpose imbedded in structure and design' anticipates Being and Time §18 in-order-to / for-the-sake-of-which structure of equipment.,heuristic-pending-3A
Purpose-as-Burke-pentad-term,maps-to,Heideggerian-Worumwillen,cross-pipeline,,287;288;293,anticipatory-projection (Burke 0 Heidegger hits),GM-07,'Unity of the individual with cosmic or universal purpose' parallels Dasein's ultimate-for-the-sake-of-which (§18 §69). Provenance: parallel-discovery.,heuristic-pending-3A
Burke-pre-motion-incipient-action,anticipates,BCAP-pathos-incipient-affective-tonality,cross-pipeline,,294;295;314,anticipatory-projection (Burke 0 Heidegger hits),GM-07,Pre-motion / 'attitude as incipient act' converge with BCAP's reading of Aristotelian pathos as incipient affective comportment.,heuristic-pending-3A
Agency-as-Burke-pentad-term,maps-to,Calleja-PIM-Kinesthetic-and-Ludic,cross-pipeline,,275;281,anticipatory-projection (bi-anticipatory: Burke 0 Calleja; Calleja 0 Burke),GM-07,Controls + rules-as-means; Bridgman operationalism anchor for kinesthetic-input as constitutive of described-act.,heuristic-pending-3A
Purpose-as-Burke-pentad-term,maps-to,Calleja-PIM-Ludic-goals-and-Narrative-arc,cross-pipeline,,287;293;307,anticipatory-projection (bi-anticipatory),GM-07,Game-goal pursuit + story-arc closure; unity-with-universal-purpose as structural template for narrative-immersion.,heuristic-pending-3A
Burke-action-motion-ambiguity,anticipates,Rickert-Ambient-Rhetoric-scene-agency-ambience,cross-pipeline,,286;287;299,anticipatory-projection,GM-07,'Fluctuant situation in which merger and division keep changing places' shares ambient-textured scene-agency dynamics.,heuristic-pending-3A
Burke-attitude-as-incipient-act,anticipates,Gross-Uncomfortable-Situations-situated-emotion,cross-pipeline,,314,anticipatory-projection,GM-07,"Coin tossed to the leper as 'humanitarian ambiguity ... of the attitude, the incipient act' — situated-incipient-act framing.",heuristic-pending-3A
Burke-Purpose-in-Aristotle,connects-EXEGETICALLY-to,Aristotle-Complete-Works-pipeline,cross-pipeline,,292;293,EXEGETICAL,GM-07,"Direct citations of Rhetoric I.5, Nicomachean Ethics I.1, Politics — strongest EXEGETICAL cross-pipeline edge for Purpose term.",heuristic-pending-3A
Burke-demonic-trinity-body-thinking,anticipates,Hawhee-Moving-Bodies-Burke-at-edges-of-language,cross-pipeline,,302;303;305,pending-future-hawhee-moving-bodies-pipeline,GM-07,Cloacal/demonic-trinity + Silence-and-Hunt + physiology of mysticism are canonical Burke-Hawhee body-thinking anchor passages. Hawhee Moving Bodies index not on disk per Phase 0 §9.,heuristic-pending-3A
idealism,features-as-locus,Agent,,,171,exegetical,GM-05,Core diagnostic: idealism features the term agent as motive-locus,heuristic-pending-3A
materialism,features-as-locus,Scene,,,127-131; 171,exegetical; exegetical-burke-grammar-of-motives,GM-05;GM-04,"Contrast pair invoked by Burke at chapter opening; full development in GM-04 || Burke's enumerated correspondence (book p.128): 'For the featuring of scene, the corresponding philosophic terminology is materialism.'",heuristic-pending-3A
Berkeley,exemplifies,idealism,,,177,exegetical,GM-05,Berkeley as cleanest idealist exhibit per Burke,heuristic-pending-3A
Berkeley,reduces,matter-to-ideas,,,178,exegetical,GM-05,Esse is percipi; matter as unnecessary hypothesis via reversed Occamite parsimony,heuristic-pending-3A
Berkeley,translates-scene-as,super-agent,,,180,exegetical,GM-05,God as Almighty Agent; ultimate scene as scene-translated-into-terms-of-agent,heuristic-pending-3A
esse-is-percipi,re-glosses-as,to-be-is-to-be-grounded-in-super-agent,,,180,exegetical,GM-05,Burke's pentad-grammatical translation of Berkeley's foundational equation,heuristic-pending-3A
Hume,narrows,Berkeleian-idealism,,,181,exegetical,GM-05,Equates ideas with sensations; drops rationalist/intelligible side via parsimony,heuristic-pending-3A
Hume,dismantles,causality-as-empirical,,,182,exegetical,GM-05,Causality not empirically observable; arises from custom/habit,heuristic-pending-3A
dramatist-cluster,falls-apart-in,Hume,,,183,exegetical,GM-05,Reason/substance/cause/necessity/action/idea/God/Nature/generation/power cluster fractures,heuristic-pending-3A
Hume,demands,medium,,,186,exegetical,GM-05,The 'medium' that explains inference from observed-sequence to causal-necessity,heuristic-pending-3A
Leibniz,treats-monad-as,atom-agent,,,184,exegetical,GM-05,Substance with internal principle of self-development from implicit to explicit,heuristic-pending-3A
Leibniz,anticipates,unconscious-psychologies,,,184,exegetical,GM-05,Monad as precursor to modern depth-psychology of the unconscious,heuristic-pending-3A
pre-established-harmony,solves,no-windows-coordination,,,184,exegetical,GM-05,God as Monas Monadum adjusting monads via deus ex machina,heuristic-pending-3A
Kant,equates,medium-with-agent,,,187,exegetical,GM-05,Solves Hume by relocating causality from scene to universalized agent,heuristic-pending-3A
universal-agent,distinguishes-from,particular-agent,,,187,exegetical,GM-05,Not your-understanding or mine but 'the understanding' in general; yields objective necessity,heuristic-pending-3A
sensibility,is-passive-aspect-of,universal-agent,,,188,exegetical,GM-05,Receives intuitions; first pole of Kantian action-passion split,heuristic-pending-3A
understanding,is-active-aspect-of,universal-agent,,,188,exegetical,GM-05,Performs unification via concepts; second pole of action-passion split,heuristic-pending-3A
transcendental-logic,locates-in,agent,,,189,exegetical,GM-05,Conditions of possibility of knowledge in agent rather than in object,heuristic-pending-3A
constitutive,equals,scene-narrowed-to-motion,,,191,exegetical,GM-05,Burke's translation: empirical + transcendental together = mechanistic scene derived from agent,heuristic-pending-3A
Coleridge,supplies,desynonymize-operation,,,192,exegetical,GM-05,Biographia Literaria operation imaginatio/phantasia -> imagination/fancy,heuristic-pending-3A
Kant,desynonymizes,transcendental-and-transcendent,,,192,exegetical,GM-05,Strategic operation generating realm of things-in-themselves,heuristic-pending-3A
transcendent-realm,equals,things-without-context,,,194,exegetical,GM-05,Grammatically: relations as determinations; thing-without-relation is unconditioned,heuristic-pending-3A
unconditioned,equals,realm-of-freedom,,,194,exegetical,GM-05,Burke's pentad-grammatical mapping: undetermined yields freedom yields possibility of action,heuristic-pending-3A
als-ob,bridges,necessity-and-freedom,,,196,exegetical,GM-05,Kantian regulative principle; ideas of God/freedom/immortality as moral motive,heuristic-pending-3A
constitution-enactment,analogizes,freedom-necessity-bridge,,,196,exegetical,GM-05,Burke's non-Kantian-but-not-anti-Kantian Grammatical gloss,heuristic-pending-3A
Fichte,abolishes,thing-in-itself,,,198,exegetical,GM-05,Returns idealism to Berkeleian agent-monolithic terminus via Ego/Non-Ego,heuristic-pending-3A
post-Kantian-idealism,exhibits,externalization-pattern,,,199,exegetical,GM-05,Inner-to-outer figure: implicit-explicit unconscious-conscious magma-lava visceral-excretory,heuristic-pending-3A
Schopenhauer,prefigures,compulsion-neurosis-psychology,,,200,exegetical,GM-05,Externalizations of universal will as involuntary expressions,heuristic-pending-3A
Marxism,grows-antithetically-from,Hegelian-idealism,,,200,exegetical,GM-05,Materialist reversal of Hegel's spirit-genealogy,heuristic-pending-3A
Marxism,best-translated-as,idealistic-materialist,,,201,exegetical,GM-05,Burke's diagnostic verdict: dialectical-materialism is structurally idealist,heuristic-pending-3A
Marxism,features-as-locus,Agent,,,201,exegetical,GM-05,Hybrid: surface materialist vocabulary masks class-as-collective-agent motive-locus,heuristic-pending-3A
class,is-collective-agent-in,Marxism,,,200,exegetical,GM-05,Class-consciousness + class-action; bearer of actus/status/properties,heuristic-pending-3A
Lenin,permits,agenthood-in-matter,,,201,exegetical,GM-05,Property similar to sensation in foundation stones of structure of matter itself,heuristic-pending-3A
Hegel,exhibits,cunning-of-reason,,,203,exegetical,GM-05,Spirit acts through subjective passions; private aims unconsciously serve Universal design,heuristic-pending-3A
