source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-03-FREDE:R4,contests-reading-of,SCHOFIELD:1979,phantasia/unity,9,book pp. 294-295 (fn 49),Frede,Frede defends unity of phantasia against Schofield's loose-knit-family-concept reading
PHX-03-FREDE:R4,grounds-in,ARISTOTLE:DA:428b11-15,phantasia/definition,3,DA 428b11-15; 429a1,Frede,Uniform causal account: all phantasiai are motions in soul caused by sense-perception
PHX-03-FREDE:C5,grounds-in,ARISTOTLE:DA:429a4,phantasia/persistence,5,DA 429a4; Insomn. 460b1-3,Frede,to emmenein — perseverance/persistence of phantasiai grounds their role in after-images and memory
PHX-03-FREDE:C5,illustrated-by,ARISTOTLE:SomnVig:459b12,phantasia/decay,3,Somn. Vig. 459b12ff,Frede,After-images of sun decay through yellow crimson purple black — Aristotle's precise description
PHX-03-FREDE:C6,illustrated-by,ARISTOTLE:Insomn:458b28,phantasia/incorrigibility,5,Insomn. 458b28; DA 428b3,Frede,Sun appears foot-wide even to those who know facts perfectly — phantasiai resist information
PHX-03-FREDE:C7,grounds-in,ARISTOTLE:Mem:450a12,phantasia/no-intellectual-memory,9,Mem. 450a12-14,Frede,Knowledge remembered only accidentally; we recall when/how we learned Pythagoras' theorem not the theorem
PHX-03-FREDE:C9,grounds-in,ARISTOTLE:DA:433b29,phantasia/practical-reasoning,7,DA 433b29; 434a5-7,Frede,Aristotle subdivides bouleutike/logistike phantasia for human deliberation
PHX-03-FREDE:C10,grounds-in,ARISTOTLE:DA:433b31,phantasia/animals,7,DA 433b31ff,Frede,Phantasia indefinitely in primitive animals — even worms need notion of aim in food-search
PHX-03-FREDE:C11,parallels-to,KANT:CPR:B154,phantasia/gestalt,8,Critique of Pure Reason B 154,Frede,Cannot think a line without drawing one in mind — Kant-Aristotle Gestalt parallel
PHX-03-FREDE:C12,grounds-in,FREUDENTHAL:1863,phantasia/generalization,8,Freudenthal 1863 p. 31,Frede,Phantasmata as Verallgemeinerung durch Denkthätigkeit — generalization through thinking-activity
PHX-03-FREDE:C13,grounds-in,ARISTOTLE:Insomn:462a1,phantasia/doxa-counterpart,5-6,Insomn. 462a1; 461b1,Frede,ou monon phaneitai alla kai dokei — phantasia as counterpart of doxa
PHX-03-FREDE:C14,parallels-to,KANT:CPR:A190,phantasia/synthesis,4,Critique of Pure Reason A 190ff,Frede,House-example: synthesis of the manifold; phantasia performs Kantian synthesis-work
PHX-03-FREDE:C19,grounds-in,ARISTOTLE:APo:99b36,phantasia/induction,8,APo. II.19 99b36-100b9,Frede,Phantasia underwrites epagoge without being named; mone retains perceptions toward universal
PHX-03-FREDE,cites-cluster-author,PHX-01-NUSSBAUM,phantasia/cluster-debate,2 4 7,Nussbaum 1978 De Motu Animalium (book pp. 280n5 285n23 289n34),Frede,Frede cites Nussbaum 1978 — substantively engages the same arguments as PHX-01 1985 essay
PHX-03-FREDE,contests-reading-of,PHX-01-NUSSBAUM:expansive-practical-reading,phantasia/cluster-debate,7,book p. 289 fn 34,Frede,Nussbaum broadens phantasia to envisaging-the-good severing ties to perception — Frede rejects
PHX-03-FREDE,does-not-cite,PHX-02-WHITE,phantasia/cluster-debate,n/a,n/a,Frede,Frede does not cite White 1985; convergent supervenience thesis reached independently
PHX-03-FREDE,extends-reading-of,WEDIN:1988,phantasia/cluster-alignment,9,book p. 295 fn 50,Frede,Wedin reaches similar results more technically refined — Frede aligns without arguing through
PHX-03-FREDE,contests-reading-of,MODRAK:1986-1987a:unified-phantasia,phantasia/unity-concept,2 3 8 9,book pp. 280n5 282n10 292n42 293n44 294n48,Frede,Modrak is Frede's primary polemical target on both unified-phantasia and unified-consciousness
PHX-03-FREDE,aligns-with,KAHN:1966,phantasia/inner-sense,4 9,Kahn 1966 pp. 52 57 (book pp. 284n17 293n44),Frede,If unity of consciousness in Aristotle confine it with Kahn to the inner sense
PHX-03-FREDE,inverts,ROSS:1961a,phantasia/value,8,Ross 1961a p. 39 (book p. 291n40),Frede,Ross: Aristotle doesn't regard phantasia as valuable but as disability; Frede: inaccuracy is its advantage
PHX-03-FREDE:T1,shifts-debate-axis,phantasia-as-after-image-vs-cognitive-faculty,phantasia/debate-axis,2-3,book pp. 280-282,Frede,DA III.3 oscillates; Frede's minimal account resolves without upgrading to separate faculty
PHX-03-FREDE:T2,shifts-debate-axis,intellect-sense-dichotomy-vs-bridging,phantasia/dualism,7-9,book pp. 290-294,Frede,Mediation does not collapse dichotomy; Aristotelian dualism preserved
PHX-03-FREDE:T3,shifts-debate-axis,unified-vs-family-concept,phantasia/concept-unity,9,book pp. 294-295,Frede,Frede unifies via uniform causal account against Schofield's family-resemblance reading
