source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:mokhtheria,greek-term,8-10,1404a8,González,"Targets audience not lexis — μοχθηρία τῶν ἀκροατῶν."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:phortikon,greek-term,10,1403b36,González,"Audience-dependent label per Poetics 26."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:didaskalia,greek-term,14,1404a9,González,"'Demonstrative practice' (matching Poet. 1456b5)."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:hupolepsis,greek-term,20,DA 427b14-16,González,"Never occurs without phantasia."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:bouleutike,greek-term,21,DA 434a5-10,González,"Combines πλείω φαντάσματα — bridge to rhetorical deliberation."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:logistike-vs-aisthetike,greek-term,21,DA 433b29-30,González,"Phantasia divides; not mutually exclusive."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:orexis,greek-term,21-22,DA 433b27 + De motu 702a17,González,"Presupposes phantasia — De motu causal chain."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:pathos-broad,greek-term,26,1370a27-28 + n.78,González,"Broad sense: anything from πάσχειν (emotions + bodily states + memory + phantasmata)."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:phone,greek-term,5,1403b27-28,González,"Phōnē as σημεῖον; bridge to αἰσθητική phantasia (Labarrière)."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:pro-ommaton-poiein,greek-term,30,1386a31,González,"Bringing before eyes via gestures/cries/display — phantasma-construction."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:SE-six-sources,greek-term,16-17,SE 165b24-27,González,"ὁμωνυμία ἀμφιβολία σύνθεσις διαίρεσις προσῳδία σχῆμα λέξεως — all psychological."
PHX-06-GONZALEZ,glosses-greek,GREEK-TERM:periergon,greek-term,7,1404a7,González,"τἄλλα ἔξω τοῦ ἀποδεῖξαι περίεργα — 'superfluous,' not 'unjust.'"
PHX-06-GONZALEZ,cites,I-Nussbaum-1978,modern-secondary,2/15-16/22,p.99 n.1 + p.113-114,González,"PHX-01. Primary foil on Freudenthal-popularization; secondary ally on De motu translation."
PHX-06-GONZALEZ,cites,I-Nussbaum-1996,modern-secondary,2,p.100 n.6,González,"Disagrees with Nussbaum 1996:307, 321 n.16 on phantasia-without-belief at Rh. II.5."
PHX-06-GONZALEZ,cites,I-Frede-1992,modern-secondary,16,p.114 n.48 + p.115 n.52,González,"PHX-03. Secondary ally; consistency-of-phantasia + non-visual phantasmata."
PHX-06-GONZALEZ,cites,I-Wedin-1988,modern-secondary,16/19/22,p.114 + p.115 n.53 + p.119,González,"KEY ALLY. Confirms Rhet. 1404a11 is sole passage for Freudenthal reading; better DA 428a1-4 solution."
PHX-06-GONZALEZ,cites,I-Labarriere-1994,modern-secondary,2,p.99 n.1,González,"KEY DISSENTER-ALLY. Quotes verbatim against 'présentation mentale, simple copie, sans réalité.'"
PHX-06-GONZALEZ,cites,I-Labarriere-1984,modern-secondary,21/27,p.119 n.60 + p.125 n.83,González,"Logistikē/aisthētikē phantasia framework; phōnē-phantasia connection."
PHX-06-GONZALEZ,cites,I-Halliwell-1993,modern-secondary,2/16-17,p.100 n.6 + p.114-115,González,"CRITICAL FOIL on SE 165b25 'merely appearance'; positive on Rhet. 1403b17 φανῆναι."
PHX-06-GONZALEZ,cites,I-Fortenbaugh-2002,modern-secondary,2/17-18/22,p.100 + p.115-116 + p.121-122,González,"PRIMARY MODERN FOIL. 'Biological faculty' but non-psychological Rhetoric reading; disputed on DA/Rhet cleavage + ethos/pathos."
PHX-06-GONZALEZ,cites,I-Cope-1877,modern-secondary,passim,passim,González,"PRIMARY CONSENSUS FOIL. 'Fancy / mental presentation, mere copy without reality.'"
PHX-06-GONZALEZ,cites,I-Kennedy-1991,modern-secondary,passim,passim,González,"PRIMARY TRANSLATION TARGET. 'Outward show' rendering corrected."
PHX-06-GONZALEZ,cites,I-Freese-1926,modern-secondary,8/10/13,p.106 n.26 + p.108 n.33 + p.111 n.39,González,"Translation foil: 'mere outward show.'"
PHX-06-GONZALEZ,cites,I-Rapp-2002,modern-secondary,8/10/13,p.106 n.26 + p.108 n.33,González,"Translation foil: 'reiner Anschein.'"
PHX-06-GONZALEZ,cites,I-Freudenthal-1863,modern-secondary,15-16,p.113-114,González,"Philological origin of 'mere show' reading at DA 428a1-4."
PHX-06-GONZALEZ,cites,I-Vettori-1579,modern-secondary,2/10,p.100 n.4 + p.108,González,"RENAISSANCE ANCHOR. ad 1404a10-11 reads phantasia psychologically; 'recte ponderatum' rendering of καλῶς ὑπολαμβανόμενον."
PHX-06-GONZALEZ,cites,I-Grimaldi-1980,modern-secondary,passim,passim,González,"Anchor commentary on Rhetoric I; rhetoric's social-civic function."
PHX-06-GONZALEZ,cites,I-Striker-1996,modern-secondary,22/25,p.120 n.68 + p.123 n.76,González,"Acknowledged at *p.99 for early-draft comments. Pathē influencing judgment."
PHX-06-GONZALEZ,cites,I-Baldwin-1924,modern-secondary,2,p.99 n.1,González,"Rare American dissenter from consensus."
PHX-06-GONZALEZ,cites,I-Schofield-1992,modern-secondary,16/19,p.114 n.47 + p.117 n.57,González,"Cluster-adjacent phantasia survey; lexical-semantic caution."
PHX-06-GONZALEZ,cites,I-Valdés-1992,modern-secondary,19,p.117 n.56,González,"Dates [Hippocrates] Decorum 7 to 2nd c. AD — kills LSJ candidate for pre-Aristotelian ostentation-phantasia."
PHX-06-GONZALEZ,cites,I-Martinez-Hernandez-1997,modern-secondary,19,p.117 n.57,González,"Lexical-fields vs. lexical-spheres distinction; against verb-noun extrapolation."
PHX-06-GONZALEZ,cites-cluster-author,PHX-01-NUSSBAUM-1978,cluster-citation,2/15-16,p.99 n.1 + p.113-114,González,"VERIFIED works cited p.130 'Nussbaum, M. C., ed. 1978. Aristotle's De motu animalium.' Central engagement on Freudenthal popularization."
PHX-06-GONZALEZ,cites-cluster-author,PHX-03-FREDE-1992,cluster-citation,16,p.114 n.48 + p.115 n.52,González,"VERIFIED works cited p.129. Secondary citation on consistency + non-visual phantasmata."
PHX-06-GONZALEZ,contests-reading-of,READING:Nussbaum-1978-Freudenthal-popularization,interpretive-thesis,15-16,p.113-114,González,"Contests Nussbaum 1978:254's popularization of Freudenthal's 'mere show' reading."
PHX-06-GONZALEZ,contests-reading-of,READING:Halliwell-1993-SE-merely-appearance,interpretive-thesis,16-17,p.114-115,González,"Contests Halliwell 1993:59 n.16 gloss of SE 165b25 as 'merely appearance.'"
PHX-06-GONZALEZ,contests-reading-of,READING:Fortenbaugh-DA-Rhetoric-cleavage,interpretive-thesis,17-18/22,p.115-116 + p.121-122,González,"Contests Fortenbaugh 2002:96-100 on DA/Rhetoric cleavage on phantasia."
PHX-06-GONZALEZ,contests-reading-of,READING:Fortenbaugh-ethos-pathos-separation,interpretive-thesis,28,p.126 n.85,González,"Contests Fortenbaugh 1996 on ethos-pathos separation; cites Carey 1994:35 + Russell 1990 + Aristoph. Knights."
PHX-06-GONZALEZ,contests-reading-of,READING:Cope-pros-doxan-as-ostentation,interpretive-thesis,11-13,p.109-112,González,"Contests Cope 1877's slide from πρὸς δόξαν to 'ostentatious and hollow.'"
PHX-06-GONZALEZ,contests-reading-of,READING:Kennedy-outward-show,interpretive-thesis,8-9,p.106-107,González,"Contests Kennedy 1991 'outward show' rendering of phantasia at 1404a11."
PHX-06-GONZALEZ,extends-reading-of,READING:Wedin-functional-incompleteness,interpretive-thesis,22,p.122 n.74,González,"Adopts Wedin 1988's functional-incompleteness framework as compatible with mediating-faculty reading."
PHX-06-GONZALEZ,extends-reading-of,READING:Labarrière-rhetorical-phantasia-as-psychological,interpretive-thesis,2,p.99 n.1,González,"Builds on Labarrière 1994 dissent against 'présentation mentale, simple copie.'"
PHX-06-GONZALEZ,shifts-debate-axis,DEBATE-AXIS:rhet-iii-phantasia-translation,debate-axis,passim,passim,González,"Shifts English-translation default from pejorative ('mere show'/'outward show'/'fanciful') to psychological-faculty default."
PHX-06-GONZALEZ,shifts-debate-axis,DEBATE-AXIS:psychological-vs-rhetorical-phantasia,debate-axis,passim,passim,González,"Rejects DA/Rhet cleavage (Fortenbaugh); affirms continuity. Phantasia is one faculty operating in multiple modes."
PHX-06-GONZALEZ,bridges-to-pipeline,Aristotle-Pipeline,cross-pipeline,passim,passim,González,"≥50 Bekker loci feed Aristotle KU map; heaviest single-article contributor in Phantasia cluster."
PHX-06-GONZALEZ,bridges-to-pipeline,Heidegger-BCAP-GA18,cross-pipeline,passim,structural,González,"Structural mirror: Heidegger 1924 Marburg integrates DA+Rhetoric phantasia same way González does."
PHX-06-GONZALEZ,bridges-to-pipeline,Dalton-Dissertation-Rhetorical-Phantasia,cross-pipeline,passim,1404a11,González,"Foundational textual lock for any dissertation chapter on Rhet. III.1 phantasia."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-WORK:Rhetoric,aristotle-work,passim,passim,González,"Primary text — Rhetoric III.1 1404a11 is the central crux."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-WORK:De-Anima,aristotle-work,passim,passim,González,"Massively engaged — DA III esp. (427b-434a). The psychological-faculty source."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-WORK:Sophistical-Refutations,aristotle-work,16-17,164a-165b,González,"Pivot text for SE parallel — rescues phantasia from 'mere show.'"
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-WORK:De-Motu-Animalium,aristotle-work,22-23,700b-702a,González,"Causal chain (702a17-19) + kritikon argument (700b17-21)."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-WORK:De-Memoria,aristotle-work,15/26,449b-453a,González,"Geometer-phantasia anchor (449b30-450a1); pathos-broad sense (450a10-11)."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-WORK:Poetics,aristotle-work,10/14/29,1455a-1462a,González,"Phantasma-construction parallel (1455a22-32); audience-dependent phortikon (1461b-1462a)."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-WORK:Nicomachean-Ethics,aristotle-work,23,1102a-1147b,González,"Soul's division (1102a26-b31); epistēmonikon vs. logistikon (1139a3-14)."
PHX-06-GONZALEZ,instances-in-text,ARISTOTLE-WORK:Eudemian-Ethics,aristotle-work,11-12,1215a29-30,González,"φορτικὰς τέχνας πρὸς δόξαν — Cope's parallel, properly 'for reputation.'"
PHX-06-GONZALEZ,instances-in-text,ANCIENT:Plato-Gorgias,ancient-interlocutor,9/11/14,463d-513c,González,"Plato's anti-rhetorical pedigree of consensus; rhetoric/didaskalia distinction (453d-454e)."
PHX-06-GONZALEZ,instances-in-text,ANCIENT:Herodotus-7.10e,ancient-interlocutor,18-19,Hdt 7.10ε,González,"Sole pre-Aristotelian candidate for φαντάζεσθαι 'ostentation' — contextual only."
PHX-06-GONZALEZ,instances-in-text,ANCIENT:pseudo-Hippocrates-Decorum-7,ancient-interlocutor,19,Decorum 7,González,"LSJ candidate — Valdés 1992 dates to 2nd c. AD or later, post-Aristotelian."
PHX-06-GONZALEZ,instances-in-text,ANCIENT:Theophrastus-frr,ancient-interlocutor,15,frr 64-65 Wimmer,González,"Speech πρὸς τὰ πράγματα and πρὸς τοὺς ἀκροατάς — twofold relation."
PHX-06-GONZALEZ,marginal-note,CONCEPT:lossau-politeion-defense,textual-critical,9,1403b35,González,"n.31: defends transmitted πολιτειῶν against Spengel/Ross conjecture per Lossau 1971."
PHX-06-GONZALEZ,marginal-note,CONCEPT:kassel-vs-ross-1404a-variants,textual-critical,6,1404a2 + 1404a4,González,"n.12: textual variants between Kassel 1976 and Ross 1959 at 1404a2 (οὐχ ὡς vs. οὐκ) and 1404a4 (ζητεῖν vs. ζητεῖ)."
PHX-06-GONZALEZ,qualifies,READING:psychological-phantasia-thesis,interpretive-thesis,30,1404a11 + n.90,González,"Closing qualification: lexis-as-phantasia is limited (οὐ μέντοι τοσοῦτον) — realistic estimate, not dismissive aside. Proposed retranslation."
