edge_id,source,relation,target,evidence_book_pages,evidence_pdf_pages,edge_category,provenance,notes
E25,act-agency-ratio,is-primary-ratio-of,pragmatism,275;282;283,296;303;304,internal-grammar,exegetical,"Documentary historiography as featuring of agency; two principles of verification = two act-agency modes."
E26,agency-purpose-ratio,is-culminating-ratio-of,chapter (Mysticism of Means),309;310;311,330;331;332,internal-grammar,exegetical,"Means-end ambiguity Burke critiques in Huxley; means as ancestor of end (deus implicitus/explicitus)."
E27,act-purpose-ratio,is-primary-ratio-of,mysticism,307;308,328;329,internal-grammar,exegetical,"Raskolnikov's 'absolute' act conceived independently of conditions; criminal communion with cosmic motives."
E28,agent-purpose-ratio,produces,super-self-non-self,300;301,321;322,internal-grammar,exegetical,"Mysticism and Idealism: the Self — universalized first-person; Kant's synthetic unity of apperception."
E29,scene-agency-ratio,enables,action-motion-ambiguity,286;287,307;308,internal-grammar,exegetical,"Pragmatism straddles action-motion; reduction of action to motion = reduction to Agency."
E30,mysticism,converges-with-by-narrowing-circumference,materialism,291,312,internal-grammar,exegetical,"GM-04↔GM-07 cross-chapter: 'motivational schemes that would feature it less may allow it more.'"
E31,money,is-indeterminately-Agent-or,Purpose,276;286;289;290;314;315;316,297;307;310;311;335;336;337,internal-grammar,exegetical,"'Mysticism of money' (Harold Loeb); cash-value; capitalist investment as incipient-act/representative-moment; St Ambrose ransom-resonance."
E32,Burke-Grammar-1945,forward-references,Burke-Rhetoric-of-Motives-1950-Attitude,314,335,forward-reference,pending-future-rhetoric-of-motives-pipeline,"'Humanitarian ambiguity ... of the attitude, the incipient act' anticipates Attitude as sixth pentad term."
E33,Burke-Grammar-1945,forward-references,Burke-War-of-Words-2018,305;319,326;340,forward-reference,pending-future-pipeline,"Ad Bellum Purificandum motto + purification-of-war close anticipate recovered Symbolic of Motives apparatus."
E34,Burke-physiology-of-mysticism,anticipates,Uexkull-Funktionskreis-Merk-Wirk,294;295,315;316,cross-pipeline,anticipatory-projection (Burke 0 Uexküll hits),"Receptor/effector decoupling description of mystic 'pure action / pre-motion' parallels Funktionskreis receptor/effector pairing. Provenance: parallel-discovery."
E35,Burke-Silence-and-the-Hunt,anticipates,Uexkull-Bedeutungstrager-closure-on-need,305;306,326;327,cross-pipeline,anticipatory-projection (Burke 0 Uexküll hits),"'At the very centre of mobility is the purpose of the hunt; hence the imagery of the desired as that for which we hunger' — Funktionskreis closure on biologically-valenced object."
E36,Agency-as-Burke-pentad-term,maps-to,Heideggerian-Zeug-Bewandtnis-Worumwillen,276;281,297;302,cross-pipeline,anticipatory-projection (Burke 0 Heidegger hits),"Burke 'instrument has purpose imbedded in structure and design' anticipates Being and Time §18 in-order-to / for-the-sake-of-which structure of equipment."
E37,Purpose-as-Burke-pentad-term,maps-to,Heideggerian-Worumwillen,287;288;293,308;309;314,cross-pipeline,anticipatory-projection (Burke 0 Heidegger hits),"'Unity of the individual with cosmic or universal purpose' parallels Dasein's ultimate-for-the-sake-of-which (§18 §69). Provenance: parallel-discovery."
E38,Burke-pre-motion-incipient-action,anticipates,BCAP-pathos-incipient-affective-tonality,294;295;314,315;316;335,cross-pipeline,anticipatory-projection (Burke 0 Heidegger hits),"Pre-motion / 'attitude as incipient act' converge with BCAP's reading of Aristotelian pathos as incipient affective comportment."
E39,Agency-as-Burke-pentad-term,maps-to,Calleja-PIM-Kinesthetic-and-Ludic,275;281,296;302,cross-pipeline,anticipatory-projection (bi-anticipatory: Burke 0 Calleja; Calleja 0 Burke),"Controls + rules-as-means; Bridgman operationalism anchor for kinesthetic-input as constitutive of described-act."
E40,Purpose-as-Burke-pentad-term,maps-to,Calleja-PIM-Ludic-goals-and-Narrative-arc,287;293;307,308;314;328,cross-pipeline,anticipatory-projection (bi-anticipatory),"Game-goal pursuit + story-arc closure; unity-with-universal-purpose as structural template for narrative-immersion."
E41,Burke-action-motion-ambiguity,anticipates,Rickert-Ambient-Rhetoric-scene-agency-ambience,286;287;299,307;308;320,cross-pipeline,anticipatory-projection,"'Fluctuant situation in which merger and division keep changing places' shares ambient-textured scene-agency dynamics."
E42,Burke-attitude-as-incipient-act,anticipates,Gross-Uncomfortable-Situations-situated-emotion,314,335,cross-pipeline,anticipatory-projection,"Coin tossed to the leper as 'humanitarian ambiguity ... of the attitude, the incipient act' — situated-incipient-act framing."
E43,Burke-Purpose-in-Aristotle,connects-EXEGETICALLY-to,Aristotle-Complete-Works-pipeline,292;293,313;314,cross-pipeline,EXEGETICAL,"Direct citations of Rhetoric I.5, Nicomachean Ethics I.1, Politics — strongest EXEGETICAL cross-pipeline edge for Purpose term."
E44,Burke-demonic-trinity-body-thinking,anticipates,Hawhee-Moving-Bodies-Burke-at-edges-of-language,302;303;305,323;324;326,cross-pipeline,pending-future-hawhee-moving-bodies-pipeline,"Cloacal/demonic-trinity + Silence-and-Hunt + physiology of mysticism are canonical Burke-Hawhee body-thinking anchor passages. Hawhee Moving Bodies index not on disk per Phase 0 §9."
