edge_id,source,relation,target,book_page,pdf_page,provenance,note
E-GM05-024,als-ob,bridges,necessity-and-freedom,196,217,exegetical,Kantian regulative principle; ideas of God/freedom/immortality as moral motive
E-GM05-025,constitution-enactment,analogizes,freedom-necessity-bridge,196,217,exegetical,Burke's non-Kantian-but-not-anti-Kantian Grammatical gloss
E-GM05-026,Fichte,abolishes,thing-in-itself,198,219,exegetical,Returns idealism to Berkeleian agent-monolithic terminus via Ego/Non-Ego
E-GM05-027,post-Kantian-idealism,exhibits,externalization-pattern,199,220,exegetical,Inner-to-outer figure: implicit-explicit unconscious-conscious magma-lava visceral-excretory
E-GM05-028,Schopenhauer,prefigures,compulsion-neurosis-psychology,200,221,exegetical,Externalizations of universal will as involuntary expressions
E-GM05-029,Marxism,grows-antithetically-from,Hegelian-idealism,200,221,exegetical,Materialist reversal of Hegel's spirit-genealogy
E-GM05-030,Marxism,best-translated-as,idealistic-materialist,201,222,exegetical,Burke's diagnostic verdict: dialectical-materialism is structurally idealist
E-GM05-031,Marxism,features-as-locus,Agent,201,222,exegetical,Hybrid: surface materialist vocabulary masks class-as-collective-agent motive-locus
E-GM05-032,class,is-collective-agent-in,Marxism,200,221,exegetical,Class-consciousness + class-action; bearer of actus/status/properties
E-GM05-033,Lenin,permits,agenthood-in-matter,201,222,exegetical,Property similar to sensation in foundation stones of structure of matter itself
E-GM05-034,Hegel,exhibits,cunning-of-reason,203,224,exegetical,Spirit acts through subjective passions; private aims unconsciously serve Universal design
E-GM05-035,World-Historical-Hero,exemplifies,agent-close-to-spirit,204,225,exegetical,Alexander/Caesar/Napoleon as agents proximate to fountainhead of Spirit
E-GM05-036,Communist-Manifesto,functions-as,constitution,204,225,exegetical,Soundly constitutive: grounds politics in statements about universal scene-narrowed-to-naturalistic-limits
E-GM05-037,actus,grounds,status,211,232,exegetical,Burke's GM-02 substance-vocabulary imported into Marxist reconstruction
E-GM05-038,adequate-idea,equals,active-idea,211,232,exegetical,Spinozist-translated criterion: idea active insofar as accurately names malign/benign properties
E-GM05-039,inadequate-idea,yields,social-passion,211,232,exegetical,Class-level analogue of Spinozist confused-idea/passion pair
E-GM05-040,Santayana,parallels,Marxism-as-idealistic-materialist,215,236,exegetical,Materialism grown antithetically from German transcendentalism; agent-featuring core preserved
E-GM05-041,essence,is-eternal-possibility,Santayanan-realm,219,240,exegetical,Indelible background; infinity of essences only fraction embodied in existence
E-GM05-042,Avicebron-scribe-script-scroll,maps-to,scene-act-agent,220,241,exegetical,Scene=matter (scroll); act=form (script); agent=will (scribe)
E-GM05-043,imagination-cult,inherits-scientism-from,Kantian-idealism,224,245,exegetical,Stevens via Coleridge from Kant; ironic anti-science position inherits scientist patterning
E-GM05-044,Stevens-imagination-cluster,exhibits,idealist-agent-vocabulary,224,245,exegetical,Personality + indirect egotism + nervous sensitiveness + sensation + temperament cluster
E-GM05-045,Agent,maps-anticipatorily-to,Aristotelian-psuche,171,192,anticipatory-projection,Bridge to Aristotle Complete Works + Phantasia Cluster indices; Burke does not himself anchor here
E-GM05-046,Agent,maps-anticipatorily-to,Heideggerian-Dasein,171,192,anticipatory-projection,Bridge to Heidegger BCAP + Being and Time; Burke 1945 predates English-language Heidegger reception
E-GM05-047,Agent,maps-anticipatorily-to,Calleja-Shared-plus-avatar,171,192,anticipatory-projection,Bidirectional Burke-Calleja cross-map; who-is-acting question + avatar/character/player axis
E-GM05-048,Agent,maps-anticipatorily-to,Uexkull-subject-of-functional-circle,171,192,anticipatory-projection,Innenwelt as inner-world bearer of Merken/Wirken loop; risk-flag forcing the parallel
E-GM05-049,Agent,forward-references,RoM-Attitude-and-consubstantiation,171,192,anticipatory-projection,Pending-future-rhetoric-of-motives-pipeline; 6th term + identification mechanism
