source,relation,target,domain,evidence,contributor
sun-illusion,qualifies,a case with NO subject-level inconsistency (belief 'sun is huge' uncompromised),philology-of-aristotle,DA 3.3 428b7-9; ch.10.4.4,Dow
Dow,contests,the Platonic 'mixture view' of appearance (doxa + aisthesis),history-of-philosophy,Sophist 263d-264b; DA 3.3 428a24-b9,Dow
recalcitrant passion,extends-reading-of,genuine subject-level conflict/inconsistency (a desideratum met),philosophy-of-mind,ch.10.2; 10.4.4,Dow
recalcitrant passion,defines,two malfunctions (unregulated phantasia + still-affirmed less-authoritative phantasma),moral-psychology,ch.10.6,Dow
evaluative phantasmata,defines,necessary motivational consequences regardless of conflicting belief,philosophy-of-mind,De Motu 8 701b33-702a2,Dow
covering-over of reason,qualifies,a matter of degree (not all-or-nothing),philosophy-of-mind,Insomn. 460b11-16; DA 3.3 429a7,Dow
evaluative phantasia,qualifies,must 'listen to reason' / completely concur (non-evaluative need not),moral-psychology,EN 1.13 1102b13-33; ch.10.5.3,Dow
the painting case (unmoved as by a painting),instances-in-text,evaluative phantasia successfully concurring with reason,philosophy-of-mind,DA 3.3 427b21-4; Rep. 10 596d-e,Dow
Odysseus's anger (thumos-akrasia),instances-in-text,conflict over the all-things-considered verdict not the representation,moral-psychology,EN 7.6 1149a21-b26; Od. 20,Dow
appetite-akrasia,instances-in-text,reason rejects appetite's 'unqualifiedly good' not its pro-tanto representation,moral-psychology,DA 3.10 433b5-10,Dow
Dow,concedes,passion at known fiction is UNRESOLVED (malfunction vs taking-as-real),moral-psychology,Conclusions pp.226-8,Dow
Dow,qualifies,tragic pity/fear may target universal human truths (Poetics escape),rhetorical-theory,Poetics 1451a36-b10; 1452b30-1453a5,Dow
human and non-human passions,extends-reading-of,common phantasia differing 'by the more and the less',moral-psychology,HA 8.1 588a18-30,Dow
Dow,qualifies,a recalcitrant emotion's failing is LESS severe than inconsistent beliefs (reason is the ruling part),moral-psychology,ch.10.7,Dow
Dow,concedes,passion may sometimes track evidence better than reasoned belief (its persistence a merit),moral-psychology,EN 7.9 1151b17-22; ch.10.7,Dow
virtue,extends-reading-of,unconflicted affirmation of the correct appraisal (better than self-control),moral-psychology,EN 1.13 1102b26-8; ch.10.8,Dow
Dow,cites,Moss 2009/2012a (allied on phantasia + DA3.10/EN7.3; opposed on the attitude),moral-psychology,ch.10 n.43-44 n.48; 'justly celebrated Moss 2009',Dow
Dow,contests,Fortenbaugh's causes-not-passions thesis (while allied on taking-as-true),moral-psychology,Dow (2011 pp.58-9); ch.10 n.1,Dow
Dow,extends-reading-of,Dow 2009 'Feeling Fantastic?' (now revised toward subject-level affirmation),moral-psychology,ch.10.1 n.3; n.42,Dow
Dow,cites,Brady 2007/2008 (recalcitrant emotions and visual illusions),philosophy-of-mind,ch.10.2 n.14-16,Dow
affirmation as yes-saying,bridges-to-pipeline,Heidegger BCAP (doxa as yes-saying / pathos as being-taken),history-of-philosophy,ch.10.4; Introduction,Dow
emotion has a legitimate place in public reason,bridges-to-pipeline,Uncomfortable Situations (Gross 2017) situated public emotion,rhetorical-theory,Introduction (Significance); Young (2000),Dow
phantasia (capacity involved in passions),bridges-to-pipeline,Phantasia Secondary cluster (Caston 1996/1998; Lorenz 2006; Nussbaum 1978),philosophy-of-mind,ch.10.3 n.22 n.78,Dow
