subject,stimulus,round,window,baseline,n_samples,gaze_deg_median,gaze_deg_p90,gaze_deg_p95,gaze_deg_mean,gaze_horiz_range_deg,gaze_vert_median_deg,gaze_vert_p5_deg,gaze_pct_beyond_5deg,gaze_excursions_beyond_5deg,gaze_excursion_rate_5deg_per_min,gaze_pct_beyond_10deg,gaze_excursions_beyond_10deg,gaze_excursion_rate_10deg_per_min,gaze_pct_beyond_15deg,gaze_excursions_beyond_15deg,gaze_excursion_rate_15deg_per_min
R2-02,BOR,2,full,forward,90436,11.7541703009,23.1252178355,26.4490972635,12.866740692,33.4129726582,-6.30968439515,-22.0546231054,85.3752930249,678,39.9165463549,56.7307267018,903,53.1631878443,36.4854703879,776,45.686194648
R2-02,BOR,2,r1matched,forward,64205,13.45422548,24.0045594105,28.0317290173,14.223247824,33.9318689859,-8.9557355365,-23.0648507352,89.5786932482,444,34.7042454763,64.7753290242,687,53.6977852302,43.2100303715,633,49.4769986182
R2-02,CLC,2,full,forward,118755,9.01873745134,20.709508242,23.9774859241,10.6348615188,24.5245546304,-4.77469272776,-21.1980898698,77.7609363816,974,57.1056620201,44.2633994358,844,49.4837564117,23.8103658793,562,32.9500842457
R2-02,CLC,2,r1matched,forward,90731,8.71202464155,20.3867087677,23.71482568,10.2934796129,22.6827364393,-4.02936506625,-21.3161508496,76.2561858681,773,59.2079193653,41.8434713604,601,46.0335828442,21.8668371339,376,28.799712395
R2-02,INT,2,full,forward,120482,10.463958266,22.4358467802,26.8539628042,11.9665012077,31.2873588875,-5.54629879871,-22.369235199,85.88336847,681,39.8420569205,53.1714280971,765,44.7564956596,25.931674441,516,30.1886951116
R2-02,INT,2,r1matched,forward,91937,10.5566559155,21.8215970262,26.5492605503,12.0358684742,32.0275491305,-5.71148928642,-20.8631322577,88.7770973601,470,35.8983542072,54.3100166418,623,47.5844141938,25.3184245733,407,31.0864471539
R2-03,BOR,2,full,forward,109046,10.987646576,23.6678176098,26.3093879994,12.6642712731,26.5055613673,2.70339052721,-9.03809003455,88.4993488986,700,41.1560226219,56.9842084992,1082,63.6154521098,31.1804192726,507,29.8087192419
R2-03,BOR,2,r1matched,forward,83865,10.976980349,24.4557845221,26.6423582039,12.830847856,27.0934998377,2.09523463131,-9.38062924052,87.1829726346,562,43.1909657104,56.4884039826,822,63.1725512703,33.0113873487,370,28.4353332968
R2-03,CLC,2,full,forward,131750,9.66128945109,19.3568990477,22.5894921084,11.2042633358,20.9392385846,-4.12664427927,-16.1337121368,89.8406072106,1203,61.8074097826,47.6303605313,1098,56.4127480809,24.9434535104,664,34.1148130471
R2-03,CLC,2,r1matched,forward,104404,9.86538250913,19.6868056346,22.9608420546,11.4312878932,21.6105215302,-3.92724471343,-16.1862959553,90.4840810697,944,61.0460873041,49.0019539481,866,56.0020250056,26.1369296196,530,34.2737566432
R2-03,INT,2,full,forward,117432,13.6236949082,24.98611876,28.2134873302,14.8353248807,24.7661268717,-7.57357472726,-18.544954465,96.4830710539,608,35.6064630806,70.96617617,1387,81.2272439026,43.2054295252,967,56.6306740114
R2-03,INT,2,r1matched,forward,89773,13.9320495499,24.773291507,27.8928232018,15.0058773157,24.9345742056,-8.02409034185,-17.8929325675,97.5304378822,372,28.4499685469,73.444131309,1124,85.9617329211,44.5222951221,824,63.0182098995
R2-04,BOR,2,full,forward,112134,8.68092190582,16.0995292691,18.9541711669,9.3995853789,24.0755332323,4.31948599966,-10.5751238248,81.1493391835,1079,63.903868745,41.1008257977,966,57.2114339274,13.2047371894,428,25.3483371852
R2-04,BOR,2,r1matched,forward,85296,9.22847915961,16.7192861672,19.6533248135,9.80034897725,26.1106188602,4.04422039936,-11.7147606725,82.5138341775,848,65.8019527899,45.3549990621,778,60.370187819,15.2093884825,389,30.1850939095
R2-04,CLC,2,full,forward,121001,7.87290470723,16.1475037021,18.7269831383,8.90692827093,23.4369136336,3.81815250167,-13.2420792702,78.0365451525,968,54.5225666909,32.5261774696,686,38.6389263946,12.5618796539,352,19.8263878876
R2-04,CLC,2,r1matched,forward,94469,8.33340131025,16.3652305474,18.8337461405,9.31269030483,24.3746284189,4.34754997411,-13.3085757701,80.8021679069,714,51.9115743526,36.1578930655,552,40.1333179869,13.5758820354,326,23.7019233038
R2-04,INT,2,full,forward,114702,6.38837779251,16.098931027,20.5189142219,7.85227617863,23.7240108947,0.25047940568,-12.6277613302,63.9657547384,1099,64.2956996553,23.1573991735,537,31.4165520608,11.4915171488,227,13.2803674447
R2-04,INT,2,r1matched,forward,87357,5.87042907294,15.5350449954,20.6467897357,7.53994344163,24.6856068692,-0.0961698249051,-11.9226988658,59.2293691404,895,68.3662095571,21.3961102144,381,29.1033808282,10.6997721991,180,13.7496287377
S01,BOR,1,crop,forward,1970,15.3543968349,26.2970690641,29.0286391959,15.7324180116,36.792386083,-12.3605298254,-22.3990305522,93.654822335,38,3.1107551631,79.847715736,118,9.65971340122,52.385786802,170,13.916536256
S01,CLC,1,crop,forward,2079,7.08569107679,19.3019016358,22.813765445,8.90815821995,23.2764043027,-2.35043242601,-18.1860172034,68.3982683983,215,17.599292754,30.1587301587,203,16.6170066468,16.6426166426,145,11.869290462
S01,INT,1,crop,forward,1819,9.19540975616,20.8935473604,25.0090701936,10.9895984832,29.9767086849,-5.7383126617,-20.6786061446,80.4288070368,111,10.0743322351,45.62946674,153,13.8862417295,24.8488180319,124,11.2542089834
S02,BOR,1,crop,forward,2201,13.2915798551,23.9465991946,28.3958607384,14.5626136426,36.6897546064,-7.702116134,-22.7720601203,91.4129940936,91,5.97206256009,66.3334847796,176,11.5503627536,41.3902771468,190,12.469141609
S02,CLC,1,crop,forward,2161,10.5781568018,23.6686599354,28.1737154516,12.5531092482,27.232640666,-4.18581670916,-25.1495201936,85.4696899584,144,9.50818264955,52.799629801,225,14.8565353899,28.2276723739,168,11.0928797578
S02,INT,1,crop,forward,2481,14.4113764103,27.638079577,33.0970723296,16.2846409665,36.3558717643,-10.3747435279,-27.3812618421,95.9290608626,49,3.31917228423,81.6203143894,140,9.48334938353,46.4731962918,217,14.6991915445
S03,BOR,1,crop,forward,1740,11.2522449133,21.369396204,25.3686989001,12.4801781177,32.9365205427,0.22923772207,-16.1407606677,85,151,12.8073553235,57.1264367816,251,21.2890475908,31.6666666667,228,19.3382583693
S03,CLC,1,crop,forward,2252,11.5521456789,20.0908610952,23.0633835582,12.0729627866,32.7531216285,2.40789105751,-18.1445629808,87.6110124334,181,13.5100336258,59.5914742451,300,22.3923209267,30.3285968028,261,19.4813192063
S03,INT,1,crop,forward,1774,10.3992882175,20.6163028519,23.1959973227,11.4331466911,31.7654047381,3.35351422145,-13.847629434,83.2581736189,168,14.7213029521,52.0856820744,296,25.9375337728,27.0574971815,208,18.2263750836
S04,BOR,1,crop,forward,2266,14.7654437423,26.0599051473,28.9728495081,15.1005814183,44.4882382175,5.10625452097,-18.3457429194,89.4527802295,133,9.65143562081,67.9170344219,227,16.472751022,49.0732568402,283,20.5365133886
S04,CLC,1,crop,forward,2415,16.0855301185,24.655066247,26.9345787873,16.4589994079,29.1689786013,-4.70590101196,-21.9626914121,96.8944099379,51,3.60227155006,84.3892339545,199,14.0559223228,56.8530020704,335,23.6619797896
S04,INT,1,crop,forward,2512,12.285310819,26.1074024014,30.0338209587,13.7630731208,40.1267058031,2.46469051624,-23.4103398001,88.097133758,161,10.8995883882,62.7388535032,328,22.205372617,37.5,304,20.5805892548
S05,BOR,1,crop,forward,503,11.2384910776,25.0716223629,30.0299369286,12.5009258224,34.2727716508,-6.65969814874,-22.2314918015,85.0894632207,38,2.87417178471,62.4254473161,65,4.91634647385,25.2485089463,55,4.15998547787
S05,CLC,1,crop,forward,1905,9.16401981223,18.3140978075,20.7618513778,10.3592200744,20.227182649,4.81715232198,-18.4876307619,84.5669291339,124,10.0950892276,43.2545931759,230,18.7247622769,19.6850393701,184,14.9798098215
S05,INT,1,crop,forward,2077,12.3392569554,22.4581086175,28.2202145323,13.6891622866,25.9662850929,-9.32390089516,-25.3352660374,95.7631198844,61,4.48992159812,68.8493018777,223,16.4139756784,31.0062590274,216,15.8987387737
S06,BOR,1,crop,forward,2020,20.1677068393,31.2158955924,33.9945060839,21.3176283978,37.6969808186,-16.0194205092,-27.452183641,96.9306930693,44,3.33140263408,86.9801980198,129,9.76706681355,72.1287128713,161,12.1899050929
S06,CLC,1,crop,forward,77083,18.8398235053,29.4051761449,33.6490112265,19.6803154953,34.3760181392,-4.41539864402,-29.7516483958,96.7178236446,205,14.9354315793,88.529247694,363,26.44664226,72.5789084493,569,41.4549296031
S06,INT,1,crop,forward,84726,10.3553608906,23.0254920085,27.0518923895,11.9452297512,31.4868662519,-2.06370041777,-20.3608466726,81.6065906569,681,50.9529041035,51.989944055,675,50.5039798383,27.9689823667,414,30.9757743008
S07,BOR,1,crop,forward,1630,13.6468679207,32.480103271,125.264389683,23.0244162404,146.987485822,-10.4260927753,-35.2643896828,85.7668711656,103,6.35361246048,63.6809815951,148,9.12946256458,45.4601226994,141,8.6976636595
S07,CLC,1,crop,forward,2438,6.74802970029,19.8932077883,33.8652474337,13.5898959983,28.1088339038,-2.52086567702,-27.7072119014,63.6587366694,250,17.0740924551,29.6964725185,225,15.3666832096,15.8736669401,127,8.67363896718
S07,INT,1,crop,forward,2291,11.0763611109,20.7563639352,22.4449808876,13.6949895093,37.1383367126,-3.72895610361,-16.4381904461,85.5958096901,187,11.5639107043,55.7835006547,271,16.7583946571,31.1217808817,211,13.0480489766
S08,BOR,1,crop,forward,971,14.7488036004,19.107018764,20.9315131587,13.6072707148,17.195022963,-13.4750563484,-18.5704250347,91.3491246138,24,2.17884043323,76.3130792997,28,2.54198050543,46.7559217302,50,4.53925090255
S08,CLC,1,crop,forward,2349,6.9558631527,16.699316935,21.9427562471,8.58947866569,17.8021207939,0.515750216559,-19.2412924744,66.8369518944,228,15.3474377183,30.6939123031,211,14.2031112218,13.0693912303,121,8.14491212246
S08,INT,1,crop,forward,2033,10.2664179002,20.6549039498,27.8967538823,11.3873043933,32.5134118953,0.0572924089088,-20.8432759335,79.2424987703,176,13.8102038574,51.7953762912,246,19.3028985735,22.9217904575,189,14.8302757333
R2-01,BOR,2,full,subject,98511,10.7083228008,20.2873728739,22.8769085339,11.7422008452,36.726285414,-0.215070714858,-15.0546135818,86.9395295957,496,29.0263959822,54.8974226229,599,35.0540548253,28.0983849519,420,24.5788030495
R2-01,BOR,2,r1matched,subject,73442,11.7398396781,21.0190852799,23.414371815,12.333795573,37.953164386,-1.34737967048,-14.8498335867,85.3122191661,400,30.5693255259,59.6620462406,418,31.9449451746,34.1630129898,350,26.7481598352
R2-01,CLC,2,full,subject,120267,9.99599778384,18.3284013632,21.3836530483,10.848137254,19.6238763817,0.723917018548,-17.4567401851,85.3251515378,750,43.5860695175,49.977965693,743,43.179266202,21.9810920701,485,28.185658288
R2-01,CLC,2,r1matched,subject,92209,9.88478351463,18.1335843799,20.909985877,10.7394694162,18.376650127,1.80742836444,-16.628520942,85.3246429307,577,43.6877577301,49.3368326302,561,42.4763121085,21.2788339533,366,27.7118185948
R2-01,INT,2,full,subject,112913,8.13228802112,21.081992887,23.7608313514,10.267933467,32.7672957577,-4.94665355003,-19.891195337,75.6874761985,916,53.6824078659,40.6357106799,694,40.6720426407,22.2295041315,453,26.5481776891
R2-01,INT,2,r1matched,subject,85969,8.39015812672,21.5752287393,24.2183369416,10.5760010835,34.4464440465,-5.20906051991,-19.9551154753,75.8401284184,726,55.5888875481,41.839500285,551,42.1893623127,23.9621258826,367,28.1007186366
R2-02,BOR,2,full,subject,90436,11.1805812257,20.3569867183,23.4803820972,11.9494445968,33.4129726582,-6.30968439515,-22.0546231054,85.9624485824,833,49.042010492,55.7808837189,955,56.2246338774,30.2036799505,805,47.3935395511
R2-02,BOR,2,r1matched,subject,64205,11.9560342187,21.1876655009,24.9346056576,12.5475074555,33.9318689859,-8.9557355365,-23.0648507352,85.6911455494,645,50.4149511986,58.8863795655,686,53.6196225151,35.0253095553,673,52.6035072196
R2-02,CLC,2,full,subject,118755,8.29816141017,17.2307675884,20.4055608421,9.34337963522,24.5245546304,-4.77469272776,-21.1980898698,74.6621194897,1014,59.4508637458,38.354595596,922,54.0568997768,16.2948928466,596,34.9435057125
R2-02,CLC,2,r1matched,subject,90731,8.26482582607,16.6592779954,19.8522341416,9.23756406194,22.6827364393,-4.02936506625,-21.3161508496,75.9189251744,736,56.3739051137,37.4888406388,684,52.3909661654,14.7953841576,407,31.174156768
R2-02,INT,2,full,subject,120482,8.54087175797,20.3036240264,24.0258940918,10.2287479698,31.2873588875,-5.54629879871,-22.369235199,78.5287428828,931,54.4683626917,40.6384356169,730,42.7088128517,19.8494380903,481,28.1410123036
R2-02,INT,2,r1matched,subject,91937,8.54157714767,19.7591351729,23.9666527066,10.1833050021,32.0275491305,-5.71148928642,-20.8631322577,80.203835235,748,57.1318488234,40.0448132961,591,45.1402709287,18.327767928,376,28.7186833658
R2-03,BOR,2,full,subject,109046,10.6288196419,16.7741323064,18.5869667217,10.820894464,26.5055613673,2.70339052721,-9.03809003455,90.2463180676,739,43.4490010251,55.0098123728,1408,82.782399788,17.7631458284,955,56.1485737199
R2-03,BOR,2,r1matched,subject,83865,10.5208179902,17.156094393,18.8537224824,10.8170531935,27.0934998377,2.09523463131,-9.38062924052,89.1611518512,545,41.8844774237,54.0261133965,1074,82.539318813,19.6780540154,742,57.024371098
R2-03,CLC,2,full,subject,131750,6.87881118034,14.2808900953,17.1634149675,7.87181492284,20.9392385846,-4.12664427927,-16.1337121368,69.7290322581,2094,107.584967652,26.8774193548,1152,59.1871455275,8.36888045541,464,23.8392669486
R2-03,CLC,2,r1matched,subject,104404,6.88844717289,14.3922031238,17.3999414348,7.88985775399,21.6105215302,-3.92724471343,-16.1862959553,69.509788897,1638,105.925308267,27.1359334891,868,56.1313599364,8.5140416076,377,24.3796344424
R2-03,INT,2,full,subject,117432,7.48765492207,17.4045880063,20.4391748797,8.93259907604,24.7661268717,-7.57357472726,-18.544954465,71.5920703045,1981,116.01382132,34.434396076,1211,70.920109853,16.0058587097,702,41.1114096753
R2-03,INT,2,r1matched,subject,89773,7.63994997271,17.0703939944,19.8403126512,8.99011787253,24.9345742056,-8.02409034185,-17.8929325675,73.7638265403,1561,119.382798123,35.0328049636,996,76.1724964319,15.5792944426,584,44.6633914822
R2-04,BOR,2,full,subject,112134,7.78806719228,16.1962687174,19.5391066842,8.83750463189,24.0755332323,4.31948599966,-10.5751238248,74.687427542,1048,62.0678910516,33.2129416591,865,51.2297001523,13.0798865643,386,22.8608835362
R2-04,BOR,2,r1matched,subject,85296,8.36369554998,16.9498032797,20.2907179472,9.33491301807,26.1106188602,4.04422039936,-11.7147606725,76.3693490902,803,62.31010388,37.8575783155,735,57.033532194,15.2656631026,351,27.2364214967
