edge_id,source_id,relation,target_id,domain,evidence_pdf_page,evidence_book_page,source_unit,contributor,notes
GE-073,US-01-DARWIN,cites,INT-US01-01,interlocutor,38,28,US-01,Gross,Darwin Expression 139-140 chimpanzee passage opens chapter
GE-074,US-01-DARWIN,cites,Ekman-basic-emotions-program,interlocutor,40,30,US-01,Gross,Ekman 1998 third-edition Commentaries quoted directly
GE-075,US-01-DARWIN,cites,Damasio-amygdala-trustworthiness,interlocutor,41,31,US-01,Gross,Damasio amygdala-trustworthiness Nature 393 (1998)
GE-076,US-01-DARWIN,cites,Noe-Out-of-Our-Heads,interlocutor,43,33,US-01,Gross,Noé 'The New Phrenology?' Out of Our Heads
GE-077,US-01-DARWIN,cites,INT-US01-05,interlocutor,44,34,US-01,Gross,"Kagan What Is Emotion? 23, 214 — category mistake"
GE-078,US-01-DARWIN,cites,Berlant-Compassion,interlocutor,47,37,US-01,Gross,Berlant Compassion intro p.3 — compassionate-conservatism passage
GE-079,US-01-DARWIN,cites,INT-US01-07,interlocutor,51,41,US-01,Gross,Charles Bell Anatomy and Philosophy of Expression — polemical foil; Fig. 1.7
GE-080,US-01-DARWIN,cites,INT-US01-08,interlocutor,41,31,US-01,Gross,Duchenne 1862 Mécanisme — French caption Fig. 1.2
GE-081,US-01-DARWIN,cites,INT-US01-10,interlocutor,50,40,US-01,Gross,Shakespeare envy/jealousy via Darwin E 260
GE-082,US-01-DARWIN,cites,INT-US01-11,interlocutor,50,40,US-01,Gross,Spenser suspicion via Darwin E 260
GE-083,US-01-DARWIN,cites,INT-US01-12,interlocutor,55,45,US-01,Gross,Sterne Sentimental Journey peasants passage p.120
GE-084,US-01-DARWIN,cites,INT-US01-13,interlocutor,57,47,US-01,Gross,Austen Emma p.321 'no unhappy reverie'
GE-085,US-01-DARWIN,cites,INT-US01-22,interlocutor,57,47,US-01,Gross,"Horn Natural History of Negation xiii, 303-304 — litotes"
GE-086,US-01-DARWIN,cites,INT-US01-23,interlocutor,60,50,US-01,Gross,Roughgarden Evolution's Rainbow — balanced portfolio
GE-087,US-01-DARWIN,contests,Ekman-basic-emotions-program,interlocutor,38,28,US-01,Gross,Darwin 'outstrips' Ekman's anti-rhetorical science of emotion — chapter's animating polemic
GE-088,US-01-DARWIN,contests,P-US01-02,position,44,34,US-01,Gross,Impoverished Darwinianism diagnosis — Ekman+legions leave Darwin behind with sleight of hand
GE-089,US-01-DARWIN,contests,INT-US01-17,interlocutor,46,36,US-01,Gross,Crane Shakespeare's Brain lexical analysis fails at the cognitive-science situating move
GE-090,US-01-DARWIN,contests,Zunshine-theory-of-mind,interlocutor,56,46,US-01,Gross,Zunshine Cartesian-computing-machine theory-of-mind contested as desensitizing
GE-091,US-01-DARWIN,contests,Dreyfus-pragmatic-phenomenology,interlocutor,58,48,US-01,Gross,Dreyfus background-of-intentionality inadequate for literature; satisfactory-gestalt-causes-action distinction
GE-092,US-01-DARWIN,contests,INT-US01-26,interlocutor,55,45,US-01,Gross,Pinker 'cheesecake for the mind' literary-Darwinism rejected — Sterne escapes virtual-experience model
GE-093,US-01-DARWIN,extends,Noe-Out-of-Our-Heads,interlocutor,39,29,US-01,Gross,Aligns Darwin with Noé situated-cognition program
GE-094,US-01-DARWIN,extends,INT-US01-15,interlocutor,54,44,US-01,Gross,Chalmers 'extended emotion' formulation — Gross radicalizes via Darwin
GE-095,US-01-DARWIN,extends,P-US01-09,position,59,49,US-01,Gross,Uncomfortable-situatedness thesis — volume's titular concept crystallized via Sterne
GE-096,US-01-DARWIN,concedes,Ekman-basic-emotions-program,interlocutor,50,40,US-01,Gross,Ekman recognizes the complication of love/hatred/envy/jealousy duration but circumvents by relabeling
GE-097,US-01-DARWIN,qualifies,P-US01-10,position,60,50,US-01,Gross,Indeterminacy as in-built (Griffiths-Scarantino) but 'not radical indeterminacy' (PDF 59)
GE-098,US-01-DARWIN,bridges-to-pipeline,HR-01-GROSS-Secret-History-of-Emotion,bridge,41,31,US-01,Gross,Footnote 11 explicitly cites Gross Secret History of Emotion 21-50 for extended Damasio critique
GE-099,US-01-DARWIN,bridges-to-pipeline,US-04-AUSTEN,bridge,56,46,US-01,Gross,'That's one function of negation as we will see in Austen as well' — explicit forward-reference to Ch.4
GE-100,US-01-DARWIN,instances-in-text,FIG-1.1,figure,39,29,US-01,Gross,Chimpanzee disappointed and sulky — Darwin Expression p.139 / Wellcome Library
GE-101,US-01-DARWIN,instances-in-text,FIG-1.2,figure,41,31,US-01,Gross,Horror and Agony — Duchenne photograph Darwin Expression p.307
GE-102,US-01-DARWIN,instances-in-text,FIG-1.3,figure,42,32,US-01,Gross,Rejlander astonishment top / Duchenne 24-person-judgment-experiment bottom
GE-103,US-01-DARWIN,instances-in-text,FIG-1.4,figure,43,33,US-01,Gross,Uncropped Duchenne photograph
GE-104,US-01-DARWIN,instances-in-text,FIG-1.5,figure,43,33,US-01,Gross,Ekman initial basic-emotion image set — anger/fear/disgust/surprise/joy/sadness/contempt(Ekman-himself)
GE-105,US-01-DARWIN,instances-in-text,FIG-1.6,figure,52,42,US-01,Gross,Laocoön and Sons — Hellenistic marble
GE-106,US-01-DARWIN,instances-in-text,FIG-1.7,figure,53,43,US-01,Gross,Sir Charles Bell sketch from Anatomy and Philosophy of Expression
GE-107,US-01-DARWIN,instances-in-text,FIG-1.8,figure,54,44,US-01,Gross,Countermodel triptych: POFA smile / Happy Meal / Joystick
GE-108,US-01-DARWIN,instances-in-text,FIG-1.9,figure,61,51,US-01,Gross,Weeping Children (Ginx's Baby — drawing-disguised-as-photograph per Prodger / n.52)
GE-109,US-01-DARWIN,re-reads-author,INT-US01-01,interlocutor,38,28,US-01,Gross,Re-reads Darwin against the Ekman-tradition reception: not proto-FACS but rhetorician of emotion
GE-110,US-01-DARWIN,re-reads-author,Aristotle-Rhetoric-II-pathe,interlocutor,50,40,US-01,Gross,Re-reads Aristotle Rhetoric II as Darwin's analogue — cast-of-characters specification of hatred
GE-111,US-01-DARWIN,cross-discipline-bridges,Noe-Out-of-Our-Heads,interlocutor,39,29,US-01,Gross,Philosophy of biology (Noé) ↔ literary humanities — situated cognition aligned with rhetorical emotion
GE-112,US-01-DARWIN,cross-discipline-bridges,Berlant-Compassion,interlocutor,47,37,US-01,Gross,Affect theory (Berlant Compassion) ↔ political-economy critique of compassionate conservatism
GE-113,US-01-DARWIN,cross-discipline-bridges,INT-US01-23,interlocutor,60,50,US-01,Gross,Evolutionary biology (Roughgarden) ↔ semiotic indeterminacy / rhetoric
GE-114,US-01-DARWIN,cross-discipline-bridges,INT-US01-22,interlocutor,57,47,US-01,Gross,"Linguistic pragmatics (Horn neo-Gricean negation) ↔ literary stylistics (Sterne, Austen)"
GE-115,US-01-DARWIN,glosses-greek,pathos,greek,50,40,US-01,Gross,Aristotle Rhetoric II pathē as implicit anchor for Darwin's hatred-passage cast-of-characters analysis
GE-116,US-01-DARWIN,marginal-note,INT-US01-09,interlocutor,42,32,US-01,Gross,Rejlander as Victorian London photographer — appears in Fig. 1.3 top image of 'astonishment'
GE-117,US-01-DARWIN,marginal-note,INT-US01-25,interlocutor,53,43,US-01,Gross,Heretical aside: Darwin turning toward Marx on Happy Meal commodity-fetish accessory-with-life-of-its-own
GE-118,US-01-DARWIN,marginal-note,INT-US01-27,interlocutor,51,41,US-01,Gross,Lessing Laokoön via Darwin E 436n16 — visual arts disperse violent emotion
GE-119,US-01-DARWIN,marginal-note,INT-US01-28,interlocutor,51,41,US-01,Gross,Winckelmann edle 'noble simplicity' (Fusseli 1765 trans. p.30)
GE-120,US-01-DARWIN,marginal-note,INT-US01-29,interlocutor,51,41,US-01,Gross,Virgil Aeneid 2.223 — Laocoön mugitus 'bellowing'
GE-121,US-01-DARWIN,marginal-note,INT-US01-30,interlocutor,49,39,US-01,Gross,Hensleigh Wedgwood etymology dare manus — captive offering hands to be bound; via Darwin E 217-218
GE-122,C-US02-bearing-up,extends,C-US02-intentional-arc,,62,,US-02,Gross,PDF 62 epig + 84-86 — Bearing up names what intentional-arc rehabilitation looks like for a bearer who cannot bear himself
GE-123,C-US02-bearing-up,grounded-in,Equiano-Interesting-Narrative-189-190,,84,,US-02,Gross,PDF 84-85 — Mount Calvary unsealing set-piece is the chapter's central locus for bearing up
GE-124,C-US02-bearing-up,grounded-in,Toplady-PsalmsHymns-No-312,,84,,US-02,Gross,PDF 84 — Toplady hymn 'bears the world and all things up' supplies the figure
GE-125,C-US02-bearing-up,opposes,Dreyfus-pragmatic-phenomenology,,75,,US-02,Gross,PDF 75-77; n.28 — Bearing up cannot be rendered in pragmatic-phenomenological vocabulary of skilled coping
GE-126,C-US02-bearing-up,opposes,Kahneman-hedonic-psychology,,67,,US-02,Gross,PDF 67-71 — Bearing up is not adaptation; the becoming/being-paraplegic distinction does not exhaust it
GE-127,C-US02-bearing-up,extends,OED-bear-verb-cluster,,81,,US-02,Gross,"PDF 81 — Bearing up activates OED senses I (carry), II (sustain), 17 (be patient), 21 (keep up courage)"
GE-128,C-US02-happily-situated,re-reads-author,Equiano-Interesting-Narrative-77,,62,,US-02,Gross,PDF 62 epig + 63 + 67-70 — Layered retrospective grammar undermines naive state-description reading
GE-129,C-US02-happily-situated,grounded-in,OED-happy-as-by-chance,,70,,US-02,Gross,PDF 70; n.22 — 18th c. 'happy' = by chance underwrites the deeper ironization
GE-130,P-US02-Merleau-Ponty-Hegelian-strand,grounded-in,Merleau-Ponty-Phenomenology-of-Perception,,75,,US-02,Gross,PDF 75 — 'human situation abolishes my biological one' is the load-bearing citation
GE-131,P-US02-Merleau-Ponty-Hegelian-strand,opposes,Dreyfus-pragmatic-phenomenology,,75,,US-02,Gross,PDF 75-77 — Pragmatic phenomenology loses the Hegelian strand
GE-132,Dreyfus-pragmatic-phenomenology,contested-by,Dreyfus-pragmatic-phenomenology,,75,,US-02,Gross,PDF 75; n.28 — Dreyfus 'Intelligence without Representation' (Phenomenology and the Cognitive Sciences 2002) named target
GE-133,P-US02-Merleau-Ponty-Hegelian-strand,grounded-in,Hegel-Phenomenology-master-slave,,76,,US-02,Gross,PDF 76-77 — Findlay translation via Hegel-by-Hypertext anchors the master-slave reading
GE-134,P-US02-vested-interests-claim,grounded-in,Carretta-Equiano-2005-p98-122,,75,,US-02,Gross,PDF 75; n.26 — Carretta supplies the vested-interest vocabulary
GE-135,P-US02-vested-interests-claim,cross-discipline-bridges,Butler-Psychic-Life-of-Power-27-28,,75,,US-02,Gross,PDF 75; n.27 — 'Passionate attachments' as the structure by which subjection operates through feeling
GE-136,P-US02-vested-interests-claim,opposes,Noe-Out-of-Our-Heads,,74,,US-02,Gross,PDF 74-75 — Common-fate model cannot register asymmetric vested interests
GE-137,C-US02-black-freedom-dissipates,grounded-in,Equiano-Interesting-Narrative-161-162,,86,,US-02,Gross,PDF 86 — West-Indies inadmissibility of black testimony — Robert King defaults on debt
GE-138,C-US02-black-freedom-dissipates,extends,C-US02-race-based-slavery-as-environment,,75,,US-02,Gross,PDF 75-76 — Freedom dissipates because the recognitional infrastructure that would honor it is withdrawn
GE-139,C-US02-race-based-slavery-as-environment,cross-discipline-bridges,hostile-environment,,75,,US-02,Gross,PDF 75-76 + n.10 forecast — Salamon n.10 explicitly forecasts Ch.3 on hostile environments
GE-140,C-US02-race-based-slavery-as-environment,cross-discipline-bridges,Gibson-affordance-theory,,72,,US-02,Gross,PDF 72 (via Noe) — Negative/withdrawn affordances extend Gibson
GE-141,P-US02-Afro-Pessimism-engagement,grounded-in,Sexton-Social-Life-Social-Death-InTensions-2011,,82,,US-02,Gross,PDF 82; n.42 — Sexton's summary at p.28 anchors the engagement
GE-142,P-US02-Afro-Pessimism-engagement,grounded-in,Moten-Knowledge-of-Freedom-CR-2004,,66,,US-02,Gross,PDF 66-67; n.11 — Moten's 'other side of reason or experience' is the chapter's Afro-Pessimist toehold
GE-143,P-US02-Afro-Pessimism-engagement,opposes,P-US02-rhetoric-not-reducible-to-feeling,,82,,US-02,Gross,"PDF 82, 86 — Gross engages but does not endorse — rhetorical-humanities methodology preserved"
GE-144,C-US02-double-consciousness-insufficient,contested-by,DuBois-double-consciousness,,66,,US-02,Gross,PDF 66; n.6 — Du Bois supplies double-consciousness; Gross argues Equiano exceeds it
GE-145,C-US02-double-consciousness-insufficient,extends,Moten-Knowledge-of-Freedom-CR-2004-p299,,66,,US-02,Gross,PDF 66-67; n.11 — Moten pursues Equiano beyond double consciousness
