source_id,relation,target_id,domain,evidence_pdf_page,evidence_book_page,contributor,notes
US-00-INTRO,bridges-to-pipeline,HR-01-GROSS-Secret-History-of-Emotion-2006,rhetorical-ontology-of-emotion,13,3,Gross,"Auto-bibliographical narration: 2005/2006 polemic against brain science; three objectives; now revised toward conciliation"
US-00-INTRO,revises-prior-author-position,HR-01-GROSS-anti-science-polemic,rhetorical-ontology-of-emotion,14,4,Gross,"'There is a worthwhile science of emotion' — explicit revision of the 2006 polemic"
US-00-INTRO,contests,POSITION:Ekman-basic-emotions-program,cognitive-neuroscience-of-emotion,28,18,Gross,"Chapter 1 forecast: Darwin disentangled from heavy-handed editor Paul Ekman whose basic-emotions program has done Darwin a profound disservice"
US-00-INTRO,re-reads-author,DARWIN-LOCUS:Expression-of-the-Emotions-1872,history-of-emotion,28,18,Gross,"Chapter 1 forecast: Darwin's Expression as rhetorical text; photographs as arguments not as basic-emotion evidence"
US-00-INTRO,cites,POSITION:Noe-Out-of-Our-Heads-2009,cognitive-neuroscience-of-emotion,28,18,Gross,"Alva Noë Out of Our Heads (2009) aligned with rhetorical-situated reading of Darwin"
US-00-INTRO,instances-in-text,EQUIANO-LOCUS:happily-situated-as-a-slave-forecast,affect-theory,29,19,Gross,"Chapter 2 forecast: 'What on earth might it mean when Equiano writes he is happily situated as a slave?'"
US-00-INTRO,cites,POSITION:Du-Bois-double-consciousness-Moten-Sexton-Afro-pessimism,affect-theory,29,19,Gross,"Chapter 2 forecast: from W.E.B. Du Bois double consciousness to Moten/Sexton Afro-pessimism"
US-00-INTRO,cites,POSITION:Hartman-Scenes-of-Subjection-p10,affect-theory,27,17,Gross,"Hartman 'barbarous archive'; failure of post-abolition man; pedestrian practices below formal equality"
US-00-INTRO,defines,CONCEPT:rhetorical-theory-three-dimensions,rhetorical-ontology-of-emotion,30,20,Gross,"1) forms of address; 2) critical distance from those forms; 3) field guide to threatening/promising environments"
US-00-INTRO,cites,POSITION:Burke-Philosophy-of-Literary-Form-pp60-61,classical-rhetoric,30,20,Gross,"Note 38: Burke Philosophy of Literary Form (LSU 1973 [1941]) pp.60-61 — comfort/discomfort dialectic; consolatio philosophiae"
US-00-INTRO,cites,POSITION:Bitzer-Rhetorical-Situation-1968,classical-rhetoric,30,20,Gross,"Note 36: Bitzer 'The Rhetorical Situation' Philosophy and Rhetoric 1.1 (1968): 1-14 at p.6 — exigence as basic discomfort"
US-00-INTRO,cross-discipline-bridges,Heidegger-GA-18-Aristotle-Lectures-Aus-der-Fassung,classical-rhetoric,30,20,Gross,"Note 37: Heidegger Grundbegriffe der aristotelischen Philosophie GA 18 (Michalski ed. 2002) p.261 — lack of composure / friend-enemy / Mitsein"
US-00-INTRO,glosses-german,Aus-der-Fassung,phenomenology,30,20,Gross,"Lack of composure brought on by terror — Heidegger 1924 lectures; bridges to chapter 1 'loss of composure' forecast"
US-00-INTRO,defines,CONCEPT:rhetoric-as-humanistic-affordance-theory,rhetorical-ontology-of-emotion,32,22,Gross,"Rhetoric posits a situation that is not neutral but 'persuasive'; tripartite deliberative/forensic/epideictic"
US-00-INTRO,re-reads-author,Gibson-affordance-theory-invariance-criterion,rhetorical-ontology-of-emotion,33,23,Gross,"Chapter 3 forecast: abandon Gibson's invariance criterion to capture hostile environments not invariant w.r.t. humans-in-general"
US-00-INTRO,instances-in-text,RADCLIFFE-LOCUS:Adeline-hollow-sigh,literary-criticism,34,24,Gross,"Adeline threatened virtually by the stuff of imagination; affectability of nonreferring terms"
US-00-INTRO,cites,LITERARY-CHARACTER:Lewis-Antonia-undone-Monk-1796,literary-criticism,32,22,Gross,"Lewis The Monk 1796 — 'Am I not undone, undone for ever?'"
US-00-INTRO,cites,POSITION:Walpole-Otranto-Preface-2nd-ed-1765,literary-criticism,32,22,Gross,"Horace Walpole Castle of Otranto Preface 2nd ed. 1765 — Voltaire-via-melange on vexed domestic emotional scene"
US-00-INTRO,cites,POSITION:Bartlett-Object-Lessons-nonreferring-terms,literary-criticism,34,24,Gross,"Note 39: Jami Bartlett Object Lessons: The Novel as a Theory of Reference (Chicago 2016) — affectability of nonreferring terms"
US-00-INTRO,defines,CONCEPT:real-terror-is-fictional,rhetorical-ontology-of-emotion,34,24,Gross,"Programmatic chapter-3 thesis: terror is the stuff of uncertainties and a form of address"
US-00-INTRO,instances-in-text,AUSTEN-LOCUS:Fanny-excessively-comfortable-Dashwood,literary-criticism,36,26,Gross,"Chapter 4 forecast: Sense and Sensibility opening Fanny-and-Mr-Dashwood scene; 'excessively comfortable' as oxymoronic norm-establishment"
US-00-INTRO,contests,POSITION:Galen-disequilibrium-mixed-feelings,history-of-emotion,35,25,Gross,"Chapter 4 forecast: anti-Galenic — mixed feelings are negotiated convergences not internal humour-proportions"
US-00-INTRO,cites,POSITION:Kahneman-Miller-Norm-Theory-1986,cognitive-neuroscience-of-emotion,36,26,Gross,"Note 41: Kahneman and Miller 'Norm Theory: Comparing Reality to Its Alternatives' Psychological Review 93.2 (1986): 136-153"
US-00-INTRO,cites,POSITION:Wollstonecraft-equivocal-beings,literary-criticism,36,26,Gross,"Mary Wollstonecraft 'equivocal beings' — sisters and sisters-in-law structurally at odds around man's sentiments"
US-00-INTRO,contests,POSITION:Zunshine-theory-of-mind-Austen-criticism,cognitive-neuroscience-of-emotion,37,27,Gross,"Chapter 4 forecast: Zunshine's mind-reading approach as unecological; resource-distribution and norm-establishment are the operative dynamics"
US-00-INTRO,cross-discipline-bridges,Preston-ecological-neuroscience-Michigan-epilogue,cognitive-neuroscience-of-emotion,37,27,Gross,"Note 42: epilogue with Stephanie Preston expands Biess/Gross Science and Emotion after 1945 (Chicago 2014)"
US-00-INTRO,contests,POSITION:Phelps-amygdala-unconscious-bias-classic-fear-studies,cognitive-neuroscience-of-emotion,37,27,Gross,"Epilogue forecast: classic laboratory fear-studies persist with unconscious white/black bias while deferring causal explanation of racial slavery"
US-00-INTRO,cites,INTERLOCUTOR:Stone-Family-Sex-Marriage-1500-1800,history-of-emotion,15,5,Gross,"Note 11: Lawrence Stone Family Sex and Marriage in England 1500-1800 (1977) p.282"
US-00-INTRO,cites,INTERLOCUTOR:Geertz-Interpretation-of-Cultures-p30,literary-criticism,14,4,Gross,"Note 8: Clifford Geertz Interpretation of Cultures (Basic 1973) p.30 — concrete social events and occasions"
US-00-INTRO,glosses-german,Genussmittel,literary-criticism,26,16,Gross,"Moretti via Weber — means of pleasure (coffee, tobacco, chocolate, spirits)"
US-00-INTRO,glosses-greek,pathos-classical-lexicon,classical-rhetoric,31,21,Gross,"'Emotion — pathos in the classical lexicon — is not first and foremost something Equiano feels … but instead it transacts'"
US-00-INTRO,cites,POSITION:Barker-Benfield-Ellis-Festa-sensibility-trio,literary-criticism,14,4,Gross,"Note 4: Barker-Benfield Culture of Sensibility (Chicago 1996); Ellis Politics of Sensibility (Cambridge 2004); Festa Sentimental Figures of Empire (JHUP 2006)"
US-00-INTRO,defines,CONCEPT:critical-history-of-well-being,literary-criticism,13,3,Gross,"Positive methodological alternative to Chandler's archaeology of sympathy"
US-00-INTRO,qualifies,POSITION:Smith-sympathy-feeling-what-we-should-feel,classical-rhetoric,12,2,Gross,"Adam Smith on sympathy via Chandler p.302 — ironized in Sterne Yorick scene"
US-00-INTRO,bridges-to-pipeline,Aristotle-Rhetoric-classical-pathē-heritage,classical-rhetoric,21,11,Gross,"Pathos in the classical lexicon transacts; Hobbes's political-economy systematic mode; tripartite rhetoric — implicit BCAP heritage"
US-00-INTRO,cites,INTERLOCUTOR:Reid-Direct-Perception-1764,classical-rhetoric,18,8,Gross,"Note 15: Thomas Reid Inquiry into the Human Mind 1764 — direct perception ancestor of Gibson; the 'English philosopher' that Sterne ridicules"
US-00-INTRO,marginal-note,Snow-Two-Cultures-epilogue-frame,history-of-emotion,37,27,Gross,"C.P. Snow Two Cultures implicit in 'Irreconcilable Differences?' epilogue title"
