source,relation,target,domain,provenance,book_page
consubstantiality,maps-to-pentad-term,Act (acting-together),pentad,anticipatory-projection,21
consubstantiality,maps-to-pim-dimension,Incorporation,game-behavior,anticipatory-projection,21
consubstantiality,qualifies,identification of unequal status -> magic/mystery (seed),rhetoric,burke-direct,48
consubstantiality-implicit,bridges-to-pipeline,RM-01-consubstantiality,rhetoric,burke-direct,xi
consubstantiality-implicit,extends,identification,rhetoric,burke-direct,5
consubstantiality-ultimate,bridges-to-pipeline,RM-01-consubstantiality,cross-pipeline,burke-direct,196
context-of-situation,cites,Malinowski,anthropology,burke-direct,205
context-of-situation,cites,McKeon-Abelard,rhetoric,burke-direct,207
context-of-situation,defines,verbal-act-nonverbal-scene-relation,rhetoric,burke-direct,205
context-of-situation,extends,timely-topic,rhetoric,burke-direct,65
context-of-situation,maps-to-pim-dimension,Calleja-Social-paratext,game-behavior,anticipatory-projection,205
courtship,defines,embarrassment,rhetoric,burke-direct,208
courtship,defines,mystery-social,rhetoric,burke-direct,208
courtship,extends,hierarchy,rhetoric,burke-direct,208
courtship,extends,mystery,rhetoric,burke-direct,176
courtship,identifies-with,identification-across-ranks,rhetoric,burke-direct,208
courtship,maps-to-pentad-term,Agent,pentad,anticipatory-projection,208
courtship,maps-to-pentad-term,Attitude,pentad,anticipatory-projection,251
courtship,maps-to-pentad-term,Scene,pentad,anticipatory-projection,208
courtship,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,208
covering-motive,defines,tegumen-and-res-tegenda,rhetoric,burke-direct,100
covering-motive,extends,identification,rhetoric,burke-direct,100
covering-motive,maps-to-pentad-term,Agent,pentad,anticipatory-projection,100
covering-motive,maps-to-pim-dimension,calleja-shared-involvement,game-behavior,anticipatory-projection,100
dialectical-terms,cites,Bentham-fictitious-entities,terministic-order,burke-direct,184
dialectical-terms,defines,polar-vocabulary,terministic-order,burke-direct,185
dialectical-terms,extends,archetypation,terministic-order,burke-direct,185
dialectical-terms,extends,phraseoplerosis,terministic-order,burke-direct,185
dialectical-terms,maps-to-pim-dimension,Calleja-Social-contested-values,game-behavior,anticipatory-projection,185
dialectical-terms,qualifies,ultimate-terms,terministic-order,burke-direct,187
directing-the-intention,extends,administrative-rhetoric,rhetoric,burke-direct,157
directing-the-intention,maps-to-pim-dimension,Calleja-Narrative-involvement,game-behavior,anticipatory-projection,154
dramatic-subterfuge,qualifies,suicidal-motive,rhetoric,burke-direct,5-6
dramatic-terms-essence,cites,Adams-Education-of-Henry-Adams,literature,burke-direct,12
dramatic-terms-essence,cites,Aristotle-entelechy,philosophy,burke-direct,14
dramatic-terms-essence,defines,temporizing-of-essence,grammar,burke-direct,13-14
dramatic-terms-essence,extends,entelechy,philosophy,burke-direct,14
dramatic-terms-essence,maps-to-pentad-term,Act,game-behavior,anticipatory-projection,13-15
dramatic-terms-essence,maps-to-pim-dimension,Affective-PIM,game-behavior,anticipatory-projection,13-15
dramatic-terms-essence,maps-to-pim-dimension,Narrative-PIM,game-behavior,anticipatory-projection,13-15
embarrassment,consubstantial-with,mystery-social,rhetoric,burke-direct,208
embarrassment,consubstantial-with,stage-fright,rhetoric,burke-direct,210
enargeia,defines,rhetorical-peak-of-ultimate-order,rhetoric,burke-direct,207
entelechial-principle,extends,mystification,rhetoric,burke-direct,142
entelechial-principle,maps-to-pim-dimension,Calleja-Shared-involvement,game-behavior,anticipatory-projection,141
entelechy,bridges-to-pipeline,Grammar-of-Motives-GM-06,grammar,burke-direct,14
epideictic-rhetoric,extends,formal-appeal,rhetoric,burke-direct,71
epideictic-rhetoric,qualifies,officia-oratoris,rhetoric,burke-direct,73
face-value-imagery,contests,suicidal-motive,rhetoric,burke-direct,17-18
face-value-imagery,maps-to-pim-dimension,Affective-PIM,game-behavior,anticipatory-projection,17-18
formal-appeal,bridges-to-pipeline,Calleja-incorporation-temporal-dimension,cross-pipeline,anticipatory-projection,65
formal-appeal,defines,collaborative-expectancy,rhetoric,burke-direct,57
formal-appeal,identifies-with,identification,rhetoric,burke-direct,58
formal-appeal,maps-to-pentad-term,act,pentad,anticipatory-projection,65
formal-appeal,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,65
game-moral-naming,maps-to-pim-dimension,calleja-narrative-involvement,game-behavior,anticipatory-projection,92
generic-specific-motives,qualifies,ideology-technical,rhetoric,burke-direct,110
glamour,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,210
god-term,bridges-to-pipeline,RM-06-courtship-hierarchy,cross-pipeline,burke-direct,189
god-term,bridges-to-pipeline,rm-05-ultimate-terms,inter-unit,burke-direct,111
god-term,defines,motive-hierarchy-apex,terministic-order,burke-direct,189
god-term,extends,mystification,rhetoric,burke-direct,111
god-term,identifies-with,hierarchy,terministic-order,burke-direct,189
god-term,maps-to-pentad-term,Purpose,game-behavior,anticipatory-projection,189
god-term,maps-to-pim-dimension,Calleja-Ludic-win-condition,game-behavior,anticipatory-projection,189
goddess-mortal-boar,consubstantial-with,three-motivational-classes,rhetoric,burke-direct,215
grammar-of-regression,bridges-to-pipeline,GMB-pentad-scene-agent,grammar,burke-direct,242
grammar-of-regression,extends,hierarchy,rhetoric,burke-direct,241
hazing-initiation,extends,hierarchy,rhetoric,burke-direct,235
hazing-initiation,extends,mystery-social,rhetoric,burke-direct,235
hazing-initiation,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,235
hidden-game-systems,maps-to-pim-dimension,calleja-ludic-involvement,game-behavior,anticipatory-projection,108
hierarchic-psychosis,extends,scapegoat,rhetoric,burke-direct,141
hierarchy,cites,entelechial-principle,rhetoric,burke-direct,141
hierarchy,consubstantial-with,mystery,rhetoric,burke-direct,118
hierarchy,defines,eulogistic-term-for-bureaucracy,rhetoric,burke-direct,118
hierarchy,extends,consubstantiality,rhetoric,burke-direct,131
hierarchy,extends,courtship,rhetoric,burke-direct,142
hierarchy,extends,identification,rhetoric,burke-direct,141
hierarchy,extends,identification,rhetoric,burke-direct,191
hierarchy,extends,mystery,rhetoric,burke-direct,118
hierarchy,extends,mystery,rhetoric,burke-direct,141
hierarchy,maps-to-pentad-term,Scene,pentad,anticipatory-projection,118
hierarchy,maps-to-pentad-term,Scene,pentad,anticipatory-projection,138
hierarchy,maps-to-pim-dimension,Calleja-Shared-involvement,game-behavior,anticipatory-projection,141
identification by interests,maps-to-pim-dimension,Ludic involvement (goal-alignment),game-behavior,anticipatory-projection,25
identification,bridges-to-pipeline,RM-01-consubstantiality-keystone,cross-pipeline,burke-direct,55
identification,cites,Arnold-Empedocles-on-Etna,literature,burke-direct,7-8
identification,cites,Arnold-Sohrab-and-Rustum,literature,burke-direct,8-9
identification,cites,Coleridge-Religious-Musings,literature,burke-direct,10
identification,cites,Milton-Samson-Agonistes,literature,burke-direct,3-6
identification,consubstantial-with,consubstantiality (substantially one),rhetoric,burke-direct,21
identification,defines,collaborative-expectancy,rhetoric,burke-direct,57
identification,defines,consubstantiality,rhetoric,burke-direct,55
identification,defines,intermediate-rhetorical-area,rhetoric,burke-direct,xiii
identification,extends,communication (rhetoric as addressed),rhetoric,burke-direct,46
identification,extends,persuasion (reduced to wider term),rhetoric,burke-direct,46
identification,extends,persuasion-range,rhetoric,burke-direct,xiv
identification,extends,property (identification by),rhetoric,burke-direct,24
identification,extends,scapegoat (secularized Divine Scapegoat),rhetoric,burke-direct,31
identification,extends,transformation / reidentification,rhetoric,burke-direct,20
identification,identifies-with,A identified with B (shared interests),rhetoric,burke-direct,20
identification,maps-to-pentad-term,Agent (individual locus of motives),pentad,anticipatory-projection,20
identification,maps-to-pim-dimension,Shared involvement (avatar/guild/faction/playerbase),game-behavior,anticipatory-projection,28
identification,qualifies,division (compensatory-to),rhetoric,burke-direct,22
identification,qualifies,identification by default (autonomy of art/science),rhetoric,burke-direct,26
identification,qualifies,ingenuous vs cunning identifications,rhetoric,burke-direct,35
identification,qualifies,persuasion-range,rhetoric,burke-direct,xiv
identification,qualifies,suicidal-motive,rhetoric,burke-direct,3-6
identification,qualifies,the autonomous (not free from identification),rhetoric,burke-direct,27
identification,qualifies,unavowed theological identification,rhetoric,burke-direct,30
identification-ultimate,consubstantial-with,developmental-principle,rhetoric,burke-direct,197
identification-ultimate,maps-to-pentad-term,Agent,game-behavior,anticipatory-projection,197
identification-ultimate,maps-to-pim-dimension,Calleja-Narrative-role-identity,game-behavior,anticipatory-projection,197
ideology,identifies-with,rhetoric,rhetoric,burke-direct,88
ideology-technical,defines,inverted-genealogy-of-culture,rhetoric,burke-direct,104
ideology-technical,extends,triplicate-vocabulary,rhetoric,burke-direct,102
image-idea-dialectic,contests,esthetic-antithesis-image-idea,rhetoric,burke-direct,88
image-idea-dialectic,qualifies,image-identification-node,rhetoric,burke-direct,85
image-identification-node,consubstantial-with,identification,rhetoric,burke-direct,85
image-identification-node,extends,consubstantiality,rhetoric,burke-direct,87
image-identification-node,maps-to-pim-dimension,Spatial-involvement,game-behavior,anticipatory-projection,85
imagination-rhetorical,cites,Hazlitt,rhetoric,burke-direct,83
imagination-rhetorical,extends,identification,rhetoric,burke-direct,83
imagination-rhetorical,maps-to-pentad-term,agent,pentad,anticipatory-projection,83
imagination-rhetorical,maps-to-pim-dimension,Narrative-involvement,game-behavior,anticipatory-projection,83
imagination-rhetorical,qualifies,attitude-incipient-act,rhetoric,burke-direct,80
imitation,consubstantial-with,consubstantiality,rhetoric,burke-direct,131
imitation,qualifies,competition,rhetoric,burke-direct,131
imitation,qualifies,the-invidious,rhetoric,burke-direct,131
infancy,maps-to-pim-dimension,Calleja-Affective-involvement,game-behavior,anticipatory-projection,175
inter-work-identification,extends,identification,rhetoric,burke-direct,8-9
kafka-castle,bridges-to-pipeline,castiglione-courtier,rhetoric,burke-direct,237
kafka-castle,consubstantial-with,bureaucracy-as-hierarchy,rhetoric,burke-direct,234
kafka-castle,defines,caricature-of-courtship,rhetoric,burke-direct,233
kafka-castle,extends,hazing-initiation,rhetoric,burke-direct,235
kafka-castle,extends,mystery-social,rhetoric,burke-direct,234
kafka-castle,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,233
kafka-castle,qualifies,castiglione-courtier,rhetoric,burke-direct,233
kierkegaard-fear-trembling,defines,dialectical-lyric,rhetoric,burke-direct,244
kierkegaard-fear-trembling,defines,perpetual-courtship,rhetoric,burke-direct,251
kierkegaard-fear-trembling,extends,attitude-incipient-act,rhetoric,burke-direct,251
kierkegaard-fear-trembling,extends,pure-persuasion,rhetoric,burke-direct,230
kierkegaard-leap,extends,courtship,rhetoric,burke-direct,246
laughter-courtly,extends,hierarchy,rhetoric,burke-direct,226
laughter-courtly,identifies-with,fraternal-solidarity,rhetoric,burke-direct,227
literature-for-use,extends,identification,rhetoric,burke-direct,5
literature-for-use,extends,persuasion-range,rhetoric,burke-direct,5
local-participation-in-total-dialectic,extends,consubstantiality,rhetoric,burke-direct,196
magic,extends,primitive rhetoric (social cohesion),rhetoric,burke-direct,43
magic,qualifies,faulty derivation of rhetoric,rhetoric,burke-direct,42
martyrdom-as-rhetoric,consubstantial-with,epideictic-oratory,rhetoric,burke-direct,223
martyrdom-as-rhetoric,extends,addressed-quality,rhetoric,burke-direct,222
marxist-persuasion,cites,Hegel-concrete-universal,philosophy,burke-direct,190
marxist-persuasion,cites,Lenin-What-Is-To-Be-Done,politics,burke-direct,196
marxist-persuasion,defines,local-participation-in-total-dialectic,rhetoric,burke-direct,196
marxist-persuasion,extends,ultimate-terms,rhetoric,burke-direct,190
marxist-persuasion,maps-to-pim-dimension,Calleja-Affective-attitudinal-transformation,game-behavior,anticipatory-projection,196
military-caste,consubstantial-with,mystery-social,rhetoric,burke-direct,211
motivational-recipe,contests,suicidal-motive,rhetoric,burke-direct,5-6
mystery,bridges-to-pipeline,rm-01-identification,inter-unit,burke-direct,115
mystery,bridges-to-pipeline,rm-04-hierarchy,inter-unit,burke-direct,118
mystery,defines,structural-condition-of-hierarchic-difference,rhetoric,burke-direct,115
mystery,extends,hierarchy,rhetoric,burke-direct,115
mystery,extends,identification,rhetoric,burke-direct,115
mystery,extends,pure-persuasion,rhetoric,burke-direct,178
mystery,maps-to-pentad-term,Agent,pentad,anticipatory-projection,178
mystery,maps-to-pentad-term,Scene,pentad,anticipatory-projection,115
mystery,maps-to-pim-dimension,calleja-shared-involvement,game-behavior,anticipatory-projection,115
mystery-elite-player-status,maps-to-pim-dimension,calleja-shared-involvement,game-behavior,anticipatory-projection,115
mystery-social,defines,glamour,rhetoric,burke-direct,210
mystery-social,extends,hierarchy,rhetoric,burke-direct,208
mystery-social,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,208
mystification,defines,concealment-of-specific-by-generic-motive,rhetoric,burke-direct,108
mystification,extends,covering-motive,rhetoric,burke-direct,108
mystification,maps-to-pim-dimension,calleja-ludic-involvement,game-behavior,anticipatory-projection,108
mythic-ground,contests,sociology-of-knowledge,philosophy,burke-direct,201
mythic-ground,defines,motive-beyond-discursive-reason,philosophy,burke-direct,202
officia-oratoris,defines,rhetorical-form-large,rhetoric,burke-direct,73
opinion-moral-order,qualifies,identification,rhetoric,burke-direct,54
opinion-moral-order,qualifies,persuasion,rhetoric,burke-direct,54
out-imitation-competition,maps-to-pim-dimension,Calleja-Shared-involvement,game-behavior,anticipatory-projection,131
pantomime,identifies-with,hierarchic-psychosis,rhetoric,burke-direct,143
pantomime,maps-to-pentad-term,Act,pentad,anticipatory-projection,143
parliamentary-jangle,contests,ultimate-terms,rhetoric,burke-direct,187
parliamentary-jangle,maps-to-pim-dimension,Calleja-Social-toxicity-spiral,game-behavior,anticipatory-projection,187
perpetual-courtship,identifies-with,attitude-incipient-act,rhetoric,burke-direct,251
persuasion,extends,identification,rhetoric,burke-direct,55
philosophic-terms-essence,qualifies,dramatic-terms-essence,philosophy,burke-direct,13-14
positive-terms,cites,Bentham-real-entities,terministic-order,burke-direct,184
positive-terms,defines,genus-et-differentiam,terministic-order,burke-direct,183
positive-terms,defines,hic-et-nunc-vocabulary,terministic-order,burke-direct,183
positive-terms,maps-to-pim-dimension,Calleja-Ludic-mechanical-tokens,game-behavior,anticipatory-projection,183
positive-terms,qualifies,dialectical-terms,terministic-order,burke-direct,185
property,identifies-with,economic class (Belonging is rhetorical),rhetoric,burke-direct,28
property,qualifies,Avarice as property-translated-into-attitude,rhetoric,burke-direct,24
pure-persuasion,identifies-with,god-term (title-of-titles),rhetoric,burke-direct,276
pure-persuasion,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,267
pure-persuasion,qualifies,courtship,rhetoric,burke-direct,271
rare-gear-mystique,maps-to-pim-dimension,calleja-shared-involvement,game-behavior,anticipatory-projection,122
relationism,extends,sociology-of-knowledge,philosophy,burke-direct,199
relativism,qualifies,relationism,philosophy,burke-direct,198
reversibility-social-religious,extends,consubstantiality-implicit,rhetoric,burke-direct,224
reversibility-social-religious,extends,hierarchy,rhetoric,burke-direct,232
rhetoric as addressed,extends,self-address (I addressing its me),rhetoric,burke-direct,38
rhetoric as addressed,extends,socialization (voice-within),rhetoric,burke-direct,39
rhetoric,contests,magic as bad-science (scientist antithesis),rhetoric,burke-direct,41
rhetoric,extends,rhetorica utens / rhetorica docens,rhetoric,burke-direct,36
rhetoric-of-courtship-class,bridges-to-pipeline,rm-06-courtship,inter-unit,burke-direct,115
rhetoric-of-courtship-class,extends,mystery,rhetoric,burke-direct,115
rhetorical language,qualifies,inducement to action or attitude,rhetoric,burke-direct,42
rhetorical-form-large,extends,epideictic-rhetoric,rhetoric,burke-direct,70
rhetorical-form-large,extends,formal-appeal,rhetoric,burke-direct,69
rhetorical-form-large,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,69
scene-act-ratio,bridges-to-pipeline,Grammar-of-Motives-RM-04,grammar,burke-direct,162
scene-agent-ratio,bridges-to-pipeline,Grammar-of-Motives-GM-01,grammar,burke-direct,16
scene-agent-ratio,defines,personality-types-tragic,rhetoric,burke-direct,15-17
scene-agent-ratio,maps-to-pentad-term,Scene,game-behavior,anticipatory-projection,15-17
scene-agent-ratio,maps-to-pim-dimension,Spatial-PIM,game-behavior,anticipatory-projection,15-17
science as agency,identifies-with,scenes/acts/agents/purposes,rhetoric,burke-direct,29
science as agency,maps-to-pentad-term,Agency,pentad,anticipatory-projection,29
socioanagogic,defines,identification-across-ranks,rhetoric,burke-direct,219
socioanagogic,extends,mystery-carlyle,rhetoric,burke-direct,220
socioanagogic,extends,mystification-marxist,rhetoric,burke-direct,220
