edge_id,contributor,source_type,source_id,relation,target_type,target_id,target_label,evidence_locus,strength,note
E19,Bowin,UNIT,AMT-01-BOWIN,contests,MODERN-INTERLOCUTOR,Polansky-2007,deliberative phantasia individuated only by use,fn. 37,strong,"Polansky 2007 p. 530 use-individuation rejected"
E20,Bowin,UNIT,AMT-01-BOWIN,contests,MODERN-INTERLOCUTOR,Moss-2012,deliberative phantasia individuated only by use,fn. 37,strong,"Moss 2012 p. 146 use-individuation rejected"
E21,Bowin,UNIT,AMT-01-BOWIN,contests,ANCIENT-INTERLOCUTOR,Albertus-Magnus,perception of time in itself requires nous,Alberti Magni 1890 p. 100 + §1,strong,"Albert's twofold-time-perception thesis rejected"
E22,Bowin,UNIT,AMT-01-BOWIN,contests,ANCIENT-INTERLOCUTOR,Themistius,perceiving time requires arithmein,Themistius 1899 120.12-17 + §1,strong,"Themistius's nous-required reading rejected"
E23,Bowin,UNIT,AMT-01-BOWIN,contests,MODERN-INTERLOCUTOR,Gregoric-2007,perception of number and motion not sufficient for perception of time,fn. 6,medium,"Gregoric blocks inference; Bowin restores it"
E24,Bowin,UNIT,AMT-01-BOWIN,contests,MODERN-INTERLOCUTOR,Taormina-2002,strict no-perception-of-future at Mem. 1.449b27,fn. 35,medium,"Taormina's claim would conflict with Phys. 4.11's perception-of-motion-stages-as-past"
E25,Bowin,UNIT,AMT-01-BOWIN,draws-on,MODERN-INTERLOCUTOR,Cashdollar-1973,incidental perception of individuals does not require sortal concept,fn. 15,strong,"Cashdollar supports the animal perception of individuated phantasmata"
E26,Bowin,UNIT,AMT-01-BOWIN,draws-on,MODERN-INTERLOCUTOR,Caston-1996,phantasia in special common and incidental perception,fn. 16 + fn. 31,strong,"Caston 1996 p. 42 endorsed; explicit cross-pipeline bridge"
E27,Bowin,UNIT,AMT-01-BOWIN,draws-on,ANCIENT-INTERLOCUTOR,Pseudo-Philoponus,determinate-vs-indeterminate-time distinction,Philoponus 1897 580.27-37,strong,"Pseudo-Philoponus's distinction appropriated and re-mechanized via deliberative phantasia"
E28,Bowin,UNIT,AMT-01-BOWIN,draws-on,MODERN-INTERLOCUTOR,Hussey-1983,Physics translation,fn. 9,strong,"Hussey 1983 translations used with minor modifications"
E29,Bowin,UNIT,AMT-01-BOWIN,draws-on,MODERN-INTERLOCUTOR,Sorabji-1993,epexegetical reading of Post. An. 2.19.100a6-7,fn. 40,medium,"Sorabji 1993 p. 34 endorsed on the epexegetical or-reading"
E30,Bowin,UNIT,AMT-01-BOWIN,draws-on,MODERN-INTERLOCUTOR,Nieder-2005,subitizing in animal cognition,fn. 20,medium,"Modern cognitive-science corroboration for direct perception of small numbers"
E31,Bowin,UNIT,AMT-01-BOWIN,refines,READING,R01,Anti-mathematization of Phys. 4.11,Bowin §1,strong,"Bowin's positive reading"
E32,Bowin,UNIT,AMT-01-BOWIN,refines,READING,R02,Non-vicious phantasma circularity,Bowin §3,strong,"Bowin's positive reading"
E33,Bowin,UNIT,AMT-01-BOWIN,refines,READING,R03,Determinate-time-via-deliberative-phantasia,Bowin §4,strong,"Bowin's positive reading"
E34,Bowin,UNIT,AMT-01-BOWIN,refines,READING,R04,Phys. 4.14 as measurability-not-existence claim,Bowin §5,strong,"Bowin's positive reading"
E35,Bowin,UNIT,AMT-01-BOWIN,refines,READING,R05,Counting-plays-a-small-role,Bowin §1 fn. 18-19,strong,"Bowin's quantitative-textual reading"
E36,Bowin,UNIT,AMT-01-BOWIN,bridges-to-pipeline,PIPELINE,Aristotelian-Phantasia-Secondary,Phantasma doctrine in De Memoria,Mem. 1.450a19-22 + Mem. 2.452b31-453a4,strong,"Primary cross-pipeline anchor; Bowin's phantasma-mediated time-perception aligns with Caston/Frede/Nussbaum phantasia accounts"
E37,Bowin,UNIT,AMT-01-BOWIN,bridges-to-pipeline,PIPELINE,Aristotle-Complete-Works,Heavy Bekker density across Phys. + DA + Mem. + Metaph.,67 cataloged loci,strong,"Source-unit for Aristotle pipeline node attributes"
E38,Bowin,UNIT,AMT-01-BOWIN,bridges-to-pipeline,PIPELINE,Heidegger-BCAP-GA18,Time-perception as background for chronos/kairos comportment,Mem. 1.450a19-22 + Phys. 4.11,medium,"Bowin's analytic time-as-countable cuts against Heidegger's hexis-disposition reading; productive contrast"
E39,Bowin,UNIT,AMT-01-BOWIN,bridges-to-pipeline,PIPELINE,Dalton-Dissertation-Phantasia,T0 motion/time pre-condition for A3-phantasma chain,Mem. 1.450a19-22 + DA 3.11.434a6-15,strong,"Bowin supplies non-vicious-circle structure for resonant-kinesis thesis"
E40,Bowin,ARISTOTLE-LOCUS,L37,instantiates,CONCEPT,C16,Perceiving time having passed vs as passing,Bowin §3,strong,"prosaisthanetai signals perfect-tense rather than continuous-present perception"
E41,Bowin,ARISTOTLE-LOCUS,L32,instantiates,CONCEPT,C09,Deliberative phantasia,Bowin §4,strong,"DA 3.11 is the canonical deliberative-phantasia locus"
E42,Bowin,ARISTOTLE-LOCUS,L43,instantiates,CONCEPT,C07,Counting vs measuring,Bowin §2,strong,"Mem. 2.452b8-9 gnōrizein-metrō-or-aoristōs anchors the distinction"
E43,Bowin,ARISTOTLE-LOCUS,L11,instantiates,CONCEPT,C13,Mind-dependence of time,Bowin §5,strong,"Phys. 4.14.223a21-29 is the locus for the entire mind-dependence question"
E44,Bowin,ARISTOTLE-LOCUS,L53,instantiates,CONCEPT,C14,Measurable-by-measure instrumental relation,Bowin §5,strong,"Metaph. Δ.15 supplies the relational grammar of measurability"
E45,Bowin,ARISTOTLE-LOCUS,L50,instantiates,CONCEPT,C15,Memory and recollection,Bowin §intro,strong,"Metaph. Α.1.980a28 ff. credits animals with memory and so with time-perception"
E46,Bowin,CONCEPT,C09,presupposes,CONCEPT,C11,Common sense and perception of number,Bowin §4 + §1,medium,"Deliberative phantasia operates on common-sense-delivered phantasmata"
E47,Bowin,CONCEPT,C02,presupposes,CONCEPT,C18,Sortal concepts and genus-of-measure,Bowin §2,strong,"Measuring time requires sortal concepts like day and hour"
E48,Bowin,CONCEPT,C19,distinguishes-from,CONCEPT,C18,Sortal concepts and genus-of-measure,Bowin §4 fn. 39,medium,"Non-conceptual perceptual content can be guided by a sortal concept without itself being conceptual"
E49,Bowin,CONCEPT,C01,distinguishes-from,CONCEPT,C02,Intellectual cognition of time,Bowin §2,strong,"Perception of time vs measurement of time — chapter's load-bearing distinction"
E50,Bowin,CONCEPT,C17,rebuts,CONCEPT,C16,Perceiving time having passed,Bowin §3 fn. 32,medium,"Bowin rejects the specious-present reading"
E51,Bowin,UNIT,AMT-01-BOWIN,concedes-to,MODERN-INTERLOCUTOR,Sorabji-2004,translation of Mem. 2.452b8-9 + 452b30-453a4,fn. 23,strong,"Translations adopted with minor modifications from Sorabji 2004 pp. 57-58"
E52,Bowin,UNIT,AMT-01-BOWIN,interprets,ANCIENT-INTERLOCUTOR,Plato,Protagoras 356d-e metrētikē technē,Bowin §4,medium,"Plato's measurement-art is background for deliberative phantasia's measure-by-single-standard"
E53,Bowin,GREEK-TERM,G29,translates,GREEK-TERM,G12,prosaisthanetai uses aisthanesthai compounded with pros,Mem. 1.450a19,strong,"Etymological note for cross-language indexing"
E54,Bowin,GREEK-TERM,G16,bridges-to-pipeline,PIPELINE,Aristotelian-Phantasia-Secondary,phantasia as cross-pipeline bridge term,All §§,strong,"phantasia is the term-level bridge to the phantasia cluster"
E55,Bowin,TENSION,T01,resolved-by,READING,R02,Non-vicious phantasma circularity,Bowin §3,strong,"Memory-time-perception circularity resolved by the two-phantasmata reading"
E56,Bowin,TENSION,T02,resolved-by,READING,R04,Phys. 4.14 as measurability,Bowin §5,strong,"No-soul-no-time tension resolved by measurability-not-existence reading"
E57,Bowin,TENSION,T03,resolved-by,READING,R01,Anti-mathematization,Bowin §1,strong,"Counting-brings-nows-into-existence tension resolved by potential-nows reading"
E58,Bowin,TENSION,T05,resolved-by,READING,R03,Determinate-time-via-deliberative-phantasia,Bowin §4 fn. 37,medium,"Polansky/Moss use-individuation contested by content-individuation"
