channel,criterion,round_scope,n,n_subjects,rho,p_perm,p_analytic,pearson_r,pearson_p_perm,pearson_p_analytic,r_minus_rho,permutations,note
gaze deviation variance (per-file baseline),engagement,pooled,36,12,0.106165109081,0.6073,0.537725752799,0.09106479698,0.66315,0.597356767323,-0.0151003121011,20000,load-bearing
cognitive load,engagement,pooled,36,12,0.107453520599,0.5954,0.532773389992,0.0970409704693,0.63755,0.573415168459,-0.0104125501298,20000,APPENDIX ONLY (vendor index)
HR,engagement,pooled,34,12,0.0361022145828,0.8647,0.839367818497,0.0518329694325,0.80575,0.770954693721,0.0157307548497,20000,APPENDIX ONLY (removed from analysis)
gaze deviation (per-participant baseline),engagement,pooled,36,12,-0.584552305705,0.00225,0.000181352111623,-0.608554318808,0.00205,8.22090228855e-05,-0.0240020131031,20000,load-bearing
pupil dilation,boredom,R1,24,8,-0.0989109101225,0.69555,0.645641690377,-0.090803121013,0.7195,0.67304772774,0.0081077891095,20000,load-bearing
eye closure,boredom,R1,24,8,0.408715566938,0.10065,0.0473694898648,0.479845811712,0.05375,0.0176481114922,0.0711302447739,20000,load-bearing
gaze deviation (per-file baseline),boredom,R1,24,8,0.416558722807,0.09595,0.0428804646218,0.418132696553,0.09745,0.042021281229,0.00157397374625,20000,load-bearing
gaze deviation (device-forward baseline),boredom,R1,24,8,0.208279361403,0.40875,0.328741158845,0.207110600482,0.41335,0.331523691068,-0.00116876092161,20000,load-bearing
gaze deg p90 (device-forward baseline),boredom,R1,24,8,-0.0483661278572,0.8455,0.822425343646,0.0145275239091,0.955,0.946283949503,0.0628936517663,20000,load-bearing
% time >10 deg off center (device-forward baseline),boredom,R1,24,8,0.194771704074,0.43865,0.361756968797,0.218338544158,0.3887,0.305378014945,0.0235668400843,20000,load-bearing
excursion rate >10 deg (device-forward baseline),boredom,R1,24,8,-0.313290503868,0.211,0.136041868389,-0.389511759523,0.1223,0.059913631458,-0.0762212556548,20000,load-bearing
gaze deviation variance (per-file baseline),boredom,R1,24,8,-0.102832488057,0.6919,0.632542092963,-0.105039398733,0.68625,0.62521670609,-0.00220691067627,20000,load-bearing
cognitive load,boredom,R1,24,8,0.0566450146076,0.8175,0.792628043042,0.00791077309928,0.97445,0.970735152039,-0.0487342415083,20000,APPENDIX ONLY (vendor index)
HR,boredom,R1,24,8,0.058387938134,0.8187,0.786389196269,0.134364735431,0.5954,0.531341811392,0.0759767972971,20000,APPENDIX ONLY (removed from analysis)
gaze deviation (per-participant baseline),boredom,R1,24,8,0.475382391822,0.0552,0.0188881944571,0.483798195924,0.05195,0.0166061303472,0.00841580410176,20000,load-bearing
pupil dilation,engagement,R1,24,8,-0.0492591048452,0.843,0.819199095524,0.00876434277823,0.9736,0.967579023089,0.0580234476235,20000,load-bearing
eye closure,engagement,R1,24,8,-0.381431121589,0.1253,0.0658993941749,-0.460726645788,0.0647,0.023466679778,-0.0792955241987,20000,load-bearing
gaze deviation (per-file baseline),engagement,R1,24,8,-0.35527584468,0.1495,0.0884430145301,-0.418123891433,0.0915,0.0420260497184,-0.0628480467526,20000,load-bearing
gaze deviation (device-forward baseline),engagement,R1,24,8,-0.33609530828,0.18155,0.108331313665,-0.308887147222,0.22185,0.141929795984,0.0272081610581,20000,load-bearing
gaze deg p90 (device-forward baseline),engagement,R1,24,8,0.0130776384545,0.9584,0.951638504808,-0.0691465301573,0.7845,0.748173756892,-0.0822241686118,20000,load-bearing
% time >10 deg off center (device-forward baseline),engagement,R1,24,8,-0.289451731126,0.23925,0.170095168506,-0.304232422141,0.22165,0.148349316394,-0.0147806910145,20000,load-bearing
excursion rate >10 deg (device-forward baseline),engagement,R1,24,8,0.329120567771,0.1869,0.116322381911,0.419312615798,0.09745,0.0413861244367,0.0901920480269,20000,load-bearing
gaze deviation variance (per-file baseline),engagement,R1,24,8,0.252834343453,0.31405,0.233263053906,0.20573911713,0.4217,0.334806848104,-0.0470952263234,20000,load-bearing
cognitive load,engagement,R1,24,8,-0.0470794984362,0.85665,0.82707872496,-0.0127846399239,0.9606,0.952720828289,0.0342948585123,20000,APPENDIX ONLY (vendor index)
HR,engagement,R1,24,8,-0.0619008220179,0.8103,0.773853769648,-0.0976433825019,0.70405,0.649897920628,-0.035742560484,20000,APPENDIX ONLY (removed from analysis)
gaze deviation (per-participant baseline),engagement,R1,24,8,-0.428510620025,0.0839,0.0366899644689,-0.440598662625,0.08045,0.0311709793324,-0.0120880425998,20000,load-bearing
pupil dilation,boredom,R2,12,4,-0.38313362052,0.325,0.218947498696,-0.309641464332,0.39555,0.327375502724,0.0734921561882,20000,load-bearing
eye closure,boredom,R2,12,4,0.537793063666,0.1261,0.0713133465141,0.769928533988,0.0245,0.00339898512615,0.232135470322,20000,load-bearing
gaze deviation (per-file baseline),boredom,R2,12,4,0.811962076516,0.01415,0.00133748030974,0.885448991552,0.0075,0.00012778343675,0.0734869150365,20000,load-bearing
gaze deviation (device-forward baseline),boredom,R2,12,4,0.537793063666,0.1274,0.0713133465141,0.608550090457,0.08955,0.0357446505353,0.0707570267909,20000,load-bearing
gaze deg p90 (device-forward baseline),boredom,R2,12,4,-0.0667847595402,0.84815,0.836620363633,-0.028787649609,0.92415,0.929233616462,0.0379971099312,20000,load-bearing
% time >10 deg off center (device-forward baseline),boredom,R2,12,4,0.516703139601,0.13515,0.0854212962762,0.602716961952,0.09025,0.0380524977017,0.0860138223511,20000,load-bearing
excursion rate >10 deg (device-forward baseline),boredom,R2,12,4,0.397193569897,0.28705,0.20107423005,0.334599922729,0.3718,0.287749384152,-0.0625936471677,20000,load-bearing
gaze deviation variance (per-file baseline),boredom,R2,12,4,-0.105449620327,0.7878,0.744304236701,-0.104020837721,0.78625,0.747668618341,0.00142878260606,20000,load-bearing
cognitive load,boredom,R2,12,4,-0.172234379867,0.65095,0.592465469876,-0.193722751241,0.60075,0.546324087108,-0.0214883713738,20000,APPENDIX ONLY (vendor index)
HR,boredom,R2,10,4,0.13414883533,0.7635,0.711773556348,-0.0703561715374,0.8586,0.846855438831,-0.204505006868,20000,APPENDIX ONLY (removed from analysis)
gaze deviation (per-participant baseline),boredom,R2,12,4,0.868201874023,0.00485,0.00024999530748,0.900759809379,0.0042,6.40424546533e-05,0.0325579353557,20000,load-bearing
pupil dilation,engagement,R2,12,4,0.22767110221,0.5406,0.476675824398,0.283678767973,0.45085,0.371570277675,0.0560076657632,20000,load-bearing
eye closure,engagement,R2,12,4,-0.451839572078,0.2231,0.140312770473,-0.669792220332,0.05165,0.0171783315573,-0.217952648254,20000,load-bearing
gaze deviation (per-file baseline),engagement,R2,12,4,-0.914187041182,0.00785,3.16859458553e-05,-0.933843263859,0.00335,8.92529835809e-06,-0.0196562226771,20000,load-bearing
gaze deviation (device-forward baseline),engagement,R2,12,4,-0.567426439354,0.1072,0.054324005676,-0.59204685722,0.09375,0.0425455051482,-0.0246204178662,20000,load-bearing
gaze deg p90 (device-forward baseline),engagement,R2,12,4,-0.175131617085,0.64085,0.586157732126,-0.126124504274,0.74875,0.696105150392,0.0490071128102,20000,load-bearing
% time >10 deg off center (device-forward baseline),engagement,R2,12,4,-0.399300086953,0.2683,0.198476018031,-0.559674724712,0.11355,0.0584611876553,-0.16037463776,20000,load-bearing
excursion rate >10 deg (device-forward baseline),engagement,R2,12,4,-0.154115823034,0.642,0.632487778852,-0.189963930013,0.5956,0.554285855485,-0.0358481069788,20000,load-bearing
gaze deviation variance (per-file baseline),engagement,R2,12,4,-0.24868689626,0.4977,0.435735756119,-0.13828384332,0.70975,0.668220813076,0.11040305294,20000,load-bearing
cognitive load,engagement,R2,12,4,0.255692160943,0.4939,0.422481142333,0.316692191256,0.4176,0.315893533775,0.0610000303122,20000,APPENDIX ONLY (vendor index)
HR,engagement,R2,10,4,0.310031827277,0.4363,0.383319797801,0.471364463329,0.23635,0.169061434575,0.161332636052,20000,APPENDIX ONLY (removed from analysis)
gaze deviation (per-participant baseline),engagement,R2,12,4,-0.928197570548,0.0067,1.33122576892e-05,-0.944465631175,0.00325,3.78819375087e-06,-0.0162680606263,20000,load-bearing
