edge_id,source,target,relation,domain,tier,page_anchor,provenance,notes
E54,C05,BCAP-das-Man,awaits-ontological-grounding-in,phenomenology,1,98,anticipatory-projection (dissertation),Sara Andrews / server-consensus enforcement as das Man without Heidegger cite
E55,IG-06-SHARED,Burke-Agent,maps-to-pentad-term,rhetoric,1,93-112,anticipatory-projection (dissertation),Chapter foregrounds human/AI Agent with ratios to Scene/Act/Agency
E56,IG-06-SHARED,Uexkull-Bedeutungstrager,maps-to-uexkull-construct,biosemiotics,3,100-101,anticipatory-projection (dissertation),Other-player as meaning-carrier with differential Wirktöne — weak/secondary anchor only; Shared is NOT Layer-C signature dimension
E57,C15,Goffman-frame-analysis,awaits-ontological-grounding-in,sociology,1,103-104,anticipatory-projection (dissertation),Spectatorship + co-located audience without Goffman cite — chapter-level Layer-A anchor flagged by IG-03/IG-10 propagation
E58,C13,Husserl-intersubjectivity,awaits-ontological-grounding-in,phenomenology,2,101-102,anticipatory-projection (dissertation),Media-equation passage substantively engages intersubjectivity without Husserl/Schutz/Levinas cite
E59,C03,Aristotle-koinonia-philia,awaits-ontological-grounding-in,phenomenology,3,95-96,anticipatory-projection (dissertation),Guild and friendship structures as koinōnia/philia (anticipatory)
E60,IG-06-SHARED,IG-04-KINESTHETIC,bridges-to-pipeline,game-studies,2,110,calleja-direct,Kinesthetic mastery prerequisite to social-contingency mapping
E61,C12,IG-05-SPATIAL,bridges-to-pipeline,game-studies,2,101,calleja-direct,Cohabitation anchors player spatially and socially
E62,C15,IG-08-AFFECTIVE,bridges-to-pipeline,game-studies,2,104,calleja-direct,FIFA 2009 audience intensifies affective involvement
E63,IG-06-SHARED,IG-10-INCORPORATION,bridges-to-pipeline,game-studies,1,93-112,calleja-direct,Shared sub-dimensions feed forward into incorporation rubric
