source,relation,target,locus,provenance,note
C2,instances-in-text,Schein,(p.11 / GA pp.15-17 / pdf 17),faithful,"The dual semblance (Schein) of being science and of being worldview-proclamation; philosophy looks like both and is neither."
C3,deepens-into,C2,(p.12 / GA pp.17-18 / pdf 18),faithful,"The general ambiguity becomes MORE acute here-and-now (philosophy as examination subject), not less — §5 intensifies §4."
C4,qualifies,C3,(p.13 / GA pp.18-20 / pdf 18),faithful,"The teacher's undesired authority persuades only so long as he is not understood; once understood the authority collapses."
C5,contests,C4,(p.14 / GA pp.20-21 / pdf 18),faithful,"The 'decide on factual grounds of proof' reply is itself challenged: perhaps what is provable is only what is essentially irrelevant."
Plato,cites,C6,(p.16 / GA pp.23-24 / pdf 20),faithful,"Academy inscription (no entry without geometry) marshalled as evidence of the semblance that philosophical truth = mathematical certainty."
Descartes,cites,C6,(p.16 / GA pp.23-24 / pdf 20),faithful,"Descartes wants to furnish philosophical truth with the character of mathematical truth; Leibniz: without mathematics no ground of metaphysics."
C6,contests,C5,(p.17 / GA pp.24-26 / pdf 21),faithful,"Mathematical knowledge is the emptiest and least binding as regards human substance, so cannot be the measure for philosophical knowledge."
C7,concedes,C6,(p.18 / GA pp.26-27 / pdf 21),faithful,"The formal-contradiction objection is the 'much more acute' counter; Heidegger concedes its surface force then voids it as empty and non-binding."
Aristotle,instances-in-text,C6,(p.18 / GA pp.26-27 / pdf 21),faithful,"Aristotle, Descartes, Leibniz, Hegel 'refuted by a doctoral candidate' — the catastrophes attending philosophy-as-absolute-science."
Geschick,grounds-question,C8,(p.19 / GA pp.28-29 / pdf 22),faithful,"Philosophy's truth is essentially that of human Dasein and 'in part rooted in the fate (Geschick) of Dasein' — the chapter's keystone resolution of the ambiguity."
C8,deepens-into,C9,(p.19 / GA pp.28-29 / pdf 22),faithful,"Because truth is rooted in Dasein's fate, everything 'should start to vacillate'; philosophy is the opposite of all comfort — turbulence (Wirbel)."
philosophia,glosses-greek,C9,(p.19 / GA pp.28-29 / pdf 22),faithful,"Philosophia as love-of / homesickness-for must maintain itself in nothingness, in finitude — God does not philosophize."
C9,temporalizes-as,Schrecken,(p.21 / GA pp.31-32 / pdf 21),faithful,"The perilous neighbourhood of supreme uncertainty is sustained as terror (Schrecken) in which we must 'hold out'."
Da-sein,discloses,C10,(p.21 / GA pp.31-32 / pdf 21),faithful,"In philosophizing the Da-sein in man launches the attack (Angriff) upon man; man as a whole is in the grip of an attack."
C11,contests,C10,(p.22 / GA pp.32-34 / pdf 23),faithful,"The 'pessimistic' verdict stems from the normal human's eternal average (petty pleasures, shallow fears, smug comforts) — an illegitimate judge of philosophizing."
Heraclitus,cites,C12,(p.24 / GA pp.35-37 / pdf 24),faithful,"Heraclitus DK 108: the to sophon is 'separated off from everything else' (= absolutum) — philosophy is autonomous, stands on its own."
hypar / onar,glosses-greek,C12,(p.23 / GA pp.34-35 / pdf 23),faithful,"Plato (Republic): the philosophizing human is awake (hypar), the non-philosophizing — incl. the scientist — asleep (onar); only philosophizing is wakeful Dasein."
C12,deepens-into,Grundgeschehen,(p.24 / GA pp.35-37 / pdf 24),faithful,"There are sciences only because there is philosophy; philosophizing lies prior to every occupation and constitutes the fundamental occurrence (Grundgeschehen) of Dasein."
Grundgeschehen,grounds-question,C13,(p.24 / GA pp.35-37 / pdf 24),faithful,"As autonomous Grundgeschehen that lets Da-sein first become what it can be, philosophizing grounds the Part-One demand that an attunement be AWAKENED."
Geschick,bridges-to-pipeline,king-salvo-measurement-caution,(p.19 / GA pp.28-29 / pdf 22),faithful,"ANTICIPATORY-APPLICATION: truth rooted in Dasein's fate / 'turbulence' / not decidable on factual proof = warrant that a fundamental attunement (boredom) is no single present-at-hand instrument value."
C11,bridges-to-pipeline,king-salvo-second-form,(p.22 / GA pp.32-34 / pdf 23),faithful,"ANTICIPATORY-APPLICATION: the 'eternal average' / smug comforts as measure prefigures letting a convenient bipolar engaged-vs-bored metric mask the surface-vs-depth (second-form) split."
Schrecken,interprets-experiment-finding,king-salvo-low-arousal-boredom,(p.21 / GA pp.31-32 / pdf 21),faithful,"ANTICIPATORY-APPLICATION: the affective register (Schrecken/Angriff/Wirbel) installed here is the correlate against which profound boredom's stillness (low-arousal 'zombie stare') reads as privation."
Grundgeschehen,bridges-to-pipeline,king-salvo-task-vs-attunement,(p.24 / GA pp.35-37 / pdf 24),faithful,"ANTICIPATORY-APPLICATION: philosophizing prior to every 'occupation' frames why the awakened attunement, not the measured VR clinical-immersion task-performance, is the deeper datum."
§8,defines,metaphysics,(p.25 / GA pp.37-39 / pdf 24),faithful,"'Metaphysics' is not a primal word (Urwort) but a late Greek-derived title (ta meta ta physika) designating philosophy; the word gets its meaning from an understanding of philosophy, not the reverse."
physis,glosses-greek,the self-forming prevailing of beings as a whole,(p.25 / GA pp.39-40 / pdf 24),faithful,"physis rendered beyond 'nature'/'growth' as das Walten — a prevailing that runs through man, more originary than the nature/history split; even includes divine beings."
natura,glosses-greek,physis,(p.25 / GA pp.37-39 / pdf 24),faithful,"Latin natura/nasci (to be born, arise, grow) is the customary translation; Heidegger uses it only to launch the deeper rendering."
legein,glosses-greek,logos,(p.27 / GA pp.41 / pdf 26),faithful,"legein = speaking-out; logos = the prevailing that has been spoken out / become manifest."
logos,defines,taking out of concealment,(p.27 / GA pp.41 / pdf 26),faithful,"The fundamental function of legein/logos is to take whatever prevails from concealment — revealing (Entbergen)."
kryptein,glosses-greek,concealing,(p.27 / GA pp.41 / pdf 26),faithful,"kryptein (Verbergen) = keeping in concealment; established as the opposite of legein from Heraclitus Frgm. 93 (the Oracle gives a sign)."
logos,contests,kryptein,(p.27 / GA pp.41 / pdf 26),faithful,"legein (revealing) and kryptein (concealing) are explicit opposites; the logos wrests the prevailing from concealment."
aletheia,glosses-greek,un-concealment,(p.29 / GA pp.43-44 / pdf 26),faithful,"Read via the a-privativum as a-letheia (cf. German Un-schuld, Un-endlichkeit): that which is not concealed; not the 'colourless' 'that which is true'."
physis,qualifies,aletheia,(p.27 / GA pp.41 / pdf 26),faithful,"physis 'has in itself a striving to conceal itself' (Heraclitus Frgm. 123, 'physis loves to hide'), so truth must be torn from it."
aletheia,defines,truth is something stolen,(p.29 / GA pp.43-44 / pdf 26),faithful,"Truth is understood by the Greeks as something stolen, torn from concealment in a confrontation where physis strives to conceal itself; rooted in human finitude, 'nothing to do with proving propositions at the writing desk'."
Heraclitus,cites,physis,(p.27 / GA pp.41 / pdf 26),faithful,"Frgms. 93/123/112/54/30 supply the physis-logos-aletheia complex and the kosmos-as-ever-living-fire image."
Being and Time,extends,aletheia,(p.30 / GA pp.44-46 / pdf 27),faithful,"Heidegger recalls he 'emphatically pointed to this primal meaning of the Greek concept of truth' in Being and Time — not mere etymology but exposing man's fundamental position in antiquity."
physiologoi,glosses-greek,physis,(p.29 / GA pp.43-44 / pdf 27),faithful,"Aristotle's physiologoi are not 'physiologists'/'philosophers of nature' but the primordial title for those who question beings as a whole and bring physis to revealedness."
physis,defines,physei onta,(p.30 / GA pp.44-46 / pdf 27),faithful,"First meaning of physis: a regional concept, the physei onta (self-prevailing) opposed to the techne onta (the produced)."
physis,defines,ousia,(p.31 / GA pp.46-48 / pdf 27),faithful,"Second meaning of physis: prevailing-as-such, the inner essence/law of any matter — in Aristotle, ousia, the being of beings."
ousia,glosses-greek,prote philosophia,(p.33 / GA pp.49-51 / pdf 28),faithful,"That which makes beings beings (ousia, still called physis by Aristotle) is the second object of First Philosophy."
Aristotle,defines,prote philosophia,(p.33 / GA pp.49-51 / pdf 28),faithful,"Aristotle amalgamates the dual orientation — beings as a whole AND the being (ousia) of beings — as prote philosophia / philosophizing proper."
Aristotle,concedes,prote philosophia,(p.33 / GA pp.49-51 / pdf 28),faithful,"Aristotle 'says nothing' about how the two orientations form a unity; the question is open 'to this day' and 'is not even posed any more today'."
theion,glosses-greek,prote philosophia,(p.33 / GA pp.49-51 / pdf 28),faithful,"The theion (divine / Prime Mover) is the ultimate determinant within the physei onta, named without religious connotation; grounds the prima-philosophia/theology link."
episteme,glosses-greek,science,(p.33 / GA pp.49-51 / pdf 28),faithful,"epistasthai = to stand before a matter and know one's way around in it; only in Aristotle does episteme take the decided sense of 'science'."
§10,defines,scholastic disciplines,(p.36 / GA pp.54-55 / pdf 30),faithful,"physis, ethos (ethics) and the logos itself are codified as logic/physics/ethics — the decline of philosophizing proper, in which 'living questioning dies out'."
ethos,glosses-greek,scholastic disciplines,(p.36 / GA pp.54-55 / pdf 30),faithful,"ethos = man's stance/self-conduct (distinct from physis); source of 'ethics,' one of the three scholastic themes."
Sextus Empiricus,cites,Xenocrates,(p.36 / GA pp.54-55 / pdf 30),faithful,"Adversus Mathematicos VII.16 (ed. Bekker 1842): the logic/physics/ethics division was prefigured in Plato and founded by Xenocrates, the Peripatetics, and the Stoics."
§11,defines,ta meta ta physika,(p.38 / GA pp.57-58 / pdf 30),faithful,"First Philosophy fit no discipline ('embarrassment'); filed positionally 'behind physics' — a technical title saying nothing about content."
meta (technical / positional),qualifies,ta meta ta physika,(p.38 / GA pp.58-60 / pdf 30),faithful,"meta = after/behind/post (cf. methodos), purely positional; indicates only the order of the writings."
meta (content / trans),extends,meta (technical / positional),(p.39 / GA pp.58-60 / pdf 31),faithful,"meta shifts via metabole (changeover, Umschlag) to over/beyond (trans): metaphysics = knowledge of the suprasensuous, conceived in terms of content."
§11,defines,the fate of philosophy proper in the West,(p.39 / GA pp.58-60 / pdf 31),faithful,"Heidegger insists the post->trans changeover 'is by no means inconsequential': 'Something essential is decided by it — the fate of philosophy proper in the West'."
§12,defines,traditional concept of metaphysics,(p.41 / GA pp.61-63 / pdf 32),faithful,"Three incongruities asserted: trivialized, intrinsically confused, unproblematic (never lets 'metaphysics' itself become a problem)."
§12,contests,theion,(p.44 / GA pp.66-68 / pdf 33),faithful,"Trivialization (the metaphysical as a higher being merely 'at hand') is 'a complete misinterpretation of the theion which, in Aristotle, is at least left to stand as a problem'."
Thomas Aquinas,interprets-experiment-finding,prote philosophia,(p.46 / GA pp.69-71 / pdf 35),faithful,"§13: Aquinas equates prima philosophia = metaphysica = theologia/scientia divina via the threefold maxime intelligibile (Prooemium to his Aristotle commentary)."
maxime intelligibilia,glosses-greek,scientia regulatrix,(p.47 / GA pp.71-72 / pdf 35),faithful,"The most-knowable (Lat.) divided threefold yields the science governing all others; most intellectual because it deals with the most knowable = most suprasensuous."
transphysica,glosses-greek,traditional concept of metaphysics,(p.48 / GA pp.72-74 / pdf 36),faithful,"Aquinas's transphysica (unum, multa, potentia, actus) found 'in via resolutionis,' lying beyond the sensuous — his term anticipating ontology / metaphysica generalis."
Thomas Aquinas,concedes,prote philosophia,(p.49 / GA pp.74-75 / pdf 36),faithful,"Aquinas holds the three directions together 'in a way essentially determined by faith,' never oriented to the intrinsic problematic — 'covering over the problem'."
Franz Suarez,extends,traditional concept of metaphysics,(p.51 / GA pp.77-78 / pdf 37),faithful,"§14: Suarez (Disputationes metaphysicae, 1597) first develops the metaphysical problem independently/systematically, decisively shaping modern metaphysics and Descartes."
Franz Suarez,contests,Thomas Aquinas,(p.53 / GA pp.80-81 / pdf 38),faithful,"Suarez calls metaphysics 'metaphysica' because it is theology (deals with God), deviating from Aquinas's de ente in communi."
Descartes,extends,Franz Suarez,(p.52 / GA pp.78-80 / pdf 37),faithful,"Descartes (La Fleche; consulted Suarez repeatedly) carries the Suarezian metaphysics into modern philosophy; Meditationes de prima philosophia targets proof of God + immortality of the soul."
modern metaphysics,deepens-into,the fate of philosophy proper in the West,(p.55 / GA pp.83-84 / pdf 39),faithful,"Modern metaphysics demands absolute certainty (mathematical natural science); places the I as 'most secure and unquestioned foundation' — the questioner included only negatively."
§15,defines,metaphysics as the fundamental problem of metaphysics itself,(p.56 / GA pp.85-86 / pdf 39),faithful,"'Metaphysics' is taken over not traditionally but as the title for the question of what metaphysics itself is — inseparable from philosophy, unposable by the sciences about themselves."
metaphysics as the fundamental problem of metaphysics itself,grounds-question,fundamental attunement,(p.57 / GA pp.86-87 / pdf 40),faithful,"The negative result demands action 'within metaphysics': let world/finitude/individuation arise from a fundamental attunement — 'awakening a fundamental attunement of our philosophizing'."
fundamental attunement,bridges-to-pipeline,boredom spine,(p.57 / GA pp.86-87 / pdf 40),faithful,"§15->§16 seam hands directly into Part One's awakening of profound boredom (fcm-03+), the attunement on which the King-Salvo bridge turns."
Wecken (awakening),contests,Feststellen (ascertaining),(p.59-60 / GA pp.90-91 / pdf 41-42),faithful,"Awakening sets letting-be against objectifying fixing-in-place; we shall not speak of ascertaining but of awakening."
§16a,defines,Wecken (awakening),(p.59 / GA pp.90 / pdf 41),faithful,"Awakening = making something wakeful, letting whatever is sleeping become wakeful."
§16b,contests,conscious/unconscious distinction,(p.60-62 / GA pp.91-94 / pdf 42-43),faithful,"Waking and sleeping are not equivalent to consciousness and unconsciousness (dreaming pertains to sleep)."
CLAIM C1,qualifies,Stimmung,(p.62 / GA pp.93-94 / pdf 43),faithful,"Making an attunement an object of knowledge achieves the contrary of awakening: it is destroyed, weakened, altered."
Aristotle,defines,akinesia,(p.62 / GA pp.93-94 / pdf 43),faithful,"De Somno: sleep characterized as akinesia, not via (un)consciousness."
Aristotle,glosses-greek,desmos,(p.62 / GA pp.93-94 / pdf 43),faithful,"Sleep as a being-bound, a peculiar way in which aisthesis is bound."
desmos,glosses-greek,aisthesis,(p.62 / GA pp.93-94 / pdf 43),faithful,"The binding reaches perception and our essence, unable to take in other beings."
Heidegger,cites,Aristotle,(p.62 / GA pp.93-94 / pdf 43),faithful,"Antiquity grasped sleep more elementarily than modern misinterpretations."
§16c,defines,Da-sein,(p.63 / GA pp.94-96 / pdf 43),faithful,"The being of man named being-there, in distinction to the being-at-hand of the stone."
§16c,defines,Weg-sein,(p.63 / GA pp.94-96 / pdf 43),faithful,"Being-away is itself a way of man's being, not non-being."
Weg-sein,grounds-question,Da-sein,(p.64-65 / GA pp.96-99 / pdf 44),faithful,"Man must be there in order to be able to be away; all being-away presupposes being-there."
CLAIM C3,extends,Stimmung,(p.63-64 / GA pp.96-97 / pdf 43-44),faithful,"The there-and-not-there of attunement has to do with the innermost essence of man's being, his Dasein."
Heidegger,contests,psychology of feeling,(p.64-67 / GA pp.96-101 / pdf 44-45),faithful,"Faced with attunement as a way of being-with, we must dismiss the psychology of feelings, experiences, and consciousness."
§17,defines,Stimmung,(p.67 / GA pp.100-101 / pdf 45),faithful,"Attunement is the way of our being-there with one another; neither inside nor outside, it imposes itself on everything."
§17,defines,Grundstimmung,(p.67-68 / GA pp.100-103 / pdf 45-46),faithful,"The fundamental way in which Dasein is as Dasein, giving Dasein subsistence and possibility."
Stimmung,glosses-german,Weise,(p.67 / GA pp.100-101 / pdf 45),faithful,"Weise = way/manner but also melody/tune; attunement sets the tone for and determines man's being."
CLAIM C5,discloses,Grundstimmung,(p.68 / GA pp.101-103 / pdf 46),faithful,"The least-noticed attunements are the most powerful; Dasein is always already attuned; there is only ever a change of attunement."
Grundstimmung,qualifies,CLAIM C6,(p.68 / GA pp.101-103 / pdf 46),faithful,"Awakening attunement = grasping Da-sein as Da-sein, or letting Da-sein be as it can be; since awakening is an acting, we must act in accordance with it."
Spengler,instances-in-text,life/spirit opposition,(p.70 / GA pp.104-106 / pdf 47),faithful,"Decline of the West: decline of life in and through spirit (ratio)."
Klages,instances-in-text,life/spirit opposition,(p.70 / GA pp.104-106 / pdf 47),faithful,"Spirit as the adversary of the soul, a sickness to be exorcised to liberate life."
Scheler,instances-in-text,life/spirit opposition,(p.71 / GA pp.106-107 / pdf 47),faithful,"Man in the epoch of balance between life and spirit."
Ziegler,instances-in-text,life/spirit opposition,(p.71-72 / GA pp.106-107 / pdf 47-48),faithful,"A mediating epoch, a new Middle Ages sublating the life/spirit opposition; least original of the four."
Nietzsche,defines,Dionysian / Apollonian,(p.72-74 / GA pp.107-110 / pdf 48-49),faithful,"Dionysian = urge for unity, reaching beyond the person; Apollonian = urge for complete being-for-oneself, freedom under the law."
life/spirit opposition,extends,Dionysian / Apollonian,(p.72 / GA pp.107-109 / pdf 48),faithful,"All four diagnoses point back to Nietzsche as their common source; life/spirit is the residual literary form of Dionysos/Apollo."
Heidegger,contests,philosophy of culture,(p.74-77 / GA pp.110-16 / pdf 49-50),faithful,"Culture-diagnosis releases us from ourselves, imparting a world-historical role; it sets out man (Dar-stellung) but never his Da-sein."
philosophy of culture,marginal-note,Diagnose / Prognose,(p.75 / GA pp.111-13 / pdf 49),faithful,"Foreign words chosen deliberately to mark the non-binding, sensational, literary character of culture-philosophy."
philosophy of culture,discloses,tiefe Langeweile,(p.77 / GA pp.114-16 / pdf 50),faithful,"Behind our need for a role and the indifference yawning from all things lies a concealed profound boredom."
§18c,defines,tiefe Langeweile,(p.77 / GA pp.114-16 / pdf 50),faithful,"FIRST naming: profound boredom draws back and forth like a silent fog in the abysses of Dasein."
tiefe Langeweile,temporalizes-as,Grundstimmung,(p.77 / GA pp.114-16 / pdf 50),faithful,"Profound boredom posed as the sought-after fundamental attunement that must be awakened."
CLAIM C11,qualifies,Da-sein,(p.77 / GA pp.114-16 / pdf 50),faithful,"We find ourselves not via culture-diagnosis but by binding ourselves to our Da-sein, given over to becoming what we are."
tiefe Langeweile,bridges-to-pipeline,King-Salvo second-form hypothesis,(p.77 / GA pp.114-16 / pdf 50),anticipatory-application,"Concealed-yet-pervasive boredom under occupied surface grounds the surface/depth split of the EEG-vs-gaze contradiction."
CLAIM C5,interprets-experiment-finding,high-arousal searching gaze,(p.68 / GA pp.101-103 / pdf 46),anticipatory-application,"Least-noticed-most-powerful attunement underwrites the bored subject's restless looking-around to find something to attend to (high gaze-variance)."
CLAIM C1,bridges-to-pipeline,instrumentation null/contradiction,(p.62 / GA pp.93-94 / pdf 43),anticipatory-application,"Ascertaining a present-at-hand correlate is not awakening the attunement; a contradictory EEG/gaze reading is predicted, not a measurement failure."
fcm-04,instances-in-text,BOREDOM-FORM:Becoming bored by something (Gelangweiltwerden von etwas),p.78 / GA pp.118-19 / pdf 51,faithful,first/situation-bound form analyzed in this unit
§19,defines,CLAIM:awakening = letting boredom be awake / guarding against it falling asleep (C1),p.79 / GA pp.118-19 / pdf 51,faithful,reversal of the everyday task
§19,glosses-german,GERMAN:Zumutung,p.79 / GA pp.118-19 / pdf 51,faithful,'almost insane demand' to let boredom be awake (C2)
§19,glosses-german,GERMAN:Langeweile,p.79 / GA pp.118-19 / pdf 51,faithful,literally 'long while'; Weile and its stretching govern the analysis (Tr. note)
§19,marginal-note,GERMAN:Schwermut,p.79 / GA pp.118-19 / pdf 51,faithful,melancholy as the threshold obstinate boredom propels us toward
§20,grounds-question,METAPHYSICAL-QUESTION:world / finitude / individuation,p.81 / GA pp.121-22 / pdf 52,faithful,boredom→time→the three guiding questions (C3)
§20,temporalizes-as,TEMPORAL-STRUCTURE:feeling of time / relation to time,p.80 / GA pp.119-21 / pdf 51,faithful,Langeweile shows an obvious relation to time
§20,cites,INTERLOCUTOR:Novalis (homesickness),p.80 / GA pp.119-21 / pdf 51,faithful,profound boredom as homesickness; philosophizing as homesickness recalled
§21,defines,STRUCTURAL-MOMENT:being held in limbo (Hingehaltenheit),p.87 / GA pp.130-32 / pdf 56,faithful,'wearisome' = does not rivet us; held in limbo (C7)
§21,defines,STRUCTURAL-MOMENT:being left empty (Leergelassenheit),p.87 / GA pp.130-32 / pdf 56,faithful,'tedious' = does not engross us; left empty (C7)
§21,glosses-german,GERMAN:hingenommen,p.87 / GA pp.130-32 / pdf 56,faithful,given over to the book yet not 'taken' by it
§21,contests,CLAIM:cause-effect schema (book=cause / boredom=effect),p.88 / GA pp.132-33 / pdf 56,faithful,must disregard the cause-effect relation (C5)
§21,contests,CLAIM:transference schema (attunements transferred onto things),p.85 / GA pp.127-29 / pdf 53,faithful,if it already lies in things we apprehend not transfer (C6)
§21,cites,INTERLOCUTOR:Aristotle (Poetics),p.85 / GA pp.127-29 / pdf 53,faithful,source of 'metaphor' as warrant for the transference schema
§21,glosses-greek,GREEK:metaphora (μεταφορά / μεταφέρειν),p.85 / GA pp.127-29 / pdf 53,faithful,the transfer of attunements out of ourselves onto things
§21,qualifies,CLAIM:boredom and every attunement is a hybrid partly objective partly subjective (C8),p.88 / GA pp.132-33 / pdf 56,faithful,the attunement plays around the thing without transference
§22,defines,CLAIM:methodological directive — avoid analysis of consciousness; preserve immediacy of everyday Dasein (C9),p.91 / GA pp.136-38 / pdf 58,faithful,boredom not an object in the stream of consciousness
§22,glosses-german,GERMAN:Gelassenheit,p.91 / GA pp.136-38 / pdf 58,faithful,releasement of the everyday perspective from consciousness-theories
§22,discloses,CLAIM:passing the time gives the correct orientation to encounter boredom undisguised (C10),p.91 / GA pp.136-38 / pdf 58,faithful,boredom asserts itself where we oppose it
§22,deepens-into,BOREDOM-FORM:being bored with something (diffuse boredom),pp.91-92 / GA pp.138-39 / pdf 58,faithful,provisional distinction discarded; threshold to the second form (fcm-05)
§23a,instances-in-text,STRUCTURAL-MOMENT:the train-station situation,p.93 / GA pp.139-41 / pdf 59,faithful,four hours until the next train; counting trees; watching the clock
§23a,defines,TERM:Zeitvertreib (passing the time),p.94 / GA pp.141-42 / pdf 59,faithful,a driving-away of boredom that drives time on (C11)
§23a,glosses-german,GERMAN:Zeitvertreib ist ein Zeit antreibendes Wegtreiben der Langeweile,p.94 / GA pp.141-42 / pdf 59,faithful,German footnote giving the formula directly
§23a,contests,CLAIM:boredom is a waiting / impatience / ill humour (C12),p.95 / GA pp.142-44 / pdf 60,faithful,these surround but never constitute boredom
§23b,qualifies,CLAIM:looking at the watch is not passing-the-time but a sign of its failure (C13),p.97 / GA pp.146-47 / pdf 61,faithful,'helpless gesture' tracking increasing boredom
§23b,temporalizes-as,TEMPORAL-STRUCTURE:time as too-slow / dragging (not merely long or slow),p.97 / GA pp.146-47 / pdf 61,faithful,length of time plays no role; we fight the dragging (C14)
§23b,defines,CLAIM:becoming bored = paralysing being-affected by time as it drags (C15),p.98 / GA pp.147-49 / pdf 61,faithful,oppression rooted in the enigmatic essence of time
§23b,glosses-german,GERMAN:Andrangen,p.98 / GA pp.147-49 / pdf 61,faithful,the impressing of the power of time to which we are bound
§23b,qualifies,CLAIM:stick with boredom; do not collapse it into the problem of time (C16),p.99 / GA pp.149-50 / pdf 62,faithful,through boredom's essence glimpse the concealed essence of time
§23c,temporalizes-as,STRUCTURAL-MOMENT:being held in limbo (Hingehaltenheit),p.100 / GA pp.150-52 / pdf 63,faithful,held by time as it drags over the interval until the train (C17)
§23d,temporalizes-as,STRUCTURAL-MOMENT:being left empty (Leergelassenheit),p.103 / GA pp.155-56 / pdf 63,faithful,to leave empty = be something at hand that offers nothing (C18)
§23d,glosses-german,GERMAN:Leergelassenheit (refusal of things at hand),p.103 / GA pp.155-56 / pdf 63,faithful,things leave us empty precisely because they are at hand yet refuse themselves
§23d,contests,CLAIM:disappointment is boredom,p.104 / GA pp.156-58 / pdf 64,faithful,where disappointed we withdraw; in boredom we stay and are held in limbo (C19)
§23d,extends,CLAIM:being left empty and being held in limbo are structurally interwoven; limbo is primarily determinative (C20),p.105 / GA pp.158-59 / pdf 64,faithful,dragging time forces things to refuse themselves
§23d,grounds-question,METAPHYSICAL-QUESTION:what is time itself (such that boredom is possible),p.105 / GA pp.158-59 / pdf 64,faithful,boredom possible only because each thing has its time (C21)
STRUCTURAL-MOMENT:Hingehaltenheit,deepens-into,BOREDOM-FORM:profound boredom (entrancement of the threefold horizon),p.105 / GA pp.158-59 / pdf 64,faithful,first-form limbo is the seed of the temporal entrancement deepened in fcm-06
