source_claim,relation,edge_domain,target,note,location
DISS-02-C025,grounds,architectural,DISS-02-C098,Signet-ring decisive grounds Umwelt analogue (extension to three phases),line 19
DISS-02-C026,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.12 424a24-29,Sense-organ distinction,line 19
DISS-02-C027,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.11 424a4-5,Sense as logos,line 21
DISS-02-C027,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.2 426a27-b8,Logos as ratio,line 21
DISS-02-C028,instantiates,architectural,DISS-02-C027,Sense-by-sense proportion instantiates logos,line 21
DISS-02-C029,grounds,architectural,DISS-02-C030,Perception-as-ratio-match grounds destruction condition,line 21
DISS-02-C030,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.2 426b3-8,Destruction condition,line 21
DISS-02-C032,depends_on,architectural,DISS-02-C031,Logos as principle of difference depends on destruction-vs-perception distinction,line 21
DISS-02-C033,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP p.126,Perception-as-kritikon,line 23
DISS-02-C033,awaits-corpus-resolution,citation,DISS-02-C154,Asterisk placeholder #1 BCAP 126,line 23
DISS-02-C034,depends_on,architectural,DISS-02-C033,Discriminative event thesis depends on kritikon,line 23
DISS-02-C035,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431a8-12,Affirmation/negation,line 23
DISS-02-C036,cites-as-support,citation,SECONDARY-LOCUS:White pp. 9-11,To kritikon as unifying,line 23
DISS-02-C036,awaits-corpus-resolution,citation,DISS-02-C155,Asterisk placeholder #2 White 9-11,line 23
DISS-02-C037,grounds,architectural,DISS-02-C038,Reception-discrimination unity grounds persistence thesis,line 23
DISS-02-C038,grounds,architectural,DISS-02-C039,Persistence thesis grounds substrate-of-phantasia,line 25
DISS-02-C040,refines,architectural,DISS-02-C039,Phantasia-vs-persistence distinction refines substrate claim,line 25
DISS-02-C041,cites-as-support,citation,SECONDARY-LOCUS:Frede 1992 p.282,Anti-epiphenomenal,line 25
DISS-02-C042,instantiates,coined-term,CONCEPT-COINED:resonant kinesis,Resonant trace as structured (anticipates canonical introduction at C089),line 25
DISS-02-C043,instantiates,architectural,DISS-02-C001,§1.1 motion-principle instantiated in perception,line 29
DISS-02-C044,cites-as-support,citation,ARISTOTLE-LOCUS:Phys. III.2 202a13-20,Mover-moved one activity canonical,line 29
DISS-02-C045,cites-as-support,citation,ARISTOTLE-LOCUS:Phys. III.3 202a21-24,One-in-substrate canonical,line 29
DISS-02-C045,grounds,architectural,DISS-02-C107,One-in-substrate formula grounds dual-trace one-in-substrate-two-in-being,line 29
DISS-02-C046,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.2 425b26-27,Perception instance,line 31
DISS-02-C048,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.2 425b28-426a1,Hearing-sound simultaneity,line 31
DISS-02-C050,grounds,architectural,DISS-02-C098,One-in-substrate-formula grounds chain unity (multi-application),line 33
DISS-02-C050,grounds,architectural,DISS-02-C112,Formula grounds perception-appetite one-in-substrate,line 33
DISS-02-C052,refines,methodological,DISS-02-C050,Audit-question refines formula-warrant,line 33
DISS-02-C054,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §15-§18,In-der-Welt-sein,line 35
DISS-02-C054,instantiates,Heidegger,DISS-02-C055,In-der-Welt-sein instantiates structural openness,line 35
DISS-02-C057,extends,architectural,DISS-02-C016,Mood deferral extends Befindlichkeit deferral,line 35
DISS-02-C058,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.5 416b33-417a1,Enmattered alloiōsis,line 39
DISS-02-C061,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.1 412a19-22,Soul as form of body,line 39
DISS-02-C062,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.5 417a21-b2,Two kinds of alloiōsis canonical,line 41
DISS-02-C062,relocate-to,relocation-receipt,DISS-04-C055,Receives §1.4 paschein-preservation source claim (ii),line 41
DISS-02-C062,relocate-to,relocation-receipt,DISS-04-C056,Receives §1.4 paschein-destruction source claim (ii),line 41
DISS-02-C062,relocate-to,relocation-receipt,DISS-04-C057,Receives §1.4 paschein-preservation source claim (ii),line 41
DISS-02-C062,relocate-to,relocation-receipt,DISS-04-C058,Receives §1.4 paschein-perception-instance source claim (ii),line 41
DISS-02-C062,relocate-to,relocation-receipt,DISS-04-C094,Receives §1.4 DA II.5 verbatim quotation source claim (ii),line 41
DISS-02-C062,relocate-to,relocation-receipt,DISS-04-C095,Receives §1.4 paschein-dual-restated source claim (ii),line 41
DISS-02-C063,instantiates,architectural,DISS-02-C062,Preservation examples instantiate alloiōsis-dual-kinds,line 41
DISS-02-C064,instantiates,architectural,DISS-02-C062,Perception-as-preservative instantiates the dual-kinds distinction,line 41
DISS-02-C065,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431a3-5,Faculty not altered in corruptive sense,line 41
DISS-02-C068,grounds,architectural,DISS-02-C069,Perceptual paschein in preservative mode grounds fourfold frame,line 43
DISS-02-C069,cites-as-support,citation,ARISTOTLE-LOCUS:Met. Δ.21 1022b15-21,Fourfold canonical,line 43
DISS-02-C069,relocate-to,relocation-receipt,DISS-04-C084,Receives §1.4 fourfold introduction source claim (i),line 43
DISS-02-C069,relocate-to,relocation-receipt,DISS-04-C085,Receives §1.4 sense 1 source claim (i),line 43
DISS-02-C069,relocate-to,relocation-receipt,DISS-04-C086,Receives §1.4 sense 2 source claim (i),line 43
DISS-02-C069,relocate-to,relocation-receipt,DISS-04-C087,Receives §1.4 sense 3 source claim (i),line 43
DISS-02-C069,relocate-to,relocation-receipt,DISS-04-C088,Receives §1.4 sense 4 source claim (i),line 43
DISS-02-C074,relocate-to,relocation-receipt,DISS-04-C093,Receives §1.4 sōtēria-preservation thesis (i),line 47
DISS-02-C074,relocate-to,relocation-receipt,DISS-04-C096,Receives §1.4 Heidegger-emphasis-thesis (i),line 47
DISS-02-C074,relocate-to,relocation-receipt,DISS-04-C097,Receives §1.4 preservation-examples illustration (i),line 47
DISS-02-C074,relocate-to,relocation-receipt,DISS-04-C098,Receives §1.4 pathos-as-actualizing-structure source claim (i),line 47
DISS-02-C075,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP pp.131-132,Progressive narrowing,line 47
DISS-02-C075,awaits-corpus-resolution,citation,DISS-02-C156,Asterisk placeholder #3 BCAP 131-132,line 47
DISS-02-C077,instantiates,coined-term,CONCEPT-COINED:resonant aisthema,Fourfold at perceptual level anticipates resonant aisthēma,line 47
DISS-02-C077,supports,architectural,DISS-02-C078,Fourfold-at-perceptual grounds preservative-destructive limit,line 47
DISS-02-C079,grounds,architectural,DISS-02-C069,Perceptual-only-frame is the receiving structure for the relocations,line 47
DISS-02-C079,grounds,architectural,DISS-02-C062,Perceptual-only-frame extends paschein-relocation-receipt,line 47
DISS-02-C080,cites-as-support,citation,SECONDARY-LOCUS:Nussbaum p.238,Enmattered phantasia,line 49
DISS-02-C081,grounds,architectural,DISS-02-C083,Two consequences ground persisting-impression thesis,line 49
DISS-02-C082,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP p.176,Pathē-ground-of-speaking,line 49
DISS-02-C083,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.2 425b23-26,Persisting impression canonical,line 53
DISS-02-C085,cites-as-support,citation,ARISTOTLE-LOCUS:On Dreams 2 459a24-28,Residual affection canonical,line 53
DISS-02-C086,cites-as-support,citation,ARISTOTLE-LOCUS:On Dreams 2 459b1-6,Heat mechanism,line 53
DISS-02-C088,cites-as-support,citation,ARISTOTLE-LOCUS:On Dreams 2 460b2-3,Aisthēmata canonical,line 53
DISS-02-C089,instantiates,coined-term,CONCEPT-COINED:resonant kinesis,Canonical introduction site,line 55
DISS-02-C089,grounds,architectural,DISS-02-C103,Resonant kinēsis as material for next motion,line 55
DISS-02-C089,grounds,architectural,DISS-02-C105,Resonant kinēsis grounds dual-trace decomposition,line 55
DISS-02-C091,cites-as-support,citation,SECONDARY-LOCUS:White p.498,Resonant phantasia,line 55
DISS-02-C091,awaits-corpus-resolution,citation,DISS-02-C157,Asterisk placeholder #4 White 498,line 55
DISS-02-C093,instantiates,coined-term,CONCEPT-COINED:pathos simpliciter,Canonical distinction site (with resonant orexis),line 57
DISS-02-C093,instantiates,coined-term,CONCEPT-COINED:resonant orexis,Canonical distinction site (with pathos simpliciter),line 57
DISS-02-C094,grounds,coined-term,DISS-02-C124,Pathos simpliciter definition grounds same-chain identity,line 57
DISS-02-C095,grounds,coined-term,DISS-02-C105,Resonant orexis definition grounds dual-trace,line 57
DISS-02-C098,cites-as-support,citation,SECONDARY-LOCUS:von Uexküll pp.222-224,Umwelt canonical,line 59
DISS-02-C098,depends_on,architectural,DISS-02-C089,Umwelt analogy depends on resonant kinēsis,line 59
DISS-02-C100,refines,architectural,DISS-02-C098,Umwelt restriction refines the analogy,line 59
DISS-02-C103,instantiates,architectural,DISS-02-C089,Persistence grounds next motion instantiates resonant kinēsis function,line 61
DISS-02-C104,grounds,architectural,DISS-02-C105,Dual-trace foreshadowing grounds the canonical thesis,line 61
DISS-02-C105,grounds,architectural,DISS-02-C107,Dual-trace thesis grounds one-in-substrate-two-in-being,line 65
DISS-02-C105,grounds,architectural,DISS-02-C138,Dual-trace grounds phantasma inheritance,line 65
DISS-02-C106,depends_on,architectural,DISS-02-C105,Discrimination-evaluation co-deposit depends on dual-trace thesis,line 65
DISS-02-C107,instantiates,architectural,DISS-02-C045,Dual-trace formula instantiates one-in-substrate-different-in-being,line 65
DISS-02-C109,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.3 414b1-6,Sensory-appetitive entailment,line 69
DISS-02-C110,instantiates,architectural,DISS-02-C109,Sensation-analytically-evaluative instantiates DA II.3 entailment,line 71
DISS-02-C111,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431a8-14,Perception-appetite identity canonical,line 73
DISS-02-C112,instantiates,architectural,DISS-02-C045,Perception-appetite one-in-substrate instantiates the formula,line 75
DISS-02-C113,depends_on,architectural,DISS-02-C111,Residue-inherits-dual depends on perception-appetite identity,line 75
DISS-02-C114,cites-as-support,citation,ARISTOTLE-LOCUS:DA I.1 403a25-b19,Enmattered accounts canonical,line 75
DISS-02-C115,depends_on,architectural,DISS-02-C113,Dual-trace conclusion depends on residue-inheritance,line 75
DISS-02-C116,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431a8-14,Bare assertion not motivating,line 77
DISS-02-C117,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433b10-14,Appetite as source of movement,line 77
DISS-02-C117,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433b16-19,Realizable good unmoved mover,line 77
DISS-02-C118,depends_on,architectural,DISS-02-C117,Motivational autonomy depends on appetite-as-source,line 77
DISS-02-C119,grounds,coined-term,DISS-02-C122,Hedonic tonality canonical grounds constitutive aspect claim,line 79
DISS-02-C120,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP p.164,Hedone in-the-moment,line 79
DISS-02-C120,awaits-corpus-resolution,citation,DISS-02-C158,Asterisk placeholder #5 BCAP 164,line 79
DISS-02-C121,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP p.166,Hedone co-given,line 79
DISS-02-C121,awaits-corpus-resolution,citation,DISS-02-C158,Asterisk placeholder #6 BCAP 166,line 79
DISS-02-C122,grounds,architectural,DISS-02-C123,Constitutive aspect grounds dual-trace content,line 79
DISS-02-C124,depends_on,architectural,DISS-02-C105,Same-chain-identity payoff depends on dual-trace thesis,line 81
DISS-02-C126,depends_on,coined-term,DISS-02-C094,Twofold chain identity depends on pathos simpliciter definition,line 81
DISS-02-C127,refines,architectural,DISS-02-C126,Same-chain articulation refines the twofold-chain thesis,line 81
DISS-02-C128,instantiates,coined-term,CONCEPT-COINED:resonant orexis,Dual trace as basic valence,line 83
DISS-02-C129,needs-citation,citation,ARISTOTLE-LOCUS:Rhet. II.2 II.5 II.8,Higher-order pathē definitions,line 83
DISS-02-C130,inconsistent-with,numbering,DISS-02-C134,Old M_2→M_3 inconsistent with new M_2→A_3 convention,line 83
DISS-02-C131,depends_on,coined-term,DISS-02-C094,Pathos-simpliciter-vs-pathē depends on pathos simpliciter definition,line 83
DISS-02-C132,depends_on,architectural,DISS-02-C105,A_2 definition depends on dual-trace,line 87
DISS-02-C133,depends_on,architectural,DISS-02-C132,A_2 as threshold depends on A_2 definition,line 87
DISS-02-C134,instantiates,architectural,DISS-02-C001,Iterated chain at A_2 instantiates chain-architecture,line 87
DISS-02-C135,depends_on,coined-term,DISS-02-C089,Phantasia operates on resonant kinēsis,line 87
DISS-02-C136,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 428b10-17,Phantasia definition,line 87
DISS-02-C138,depends_on,architectural,DISS-02-C105,Phantasma inherits dual trace depends on dual-trace,line 91
DISS-02-C138,grounds,architectural,DISS-02-C139,Phantasma inheritance grounds both-traces-required,line 91
DISS-02-C140,depends_on,architectural,DISS-02-C001,§1.1 phantasia recall depends on §1.1 cross-ref,line 93
DISS-02-C141,depends_on,coined-term,DISS-02-C089,Resonant kinēsis not yet manifold depends on resonant kinēsis intro,line 93
DISS-02-C143,depends_on,architectural,DISS-02-C105,A_3 threshold depends on dual-trace,line 95
DISS-02-C146,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.3 414b1-6,Animal-locomotion deferral anchor,line 99
DISS-02-C146,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433a27-31,Appetite-single-source-of-movement,line 99
DISS-02-C146,needs-citation,citation,SECONDARY-LOCUS:Nussbaum De Motu Animalium,Interlocutor for animal-locomotion deferral,line 99
DISS-02-C146,needs-citation,citation,SECONDARY-LOCUS:Caston on phantasia animal cognition,Interlocutor for animal-cognition deferral,line 99
DISS-02-C147,cites-as-support,citation,ARISTOTLE-LOCUS:Sense and Sensibilia 6 447a3-7,Medium-unification aporia anchor,line 99
DISS-02-C147,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.1-2,Koinē aisthēsis,line 99
DISS-02-C148,inconsistent-with,numbering,DISS-02-C134,Old M_2→M_3 inconsistent with new convention,line 99
DISS-02-C149,depends_on,coined-term,DISS-02-C094,Cross-section load-bearing depends on pathos simpliciter,line 99
DISS-02-C153,contrasts_with,kinesis-applicability,DISS-02-C089,Latent tension: resonant kinēsis vs. canonical kinesis definition,line 55
DISS-02-C159,extends,cross-section,DISS-02-C105,§1.2 dual-trace consistent with §1.3 inheritance,line 65
DISS-02-C160,extends,cross-section,DISS-02-C094,§1.2 pathos simpliciter terminologically distinct from §1.4 basic affective valence; recommend cross-reference,line 65
