source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-08-PAPACHRISTOU,coextensive-with,Nussbaum:DeMotuAnimalium-1978,modern_secondary,12,Princeton-1978-221-269,Papachristou,fn. 34 indicative reading
PHX-08-PAPACHRISTOU,coextensive-with,White:Phantasia-DA-III.3-8-1985,modern_secondary,12,Dialogue-24-483-505,Papachristou,fn. 34 indicative reading — shared Thomistic disciplinary culture
PHX-08-PAPACHRISTOU,coextensive-with,Frede:Cognitive-Role-Phantasia-1992,modern_secondary,12,Clarendon-1996-279-295,Papachristou,fn. 34 indicative reading — supervenience parallel
PHX-08-PAPACHRISTOU,coextensive-with,Caston:Why-Aristotle-Needs-Imagination-1996,modern_secondary,12,Phronesis-41.1-20-55,Papachristou,fn. 34 indicative reading
PHX-08-PAPACHRISTOU,coextensive-with,Wedin:Mind-Imagination-Aristotle-1988,modern_secondary,12,Yale-1988,Papachristou,fn. 34 indicative reading
PHX-08-PAPACHRISTOU,coextensive-with,Modrak:Phantasia-Reconsidered-1986,modern_secondary,12,AGP-66-47-69,Papachristou,fn. 34 indicative reading
PHX-08-PAPACHRISTOU,coextensive-with,Turnbull:DA-III-3-1999,modern_secondary,12,Routledge-1999-83-120,Papachristou,fn. 34 indicative reading
PHX-08-PAPACHRISTOU,bridges-to,Kosslyn-Ball-Reiser:Visual-Images-1978,modern_secondary,25,J-Exp-Psychol-4-47-60,Papachristou,Contemporary cognitive science Analog/Pictorial Representation Account — pictorial content of calculative phantasmata
PHX-08-PAPACHRISTOU,bridges-to,Pylyshyn:Imagery-Debate-1981,modern_secondary,25,Psych-Review-88-16-45,Papachristou,Contemporary cognitive science Propositional Representation Account — propositional content of calculative phantasmata
PHX-08-PAPACHRISTOU,bridges-to,Block:Imagery-1981,modern_secondary,25,MIT-1981,Papachristou,Broader imagery-debate context
PHX-08-PAPACHRISTOU,extends,Papachristou:Phantasmata-Kosslyn-2006,modern_secondary,27,Thessaloniki-2006-112-134,Papachristou,Papachristou's own prior paper on phantasmata + Kosslyn cognitive science
PHX-08-PAPACHRISTOU,extends,Papachristou:Stoic-Phantasia-Romanes-2009,modern_secondary,10,Athens-2009-72-89,Papachristou,Earlier version basis for current article
PHX-08-PAPACHRISTOU,extends,Papachristou:Cognitive-Process-PhD-2008,modern_secondary,6,Thessaloniki-2008-273-300,Papachristou,Papachristou's PhD thesis on phantasia/phantasma/mnemic image/nous
PHX-08-PAPACHRISTOU,extends,Papachristou:Brain-Sense-Perception-2008,modern_secondary,6,Antike-Naturwissenschaft-XVIII-18-19,Papachristou,Papachristou's prior work on brain/cognition
PHX-08-PAPACHRISTOU,cites,Castoriadis,modern_secondary,11,MIT-1998-174-175,Papachristou,Continental philosopher's dissent — cited not endorsed
PHX-08-PAPACHRISTOU,cites,Oehler:Noetisches-Dianoetisches-Denken-1962,modern_secondary,9-10,Zetemata-29-131-244,Papachristou,Useful analysis of νοητικόν/διανοητικόν
PHX-08-PAPACHRISTOU,cites,Ierodiakonou:Psychological-Issues-Aristotle-2004,modern_secondary,6,Mastorides-2004-243,Papachristou,Brain/thought distinction
PHX-08-PAPACHRISTOU,cites,Nigel:Aristotle-Influence-2013,modern_secondary,27,SEP-Spring-2013,Papachristou,Closing citation on Aristotle's enormous influence on later cognition/imagery
PHX-08-PAPACHRISTOU,cites,Durrant:DA-in-Focus-1993,modern_secondary,2,Routledge-1993-3,Papachristou,De Anima as first systematic Philosophical Psychology
PHX-08-PAPACHRISTOU,cites,Tatakis-Greek-DA-translation,modern_secondary,13,Daidalos,Papachristou,πρὸ ὀμμάτων as 'before the soul's eye'
PHX-08-PAPACHRISTOU,cites,Papatheodorou-Greek-DA-II-III,modern_secondary,23-24,Papyrus-92,Papachristou,Pleasure/interest/duty as standards of intelligent-animal pursuit
PHX-08-PAPACHRISTOU,cites,Caujolle-Zaslawsky:Hupolepsis-DA-III.3-1996,modern_secondary,12,Vrin-349-365,Papachristou,Further discussion of ὑπόληψις
PHX-08-PAPACHRISTOU,cites,Honderich:Oxford-Companion-Philosophy-1995,modern_secondary,11,OUP-1995-395,Papachristou,Contemporary view of imagination
PHX-08-PAPACHRISTOU,asserts,thesis:three-kinds-of-phantasia,reading,1-27,passim,Papachristou,SIGNATURE THESIS — Aristotle distinguishes THREE not two kinds/grades of phantasia in DA III
PHX-08-PAPACHRISTOU,asserts,thesis:tripartite-correlates-with-three-animal-classes,reading,15-27,passim,Papachristou,Three kinds correlate with imperfect/irrational-perfect/rational animals
PHX-08-PAPACHRISTOU,asserts,thesis:retention-of-phantasmata-as-criterion,reading,17-19,passim,Papachristou,Capacity to perceive and retain a sense object separates indefinite from sensitive phantasia
PHX-08-PAPACHRISTOU,asserts,thesis:logistike-bouleutike-equivalent,reading,23,DA-III.10-III.11,Papachristou,The epithets λογιστική and βουλευτική are equivalent (verbs λογίζομαι and βουλεύομαι both = 'to determine consider')
PHX-08-PAPACHRISTOU,asserts,thesis:propositional-plus-pictorial-content,reading,25,DA-III.7+III.11,Papachristou,Calculative phantasia uses phantasmata with BOTH propositional and pictorial content — Kosslyn-vs-Pylyshyn prefigured
PHX-08-PAPACHRISTOU,asserts,thesis:six-fold-soul-power-table,reading,9,Table-1,Papachristou,Expansion of canonical tripartite soul to six-fold scheme — nutritive-reproductive/appetitive/sensitive/locomotive/imaginative/rational
PHX-08-PAPACHRISTOU,asserts,thesis:phantasma-translation-two-registers,reading,14-15,DA-passim,Papachristou,φάντασμα translated as 'representation/image' (faculty-only) vs. 'mental representation/mental image' (substratum for nous)
PHX-08-PAPACHRISTOU,reads-with,Heidegger-pipeline:BCAP-implicit-bridge,cross-pipeline,—,—,Papachristou,For BCAP/Heidegger PhD pipeline: Papachristou's Thomistic tripartite scheme could ground reading of Heidegger's GA 18-19 phantasia discussions where Aquinas is interlocutor; not engaged in article itself
PHX-08-PAPACHRISTOU,reads-with,Dalton-phantasia-chapters,cross-pipeline,—,—,Papachristou,For Dalton's dissertation: Papachristou's tripartite developmental-gradient model directly supports Dalton's phantasia chapters insofar as they require an explicit taxonomy of phantasia kinds with anchoring in both Aristotle and the medieval scholastic reception
