edge_id,source,relation,target,domain,book_pp,provenance,note
E31,Calleja,cites,Levine-2008-GDC-Bioshock-commentary,game-studies,122-124,calleja-exegetical,Primary source for push/pull narrative distinction
E32,Calleja,cites,Houser-2008-GTA-IV-Edge,game-studies,117,calleja-exegetical,Designer-commentary as theoretical evidence
E33,Calleja,cites,Walton-1990-narrative-props,game-studies,128,calleja-exegetical,'Narrative props' terminology borrowed
E34,IG-07-NARRATIVE,defines,Position-dissolves-narratology-ludology-binary,game-studies,"113-117, 120",calleja-exegetical,Meta-position: rejects via Ryan; endorses Salen+Zimmerman+Aarseth on ergodic; extends via scripted/alterbiography
E35,Alterbiography,instances-in-text,Synthesis-rules-representation-imagination,game-studies,128-131,calleja-exegetical,Combinatorial of rules + representation + imagination — Iser-derived
E36,Synthesis-rules-representation-imagination,cites,Iser-1991-Act-of-Reading,phenomenology-of-imagination,127-128,calleja-exegetical,Iser quoted directly on reader-synthesis (dual-nature projections)
E37,Synthesis-rules-representation-imagination,cites,Sartre-1967-What-Is-Literature,phenomenology-of-imagination,128,calleja-exegetical,Sartre quoted directly on author/reader interdependence
E38,Synthesis-rules-representation-imagination,cites,Sartre-1995-The-Imaginary,phenomenology-of-imagination,130,calleja-exegetical,Sartre invoked on ambiguity-revealed synthesis
E39,IG-07-NARRATIVE,bridges-to-pipeline,Phantasia-Cluster-via-Sartre-Iser,phenomenology-of-imagination,127-130,mediated-exegetical (Sartre/Iser → Phantasia Cluster),Primary IG-07 mediated-exegetical bridge — Synthesis subsection anchored in direct Sartre+Iser citations
E40,Iser-1991-Act-of-Reading,bridges-to-pipeline,Phantasia-Cluster-Hawhee-rhetorical-vision,phenomenology-of-imagination,127-128,mediated-exegetical (Sartre/Iser → Phantasia Cluster),Iser's reader-synthesis as upstream resource for rhetorical vision / phantasia operations
E41,Sartre-1995-The-Imaginary,bridges-to-pipeline,Phantasia-Cluster-Papachristou-deliberative-phantasia,phenomenology-of-imagination,130,mediated-exegetical (Sartre/Iser → Phantasia Cluster),Sartre's phenomenology of imagination as upstream resource for deliberative phantasia
E42,Sartre-1967-What-Is-Literature,bridges-to-pipeline,Phantasia-Cluster,phenomenology-of-imagination,128,mediated-exegetical (Sartre/Iser → Phantasia Cluster),Author/reader interdependence as upstream resource for rhetorical-imagination tradition
E43,Alterbiography,awaits-ontological-grounding-in,Aristotelian-muthos-emplotment-Poetics,ontological-grounding,"115, 128-130",anticipatory-projection (dissertation),STRONGEST single-concept bridge in chapter — alterbiography is muthos in everything but vocabulary
E44,Macro-phase-narrative-involvement,awaits-ontological-grounding-in,Heidegger-BCAP-kairos-anticipatory-comportment,ontological-grounding,131-132,anticipatory-projection (dissertation),Between-sessions wondering as anticipatory comportment
E45,Alterbiography,maps-to-pentad-term,Burke-Act,burke-pentad,"124-131",anticipatory-projection (dissertation),Alterbiography is the unfolding Act-stream
E46,Scripted-narrative,maps-to-pentad-term,Burke-Purpose,burke-pentad,120-124,anticipatory-projection (dissertation),Scripted narrative supplies designer-imposed teleology
E47,Push-narrative,maps-to-pentad-term,Burke-Purpose-saturated-Act-constrained,burke-pentad,122-123,anticipatory-projection (dissertation),Pushed narrative dramatizes Purpose-saturation
E48,Pull-narrative,maps-to-pentad-term,Burke-Act-Purpose-ratio-released,burke-pentad,123-124,anticipatory-projection (dissertation),Pulled narrative releases Purpose to Player-Act
E49,Alterbiography,maps-to-uexkull-construct,Bedeutungstraeger-meaning-carrier-sequence,uexkull-biosemiotic,"124-131",anticipatory-projection (dissertation),Causally-related segments of synthesis as Bedeutungsträger sequence within Umwelt
E50,Pull-narrative,maps-to-uexkull-construct,Player-pulled-Bedeutungstraeger,uexkull-biosemiotic,123-124,anticipatory-projection (dissertation),Audio diaries / in-world books as active biosemiotic meaning-bearers
E51,Push-narrative,maps-to-uexkull-construct,Designer-imposed-non-Bedeutungstraeger-interruption,uexkull-biosemiotic,122-123,anticipatory-projection (dissertation),Cut scenes as non-Bedeutungsträger interruption of player Umwelt
E52,IG-07-NARRATIVE,bridges-to-pipeline,Dalton-dissertation,dissertation-instrument,ALL,dissertation-instrument,Alterbiography + structures-of-progression typology = dissertation-deployable analytical constructs
E53,Calleja,cites,Genette-1980-Narrative-Discourse,narratology,"114, 124-125",calleja-exegetical,Quoted directly on story/narrative/narrating terminology + focalization
E54,Calleja,cites,Chatman-1978-Story-and-Discourse,narratology,"114, 113",calleja-exegetical,Listed in speech-act narratology cluster
E55,Calleja,cites,Prince-1982-Narratology,narratology,114,calleja-exegetical,Listed alongside Genette on narrator-requirement
E56,Calleja,cites,Metz-Bal-Culler-Walsh,narratology,114,calleja-exegetical,Story/discourse citation cluster
E57,Micro-phase-narrative-involvement,instances-in-text,Alterbiography-occurrence-locus-declaration,game-studies,131,calleja-exegetical,EXPLICIT micro-phase declaration at p.131 in lieu of labeled Micro-Phase subsection — structural deviation from Ch.4-6/8-9 template
E58,Figure-7.2-Muun-in-WoW,instances-in-text,Appendix-WoW-case-tie,methodology,132,calleja-exegetical,Calleja uses own Appendix-case-study WoW character as alterbiography exemplar
E59,Alterbiography,operationalizes-via-game,Medieval-II-Total-War-2006,game-studies,125,calleja-exegetical,Multi-level focalization shift example (miniatures → entity)
E60,Alterbiography,operationalizes-via-game,FIFA-2008-EA-Sports,game-studies,130,calleja-exegetical,Sports-genre management-mode alterbiography example
