source,relation,target,locus,note,unit
bor-sec-01,extends-reading-of,"Hughes, Emily — temporal-disruption account of melancholia",p.215-216,Aho extends Hughes's BT-based reading of melancholic 'dying' by supplying FCM's profound-boredom account as a parallel/deepening phenomenological register for the same desynchronization (FE).,bor-sec-01
bor-sec-01,cites,"Heidegger, Martin — Being and Time",p.215,"Draws on BT's temporality (Zeitlichkeit), thrown projection (geworfen Entwurf), 'the They' (das Man), and anxiety (Angst) as background architecture predating FCM's boredom analysis (FE).",bor-sec-01
bor-sec-01,instances-in-text,Grundstimmung (ground mood),p.216,"Extends boredom from an individual-Dasein-level mood to a historical epoch-level 'ground mood,' per Heidegger's post-Kehre writings — beyond FCM's own textual scope (FE).",bor-sec-01
bor-sec-01,contests,boredom/depression as brain disorder (biomedical/chemical-imbalance account),"p.216 (citing Heidegger 1973, pp.50-51)",Aho (following Heidegger) explicitly denies depression/profound boredom reduces to serotonin/dopamine chemical imbalance; a direct counterpoint useful for Strand D's EEG-based units' framing assumptions (FE).,bor-sec-01
bor-sec-01,bridges-to-part-iii,Part III dissertation (student boredom framing),n/a,"(P/anticipatory-application) Suggestive resonance between Aho's 'ground mood of modernity' framing and Part III's contextualization of student boredom as potentially more than an individual attention-lapse; NOT a claim Aho makes about students, VR, or education — scale mismatch (civilizational vs. classroom) must be flagged whenever reused.",bor-sec-01
bor-sec-15,treats-construct,monotony / meaninglessness,"pp.760, 767","Gestell's homogenizing/regimenting effect on teaching (p.760); reductionist 'silo type' curricula reproducing 'more of the same' (p.767) -- functional analogue to monotony, though the source never uses the word",bor-sec-15
bor-sec-15,treats-construct,flow / engagement (contrast pole),pp.762-763,peer-learning and 'responsive engagement with that which is different' diminished by the shift from co-presence to telepresence ('Other and othering'),bor-sec-15
bor-sec-15,treats-construct,attentional disengagement / meta-awareness,p.763,"loss of eye-contact and non-verbal cues; susceptibility to 'external interruptions and distractions' in telepresence -- analogical, not attention research",bor-sec-15
bor-sec-15,treats-construct,temporality of boredom (time-drag),pp.763-764,"distinct sense of telepresence temporality (bi-localized simultaneity, 'far-but-close' paradox) -- NOT boredom's time-drag; flagged as construct-adjacent only",bor-sec-15
bor-sec-15,defines,Gestell (enframing),p.759,'expression of the essence of the world-forming nature of technology' (Heidegger 1977) that shapes an epoch of modernity,bor-sec-15
bor-sec-15,defines,Gelassenheit (releasement),p.769,"engaged letting-be of things and phenomena, not indifference but an active, receptive practice (Heidegger 1966)",bor-sec-15
bor-sec-15,defines,telepresence vs. co-presence,pp.761-762,technologically mediated remote presence contrasted with direct embodied co-presence in teaching and learning,bor-sec-15
bor-sec-15,defines,integral pedagogy,"p.757, p.770",proposed mode of teaching/learning able to move reflectively between embodied and digital(ised) forms,bor-sec-15
bor-sec-15,defines,apparatus (Agamben),p.767,"'set of practices, bodies of knowledge, measures, and institutions' that orient conduct -- applied to business-school curricula",bor-sec-15
bor-sec-15,cites,Heidegger (1977) The Question Concerning Technology,p.759,source of the Gestell/enframing concept extended by the authors to digital technology,bor-sec-15
bor-sec-15,cites,Heidegger (1966) Discourse on Thinking,p.769,source of the Gelassenheit/releasement concept proposed as pedagogical ethos,bor-sec-15
bor-sec-15,cites,Ihde (1990; 2009; 2012),p.765,"'continuum of human-prostheses inter-relations'; technological embodiment as reciprocal, not representational",bor-sec-15
bor-sec-15,cites,Rosenberger and Verbeek (2015),p.758,digital technologies reframed as transformative mediators of human-world relations rather than neutral instruments,bor-sec-15
bor-sec-15,cites,Verbeek (2005) What Things Do,p.760,critiques the original Gestell concept as 'too abstract and/or too nostalgic',bor-sec-15
bor-sec-15,cites,Ruin (2010) Gestell: Enframing as the Essence of Technology,p.760,critiques Heidegger's account as lumping technologies into monolithic characterisations,bor-sec-15
bor-sec-15,cites,Agamben (2009) What Is an Apparatus?,p.767,apparatus concept applied to business-school curricula as a governance mechanism,bor-sec-15
bor-sec-15,cites,Ward (2018) What's Lacking in Online Learning?,pp.765-766,Dreyfus/Merleau-Ponty-inflected account of bodily affective understanding used to design re-embodied online materials,bor-sec-15
bor-sec-15,cites,Wals (2020) Sustainability-Oriented Ecologies of Learning,pp.767-768,'relational...critical...actional...ethical...and political' emancipatory pedagogy proposed as a model for repurposed curricula,bor-sec-15
bor-sec-15,cites,Biesta (2006; 2010),"pp.762, 768",'learnification' critique; qualification/subjectification/socialisation balance for repurposed education,bor-sec-15
bor-sec-15,cites,Rosa (2013) Social Acceleration,p.760,"technology's collapsing of spatial/temporal reference frames, unforeseen by Heidegger in his lifetime",bor-sec-15
bor-sec-15,cites,Han (2017) In the Swarm,p.768,'homo digitalis' no longer a person of 'action' under networked digital organisation of teaching,bor-sec-15
bor-sec-15,cites,Zhao (2004; 2015),pp.763-764,'consociate contemporaries' and 'community of time without... community of physical space' analysis of telepresence,bor-sec-15
bor-sec-15,cites,Wilson et al. (2008) Perceived Proximity in Virtual Work,p.764,'far-but-close' paradox of virtual work applied to telepresent teaching and learning,bor-sec-15
bor-sec-15,cites-cluster-author,Aho (2005; 2010),p.760,"cited for Heidegger's rare but significant engagement with the body/embodiment -- same author as Strand-A bor-sec-01 (Aho -- Heidegger on Melancholia, Deep Boredom, 2020); NOT cited here on boredom, only on embodiment",bor-sec-15
bor-sec-15,instances-in-text,Challenge 1 -- co-presence to telepresence,pp.762-764,"loss/alteration of alterity, sensation, emotion, relation, and spatio-temporal experience in shifting teaching online",bor-sec-15
bor-sec-15,instances-in-text,Challenge 2 -- re-embodying teaching and learning,pp.764-766,"re-embodiment via technological embodiment, homo faber, and affect-shaping online materials (Ward 2018)",bor-sec-15
bor-sec-15,instances-in-text,Challenge 3 -- re-purposing business-school teaching,pp.766-768,"critique of reductionist, apparatus-governed curricula; call for relational, sustainability-oriented integral pedagogy",bor-sec-15
bor-sec-15,instances-in-text,lecture-as-theatrical-event analogy,p.763,lecture-recording debate (O'Callaghan et al. 2017) used to argue embodied performative atmosphere cannot be transposed online,bor-sec-15
bor-sec-15,qualifies,Gestell (Heidegger 1977),p.760,"authors concede Gestell has been criticised as abstract/nostalgic/monolithic (Verbeek 2005; Ruin 2010) yet retain it, reframing the question as what Heideggerian thinking offers the 21st century (Georgakis and Ennis 2014)",bor-sec-15
bor-sec-15,concedes,Heidegger's neglect of the body,p.760,acknowledges Heidegger 'rarely discusses the body itself' (Aho 2005; Schalow 2006) before arguing he still contributes to embodiment theory via the critique of technological existence,bor-sec-15
bor-sec-15,extends,postphenomenology (Ihde/Verbeek) to digital pedagogy,p.758,extends Gestell and Gelassenheit 'to the digital context' of teaching and learning specifically,bor-sec-15
bor-sec-15,bridges-to-part-iii,digital Gestell as diagnostic vocabulary for deployment-context disengagement,P/anticipatory-application,enframing's homogenizing/regimenting effect on learning (p.760) offers Part III conceptual vocabulary for why 2D-PC/deployment-context pedagogy may risk monotony distinct from lab=VR co-presence,bor-sec-15
bor-sec-15,bridges-to-part-iii,telepresence peer-learning loss and VLE co-watching correction,pp.762-763,'Other and othering' analysis of diminished peer encounter under telepresence resonates with (but does not itself address) the VLE proximity-voice co-watching correction to Part III's F7 'WE unmet want' reading,bor-sec-15
bor-sec-15,bridges-to-part-iii,Gelassenheit as candidate name for anti-monotony pedagogical ethos,pp.769-770,"'engaged releasement' offered as a possible naming for the receptive, attentive stance Part III's engaged-pole pedagogy would need to counter monotony-driven disengagement",bor-sec-15
bor-sec-15,bridges-to-part-iii,no measures -- conceptual resource only,n/a,"source contains zero empirical constructs/operationalizations; useful to Part III strictly as vocabulary/framing (Gestell, Gelassenheit, telepresence), not as competing or confirming empirical evidence",bor-sec-15
bor-sec-15,grounds-measure,****** UNVERIFIED: Boredom Experiment (VR Attention Study),n/a,dataset entry not yet built as of 2026-07-14; not applicable here since this source operationalizes no measures to ground,bor-sec-15
bor-sec-27,defines,arousal/activation distinction (EEG-level operationalization),~p.2765-2766,"The paper's core theoretical contribution: separates 'arousal' (current energetic level, global/topography-flat) from 'activation' (task-related energy mobilization, topographically-focal), operationalizing Pribram and McGuinness's (1975) attention-system distinction at the EEG level for the first time (FAITHFUL-Barry et al., ~p.2765-2766).",bor-sec-27
bor-sec-27,treats-construct,flow / engagement (contrast pole),~p.2766-2768,"Analogical only, not the authors' framing: the eyes-open visual-fixation/processing condition loosely parallels an 'engaged' state relative to passive eyes-closed rest; offered to meet this strand's mandatory treats-construct requirement honestly given the source never discusses engagement or boredom (P/anticipatory-application).",bor-sec-27
bor-sec-27,treats-construct,attentional disengagement / meta-awareness,~p.2766,"Analogical only: eyes-closed rest (no external target, no visual-processing demand) is the paper's closest physiological analogue to reduced external engagement; the source itself never characterizes eyes-closed rest this way (P/anticipatory-application).",bor-sec-27
bor-sec-27,operationalizes-measure,EEG eyes-open vs. eyes-closed,~p.2767-2771,"Central paradigm: 32 min alternating 2-min eyes-closed/eyes-open blocks, 'triplet' order-controlled design, 19-site 10-20 system, N=28; global power reductions in all 4 bands with eyes-open, differential topographic patterns per band (FAITHFUL-Barry et al., ~p.2767-2771).",bor-sec-27
bor-sec-27,operationalizes-measure,EEG alpha/theta power,~p.2768-2771,"Absolute power via FFT (Welch window); alpha = global arousal marker (uniform ~40% reduction, tracks SCL); theta = activation marker (global reduction, significantly larger posteriorly) (FAITHFUL-Barry et al., ~p.2768-2771).",bor-sec-27
bor-sec-27,operationalizes-measure,heart rate / HRV (+ skin conductance),~p.2767-2771,"Skin conductance level (SCL) continuous at 64Hz from non-dominant-hand digit electrodes; increases eyes-closed to eyes-open (F=5.53, p<.05); negatively correlated with alpha at 2 of 3 eyes-closed periods and with the alpha change score (r=-.32) (FAITHFUL-Barry et al., ~p.2767, 2769, 2771).",bor-sec-27
bor-sec-27,construct-measured-by,arousal (current energetic level) <- EEG alpha power (global),~p.2770-2771,"The paper's own internal construct-measure pairing: arousal is operationalized via alpha power's uniform, non-topographic, SCL-tracking reduction (FAITHFUL-Barry et al., ~p.2770-2771).",bor-sec-27
bor-sec-27,construct-measured-by,activation (task-related energy mobilization) <- EEG topographic delta/theta/beta changes,~p.2769-2771,"The paper's own internal construct-measure pairing: activation is operationalized via regionally-focal (non-uniform) changes in delta, theta, and beta power (FAITHFUL-Barry et al., ~p.2769-2771).",bor-sec-27
bor-sec-27,cites,"Berger, H. (1933); Adrian, E.D., & Matthews, B.H.C. (1934); Jasper, H.H. (1936); Smith, J.R. (1938)",~p.2765,"Foundational discovery lineage of occipital alpha suppression with visual stimulation/eye-opening, the phenomenon this paper decomposes into arousal and activation components (FAITHFUL-Barry et al., ~p.2765).",bor-sec-27
bor-sec-27,cites,"Volavka, J., Matousek, M., & Roubicek, J. (1967); Gale, A., Coles, M., & Boyd, E. (1971)",~p.2765-2766,"Proponents of the Reticular Activating System (RAS) mediation account of alpha desynchronization to visual input (FAITHFUL-Barry et al., ~p.2765-2766).",bor-sec-27
bor-sec-27,cites,"Gevins, A., Smith, M.E., McEvoy, L., & Yu, D. (1997); Basar, E., & Schurmann, M. (1999); Klimesch, W. (1999)",~p.2766,"Proponents of the widespread thalamo-cortical communication account of alpha desynchronization, the rival mechanistic account to RAS mediation (FAITHFUL-Barry et al., ~p.2766).",bor-sec-27
bor-sec-27,extends,"Barry, R.J., Clarke, A.R., McCarthy, R., Selikowitz, M., Rushby, J.A. (2005a)",~p.2766,"Extends the CPT study's arousal/activation distinction (previously demonstrated via SCL and behavioral efficiency) into the domain of EEG topography, not examined in the earlier paper (FAITHFUL-Barry et al., ~p.2766).",bor-sec-27
bor-sec-27,extends,"Barry, R.J., Rushby, J.A., Wallace, M.J., Clarke, A.R., Johnstone, S.J., Ilinka, Z. (2005b)",~p.2766/2768,"Extends the caffeine study's use of absolute (not relative) EEG power and global-alpha/SCL arousal linkage into a topographic, multi-band eyes-closed/eyes-open design (FAITHFUL-Barry et al., ~p.2766, 2768).",bor-sec-27
bor-sec-27,cites,"Barry, R.J., Clarke, A.R., McCarthy, R., Selikowitz, M., Rushby, J.A., Ploskova, E. (2004)",~p.2766,"Prior study in children linking SCL to global (non-topographic) EEG alpha reduction; direct empirical precedent this study replicates on a between-subjects basis in adults (FAITHFUL-Barry et al., ~p.2766, 2769).",bor-sec-27
bor-sec-27,cites,"VaezMousavi, S.M., Barry, R.J., Rushby, J.A., Clarke, A.R. (2007)",~p.2766,"Independent between-subjects confirmation of the arousal/activation separation in normal adults, cited as converging evidence for the theoretical framework this paper extends (FAITHFUL-Barry et al., ~p.2766).",bor-sec-27
bor-sec-27,cites,"McCarthy, Gregory, & Wood, Charles C. (1985)",~p.2768,"Source of the vector-scaling correction applied to confirm that reported condition-by-topography interactions are genuine and not scaling artifacts (FAITHFUL-Barry et al., ~p.2768).",bor-sec-27
bor-sec-27,cites,"Detari, L. (2000); Robbins, T., Granon, S., Muir, J., Durantou, F., Harrison, A., Everitt, B. (1998)",~p.2766,"Neuroanatomical grounding for thalamic/midbrain mediation of arousal and its propagation to cortical EEG activity, cited to justify the expectation that arousal changes should appear globally across the scalp (FAITHFUL-Barry et al., ~p.2766).",bor-sec-27
bor-sec-27,cites,"Ray, W.J., & Cole, H.W. (1985)",~p.2772,"Cited to interpret the eyes-open frontal beta increase as consistent with prior findings that beta reflects emotional/cognitive processing and mental/physical effort (FAITHFUL-Barry et al., ~p.2772).",bor-sec-27
bor-sec-27,qualifies,"classic alpha-desynchronization literature (Berger 1933 onward, treating visual-stimulation alpha suppression as unitary 'cortical activation')",~p.2771,"Qualifies the earlier literature's unitary reading by showing the alpha reduction it documents is a pure global-arousal effect, distinct from the topographically-focal activation effects visible in delta, theta, and beta (FAITHFUL-Barry et al., ~p.2771).",bor-sec-27
bor-sec-27,shifts-debate-axis,eyes-closed/eyes-open baseline-equivalence assumption in EEG and ERP methodology,~p.2771-2772,"Reframes the field's implicit assumption that eyes-closed and eyes-open rest are interchangeable 'lowest-arousal' baselines, proposing instead that baseline choice should depend on whether the target task involves visual processing or a fixation point (FAITHFUL-Barry et al., ~p.2771-2772).",bor-sec-27
bor-sec-27,shifts-debate-axis,Reticular Activating System (RAS) mediation vs. thalamo-cortical widespread-communication debate on alpha desynchronization mechanism,~p.2765-2766/2771,"Does not adjudicate the mechanism debate directly but reframes it: the global SCL-tracking alpha component is consistent with RAS-style arousal mediation, while topographically-focal delta/theta/beta changes are consistent with thalamo-cortical processing, suggesting the two mechanisms may co-occur rather than compete (FAITHFUL-Barry et al., ~p.2765-2766, 2771).",bor-sec-27
bor-sec-27,grounds-measure,Boredom Experiment (VR Attention Study): EEG eyes-open/eyes-closed baseline channel,n/a,****** UNVERIFIED: this paper's finding that eyes-closed and eyes-open rest differ in both global arousal and topographic activation is the normative methodological citation for choosing/interpreting any resting-state EEG baseline channel the not-yet-built VR Attention Study dataset might collect; dataset entry does not exist on disk (P/anticipatory-application).,bor-sec-27
bor-sec-27,bridges-to-part-iii,Part III methodological caution for any future physiological/EEG baseline measure,n/a,"P/anticipatory-application -- should Part III's research program ever incorporate a physiological baseline (directly, or via the linked VR Attention Study dataset), this paper is the citation for why eyes-closed and eyes-open resting periods cannot be treated as interchangeable zero-points.",bor-sec-27
bor-sec-27,bridges-to-part-iii,Strand D internal corpus-architecture note (baseline-methodology prerequisite for bor-sec-30 and bor-sec-33),n/a,"P/anticipatory-application -- our own observation, not a claim made by later papers: bor-sec-30 (Perone et al., frontal EEG asymmetry across a boring task) and bor-sec-33 (Yuvaraj et al., EEG functional connectivity during boredom) each inherit an obligation to justify their resting/inter-block baseline choice given this paper's topographic findings, though neither paper cites Barry et al. (2007) directly (this paper predates neither by citation but the two later units' own reference lists should be checked independently).",bor-sec-27
bor-sec-27,cites,"Fisch, B.J. (1999) -- EEG primer",~p.2765-2766,"Cited as acknowledging that the underlying mechanism of alpha desynchronization to visual input remains unclear, framing the mechanistic debate this paper's arousal/activation decomposition partially addresses (FAITHFUL-Barry et al., ~p.2765-2766).",bor-sec-27
bor-sec-27,cites,"Pribram, Karl H., & McGuinness, Donald (1975)",~p.2766,"Originators of the arousal/activation/effort tripartite distinction as separable processes of the attention system; the paper's foundational theoretical premise, previously underused in psychophysiological research per the authors (FAITHFUL-Barry et al., ~p.2766).",bor-sec-27
bor-sec-35,defines,Learning Area (LA) / Out-of-Learning-Area (OLA) area-of-interest partition,~p.313 (Figure 5),"The paper's central methodological device: the display is split into a Learning Area and an Out-of-Learning-Area, with number of fixations, fixation duration, and pupil diameter computed separately for each, then combined into LA/OLA ratios (FAITHFUL-Charoenpit & Ohkura, ~p.313).",bor-sec-35
bor-sec-35,treats-construct,situational vs. trait/state boredom,~p.311-312,"Boredom is operationalized purely as the mean of three within-session questionnaire items answered once per content unit -- implicitly state-level, with no trait instrument (e.g., a Boredom Proneness Scale) administered or discussed (FE, p.311-312).",bor-sec-35
bor-sec-35,treats-construct,attentional disengagement / meta-awareness,~p.309-310/313,"Operational core of the study: the LA/OLA screen partition operationalizes attention as fixation location, following the cited claim that eye data 'indicate a person's interest level and the focus of her attention' (FAITHFUL-Charoenpit & Ohkura, p.309, citing Hend & Remya).",bor-sec-35
bor-sec-35,treats-construct,flow / engagement (contrast pole),~p.310-311,"The 'interest' group (6 of 9 questionnaire items) is the paper's engagement pole, grounded in the same three-model apparatus (Russell's Circumplex, 'Shen,' Kort's learning spiral) used to define both emotion groups (FE, p.310-311).",bor-sec-35
bor-sec-35,operationalizes-measure,pupil dilation / pupillometry,~p.313-314,"Pupil diameter (mm) recorded in LA and OLA (Table 4); derived pupil-diameter ratio; stated rule 'high ratio = bored' but the ratio correlates positively with interest (Content 1 r=.694**, Style A r=.665**) and negatively with boredom (Content 2 r=-.790*, Style B r=-.826*) -- an internally inconsistent measure-to-construct mapping (FAITHFUL-Charoenpit & Ohkura, p.313-314).",bor-sec-35
bor-sec-35,operationalizes-measure,gaze variance / fixation dispersion,~p.313-315,"Number of fixations and fixation duration recorded separately in LA/OLA (Table 4), plus derived fixation-number and fixation-duration ratios; fixation-duration ratio (Content 1, r=.831** with interest) and fixation-number ratio are named in the Conclusion as the paper's 'useful eye metric indexes' (FAITHFUL-Charoenpit & Ohkura, p.313-315).",bor-sec-35
bor-sec-35,operationalizes-measure,self-report / survey scale,~p.311-312/314,"Nine-item, 5-point Likert post-content questionnaire (Table 2), split into an interest group (6 items) and a boredom group (3 items: tiring/anxiety/frustrating), items selected from two external instruments [15,16] (FAITHFUL-Charoenpit & Ohkura, p.311-312).",bor-sec-35
bor-sec-35,operationalizes-measure,behavioral (RT / errors / performance-monitoring),~p.311-313,"Ten-question pre-test and post-test (one point/question) per content unit, testing C-programming comprehension; post-test scores generally exceeded pre-test scores, with three named exceptions (users 03, 04, 08) (FAITHFUL-Charoenpit & Ohkura, p.312-313).",bor-sec-35
bor-sec-35,cites,"Hend, S. Al, & Remya, G.K. (2010) -- Eye Tracking and e-Learning",~p.309,"Eye data as an indirect index of attention, stress, relaxation, problem-solving, and fatigue, foundational to the paper's attention/interest framing (FAITHFUL-Charoenpit & Ohkura, p.309).",bor-sec-35
bor-sec-35,cites,"Haddioui, I.E., & Khaldi, M. (2011) -- Learner Behavior Analysis through Eye Tracking [cited in-text as 'Ismail and Mohamed']",~p.309-310,"Eye tracking integrated into an e-learning platform to analyze learner behavior and attention; the in-text author name ('Ismail and Mohamed') does not match the numbered reference-list authors, an inconsistency reproduced as found (FE, p.309-310).",bor-sec-35
bor-sec-35,cites,"Al-Wabil, Areej, et al. (2010) -- Exploring the Validity of Learning Styles ('Areej et al.')",~p.310,"Eye gaze linked to learning-style scales (active/reflective, sensing/intuitive, visual/verbal, sequential/global); visual learners show more visual-element attention, verbal learners more textual attention (FAITHFUL-Charoenpit & Ohkura, p.310).",bor-sec-35
bor-sec-35,cites,"Porta, M., Ricotti, S., & Perez, C.J. (2012) -- Emotional E-Learning through Eye Tracking ('Marco et al.')",~p.310,"Gaze coordinates, fixation durations, pupil diameters, saccadic velocities, and blink rates recorded during problem-solving; decreased blinks plus increased fixation/pupil size linked to high working-memory load or comprehension failure (FAITHFUL-Charoenpit & Ohkura, p.310).",bor-sec-35
bor-sec-35,cites,"Mealha, O., et al. (2012) -- Eye Tracking Data Representation and Visualization",~p.310,"Data-representation and visualization techniques for eye-tracking data across domains (advertising, websites, TV news, video games), via fixations and saccades (FAITHFUL-Charoenpit & Ohkura, p.310).",bor-sec-35
bor-sec-35,extends,"Charoenpit, S., & Ohkura, M. (2013) -- A New E-learning System Focusing on Emotional Aspect Using Biological Signals",~p.310-311,"Self-extension: the five-module e-learning system architecture (learners, instructors, servers, biological sensors, emotion-analysis module) is carried over from the authors' own prior system paper and equipped here with the eye-tracking experiment (FAITHFUL-Charoenpit & Ohkura, p.310-311).",bor-sec-35
bor-sec-35,cites,"Russell, James A. (1980) -- A Circumplex Model of Affect",~p.310-311,"One of three underlying emotion models (Russell's Circumplex, 'Shen,' Kort's learning spiral) used to construct the interest/boredom emotion groups (FAITHFUL-Charoenpit & Ohkura, p.310-311).",bor-sec-35
bor-sec-35,cites,"Kort, B., Reilly, R., & Picard, R. (2001) -- An Effective Model of Interplay between Emotions and Learning",~p.310-311,"Source of 'Kort's learning spiral,' one of the three underlying emotion models; the numbered-reference correspondence to the in-text model names is internally inconsistent in the source and reproduced as found (FE, p.310-311).",bor-sec-35
bor-sec-35,cites,"Kaiser, R., & Oertel, K. (2006) -- Emotions in HCI: An Affective E-Learning System",~p.310-311,"Affective e-learning HCI system cited among the three underlying emotion models; numbered-reference correspondence internally inconsistent, reproduced as found (FE, p.310-311).",bor-sec-35
bor-sec-35,cites,"Wang, C.Y., Ke, S.Y., Chuang, H.C., Tseng, H.Y., & Chen, G.D. (2010)",~p.312,"Source of some of the nine 5-point-Likert questionnaire items used to build the interest/boredom emotion groups (FAITHFUL-Charoenpit & Ohkura, p.312).",bor-sec-35
bor-sec-35,cites,"Juutinen, S., & Saariluoma, P. (2014) -- Emotional Obstacles for E-Learning",~p.312,"Source of some of the nine 5-point-Likert questionnaire items used to build the interest/boredom emotion groups (FAITHFUL-Charoenpit & Ohkura, p.312).",bor-sec-35
bor-sec-35,cites,"Jacob, R.J.K., & Karn, K.S. (2003) -- Eye Tracking in Human-Computer Interaction and Usability Research",~p.313,"Fixation duration cited as an indicator of a participant's difficulty extracting information from a display, grounding the fixation-duration eye metric (FAITHFUL-Charoenpit & Ohkura, p.313).",bor-sec-35
bor-sec-35,cites,"Berlin, D. (2014) -- Demystifying Eye Tracking",~p.313,"Definition of a fixation as the point on the screen at which the participant is looking, grounding the fixation-point eye metric (FAITHFUL-Charoenpit & Ohkura, p.313).",bor-sec-35
bor-sec-35,cites,"Takeuchi, H., & Habuchi, Y. (2007) -- A Quantitative Method for Analyzing Scan Path Data",~p.313,"Source of the fixation-length time-series measure used in the User 04 t-test comparison (Table 7) (FAITHFUL-Charoenpit & Ohkura, p.313).",bor-sec-35
bor-sec-35,cites,"Duchowski, Andrew (2007) -- Eye Tracking Methodology: Theory and Practice",~p.309,"General definitional citation for eye-tracking technology and eye movements, opening the paper's framing of eye tracking as an attention/interest indicator (FAITHFUL-Charoenpit & Ohkura, p.309).",bor-sec-35
bor-sec-35,qualifies,pupil dilation / pupillometry (own interpretive rule),~p.313-314,"The paper's own stated rule -- 'a high pupil diameter ratio indicates that learner is bored' -- is qualified (though not acknowledged as such by the authors) by its own correlation tables, where the ratio correlates positively with interest and negatively with boredom, the opposite sign the stated rule would predict (FE, our observation, p.313-314).",bor-sec-35
bor-sec-35,grounds-measure,Boredom Experiment (VR Attention Study) -- eye-tracking/emotion channel,n/a,"****** UNVERIFIED: the LA/OLA area-of-interest partition, the three raw eye metrics (fixation count, fixation duration, pupil diameter) computed per area, and the derived LA/OLA ratios offer a concrete, low-cost precedent for classifying engagement versus boredom from eye-tracking data in an instructional setting, but a VR headset's integrated eye tracker would track 3D gaze vectors against headset-relative regions rather than 2D screen coordinates against a fixed LA/OLA split; linkage requires the dataset entry's own instrumentation to be confirmed (P/anticipatory-application).",bor-sec-35
bor-sec-35,bridges-to-part-iii,Part III eye-tracking-based interest/boredom operationalization template,n/a,"P/anticipatory-application -- the paper's LA/OLA fixation-ratio and pupil-ratio apparatus, cross-validated (loosely) against a nine-item interest/boredom questionnaire, offers Part III a concrete, low-cost template for building its own eye-tracking-based engagement/boredom index in a VLE or VR-attention context.",bor-sec-35
bor-sec-35,bridges-to-part-iii,Part III self-report/physiological convergent-validity caution,n/a,"P/anticipatory-application -- the User 04 case, where questionnaire and eye-metric evidence diverge and the authors elect to trust the physiological channel without independently validating their timing-lag explanation, cautions Part III against assuming convergence between subjective and eye-tracking indices of boredom, and against assuming post-hoc self-report timing is neutral with respect to what it captures.",bor-sec-35
bor-sec-35,bridges-to-part-iii,Part III difficulty-vs-boredom confound caution,n/a,"P/anticipatory-application -- Content 2 is explicitly described as more difficult than Content 1 and is also the condition most consistently associated with boredom-correlated eye metrics, a confound the source never examines; Part III's own VLE materials, compared across units of differing difficulty, would need to disentangle boredom proper (monotony, low perceived value) from mere task difficulty before attributing eye-metric or self-report differences to boredom as such.",bor-sec-35
bor-sec-34,defines,attentional bias (source's own operational definition),~p.4,"Defines attentional bias as 'a person's selective attention toward certain types of stimuli while tending to overlook, ignore, or disregard others,' citing Fadardi, Cox, & Rahmani (2016); the definitional anchor for the entire study (FAITHFUL-Cheval et al., ~p.4).",bor-sec-34
