unit_id,strand,citation_short,profound/deep boredom (FCM 3rd form),being-bored-by (1st form),being-bored-with (2nd form),situational vs. trait/state boredom,boredom proneness,mind-wandering / task-unrelated thought,attentional disengagement / meta-awareness,boredom-as-regulatory-signal (functional account),flow / engagement (contrast pole),monotony / meaninglessness,temporality of boredom (time-drag)
bor-sec-15,B,"Aroles, Jeremy and Küpers, Wendelin",-,-,-,-,-,-,a,-,X,a,X
bor-sec-16,B,"Feldges, Tom, and Sonia Pieczenko. ""Boredom in Educational Contexts: A",X,,,X,X,X,X,X,X,X,X
bor-sec-17,B,"Mertel, K. (2020). Heidegger, Technology and Education. Journal of Phi",,,,,,,a,,a,a,
bor-sec-18,B,"Mansikka, Jan-Erik (2009 [published online 30 September 2008]). Can Bo",X,X,X,-,-,-,-,X,X,X,X
bor-sec-19,B,"Thomson, Iain (2001). Heidegger on Ontological Education, or: How We B",-,-,-,-,-,-,-,-,-,X,-
bor-sec-20,C,"Darling, Tom",X,-,-,X,X,X,X,X,X,X,X
bor-sec-21,C,"Raffaelli, Quentin; Mills, Caitlin; Christoff, Kalina",-,-,-,X,X,X,X,X,X,X,X
bor-sec-22,C,"Tam, Katy Y. Y., Wijnand A. P. van Tilburg, Christian S. Chan, Eric R.",,,,X,X,X,X,X,X,X,X
bor-sec-23,C,"Murphy, Stephen; Hill, Tim; McDonagh, Pierre; and Faherty, Amanda (202",X,X,-,-,-,X,-,a,X,X,X
bor-sec-24,C,"Clark, Kevin B., and Derrick L. Hassert. ""Undecidability and Opacity o",,,,,,,a,,,,
bor-sec-25,C,"Elpidorou, Andreas",-,-,-,X,X,X,X,X,-,X,X
bor-sec-26,C,"Elpidorou, Andreas",-,-,-,X,X,X,X,X,X,X,X
bor-sec-27,D,"Barry, Robert J., Adam R. Clarke, Stuart J. Johnstone, Christopher A. ",,,,,,,a,,a,,
bor-sec-28,D,"Kim, Joochan, Jungryul Seo, and Teemu H. Laine. ""Detecting Boredom fro",,,,X,X,,X,,X,X,X
bor-sec-29,D,"Miyauchi, Eri; Kawasaki, Masahiro",-,,,X,X,X,X,,-,-,
bor-sec-30,D,"Perone, Sammy, Elizabeth H. Weybright, and Alana J. Anderson. ""Over an",-,,,X,X,-,X,X,X,X,X
bor-sec-31,D,"Seo, Jungryul, Teemu H. Laine, and Kyung-Ah Sohn. ""Machine Learning Ap",-,-,,X,X,-,X,-,X,X,X
bor-sec-32,D,"Yakobi, Ofir, James Boylan, and James Danckert. ""Behavioral and Electr",,,,X,X,X,X,X,X,,
bor-sec-33,D,"Yuvaraj, Rajamanickam, N. P. Guhan Seshadri, Sampathraman Samyuktha, J",,,,X,X,X,X,X,X,X,
bor-sec-34,E,"Cheval, Boris, Matthew W. Miller, Dan Orsholits, Tanya Berry, David Sa",-,-,-,-,-,-,a,X,a,-,-
bor-sec-35,E,"Charoenpit, Saromporn, and Michiko Ohkura. ""Exploring Emotion in an E-",,,,X,-,X,X,-,X,X,-
bor-sec-36,E,"Holmqvist, Kenneth, Saga Lee Örbom, Ignace T. C. Hooge, Diederick C. N",-,-,-,-,-,X,X,-,X,-,-
bor-sec-37,E,"Skaramagkas, Vasileios, Giorgos Giannakakis, Emmanouil Ktistakis, Dimi",-,-,-,X,-,X,X,-,X,X,-
bor-sec-38,E,"Scharinger, Christian, Yvonne Kammerer, and Peter Gerjets. ""Pupil Dila",,,,,,a,a,,a,,
bor-sec-39,E,"Sharma, Kshitij, Michail Giannakos, and Pierre Dillenbourg. ""Eye-Track",,,,-,,,X,,X,X,
bor-sec-40,E,"Jaques, Natasha, Cristina Conati, Jason M. Harley, and Roger Azevedo. ",-,-,-,X,-,a,X,-,X,-,-
bor-sec-41,E,"Wang, Ruijie, Yuanchen Xu, and Liming Chen. ""GazeMotive: A Gaze-Based ",,,,-,,,a,,X,,
bor-sec-42,F,"Haj-Bolouri, A. (2023). The experience of immersive virtual reality: A",X,X,X,X,X,X,X,X,X,-,X
bor-sec-43,F,"Lin, Xiao Ping, Bin Bin Li, Zhen Ning Yao, Zhi Yang, and Minshu Zhang.",,,,-,,,X,,X,-,
bor-sec-44,F,"Nacke, Lennart, and Craig A. Lindley. ""Flow and Immersion in First-Per",-,-,-,X,-,-,X,-,X,X,-
bor-sec-45,G,"O'Brien, Mahon. ""Being, Nothingness and Anxiety."" In Heidegger on Affe",X,,,,,,-,,,X,a
bor-sec-46,G,"Sheehan, T. (2019). Heidegger: πάθος as the Thing Itself. In C. Hadjio",,,,a,,,,,,,
bor-sec-47,G,"Keane, Niall. ""The Affects of Rhetoric and Reconceiving the Nature of ",a,,,,,,,,,,a
bor-sec-48,G,"Hadjioannou, C. (2019). Angst as Evidence: Shifting Phenomenology's Me",a,,,,,,,,,,a
bor-sec-49,G,"Dahlstrom, Daniel O. 2019. ""Missing in Action: Affectivity in Being an",-,-,-,-,-,-,X,-,X,X,-
bor-sec-50,G,"McManus, Denis",,,,,,,,,,a,
bor-sec-51,G,"Withy, Katherine",X,-,-,-,-,-,-,-,a,a,-
bor-sec-52,G,"Vallega-Neu, D. (2019). Truth, Errancy, and Bodily Dispositions in Hei",-,a,a,a,-,-,-,-,-,a,-
bor-sec-53,G,"Tömmel, T. N. (2019). Love as Passion: Epistemic and Existential Aspec",,,,,,,,,,X,a
bor-sec-54,G,"Raffoul, F. (2019). The Ethics of Moods. In C. Hadjioannou (Ed.), Heid",a,,,,a,,,,,a,a
bor-sec-55,G,"Slaby, Jan, and Gerhard Thonhauser. ""Heidegger and the Affective (Un)G",X,X,X,-,-,-,a,X,X,X,X
