edge_id,source,relation,target,domain,tier,provenance,page_anchor,note
E20,C-IG11-01,qualifies,IG-03:PIM,game-studies,1,exegetical (Calleja-attested),"184 (lines 6426-6430)","PIM held as first considered step — flawed but essential at this stage — toward more evolved and sensitive modeling"
E21,C-IG11-11,awaits-ontological-grounding-in,Bowin-AMT:aisthesis-kinesis,phenomenology,2,anticipatory-projection (dissertation),"181 (lines 6314-6315)","Belief-created-through-action: action-as-constitutive claim mapped to Aristotelian motion-and-time apparatus"
E22,C-IG11-10,awaits-ontological-grounding-in,BCAP:Zuhandenheit-everyday-environmentality,phenomenology,2,anticipatory-projection (dissertation),"182 (lines 6338-6340)","'Place continuous with the haunts of everyday lives' evokes Heideggerian Zuhandenheit without naming it"
E23,C-IG11-06,bridges-to-pipeline,Phantasia-Cluster:imagination-externalization,phantasia,1,anticipatory-projection (dissertation),"182 (lines 6328-6331)","Imagination has existence outside the player's mind in the digitally materialized world — volume's most explicit imagination-externalization claim"
E24,C-IG11-09,maps-to-pentad-term,Burke-pentad:Scene+Agent+Agency,rhetoric,3,anticipatory-projection (dissertation),"182-183 (lines 6348-6357)","Tripartite media-object/player/sociocultural-context frame loosely maps to Burkean Scene/Agent/Agency ratios; wholly anticipatory"
E25,C-IG11-06,maps-to-pentad-term,Burke:consubstantiation,rhetoric,3,anticipatory-projection (dissertation),"182 (lines 6323-6331)","Cybernetic-looping framing's shared-substance structure parallels Burke consubstantiation; wholly anticipatory"
E26,C-IG11-10,maps-to-uexkull-construct,Uexkull:Umwelt,biosemiotics,3,anticipatory-projection (dissertation),"182 (lines 6338-6340)","'Place continuous with everyday haunts' candidate for Umwelt; Gibson-mediated chain falsified per Phase 0"
E27,C-IG11-06,maps-to-uexkull-construct,Uexkull:Funktionskreis,biosemiotics,3,anticipatory-projection (dissertation),"182 (lines 6334-6335)","'Environment's affordances and geography' candidate for Funktionskreis perception-action loop; singly-anchored"
E28,C-IG11-17,instances-in-text,IG-00:autobiographical-opening,meta-textual,3,exegetical (Calleja-attested),"181 (lines 6291-6308) + IG-00","Second-person opening vignette of Conclusion mirrors Intro's autobiographical-experiential register — rhetorical bookending"
E29,C-IG11-14,extends,IG-06:shared-involvement,game-studies,2,exegetical (Calleja-attested),"184-185 (lines 6432-6444)","Collective co-production of game experience by design team + players + AI restates Shared dimension at peroration-level"
E30,C-IG11-16,extends,IG-08:affective-involvement,game-studies,3,exegetical (Calleja-attested),"185 (lines 6457-6462)","Arousal-spectrum peroration (calm sunset to FPS adrenaline) restates affective range; passing"
