subject,round,engaged_composite,boredom,engagement,category,definition,n_channels,trim,is_baseline
S05,1,-0.215992353647,6,5,concordant-bored,pupil dilation + cognitive load + eye openness,3,untrimmed,True
S06,1,-0.0811659124198,6,3,concordant-bored,pupil dilation + cognitive load + eye openness,3,untrimmed,True
S07,1,0.650711717716,6,7,divergent,pupil dilation + cognitive load + eye openness,3,untrimmed,True
S08,1,0.565121163355,7,3,divergent,pupil dilation + cognitive load + eye openness,3,untrimmed,True
R2-01,2,-0.708690861014,6,4,concordant-bored,pupil dilation,1,trimmed,False
R2-02,2,1.14248759615,8,4,divergent,pupil dilation,1,trimmed,False
R2-03,2,-0.727920020747,1,8,reverse,pupil dilation,1,trimmed,False
R2-04,2,-0.192122842519,2,3,reverse,pupil dilation,1,trimmed,False
S01,1,1.12434384393,3,5,concordant-engaged,pupil dilation,1,trimmed,False
S02,1,0.749475359841,8,3,divergent,pupil dilation,1,trimmed,False
S03,1,-0.51925277872,3,7,reverse,pupil dilation,1,trimmed,False
S04,1,0.996748892594,9,1,divergent,pupil dilation,1,trimmed,False
S05,1,-0.489646169356,6,5,concordant-bored,pupil dilation,1,trimmed,False
S06,1,0.0747842397512,6,3,divergent,pupil dilation,1,trimmed,False
S07,1,0.722695259009,6,7,divergent,pupil dilation,1,trimmed,False
S08,1,0.522430152958,7,3,divergent,pupil dilation,1,trimmed,False
R2-01,2,-1.02610651544,6,4,concordant-bored,cognitive load,1,trimmed,False
R2-02,2,-0.641726265337,8,4,concordant-bored,cognitive load,1,trimmed,False
R2-03,2,-1.12831348085,1,8,reverse,cognitive load,1,trimmed,False
R2-04,2,-0.524115037556,2,3,reverse,cognitive load,1,trimmed,False
S01,1,0.849767369799,3,5,concordant-engaged,cognitive load,1,trimmed,False
S02,1,0.892352814715,8,3,divergent,cognitive load,1,trimmed,False
S03,1,1.03855203484,3,7,concordant-engaged,cognitive load,1,trimmed,False
S04,1,0.977771214608,9,1,divergent,cognitive load,1,trimmed,False
S05,1,-0.753005275271,6,5,concordant-bored,cognitive load,1,trimmed,False
S06,1,-1.15033227135,6,3,concordant-bored,cognitive load,1,trimmed,False
S07,1,0.318625879864,6,7,divergent,cognitive load,1,trimmed,False
S08,1,0.608682094616,7,3,divergent,cognitive load,1,trimmed,False
R2-01,2,1.01929269969,6,4,divergent,eye openness,1,trimmed,False
R2-02,2,0.524246672633,8,4,divergent,eye openness,1,trimmed,False
R2-03,2,0.502065049714,1,8,concordant-engaged,eye openness,1,trimmed,False
R2-04,2,1.10216946955,2,3,concordant-engaged,eye openness,1,trimmed,False
S01,1,1.03751294981,3,5,concordant-engaged,eye openness,1,trimmed,False
S02,1,-0.633419061848,8,3,concordant-bored,eye openness,1,trimmed,False
S03,1,1.06681456552,3,7,concordant-engaged,eye openness,1,trimmed,False
S04,1,0.652944094507,9,1,divergent,eye openness,1,trimmed,False
S05,1,0.594674383685,6,5,divergent,eye openness,1,trimmed,False
S06,1,0.832050294338,6,3,divergent,eye openness,1,trimmed,False
S07,1,0.910814014275,6,7,divergent,eye openness,1,trimmed,False
S08,1,0.56425124249,7,3,divergent,eye openness,1,trimmed,False
R2-01,2,-0.867398688226,6,4,concordant-bored,pupil dilation + cognitive load,2,trimmed,False
R2-02,2,0.250380665408,8,4,divergent,pupil dilation + cognitive load,2,trimmed,False
R2-03,2,-0.928116750801,1,8,reverse,pupil dilation + cognitive load,2,trimmed,False
R2-04,2,-0.358118940038,2,3,reverse,pupil dilation + cognitive load,2,trimmed,False
S01,1,0.987055606867,3,5,concordant-engaged,pupil dilation + cognitive load,2,trimmed,False
S02,1,0.820914087278,8,3,divergent,pupil dilation + cognitive load,2,trimmed,False
S03,1,0.259649628058,3,7,concordant-engaged,pupil dilation + cognitive load,2,trimmed,False
S04,1,0.987260053601,9,1,divergent,pupil dilation + cognitive load,2,trimmed,False
S05,1,-0.621325722314,6,5,concordant-bored,pupil dilation + cognitive load,2,trimmed,False
S06,1,-0.537774015799,6,3,concordant-bored,pupil dilation + cognitive load,2,trimmed,False
S07,1,0.520660569436,6,7,divergent,pupil dilation + cognitive load,2,trimmed,False
S08,1,0.565556123787,7,3,divergent,pupil dilation + cognitive load,2,trimmed,False
R2-01,2,0.155300919338,6,4,divergent,pupil dilation + eye openness,2,trimmed,False
R2-02,2,0.833367134394,8,4,divergent,pupil dilation + eye openness,2,trimmed,False
R2-03,2,-0.112927485517,1,8,reverse,pupil dilation + eye openness,2,trimmed,False
R2-04,2,0.455023313517,2,3,concordant-engaged,pupil dilation + eye openness,2,trimmed,False
S01,1,1.08092839687,3,5,concordant-engaged,pupil dilation + eye openness,2,trimmed,False
S02,1,0.0580281489966,8,3,divergent,pupil dilation + eye openness,2,trimmed,False
S03,1,0.273780893398,3,7,concordant-engaged,pupil dilation + eye openness,2,trimmed,False
S04,1,0.824846493551,9,1,divergent,pupil dilation + eye openness,2,trimmed,False
S05,1,0.0525141071645,6,5,divergent,pupil dilation + eye openness,2,trimmed,False
S06,1,0.453417267045,6,3,divergent,pupil dilation + eye openness,2,trimmed,False
S07,1,0.816754636642,6,7,divergent,pupil dilation + eye openness,2,trimmed,False
S08,1,0.543340697724,7,3,divergent,pupil dilation + eye openness,2,trimmed,False
R2-01,2,-0.00340690787353,6,4,concordant-bored,cognitive load + eye openness,2,trimmed,False
R2-02,2,-0.0587397963522,8,4,concordant-bored,cognitive load + eye openness,2,trimmed,False
R2-03,2,-0.31312421557,1,8,reverse,cognitive load + eye openness,2,trimmed,False
R2-04,2,0.289027215998,2,3,concordant-engaged,cognitive load + eye openness,2,trimmed,False
S01,1,0.943640159804,3,5,concordant-engaged,cognitive load + eye openness,2,trimmed,False
S02,1,0.129466876434,8,3,divergent,cognitive load + eye openness,2,trimmed,False
S03,1,1.05268330018,3,7,concordant-engaged,cognitive load + eye openness,2,trimmed,False
S04,1,0.815357654558,9,1,divergent,cognitive load + eye openness,2,trimmed,False
S05,1,-0.0791654457929,6,5,concordant-bored,cognitive load + eye openness,2,trimmed,False
S06,1,-0.159140988505,6,3,concordant-bored,cognitive load + eye openness,2,trimmed,False
S07,1,0.614719947069,6,7,divergent,cognitive load + eye openness,2,trimmed,False
S08,1,0.586466668553,7,3,divergent,cognitive load + eye openness,2,trimmed,False
R2-01,2,-0.23850155892,6,4,concordant-bored,pupil dilation + cognitive load + eye openness,3,trimmed,True
R2-02,2,0.341669334483,8,4,divergent,pupil dilation + cognitive load + eye openness,3,trimmed,True
R2-03,2,-0.451389483963,1,8,reverse,pupil dilation + cognitive load + eye openness,3,trimmed,True
R2-04,2,0.128643863159,2,3,concordant-engaged,pupil dilation + cognitive load + eye openness,3,trimmed,True
S01,1,1.00387472118,3,5,concordant-engaged,pupil dilation + cognitive load + eye openness,3,trimmed,True
S02,1,0.336136370903,8,3,divergent,pupil dilation + cognitive load + eye openness,3,trimmed,True
S03,1,0.528704607211,3,7,concordant-engaged,pupil dilation + cognitive load + eye openness,3,trimmed,True
S04,1,0.87582140057,9,1,divergent,pupil dilation + cognitive load + eye openness,3,trimmed,True
S05,1,-0.215992353647,6,5,concordant-bored,pupil dilation + cognitive load + eye openness,3,trimmed,True
S06,1,-0.0811659124198,6,3,concordant-bored,pupil dilation + cognitive load + eye openness,3,trimmed,True
S07,1,0.650711717716,6,7,divergent,pupil dilation + cognitive load + eye openness,3,trimmed,True
S08,1,0.565121163355,7,3,divergent,pupil dilation + cognitive load + eye openness,3,trimmed,True
