unit,source,relation,target,locus,note
dfd-01-phenomenology-experience-design,coping,co-evolves-with,design,(p.19 / pdf 21),"the altering from non-preferable to preferable is what links design to Dasein; coping as an everyday design process"
dfd-01-phenomenology-experience-design,Beckett (Malone Dies),glosses,Dasein,(p.21 / pdf 23),"Malone as Dasein-being-involved-in-objects; 'our objects define us… they shape our understanding of the world'"
dfd-01-phenomenology-experience-design,Heidegger,contests,Cartesian dualism (the cogito),(p.21 / pdf 23),"the cogito places mind over body; phenomenology's stress on things rejects this dualism"
dfd-01-phenomenology-experience-design,Heidegger,extends,embodied cognition,(p.22 / pdf 24),"self and world as one entity lays the theoretical groundwork for embodied cognition and its offshoots"
dfd-01-phenomenology-experience-design,Wendt,applies-to-design,Cartesian dualism (the cogito),(p.23 / pdf 25),"theory/practice and thinking/doing splits in design are direct results of Cartesian thinking; misrepresent how design works"
dfd-01-phenomenology-experience-design,Heidegger,defines,praxis,(p.25 / pdf 27),"Heidegger prioritizes practice but leaves the door open for praxis = theoretically-informed practice"
dfd-01-phenomenology-experience-design,praxis,extends,Aristotle (praxis sense),(p.25 / pdf 27),"Wendt reads praxis in 'the Aristotelian sense' — process over product, action over making"
dfd-01-phenomenology-experience-design,praxis,applies-to-design,praxis over premature finality,(p.26 / pdf 28),"prototypes/sketching as externalized thought; decrease the compulsive need for immediate finality"
dfd-01-phenomenology-experience-design,Dreyfus,glosses,knowing-that vs knowing-how,(p.24 / pdf 26),"the hammer: understanding most primordially means knowing how to hammer, not knowing that it has properties"
dfd-01-phenomenology-experience-design,Heidegger,defines,ready-to-hand (Zuhandenheit),(p.27 / pdf 29),"object as a tool/extension of the body that the user acts through; it withdraws as a transparent means"
dfd-01-phenomenology-experience-design,Heidegger,defines,present-at-hand (Vorhandenheit),(p.26 / pdf 28),"object observed as wholly separate, factual, analyzable from afar; decontextualized detached speculation"
dfd-01-phenomenology-experience-design,ready-to-hand (Zuhandenheit),qualifies,present-at-hand (Vorhandenheit),(p.27 / pdf 29),"not a binary but a continuum; interruption (misspelling, mouse-pad edge) shifts ready-to-hand to present-at-hand"
dfd-01-phenomenology-experience-design,Dourish,glosses,ready-to-hand (Zuhandenheit),(p.28 / pdf 30),"the mouse example: ready-to-hand mouse withdraws; reaching the pad edge makes it present-at-hand"
dfd-01-phenomenology-experience-design,ready-to-hand (Zuhandenheit),applies-to-design,design for the ready-to-hand/present-at-hand continuum,(p.29 / pdf 31),"designing for the constant movement between absorbed coping and conscious deliberation is the job of experience designers"
dfd-01-phenomenology-experience-design,Dreyfus,defines,coping,(p.32 / pdf 34),"practical coping = smooth, unobtrusive, representation-free responsiveness; alternative to rule-based cognition"
dfd-01-phenomenology-experience-design,ready-to-hand (Zuhandenheit),mediates,coping,(p.33 / pdf 35),"ready-to-hand = smooth coping; present-at-hand = a rupture of smooth coping producing conscious awareness"
dfd-01-phenomenology-experience-design,breakdown,discloses,context of use,(p.33 / pdf 35),"things have properties only in context of use; a failed hammer is 'too heavy' only as used by me"
dfd-01-phenomenology-experience-design,Bonsiepe,defines,breakdown,(p.34 / pdf 36),"breakdown is a necessary accompaniment to design that 'reveals the tissue of the relations needed' for tasks"
dfd-01-phenomenology-experience-design,breakdown,applies-to-design,design for coping breakdown and meaning,(p.34 / pdf 36),"anticipate forms of breakdown and open up possibilities for action in case they happen"
dfd-01-phenomenology-experience-design,Krippendorff,qualifies,breakdown,(p.35 / pdf 37),"what breaks down is the meaningfulness of the interface, not the artifact; products abandoned when meaningless"
dfd-01-phenomenology-experience-design,Krippendorff,contests,usability (functionalist),(p.36 / pdf 38),"functionalist usability inherits a Taylorist/cost-benefit efficiency logic that served industry more than users"
dfd-01-phenomenology-experience-design,Heidegger,glosses,technē,(p.37 / pdf 39),"technē = making something appear through craft/the hands; the practical side of poiēsis; that which reveals"
dfd-01-phenomenology-experience-design,Heidegger,glosses,poiēsis,(p.37 / pdf 39),"poiēsis = bringing-forth; meaning emerges from a pre-existing state; art as a hermeneutics of the world"
dfd-01-phenomenology-experience-design,Herausfordern (challenging-forth),contests,poiēsis,(p.40 / pdf 42),"modern technology's challenging-forth defies poiēsis, demanding nature supply extractable storable energy; 'de-worlds' materials"
dfd-01-phenomenology-experience-design,Rutsky,glosses,essence of technology,(p.39 / pdf 41),"the essence of technology is a dynamic ongoing process/movement, not a static category"
dfd-01-phenomenology-experience-design,standing reserve (Bestand),discloses,enframing (Gestell),(p.43 / pdf 45),"the pervasiveness of the standing reserve leads Heidegger to classify our tech relationship as enframing"
dfd-01-phenomenology-experience-design,standing reserve (Bestand),applies-to-design,responsible design against passive enframing,(p.42 / pdf 44),"the 'invisible'/'intuitive' interface fantasy instantiates the standing reserve and positions the user passively"
dfd-01-phenomenology-experience-design,Heidegger,defines,object vs thing (the jug),(p.46 / pdf 48),"a self-supporting thing 'differs from an object'; thingness lies not in material but 'in the void that it holds'"
dfd-01-phenomenology-experience-design,thing-ness / bringing-close (gathering),co-evolves-with,Dasein,(p.46 / pdf 48),"active ready-to-hand engagement carries us beyond object-ness into thing-ness; the device's thing-ness is given by its users"
dfd-01-phenomenology-experience-design,thing-ness / bringing-close (gathering),applies-to-design,design for thing-ness and imaginable contexts,(p.48 / pdf 50),"designers and philosophers should examine the thing in the process of making; mind the gap between encoded meaning and users' behaviors"
dfd-01-phenomenology-experience-design,Wendt,concedes,Heidegger (The Turn),(p.38 / pdf 40),"admits the late 'essence of technology' looks pseudo-Platonic and seems to contradict the early object-focused tool analysis"
dfd-02-design-thinking-practice,Thomas Wendt,contests,Cartesian thinking-subject,(p.49 / pdf 51),thinking inherently involves making
dfd-02-design-thinking-practice,Thomas Wendt,defines,Daseinerly/designerly process,(p.49 / pdf 51),design and Dasein mutually characterize each other
dfd-02-design-thinking-practice,Thomas Wendt,cites,Vilem Flusser,(p.50 / pdf 52),designer makes a designer of himself
dfd-02-design-thinking-practice,Thomas Wendt,cites,Richard Buchanan,(p.51 / pdf 53),design = Aristotelian forethought / architectonic art
dfd-02-design-thinking-practice,Thomas Wendt,cites,Aristotle,(p.51 / pdf 53),making as integrative intellectual virtue
dfd-02-design-thinking-practice,Thomas Wendt,cites,Martin Heidegger,(p.52 / pdf 54),craft = relatedness to materials (cabinetmaker)
dfd-02-design-thinking-practice,Thomas Wendt,defines,craft as relatedness to materials,(p.52 / pdf 54),essence of craft is orientation to material not tools
dfd-02-design-thinking-practice,Thomas Wendt,cites,Jacques Derrida,(p.53 / pdf 55),the hand and technics
dfd-02-design-thinking-practice,Thomas Wendt,defines,the hand designs and signs,(p.53 / pdf 55),hands couple making/thinking/speaking
dfd-02-design-thinking-practice,Thomas Wendt,cites,Henk Oosterling,(p.54 / pdf 56),design as un-throwing (ontwerpen)
dfd-02-design-thinking-practice,Thomas Wendt,cites,Sigmund Freud,(p.54 / pdf 56),fort-da as active coping with thrown-ness
dfd-02-design-thinking-practice,Thomas Wendt,cites,Maurice Merleau-Ponty,(p.55 / pdf 57),speech accomplishes rather than translates thought
dfd-02-design-thinking-practice,Thomas Wendt,cites,Martin Heidegger,(p.56 / pdf 58),empathy grounded in being-with
dfd-02-design-thinking-practice,Thomas Wendt,glosses,empathy from being-with,(p.56 / pdf 58),empathy emerges from being-with not vice versa
dfd-02-design-thinking-practice,Thomas Wendt,defines,craft vs design,(p.58 / pdf 60),craft unifies maker/user; design splits via division of labor
dfd-02-design-thinking-practice,Thomas Wendt,cites,Carl Mitcham,(p.59 / pdf 61),craft = local material + bodily skill; design is modern
dfd-02-design-thinking-practice,Thomas Wendt,cites,Tony Fry,(p.61 / pdf 63),care has to be designed into being; craft as means
dfd-02-design-thinking-practice,Thomas Wendt,defines,abduction,(p.62 / pdf 64),logic of design; reasoning to what could be
dfd-02-design-thinking-practice,Thomas Wendt,cites,Nigel Cross,(p.61 / pdf 63),three cultures: sciences/humanities/design
dfd-02-design-thinking-practice,Thomas Wendt,cites,C. S. Peirce,(p.63 / pdf 65),abduction as a flash of insight
dfd-02-design-thinking-practice,Thomas Wendt,cites,Cameron Tonkinwise,(p.64 / pdf 66),know-how resists articulation; tacit-ed expertise
dfd-02-design-thinking-practice,Thomas Wendt,cites,Hubert Dreyfus,(p.65 / pdf 67),embodied expertise; felt on-track sense
dfd-02-design-thinking-practice,Thomas Wendt,cites,Donald Schon,(p.69 / pdf 71),reflective practice links theory and practice
dfd-02-design-thinking-practice,Thomas Wendt,cites,Rittel & Webber,(p.70 / pdf 72),wicked problems
dfd-02-design-thinking-practice,Thomas Wendt,cites,Klaus Krippendorff,(p.70 / pdf 72),design thinking as creation of meaning
dfd-02-design-thinking-practice,Thomas Wendt,extends,design thinking,(p.69 / pdf 71),phenomenology as next evolution of design thinking
dfd-02-design-thinking-practice,Thomas Wendt,applies-to-design,prototyping as praxis observation,(p.69 / pdf 71),observe artifacts-in-use from present-at-hand position
dfd-02-design-thinking-practice,Thomas Wendt,qualifies,unicornism,(p.59 / pdf 61),generalist ill-equipped for complex design
dfd-03-problem-solution-paradox,Wendt,defines,problem-solution paradox,(p.73 / pdf 75),"cannot think solutions until problem understood, nor understand problem until solutions thought"
dfd-03-problem-solution-paradox,Wendt,glosses,problem-solution paradox,(p.72 / pdf 74),names it the meta example of a wicked problem
dfd-03-problem-solution-paradox,problem-solution paradox,extends,wicked problem (Rittel & Webber),(p.72 / pdf 74),paradox treated as the meta-instance of a wicked problem
dfd-03-problem-solution-paradox,Wendt,contests,linear problem-to-solution model,(p.73 / pdf 75),linear half assumes a 'final answer' and divorces problem from solutions
dfd-03-problem-solution-paradox,Wendt,contests,lean startup,(p.74 / pdf 76),lean's prototype rebuttal accounts for only half the paradox
dfd-03-problem-solution-paradox,Wendt,contests,design thinking,(p.74 / pdf 76),'not as linear as it seems' rebuttal accounts for only half the paradox
dfd-03-problem-solution-paradox,Wendt,contests,waterfall / Cartesian method,(p.77 / pdf 79),holds theory too long; performance of theory deemed unnecessary for validation
dfd-03-problem-solution-paradox,Wendt,cites,Heidegger,(p.74 / pdf 76),hermeneutic circle: parts depend on whole and whole on parts
dfd-03-problem-solution-paradox,Wendt,cites,Saussure,(p.74 / pdf 76),chain of signification: signs mean only relationally
dfd-03-problem-solution-paradox,Wendt,cites,Schon,(p.74 / pdf 76),design as a conversation with the situation
dfd-03-problem-solution-paradox,problem-solution paradox,co-evolves-with,non-dualism,(p.74-75 / pdf 76-77),paradox stems from non-dualist philosophies vs. dualism
dfd-03-problem-solution-paradox,Wendt,cites,Cross,(p.76-78 / pdf 78-80),brief as starting point for exploration; sketching supports problem-solution dialogue
dfd-03-problem-solution-paradox,Cross,cites,MacCormac,(p.76 / pdf 78),"what you need to know about the problem becomes apparent as you solve it"
dfd-03-problem-solution-paradox,prototype,glosses,thinking and making,(p.77-78 / pdf 79-80),pseudo-object to think beyond the head; emergent space independent of designer and user
dfd-03-problem-solution-paradox,Wendt,cites,Martin,(p.78 / pdf 80),reliability vs. validity; design thinking at their intersection
dfd-03-problem-solution-paradox,Wendt,cites,Dorst,(p.79 / pdf 81),design paradox; problem space / solution space; emergent bridge
dfd-03-problem-solution-paradox,Dorst,defines,co-evolution,(p.79 / pdf 81),problem and solution evolve together into a matching pair
dfd-03-problem-solution-paradox,co-evolution,co-evolves-with,problem-solution paradox,(p.79 / pdf 81),co-evolution is the positive model resolving the paradox's structure
dfd-03-problem-solution-paradox,emergent bridge,glosses,co-evolution,(p.79 / pdf 81),temporary fix identifying a problem-solution pairing amid unstable spaces
dfd-03-problem-solution-paradox,Wendt,qualifies,problem-solution paradox,(p.80 / pdf 82),it is an antinomy; only a paradox if movement is assumed linear
dfd-03-problem-solution-paradox,Wendt,cites,Morozov,(p.81 / pdf 83),solutionism: treating the world as a problem to be solved
dfd-03-problem-solution-paradox,Wendt,concedes,non-dualist theory of design,(p.81-82 / pdf 83-84),"does not claim to have the answer; offers a 'less dualist' theory"
dfd-03-problem-solution-paradox,Wendt,cites,Basalla,(p.82 / pdf 84),technological objects are not isolated solutions to discrete problems
dfd-03-problem-solution-paradox,Wendt,qualifies,Basalla,(p.82 / pdf 84),judges the never-maps-to-discrete-problems view 'a bit extreme'
dfd-03-problem-solution-paradox,Wendt,cites,Nelson & Stolterman,(p.82-83 / pdf 84-85),twelve design paradoxes read as antinomies
dfd-03-problem-solution-paradox,design antinomies,glosses,antinomy,(p.82-83 / pdf 84-85),contradictions that must be; no fixed optimal point between poles
dfd-03-problem-solution-paradox,Wendt,cites,Latour,(p.82-83 / pdf 84-85),objects as 'gatherings'/Dinge; design cannot draw a thing together
dfd-03-problem-solution-paradox,Latour,cites,Heidegger,(p.82-83 / pdf 84-85),'gatherings' in Heidegger's meaning of the word (Dinge)
dfd-03-problem-solution-paradox,DESIGN-PRINCIPLE: brief as exploration,applies-to-design,experience design,(p.76 / pdf 78),treat the brief as a starting point for exploration not a specification
dfd-03-problem-solution-paradox,DESIGN-PRINCIPLE: design for potentiality,applies-to-design,experience design,(p.78 / pdf 80),design for possible technical mediations not only actual ones
dfd-03-problem-solution-paradox,DESIGN-PRINCIPLE: co-evolve toward a matching pair,designs-for,problem-solution pair,(p.79 / pdf 81),presuppose no fixed design problem; fix only via emergent bridge
dfd-03-problem-solution-paradox,DESIGN-PRINCIPLE: design systems not isolated solutions,applies-to-design,experience design,(p.82 / pdf 84),attend to holistic experience across social/political/economic systems
dfd-03-problem-solution-paradox,DESIGN-PRINCIPLE: resist solutionism,applies-to-design,experience design,(p.81-82 / pdf 83-84),reserve effort for genuine wicked problems; rethink the nature of a solution
dfd-03-problem-solution-paradox,solution,qualifies,problem space,(p.74 / pdf 76),introducing a solution changes the conditions in which the problem exists rather than solving it
dfd-03-problem-solution-paradox,problem-solution paradox,discloses,fundamental complexity of design,(p.83 / pdf 85),exploring this complexity is the key goal of phenomenological design thinking
dfd-03-problem-solution-paradox,problem-solution paradox,mediates,phenomenology-to-post-phenomenology pivot,(p.72 / pdf 74),paradox is the transition point between phenomenology and post-phenomenology
dfd-03-problem-solution-paradox,co-evolution,designs-for,VLE iterative design,(p.79 / pdf 81),"RO-hook anticipatory-application: enactment-first VLE method discovers the learning problem through built prototypes"
dfd-04-post-phenomenology-object-studies,Wendt,contests,Heidegger:treatment of technology (essence beyond devices; industrial-only; technophobia),(p.84 / pdf 86),post-phenomenology critiques classical phenomenology's technology account
dfd-04-post-phenomenology-object-studies,Ihde:post-phenomenology,extends,Heidegger:phenomenology of technology,(p.84 / pdf 86),critique + continuation applied to everyday/newer technologies
dfd-04-post-phenomenology-object-studies,Ihde,contests,CLAIM:humans-over-nature (Promethean) and autonomous-technology (Frankenstein),(p.86 / pdf 88),both rejected for humans+technologies as interrelational and mutually co-constitutive
dfd-04-post-phenomenology-object-studies,Ihde,defines,MEDIATION-RELATION:embodiment relations,(p.87 / pdf 89),object fully embodied; experienced THROUGH (eyeglasses; touch screen); kin to ready-to-hand
dfd-04-post-phenomenology-object-studies,Ihde,defines,MEDIATION-RELATION:hermeneutic relations,(p.88 / pdf 90),user acts WITH the object; must be read/interpreted (thermometer; Twitter)
dfd-04-post-phenomenology-object-studies,Ihde,defines,MEDIATION-RELATION:background relations,(p.89 / pdf 91),lack of conscious awareness; creates context for other relations (refrigerator)
dfd-04-post-phenomenology-object-studies,Ihde,defines,MEDIATION-RELATION:alterity relations,(p.89 / pdf 91),technology becomes quasi-other / anthropomorphized (Siri)
dfd-04-post-phenomenology-object-studies,Verbeek,glosses,MEDIATION-RELATION:background relations,(p.89 / pdf 91),"related neither explicitly to a technology nor via a technology to the world" (note 110)
dfd-04-post-phenomenology-object-studies,Wendt,qualifies,MEDIATION-RELATION:background relations,(p.89 / pdf 91),Verbeek's conscious-awareness-only view too restrictive; difference is proximity/involvement
dfd-04-post-phenomenology-object-studies,Verbeek,extends,Ihde:embodiment-hermeneutic distinction,(p.88 / pdf 90),the two are "extreme ends of a continuum" of mediation
dfd-04-post-phenomenology-object-studies,Verbeek,contests,Heidegger:technology as the disclosure of worldly meaning,(p.90 / pdf 92),Ihde starts from individual-device interactions instead (note 111)
dfd-04-post-phenomenology-object-studies,Ihde:four mediation relations,applies-to-design,DESIGN-PRINCIPLE:design for particular meanings not generic essence,(p.90 / pdf 92),each device discloses uniquely -> design for specific meanings
dfd-04-post-phenomenology-object-studies,Harman:OOO,co-evolves-with,Ihde:post-phenomenology,(p.90 / pdf 92),OOO/ANT/thing-theory jointly recenter objects as design's focus (object studies)
dfd-04-post-phenomenology-object-studies,Verbeek,defines,DESIGN-CONCEPT:technology-to...,(p.91 / pdf 93),an artifact's identity is given by its "to-..."; without people it is "junk" (note 114)
dfd-04-post-phenomenology-object-studies,Heidegger,discloses,CLAIM:Dasein understands itself by way of the things it takes care of,(p.91 / pdf 93),self-understanding via the medium of objects (note 112)
dfd-04-post-phenomenology-object-studies,Merleau-Ponty,glosses,CLAIM:body-thing-world unity,(p.92 / pdf 94),body known precisely only as it moves toward a thing (note 115)
dfd-04-post-phenomenology-object-studies,Verbeek,defines,DESIGN-CONCEPT:mediation (technological intentionality / co-shaping),(p.94 / pdf 96),humans "not sovereign" but "inextricably interwoven"; subject+object concretely constituted (note 117)
dfd-04-post-phenomenology-object-studies,Wendt,applies-to-design,DESIGN-PRINCIPLE:design for the object acting back,(p.94 / pdf 96),recognizing objects' active role is a crucial ethical responsibility (Airbnb)
dfd-04-post-phenomenology-object-studies,DESIGN-CONCEPT:mediation,mediates,CLAIM:self-world relationship,(p.96 / pdf 98),mediators (not intermediaries) help constitute what is real for us (note 120)
dfd-04-post-phenomenology-object-studies,DESIGN-CONCEPT:mediation,discloses,CLAIM:gun+user = "gunman" hybrid entity,(p.96 / pdf 98),mediation is constitutive, not a simple interplay; creates reality
dfd-04-post-phenomenology-object-studies,DESIGN-CONCEPT:context,applies-to-design,DESIGN-PRINCIPLE:design at the level of systems,(p.96 / pdf 98),"with text"; automobile exists only within a context (note 119)
dfd-04-post-phenomenology-object-studies,Schon,glosses,DESIGN-CONCEPT:design as reflective conversation,(p.98 / pdf 100),situation "talks back"; designer responds to its backtalk (note 122)
dfd-04-post-phenomenology-object-studies,Latour,defines,DESIGN-CONCEPT:actant,(p.99 / pdf 101),human or non-human that imposes intention; tool = "extension of social skills to nonhumans" (note 123)
dfd-04-post-phenomenology-object-studies,Latour,defines,DESIGN-CONCEPT:script / inscription,(p.100 / pdf 102),artifact's inscribed purpose that takes hold of passersby (note 124)
dfd-04-post-phenomenology-object-studies,Latour,defines,DESIGN-CONCEPT:delegation,(p.100 / pdf 102),responsibility delegated to artifacts (speed bump; hotel key; seat belt) (note 125)
dfd-04-post-phenomenology-object-studies,DESIGN-CONCEPT:delegation,designs-for,DESIGN-PRINCIPLE:delegate responsibly,(p.101 / pdf 103),offloads moral responsibility; "don't make me think" can strip agency (note 126)
dfd-04-post-phenomenology-object-studies,Ihde,defines,DESIGN-CONCEPT:designer fallacy,(p.104 / pdf 106),"deistic" designer-god critique; design offers uses beyond intention (note 131)
dfd-04-post-phenomenology-object-studies,Ihde:designer fallacy,extends,WimsattBeardsley:intentional fallacy,(p.104 / pdf 106),parallels literary-critical intentional fallacy
dfd-04-post-phenomenology-object-studies,Gadamer,glosses,CLAIM:design outcomes are emergent,(p.105 / pdf 107),"a genuine conversation is never the one we wanted to conduct" (note 132)
dfd-04-post-phenomenology-object-studies,Husserl,defines,DESIGN-CONCEPT:intentionality (consciousness OF something),(p.105 / pdf 107),grounds inextricable human-world connection (note 134)
dfd-04-post-phenomenology-object-studies,Franssen,defines,DESIGN-CONCEPT:for-ness,(p.106 / pdf 108),technical artifacts' purpose "clings" after the maker leaves; natural objects only ephemerally for X (note 135)
dfd-04-post-phenomenology-object-studies,Ihde,defines,DESIGN-CONCEPT:multistability,(p.109 / pdf 111),technology "is what it does"; takes shape by what it can do, not what it is
dfd-04-post-phenomenology-object-studies,DESIGN-CONCEPT:multistability,qualifies,DESIGN-CONCEPT:designer intentionality,(p.110 / pdf 112),scripts assert some but context-varying influence; "are what they are only within context" (note 137)
dfd-04-post-phenomenology-object-studies,Baudrillard,glosses,DESIGN-CONCEPT:schizofunctionality,(p.112 / pdf 114),functionality = integration into a system; split functionality serves many purposes (note 140)
dfd-04-post-phenomenology-object-studies,Krippendorff,applies-to-design,DESIGN-CONCEPT:multistability,(p.112 / pdf 114),PC born by combining typewriter + TV screen as metaphors (note 141)
dfd-04-post-phenomenology-object-studies,Ingold,glosses,DESIGN-CONCEPT:designer as trickster,(p.114 / pdf 116),"every object of design sets a trap"; management of imperfection (note 143)
dfd-04-post-phenomenology-object-studies,DESIGN-CONCEPT:creative misuse,applies-to-design,DESIGN-PRINCIPLE:anticipate creative misuse,(p.115 / pdf 117),"mental model" shift (screwdriver-as-lever); identity depends on use (note 147)
dfd-04-post-phenomenology-object-studies,Ingold,contests,CLAIM:designer/maker/user are rigorously distinct,(p.115 / pdf 117),"can design any longer be distinguished from making?" -> think in systems (note 146)
dfd-04-post-phenomenology-object-studies,Heidegger,defines,DESIGN-CONCEPT:thing / thinging / gathering,(p.118 / pdf 120),"the jug is a thing insofar as it things"; thing = gathering of meaning (note 149)
dfd-04-post-phenomenology-object-studies,Heidegger,discloses,CLAIM:the jug's void does the holding,(p.119 / pdf 121),unseen/immaterial gives shape to what is designed; design tangible+intangible (note 151)
dfd-04-post-phenomenology-object-studies,Folkmann,glosses,CLAIM:material and immaterial both evoke meaning,(p.119 / pdf 121),design enters the human domain of creating/evoking meaning via both (note 152)
dfd-04-post-phenomenology-object-studies,Latour,extends,DESIGN-CONCEPT:matters-of-fact -> matters-of-concern,(p.120 / pdf 122),objects turned into things rendered "objects of design through and through" (note 153)
dfd-04-post-phenomenology-object-studies,Brown,defines,DESIGN-CONCEPT:thing theory (look-through / glimpse),(p.120 / pdf 122),we look through objects but glimpse things; thingness surfaces in breakdown (note 154)
