source_claim,relation,edge_domain,target,note,location
DISS-00-C027,refines,architectural,DISS-00-C025,Continuous-unfolding thesis refines mediating-power thesis,line 26
DISS-00-C027,needs-citation,citation,ARISTOTLE-LOCUS-CLUSTER:Phys. III.1 + Phys. IV.11,Continuity-of-motion + continuity-of-time anchors,line 26
DISS-00-C028,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §72 BT p.499,Stretching-along of Dasein (current citation),line 26
DISS-00-C028,needs-citation,citation,HEIDEGGER-LOCUS:SZ §65,Ecstases of temporality (canonical locus needed alongside current citation),line 26
DISS-00-C029,refines,architectural,DISS-00-C028,Phantasia-temporal-distinguishing refines Heidegger's stretching with Aristotelian textual ground,line 28
DISS-00-C029,needs-citation,citation,ARISTOTLE-LOCUS:DA III.3 427b15-428a18,Phantasia distinguished from aisthēsis/doxa/episteme/nous,line 28
DISS-00-C030,needs-citation,citation,ARISTOTLE-LOCUS:DA III.3 427b14-26,Not-a-mixture textual ground for kinetic-constitution thesis,line 28
DISS-00-C031,cites-as-support,citation,SECONDARY-LOCUS:Papachristou pp.25-27,Three-grades-of-phantasia,line 30
DISS-00-C034,grounds,architectural,DISS-00-C064,Voluntariness-deferral forward-promises §1.3's doxa-orthogonal treatment,line 30
DISS-00-C035,grounds,architectural,DISS-00-C037,Temporal-medium thesis grounds the dissertation central thesis,line 32
DISS-00-C037,grounds,architectural,DISS-00-C039,Central thesis grounds rhetorical-implication,line 36
DISS-00-C039,grounds,architectural,DISS-00-C046,Rhetorical-implication grounds methodology's phantasia-rhetorical-mattering thesis,line 36
DISS-00-C040,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431b2,Soul-never-thinks-without-image,line 41
DISS-00-C040,grounds,architectural,DISS-00-C042,Phantasia-cognitive-ubiquity grounds phantasia-temporal-narrative-synthesis,line 41
DISS-00-C042,grounds,architectural,DISS-00-C044,Temporal-narrative-synthesis grounds constitutive-rhetorical-nature thesis,line 41
DISS-00-C042,needs-citation,citation,HEIDEGGER-LOCUS:SZ §65,Heideggerian ecstases for continuous-temporal-horizon claim,line 41
DISS-00-C044,grounds,architectural,DISS-00-C045,Constitutive-rhetorical-nature grounds being-affected-cognition-logos thesis,line 41
DISS-00-C044,needs-citation,citation,HEIDEGGER-LOCUS:BCAP 133,Heideggerian anti-internalist anchor,line 41
DISS-00-C045,needs-citation,citation,ARISTOTLE-LOCUS-CLUSTER:DA I.1 + DA II.5 + DA III.2,Enmattered-accounts + joint-actualization + single-event-under-two-logoi anchors,line 41
DISS-00-C047,inconsistent-with,architectural,DISS-00-C093,Chapter-??? placeholder must be reconciled with chapter-roadmap-synthesis Chapter X reference,line 41
DISS-00-C050,grounds,methodological,DISS-00-C052,Actualization-chain canonical statement grounds interpretive-construction disclosure,line 43
DISS-00-C051,grounds,methodological,DISS-00-C076,Chain-iteration-principle grounds chain-iteration-thesis at line 64,line 43
DISS-00-C053,grounds,methodological,DISS-00-C054,Five-elements catalog grounds five-nodes canonical,line 43
DISS-00-C054,grounds,architectural,DISS-00-C074,Five-nodes canonical grounds canonical-numbering statement at line 62,line 45
DISS-00-C055,grounds,architectural,DISS-00-C092,Orectic-motion deferral grounds chapter-roadmap emotion-action,line 45
DISS-00-C056,cites-as-support,citation,ARISTOTLE-LOCUS-CLUSTER:methodology-supplies-9-loci,DA III.10 + Phys. III.1 + Phys. IV.11 + Met. IX.8 + DA II.12 + On Dreams + DA III.7 + DA I.1 + MA 7,line 47
DISS-00-C057,grounds,methodological,DISS-00-C074,Interpretive-moves catalog grounds canonical-numbering statement,line 47
DISS-00-C058,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 428b11-12,Phantasia-impossible-without-sensation,line 51
DISS-00-C060,cites-as-support,citation,ARISTOTLE-LOCUS-CLUSTER:Met. IX.8 + Phys. V.5,Priority-of-actuality + motion-named-by-terminus,line 51
DISS-00-C061,cites-as-support,citation,ARISTOTLE-LOCUS:Phys. III.1 201a10,Motion as energeia ateles,line 51
DISS-00-C062,cites-as-support,citation,ARISTOTLE-LOCUS:Phys. IV.11 219b1,Time as number of motion,line 51
DISS-00-C063,cites-as-support,citation,ARISTOTLE-LOCUS:Phys. IV.11 219a4,Motion-and-time-experienced-together,line 51
DISS-00-C064,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433b12-25,Three-factor-schema canonical quotation,line 53
DISS-00-C066,extends,architectural,DISS-00-C065,Scale-extension of three-factor schema to psycho-somatic motion,line 58
DISS-00-C067,refines,methodological,DISS-00-C066,Analogical-extension qualification refines the scale-extension claim,line 58
DISS-00-C067,needs-citation,citation,ARISTOTLE-LOCUS-CLUSTER:DA II.5 + DA III.2,Joint-actualization + single-event-under-two-logoi for footnote anchor,line 58
DISS-00-C068,cites-as-support,citation,ARISTOTLE-LOCUS-CLUSTER:Met. XII + Phys. VIII,Prime Mover + cosmic argument,line 60
DISS-00-C070,needs-citation,citation,ARISTOTLE-LOCUS:DA II.5 417b16-19,Sensible-object-as-unmoved-originator-in-perception,line 60
DISS-00-C071,grounds,architectural,DISS-00-C072,Scale-invariance thesis grounds psychic-as-natural-motion thesis,line 60
DISS-00-C072,needs-citation,citation,ARISTOTLE-LOCUS:Phys. VII.3 245b1-13,Alteration-applies-to-soul anchor,line 60
DISS-00-C074,grounds,architectural,DISS-00-C075,Canonical-numbering grounds terminus-and-source dual-role principle,line 62
DISS-00-C074,inconsistent-with,architectural,DISS-00-C080,Canonical-numbering at line 62 places phantasma at A_3 BUT line 64's A_2-to-A_3 description conflates A_3 with A_4 (cognitive actuality),line 62
DISS-00-C075,cites-as-support,citation,ARISTOTLE-LOCUS:Phys. V.5 229b25,Terminus-names-motion,line 62
DISS-00-C076,grounds,architectural,DISS-00-C077,Chain-iteration thesis grounds moved-mover-as-hinge principle,line 64
DISS-00-C077,cites-as-support,citation,ARISTOTLE-LOCUS:Phys. III.3 202a21-28,Moved-mover-as-patient-and-agent,line 64
DISS-00-C081,cites-as-support,citation,ARISTOTLE-LOCUS:Phys. III.1 201a10-14,Energeia ateles (restatement of methodology),line 64
DISS-00-C082,refines,methodological,DISS-00-C076,Burke entelechy introduces formal-priority alongside temporal-priority,line 66
DISS-00-C082,cites-as-support,citation,SECONDARY-LOCUS:Burke Grammar p.261,Entelechy and priority,line 66
DISS-00-C086,grounds,architectural,DISS-00-C087,Burke-applied nested-architecture grounds iteration-vs-sequence thesis,line 66
DISS-00-C087,grounds,architectural,DISS-00-C088,Iteration thesis grounds chapter-roadmap,line 66
DISS-00-C088,instantiates,architectural,DISS-00-C054,Chapter-roadmap A_0 instantiates five-nodes canonical,line 68
DISS-00-C089,instantiates,architectural,DISS-00-C054,Chapter-roadmap A_1-A_2 instantiates five-nodes canonical,line 68
DISS-00-C090,instantiates,architectural,DISS-00-C054,Chapter-roadmap M_2-A_3 instantiates five-nodes canonical,line 68
DISS-00-C091,instantiates,architectural,DISS-00-C054,Chapter-roadmap M_3-A_4 instantiates five-nodes canonical,line 68
DISS-00-C091,inconsistent-with,architectural,DISS-00-C074,Roadmap's M_3-A_4 as cognitive-engagements is inconsistent with canonical numbering (M_3-A_4 is the orectic motion to action; cognitive engagements happen at A_3),line 68
DISS-00-C092,inconsistent-with,coined-term,DISS-04-C002,§1.0's resonant-orexis-as-latent-flipped-into-pathē vs §1.4's canonical definition of resonant-orexis-as-after-object-removed,line 68
DISS-00-C094,needs-formatting,architectural,FIGURE:diagram-update,Diagram update + full-page reformat,line 70
DISS-00-C022,inconsistent-with,coined-term,DISS-02-RESONANT-KINESIS,§1.0's 'resonant motion' precursor vs §1.2's canonical 'resonant kinēsis' — naming alignment needed,line 19
DISS-00-C042,inconsistent-with,architectural,DISS-03-PHANTASMA-AT-A3,§1.0 frames phantasia as the WHOLE-CHAIN temporal medium; §1.3 positions phantasia at A_3 only — architectural-mismatch must be reconciled,line 41
DISS-00-C055,refines,coined-term,DISS-04-RESONANT-OREXIS,§1.0's emotion-action compression lacks §1.4's basic-affective-valence/pathos-simpliciter/resonant-orexis tripartite distinction,line 45
DISS-00-C035,refines,architectural,DISS-04-FEEDBACK,§1.0 collapses §1.4's synchronic-chain vs diachronic-saturation distinction — introduction compresses,line 32
