source_id,relation,target_id,domain,evidence_pdf_page,evidence_book_page,contributor,notes
US-01-DARWIN,instances-in-text,FIG-1.7,figure,53,43,Gross,"Sir Charles Bell sketch from Anatomy and Philosophy of Expression"
US-01-DARWIN,instances-in-text,FIG-1.8,figure,54,44,Gross,"Countermodel triptych: POFA smile / Happy Meal / Joystick"
US-01-DARWIN,instances-in-text,FIG-1.9,figure,61,51,Gross,"Weeping Children (Ginx's Baby — drawing-disguised-as-photograph per Prodger / n.52)"
US-01-DARWIN,re-reads-author,INT-US01-01,interlocutor,38,28,Gross,"Re-reads Darwin against the Ekman-tradition reception: not proto-FACS but rhetorician of emotion"
US-01-DARWIN,re-reads-author,INT-US01-24,interlocutor,50,40,Gross,"Re-reads Aristotle Rhetoric II as Darwin's analogue — cast-of-characters specification of hatred"
US-01-DARWIN,cross-discipline-bridges,INT-US01-04,interlocutor,39,29,Gross,"Philosophy of biology (Noé) ↔ literary humanities — situated cognition aligned with rhetorical emotion"
US-01-DARWIN,cross-discipline-bridges,INT-US01-06,interlocutor,47,37,Gross,"Affect theory (Berlant Compassion) ↔ political-economy critique of compassionate conservatism"
US-01-DARWIN,cross-discipline-bridges,INT-US01-23,interlocutor,60,50,Gross,"Evolutionary biology (Roughgarden) ↔ semiotic indeterminacy / rhetoric"
US-01-DARWIN,cross-discipline-bridges,INT-US01-22,interlocutor,57,47,Gross,"Linguistic pragmatics (Horn neo-Gricean negation) ↔ literary stylistics (Sterne, Austen)"
US-01-DARWIN,glosses-greek,pathos,greek,50,40,Gross,"Aristotle Rhetoric II pathē as implicit anchor for Darwin's hatred-passage cast-of-characters analysis"
US-01-DARWIN,marginal-note,INT-US01-09,interlocutor,42,32,Gross,"Rejlander as Victorian London photographer — appears in Fig. 1.3 top image of 'astonishment'"
US-01-DARWIN,marginal-note,INT-US01-25,interlocutor,53,43,Gross,"Heretical aside: Darwin turning toward Marx on Happy Meal commodity-fetish accessory-with-life-of-its-own"
US-01-DARWIN,marginal-note,INT-US01-27,interlocutor,51,41,Gross,"Lessing Laokoön via Darwin E 436n16 — visual arts disperse violent emotion"
US-01-DARWIN,marginal-note,INT-US01-28,interlocutor,51,41,Gross,"Winckelmann edle 'noble simplicity' (Fusseli 1765 trans. p.30)"
US-01-DARWIN,marginal-note,INT-US01-29,interlocutor,51,41,Gross,"Virgil Aeneid 2.223 — Laocoön mugitus 'bellowing'"
US-01-DARWIN,marginal-note,INT-US01-30,interlocutor,49,39,Gross,"Hensleigh Wedgwood etymology dare manus — captive offering hands to be bound; via Darwin E 217-218"
