source_claim,relation,edge_domain,target,note,location
DISS-01-C080,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §§32-33 H.150-159,"Vorhabe/Vorsicht/Vorgriff","line 41"
DISS-01-C081,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §32 H.153 Eng.195,"Coming-into-circle-rightly","line 41"
DISS-01-C082,extends,interpretive-bridge,DISS-01-C079,"Chain-as-proto-form-of-hermeneutical-circle extends the Aristotelian-Heideggerian register-pairing. T4 — needs flag.","line 41"
DISS-01-C086,grounds,citation,DISS-01-C087,"Phys. III.2 dyadic verbatim grounds the relational-kinēsis interpretation.","line 47"
DISS-01-C086,cites-as-support,citation,ARISTOTLE-LOCUS:Phys III.2 202a13-20,"Joint actualization","line 47"
DISS-01-C088,cites-as-support,citation,ARISTOTLE-LOCUS:Phys III.3 202a21-24,"Agent-patient dyad","line 49"
DISS-01-C090,cites-as-support,citation,ARISTOTLE-LOCUS:Phys III.3 202b13-14,"Thebes-Athens analogy","line 49"
DISS-01-C091,instantiates,architectural,DISS-01-C089,"One-motion-two-aspects instantiates the poiēsis/pathēsis dyad.","line 49"
DISS-01-C092,grounds,architectural,DISS-01-C096,"A_0-dyadic-propagation grounds the every-node-dyadic claim.","line 51"
DISS-01-C093,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.5 416b33-417a20,"A_1 perception as joint actualization","line 51"
DISS-01-C093,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.2 425b26-27,"Single-event-under-two-logoi","line 51"
DISS-01-C097,cites-but-misreads,citation,SECONDARY-LOCUS:Burke Grammar pp. 214-215,"Burke conditions-of-organism — VERBATIM UNVERIFIED at pp. 214-215. See G06.","line 51"
DISS-01-C101,awaits-corpus-resolution,citation,HEIDEGGER-LOCUS:SZ §18 H.84 ******,"Verbatim placeholder #2","line 53"
DISS-01-C102,extends,interpretive-bridge,DISS-01-C087,"Dyadic-kinēsis-as-proto-form-of-In-der-Welt-sein extends the relational-kinēsis claim. T4 — needs flag.","line 53"
DISS-01-C104,grounds,citation,DISS-01-C105,"Phys. IV.11 canonical time definition grounds the time-as-aspect-of-motion claim.","line 59"
DISS-01-C104,cites-as-support,citation,ARISTOTLE-LOCUS:Phys IV.11 219b1-2,"Time as number of motion","line 59"
DISS-01-C108,cites-as-support,citation,ARISTOTLE-LOCUS:Phys IV.11 219a10-13,"Movement-with-magnitude inheritance","line 61"
DISS-01-C109,cites-as-support,citation,ARISTOTLE-LOCUS:Met XII.6 1071b10-11,"Time as attribute of movement","line 61"
DISS-01-C111,cites-as-support,citation,ARISTOTLE-LOCUS:Phys IV.11 219b5-10,"Number-as-counted-vs-counting","line 63"
DISS-01-C113,grounds,architectural,DISS-01-C147,"Counted/counting distinction grounds the soul-as-counter / strong-reading interpretive move.","line 63"
DISS-01-C114,needs-citation,citation,ARISTOTLE-LOCUS:Phys IV.11 219a4-8 [VERIFY],"Perceive-movement-and-time-together — Bekker verification. See G16.","line 63"
DISS-01-C117,cites-as-support,citation,ARISTOTLE-LOCUS:Phys IV.11 219b12-13,"Now determines time","line 65"
DISS-01-C118,cites-as-support,citation,ARISTOTLE-LOCUS:Phys IV.12 220a5,"Now divides and unifies","line 65"
DISS-01-C120,cites-as-support,citation,ARISTOTLE-LOCUS:Phys IV.14 223a4-6,"Now as boundary of past and future","line 65"
DISS-01-C121,needs-citation,citation,ARISTOTLE-LOCUS:Phys IV.11 219b22-25 [VERIFY],"Body-carried-along — Bekker verification. See G17.","line 65"
DISS-01-C122,extends,architectural,DISS-04-A2-resonant-kinesis-dual-trace,"'One in substrate, different in being' formula is structural forward pointer to §1.2 resonant kinēsis dual-trace.","line 65"
DISS-01-C123,extends,interpretive-bridge,DISS-01-C124,"Innerzeitigkeit reading extends to the Aristotle-correct-as-far-as-it-goes evaluation.","line 67"
DISS-01-C127,awaits-corpus-resolution,citation,HEIDEGGER-LOCUS:SZ §81 H.421-422 ******,"Verbatim placeholder #3","line 67"
DISS-01-C131,grounds,architectural,DISS-01-C132,"Aristotelian-definition-insufficient grounds the phantasia-as-temporal-synthesis claim.","line 69"
DISS-01-C134,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet I.11 1370a28-33,"Phantasia memory-expectation","line 69"
DISS-01-C136,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.1 412a19-20,"Soul as substance/form","line 73"
DISS-01-C139,grounds,architectural,DISS-01-C140,"Soul-as-instance-of-priority grounds the four-term proportional analogy.","line 73"
DISS-01-C140,extends,interpretive-bridge,DISS-01-C147,"Four-term proportional analogy (motion:potential :: soul:body :: time:numbered :: rational-soul:numbering) sets up strong-reading. T4 — needs flag.","line 73"
DISS-01-C141,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.5 417a21-b2,"Three-grade schema","line 75"
DISS-01-C145,cites-but-misreads,citation,ARISTOTLE-LOCUS:Phys IV.14 223a25-27,"Strong-reading anchor — corpus-attested 223a21-26. See G08.","line 77"
DISS-01-C146,depends_on,citation,DISS-01-C145,"Motion-without-soul-yes / time-without-soul-no depends on Phys IV.14 quote.","line 77"
DISS-01-C147,depends_on,architectural,DISS-01-C145,"Strong reading depends on the conditional in Phys IV.14.","line 77"
DISS-01-C147,depends_on,architectural,DISS-01-C113,"Strong reading depends on counted/counting distinction.","line 77"
DISS-01-C147,depends_on,architectural,DISS-01-C140,"Strong reading depends on four-term proportional bridge.","line 77"
DISS-01-C148,inconsistent-with,interpretive,DISS-01-C147,"Meta-flag confirms — but rhetorically, this is the explicit interpretive-marker that the strong reading is the chapter's interpretive move.","line 77"
DISS-01-C150,awaits-perplexity-resolution,citation,SECONDARY-LOCUS:Coope Time for Aristotle + Broadie Physics IV commentary,"Coope and Broadie cited but no specific pages. See G14.","line 77"
DISS-01-C151,extends,interpretive-bridge,DISS-01-C147,"Heideggerian Zeitlichkeit extension to the strong-reading move.","line 79"
DISS-01-C152,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §65 H.328-329,"Three-ecstases","line 79"
DISS-01-C154,awaits-corpus-resolution,citation,HEIDEGGER-LOCUS:SZ §65 H.328-329 ******,"Verbatim placeholder #4","line 79"
DISS-01-C156,grounds,interpretive-bridge,DISS-01-C147,"Heideggerian-alignment with strong reading is the bridge claim — final paragraph of S6.","line 79"
DISS-01-C158,extends,architectural,DISS-01-C026,"Chapter-thesis at S7 extends section-opening promise.","line 83"
DISS-01-C159,cites-as-support,citation,ARISTOTLE-LOCUS:De Memoria 449b28-30,"Memory implies time","line 83"
DISS-01-C160,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet I.11 1370a28-30,"Phantasia memory-expectation (repeat)","line 83"
DISS-01-C163,needs-citation,citation,HEIDEGGER-LOCUS:GA 3 (no page),"GA 3 productive imagination — page needed. See G15.","line 83"
DISS-01-C164,grounds,architectural,DISS-01-C168,"A_0 licenses A_1's four conditions.","line 85"
DISS-01-C167,instantiates,architectural,DISS-01-C147,"Time-becoming-fully-actual-with-rational-soul instantiates the strong-reading interpretive move.","line 85"
DISS-01-C147,grounds,architectural,DISS-02-A1-arrival,"Strong reading is the architectural gate at which A_1 arrives. Cross-section pointer to §1.2.","line 85"
