source,target,relation,edge_domain,units,note
Wirkton,Wirkbild,operationalizes,biosemiotic,U-F4,"Effect tone is expressed meaning-quality derived from the effect image (p.99)"
Stimmung,Wirkbild,presupposes,biosemiotic,U-F4,"Subject's mood determines which effect image activates (pp.97,99)"
Wirkton,Funktionskreis,depends_on,biosemiotic,U-F4,"Effect tones require central effect organs; purely reflexive animals excluded (p.99)"
Umwelt,Wirkton,depends_on,biosemiotic,"U-F4;U-F7","Number of objects in Umwelt equals number of available effect tones/actions (p.100); each Umwelt assigns specific tonal coloring (pp.133-134)"
Umweltsicherheit,Umwelt,depends_on,biosemiotic,U-F4,"Environmental security inversely proportional to number of objects (p.100)"
Wahrnehmungsbild,Merkmal,refines,perceptual,U-F4,"Perception image is integrated sensory representation; perception marks are components (p.97)"
bekannter Weg,Merkmal,depends_on,biosemiotic,U-F5,"Familiar path structured by visual, olfactory, and tactile perception marks (p.102)"
bekannter Weg,Richtungsschritt,depends_on,perceptual,U-F5,"Directional steps serve as distance measure and path-building unit (pp.102-103)"
bekannter Weg,Wirkraum,depends_on,biosemiotic,U-F5,"Familiar path in blind animals is purely an effect-space phenomenon (p.109)"
Heimat,Revier,presupposes,biosemiotic,U-F5,"Home presupposes territory; territory extends beyond the nest (p.106)"
Revier,Umwelt,depends_on,ontological,U-F5,"Territory is purely an Umwelt problem — exclusively subjective product (p.107)"
Revier,Umgebung,contrasts_with,ontological,U-F5,"Territory invisible to knowledge of surroundings alone (p.107)"
Raumschema,Richtungsschritt,depends_on,perceptual,U-F5,"Spatial schema joins directional steps with tactile perception marks (p.109)"
Raumschema,Wirkraum,operationalizes,biosemiotic,U-F5,"Projected schema enables mole to rebuild passages — operationalizes effect space (p.109)"
Suchbild,Merkbild,contrasts_with,perceptual,U-F6,"Search image can override and eliminate perception image (pp.117-118)"
Suchton,Suchbild,presupposes,biosemiotic,U-F6,"Search tone more fundamental; toad starts with tone, acquires image after eating (p.121)"
Wirkton,Merkbild,operationalizes,biosemiotic,U-F6,"Effect tone (enemy, love, feeding) conferred on perception image determines its functional role (pp.116-117)"
Wirkbild,Merkbild,explains,perceptual,U-F6,"Effect image of subject's attitude decides which perception image receives companion tones (p.117)"
magische Umwelt,Umwelt,refines,ontological,U-F6,"Magical environments extend Umwelt theory beyond stimulus-response to free subject productions (p.119)"
magische Umwelt,Wirkton,depends_on,biosemiotic,U-F6,"Starling's environment laden with feeding tone forces perception image without stimulus (pp.121-122)"
Einprägung,Merkbild,operationalizes,biosemiotic,U-F6,"Imprinting fixes acquired perception images as if innate (pp.115-116)"
Suchbild,Subjekt,depends_on,ontological,U-F6,"Search image is a free production of the subject, not stimulus-driven (p.119)"
Tönung,Funktionskreis,operationalizes,biosemiotic,U-F7,"Effect tones are functional-cycle-specific valuations of objects (pp.133-134)"
Objekt,Umwelt,depends_on,ontological,U-F7,"Object constituted differently in each Umwelt; no environment-independent object (pp.131-136)"
subjektive Wirklichkeit,Umgebung,contrasts_with,ontological,U-F7,"Subjective realities in environments vs. objective realities never appearing as such (pp.129-130)"
angeborener Weg,bekannter Weg,refines,biosemiotic,U-F7,"Inborn path composed of same elements as familiar path but given innately (pp.126-128)"
angeborener Weg,magische Erscheinung,exemplifies,perceptual,U-F7,"Inborn path is the paradigmatic magical phenomenon (p.129)"
Natur,Umwelt,presupposes,ontological,U-F7,"Nature carries and shelters all environments; each Umwelt is an excerpt (pp.136-137)"
Natur,Subjekt,contrasts_with,ontological,U-F7,"Nature never knowable by any subject; unknowable totality vs. perspectival access (p.136)"
Merkmalträger,Funktionskreis,depends_on,biosemiotic,U-F7,"Environment cuts select which features become perception-mark carriers in each cycle (pp.134-135)"
Wirkmalträger,Funktionskreis,depends_on,biosemiotic,U-F7,"Effect-mark carriers co-determined by the functional cycle (pp.134-135)"
Tönung,Merkmal,refines,perceptual,U-F7,"Tone is evaluative overlay on perception marks — same bark perceived differently (pp.133-135)"
Bedeutungsträger,Subjekt,depends_on,biosemiotic,U-M1,"Carrier of meaning exists only through relationship with a subject (p.144)"
Bedeutungsträger,beziehungsloses Objekt,contrasts_with,ontological,U-M1,"Relationless object becomes carrier of meaning only through subject-relation (p.144)"
Ton,Bedeutungsträger,operationalizes,biosemiotic,U-M1,"Tone is the specific meaning-function conferred on the carrier (pp.144-145)"
Bedeutungsverbraucher,Bedeutungsträger,depends_on,biosemiotic,U-M1,"Consumer of meaning (body complement) receives from carrier of meaning (p.148)"
wesentliche Eigenschaft,Bedeutungsträger,depends_on,ontological,U-M1,"Leading properties emerge only in carriers of meaning, not relationless objects (p.145)"
Wohnwelt,Umwelt,refines,biosemiotic,U-M1,"Dwelling-world specifies bounded habitat dimension of the Umwelt (p.143)"
Bauplan (environment),Bauplan (body),contrasts_with,biosemiotic,U-M1,"Environmental construction plan and bodily construction plan seem opposed but equally closed (p.148)"
Funktionskreis,Bedeutungsträger,operationalizes,biosemiotic,U-M1,"Functional cycle connects carrier of meaning with subject via perception + effect marks (p.149)"
Bedeutungsverwertung,Funktionskreis,refines,biosemiotic,U-M2,"Functional cycles reinterpreted as meaning cycles for utilization (p.154)"
Bedeutungsverwertung,Bedeutungsträger,operationalizes,biosemiotic,U-M2,"Meaning utilization is process by which carriers are perceived and effectuated (p.154)"
Bedeutungsregel,Bauplanmelodie,contrasts_with,biosemiotic,"U-M2;U-M3","Meaning order is general ('become a mouth'); form development order is species-specific (pp.158-159)"
Bedeutungsregel,Organton,operationalizes,biosemiotic,U-M2,"Meaning order activates the organ tone which then controls cell self-tones (p.160)"
Organton,Ich-Ton,explains,biosemiotic,U-M2,"Organ tone controls self-tones of constituent cells like melody controls notes (p.160)"
Wohnhülle,Umwelt,contrasts_with,biosemiotic,U-M2,"Dwelling-shell is for plants what Umwelt is for animals; lacks functional cycles (pp.150-151)"
Wohnhülle,Bedeutungsfaktor,depends_on,biosemiotic,U-M2,"Dwelling-shell composed of meaning factors: wind, rain, sun (p.154)"
Bedeutungsfaktor,Bedeutungsträger,contrasts_with,biosemiotic,U-M2,"Meaning factors (plant) vs. carriers of meaning (animal): different structures (p.154)"
Wachstumsmelodie,Ich-Ton,operationalizes,teleological,U-M2,"Growth melody controls germ cell self-tones, directing differentiation (p.156)"
Bedeutungsregel,Wachstumsmelodie,presupposes,teleological,U-M2,"Meaning order precedes and activates the growth melody in normal development (p.158)"
Mechanismus,Organismus,contrasts_with,ontological,U-M2,"Centripetal (clock assembled from parts) vs. centrifugal (organism growing from germ) (p.160)"
Bedeutungsverwertung,Kausalforschung,contrasts_with,methodological,U-M2,"Meaning question must have priority over causal investigation in biology (p.155)"
Urbild,Urpartitur,refines,biosemiotic,U-M3,"Primal image also designated as primal score; developmental aspects of same concept (p.164)"
Bedeutungsplan,Urbild,presupposes,teleological,U-M3,"Meaning plan connects primal images behind curtain of appearances (p.164)"
Bedeutungsverwerter,Bedeutungsträger,is_meaning_of,biosemiotic,U-M3,"Meaning utilizer precisely attuned to carrier (web to fly-as-prey) (p.162)"
Eigenton,Merkzeichen,explains,perceptual,U-M3,"Self-tones of cerebral cells produce perception signs (pp.168-170)"
Innenfront,Außenfront,contrasts_with,perceptual,U-M3,"Inner front (self-tones) vs. outer front (physicochemical sieve); sensory organ has both (pp.169-170)"
Innenfront,Eigenton,depends_on,perceptual,U-M3,"Inner front constituted by self-tones of cell-bells (p.170)"
Lebenton,Organton,depends_on,biosemiotic,U-M3,"Life tone composed from organ tones; extinction = death (p.161)"
Organton,Eigenton,presupposes,biosemiotic,U-M3,"Organ tones are higher-order composites of cellular self-tones (pp.161,168)"
Palette,Merkzeichen,depends_on,perceptual,U-M3,"Subject's palette is the set of available perception signs (p.170)"
Palette,Umwelt,explains,biosemiotic,U-M3,"The palette determines the structure of the subject's environment (p.170)"
Urbild,Kausalität,contrasts_with,methodological,U-M3,"Meaning (via primal images) is biology's pole star; causality sees only one step ahead (p.164)"
Bedeutungsplan,Funktionskreis,presupposes,biosemiotic,U-M3,"Meaning plan is higher-order framework within which functional cycles operate (p.164)"
Bedeutungsregel,Bauplanregel,operationalizes,biosemiotic,U-M4,"Meaning rule controls form development rule as a whole (pp.171-172)"
Kompositionslehre,Kontrapunkt,depends_on,methodological,U-M4,"Composition theory rests on contrapuntal relation between organism and environment (pp.175-176)"
Kontrapunkt,Bedeutungsträger,depends_on,biosemiotic,U-M4,"Counterpoint requires a carrier of meaning as one voice (p.176)"
Kontrapunkt,Bedeutungsverwerter,depends_on,biosemiotic,U-M4,"Counterpoint requires a meaning utilizer as other voice (p.176)"
Bedeutungsregel,Bedeutungsträger,explains,biosemiotic,U-M4,"Meaning rule bridges carrier and utilizer into composed unity (p.176)"
Zellton,Organmelodie,presupposes,biosemiotic,U-M4,"Cell tones compose into organ melodies in ascending subjectification (p.175)"
Organmelodie,Organismusymphonie,presupposes,biosemiotic,U-M4,"Organ melodies unite into the organism symphony / Urbild (p.175)"
Organismusymphonie,Urbild,is_meaning_of,biosemiotic,U-M4,"Organism symphony also described as primal image (p.175)"
Bedeutungswechsel,Subjekt,depends_on,biosemiotic,U-M4,"Meaning-switch depends on subject's changed disposition, not carrier (pp.180-181)"
Bedeutungswechsel,Bedeutungsträger,contrasts_with,biosemiotic,U-M4,"Carrier remains physically unchanged during meaning-switch (p.180)"
Kompositionslehre,Maschinentheorie,contrasts_with,methodological,U-M4,"Composition theory replaces mechanical causation (pp.173,183)"
Bedeutungskreis,Funktionskreis,refines,biosemiotic,U-M4,"Circuit of meaning is meaning-theoretic elaboration of functional cycle (p.176)"
Kompositionslehre,Umwelt,presupposes,ontological,U-M4,"Composition theory presupposes Umwelt as site where carrier meets utilizer (p.176)"
Bedeutungsduldung,Bedeutungsträger,presupposes,biosemiotic,U-M5,"Sufferance requires a carrier of meaning acting against subject's interest (p.186)"
Bedeutungsduldung,Bedeutungsnutzung,contrasts_with,biosemiotic,U-M5,"Active utilization vs. passive sufferance — two modes of meaning-reception (p.186)"
Naturpartitur,Kontrapunkt,depends_on,biosemiotic,U-M5,"Score of Nature composed of contrapuntal relations between organisms (p.193)"
Kontrapunkt,Bedeutungston,depends_on,biosemiotic,U-M5,"Counterpoint operates on meaning-tones, not acoustic tones (pp.191-192)"
Bedeutungston,Merkzeichen,refines,biosemiotic,U-M5,"Perception signs recast as perception tones in the musical analogy (p.191)"
Urbild,Kontrapunkt,presupposes,biosemiotic,U-M5,"Contrapuntal structure built on primal image of species, not individuals (p.194)"
Kontrapunkt,Funktionskreis,refines,biosemiotic,U-M5,"Counterpoint extends functional cycle from subject-object to subject-subject across Umwelten (pp.190-192)"
Naturpartitur,Umwelt,depends_on,biosemiotic,U-M5,"Score is written across multiple Umwelten; each organism contributes a voice (pp.190-193)"
Bedeutungskeim,Bildungsmelodie,presupposes,biosemiotic,U-M6,"Meaning-germ is origin from which formative melody crystallizes organism (pp.207-208)"
Bildungsmelodie,Eigenton,depends_on,biosemiotic,U-M6,"Formative melody composed of self-tones of living cells (pp.202,205)"
Kontrapunkt,Motiv,operationalizes,biosemiotic,U-M6,"Counterpoint becomes motif/motive in form-development; function = motive of production (p.195)"
Bedeutungsträger,Bedeutungsempfänger,presupposes,biosemiotic,U-M6,"Carrier and recipient mutually constitutive through contrapuntal formative melodies (p.202)"
Naturtechnik,Bildungsmelodie,explains,methodological,U-M6,"Natural technology studies the formative melodies producing organisms (pp.198,207)"
Fortschritt,Komposition,contrasts_with,temporal,U-M6,"Progress (linear improvement) rejected in favor of composition (each organism complete) (pp.199-200)"
Zielstrebigkeit,Gestalt,explains,teleological,U-M6,"Future Gestalt serves as present motif — goal-pursuing quality in morphogenesis (p.197)"
Partitur,Umwelt,depends_on,ontological,U-M6,"World-score composed of all individual Umwelten (p.204)"
Partitur,Komposition,refines,ontological,U-M6,"World-score is the totality of compositions; each Umwelt-group is one composition (pp.200,204)"
Eigenton,Glockenspiel,operationalizes,biosemiotic,U-M6,"Self-tones of cells combine into the living carillon (p.205)"
Glockenspiel,Merkzeichen,operationalizes,perceptual,U-M6,"Brain-cell carillon's self-tones serve as perception signs (pp.205-206)"
Bedeutungskeim,Komposition,explains,biosemiotic,U-M6,"Meaning-germ is that from which composition crystallizes (pp.207-208)"
Bildungsmelodie,Gestalt,explains,biosemiotic,U-M6,"Formative melody directs protoplasm toward the finished Gestalt (pp.202,207)"
Merkzeuge,Umwelt,refines,perceptual,U-M6,"Perception tools broaden the Umwelt but do not escape it (p.204)"
Bedeutungsträger,Merkmal,refines,biosemiotic,"U-F0;U-M1","Carrier of meaning subsumes perception marks: objects are not perceived neutrally but as meaning-carriers (F0 pp.49-50; M1 p.144)"
Bedeutungskreis,Merkzeichen,depends_on,biosemiotic,"U-F0;U-M2;U-M4","Meaning cycle still depends on perception signs from the Foray's infrastructure (F0 p.47; M2 p.154; M4 p.176)"
Kompositionslehre,Funktionskreis,presupposes,biosemiotic,"U-F0;U-M4","Composition theory presupposes functional cycles as its basic units, now reframed as meaning cycles (F0 p.49; M4 p.176)"
Bedeutungston,Wirkton,refines,biosemiotic,"U-F4;U-M5","Meaning-tone (Part II) generalizes the effect tone (Part I) from perceptual affordance to semiotic valence (F4 p.99; M5 pp.191-192)"
Stimmung,Bedeutungswechsel,presupposes,biosemiotic,"U-F4;U-M4","Mood (Part I) is the mechanism underlying meaning-switch (Part II): changed disposition changes meaning (F4 pp.97-99; M4 pp.180-181)"
Eigenton,Merkzeichen,explains,perceptual,"U-F0;U-M3;U-M6","Self-tones (Part II) are the cellular basis of the perception signs introduced in Part I (F0 p.47; M3 pp.168-170; M6 p.205)"
Urbild,Merkbild,refines,biosemiotic,"U-F3;U-M3","Primal image (Part II) is the species-level archetype of the perception image introduced in Part I (F3 pp.84-85; M3 pp.163-164)"
Bedeutungsregel,Planmäßigkeit,refines,teleological,"U-F3;U-M2;U-M4","Meaning rule (Part II) is the precise articulation of Part I's more diffuse Nature's plan / Planmäßigkeit (F3 pp.86-87; M2 pp.156-158; M4 pp.171-176)"
Wohnhülle,Merkwelt,contrasts_with,biosemiotic,"U-F0;U-M2","Dwelling-shell (Part II) is the plant analogue of the perception world (Part I); plants lack Merkwelt because they lack functional cycles (F0 p.42; M2 pp.150-151)"
Kontrapunkt,Gegengefüge,refines,biosemiotic,"U-F0;U-M4","Counterpoint (Part II) generalizes the counterstructure (Part I): from object-side link within one Funktionskreis to cross-Umwelt structural correspondence (F0 p.49; M4 pp.175-176)"
Naturpartitur,Umgebung,refines,ontological,"U-F0;U-F7;U-M5","The score of Nature (Part II) reframes Part I's objective surroundings as a composed totality rather than a neutral container (F0 p.43; F7 p.136; M5 pp.190-193)"
Autodermin,Reflexrepublik,supports,biosemiotic,U-F2,"Autodermin enables civil peace in the reflex republic by chemically blocking self-directed reflexes (p.77)"
magische Erscheinung,subjektive Wirklichkeit,supports,ontological,U-F7,"Magical phenomena prove that environments contain purely subjective realities (pp.128-130)"
Merkzeit,Karl Ernst von Baer,historicizes,temporal,U-F2,"Uexkuell credits von Baer with the foundational insight that time is a product of the subject (p.70)"
essentia (Scholastic),wesentliche Eigenschaft,historicizes,ontological,U-M1,"Uexkuell reinterprets Scholastic essentia as meaning-relative leading property (p.145)"
Konstanz,Materialismus,undermines,ontological,U-M6,"Inconstancy of matter across Umwelten refutes materialist worldview (pp.201-202)"
Naturtechnik,Fortschritt,undermines,methodological,U-M6,"Natural technology eliminates need for progress-narrative; contrapuntal fitness replaces selection (pp.199,207)"
Survival of the normal,Spencer (survival of fittest),undermines,methodological,U-M5,"Uexkuell rejects Spencers progressive selection in favor of species-conserving elimination (p.189)"
