source,target,relation,edge_domain,units,note
De-severance,Being-in-the-world,operationalizes,existentiale-structural,BT-D1-U4,"De-severance constitutes Dasein's spatiality (§23, H.105)."
Death-existential,Biology-of-death,presupposes,methodological,BT-D2-U1,"Existential analysis is superordinate to biology of death (§49, H.246–249)."
Death-existential,Mineness,depends_on,existential,BT-D2-U1,"Dying is in each case mine (§47, H.240)."
Descartes-Res-Extensa,Greek-Ontology,presupposes,genealogical,BT-D1-U3,Descartes inherits the ancient determination of Being as presence (§§19–21).
Descartes-Res-Extensa,Medieval-Scholasticism,depends_on,genealogical,BT-D1-U3,"Descartes takes over scholastic substantia (§20, H.93)."
Destiny,Being-with,depends_on,existentiale-structural,BT-D2-U5,"Destiny arises from Being-with Others (§74, H.384)."
Destiny,Fate,presupposes,existential,BT-D2-U5,"Destiny is constituted by co-historizing of fateful Dasein (§74, H.384–385)."
Destruktion,Presence-Anwesenheit,undermines,genealogical,BT-Intro-U2,"Destruktion aims to show that the determination of Being as presence is a specific temporal interpretation (§6, H.25–26)."
Destruktion,Tradition,undermines,methodological,BT-Intro-U2,"Destruktion loosens tradition's hardened self-evidence by tracing concepts to primordial sources (§6, H.22)."
Directionality,De-severance,depends_on,existentiale-structural,BT-D1-U4,"Directionality co-belongs with de-severance (§23, H.108)."
Disclosedness,Being-in,explains,existentiale-structural,BT-D1-U5,"Disclosedness is the ontological meaning of Being-in (§28, H.130–133)."
Disclosedness,Care,depends_on,existentiale-structural,BT-D1-U9,"Disclosedness belongs to care's constitution (§44b, H.221)."
Disclosedness,Care,supports,existentiale-structural,BT-D1-U5,"The analysis of Being-in aims to grasp care (§28, H.131)."
Disclosedness,Dasein,is_meaning_of,existentiale-structural,BT-D1-U5,"Dasein IS its disclosedness (§28, H.133)."
Disclosedness,State-of-mind,presupposes,existentiale-structural,BT-D1-U9,"Disclosedness is constituted by state-of-mind, understanding, discourse (§44b, H.221)."
Discourse,Disclosedness,supports,existentiale-structural,BT-D1-U6,"Discourse is a primordial existentiale of disclosedness (§34, H.161)."
Discourse,State-of-mind,presupposes,existentiale-structural,BT-D1-U6,"Discourse is equiprimordial with state-of-mind (§34, H.161)."
Discourse,Temporality,presupposes,existentiale-structural,BT-D2-U4,Discourse Articulates disclosedness; tenses rooted in temporality (§68d).
Discourse,Understanding,presupposes,existentiale-structural,BT-D1-U6,"Discourse is equiprimordial with understanding (§34, H.160–161)."
Distantiality,Das-Man,operationalizes,existential,BT-D1-U4,"Distantiality constitutes the 'they' (§27, H.126–127)."
Downward-plunge,Falling,operationalizes,existential,BT-D1-U7,"The downward plunge is the resultant movement of falling (§38, H.178–179)."
Dying,Demise,refines,existential,BT-D2-U1,"Demise is the factical ending; dying is existential (§49, H.247)."
Dying,Perishing,contrasts_with,ontological,BT-D2-U1,"Dying vs. perishing: existential vs. biological (§49, H.240–241)."
Ecstases,Temporality,operationalizes,temporal,BT-D2-U3,"The three ecstases constitute temporality (§65, H.329)."
Eigentlichkeit,Jemeinigkeit,depends_on,existential,BT-D1-U1,"Authenticity is grounded in mineness (§9, H.42–43)."
Empathy,Being-with,presupposes,existential,BT-D1-U4,"Empathy is possible only on the basis of Being-with (§26, H.124–125)."
Environment,Worldhood,exemplifies,methodological,BT-D1-U2,"The environment is the phenomenal access to worldhood (§14, H.66)."
Equipment,Readiness-to-hand,is_meaning_of,ontological,BT-D1-U2,"Equipment's kind of Being is readiness-to-hand (§15, H.69)."
Erkennen,Besorgen,presupposes,existentiale-structural,BT-D1-U1,"Knowing presupposes concern (§13, H.61)."
Erkennen,In-Sein,depends_on,existentiale-structural,BT-D1-U1,"Knowing is a founded mode of Being-in (§13, H.59–62)."
Evasion,Anticipation,contrasts_with,existential,BT-D2-U1,Evasion vs. anticipation: inauthentic vs. authentic (§§51–53).
Evasion,Being-towards-death,operationalizes,existential,BT-D2-U1,Evasion is the inauthentic mode (§§51–52).
Everydayness,Dasein,explains,existentiale-structural,BT-Intro-U2,"Dasein is proximally and for the most part in its everydayness (§5, H.16)."
Everydayness,Historicality,depends_on,temporal,BT-D2-U4,Everydayness requires historicality and within-time-ness (§71).
Everydayness,Temporality,presupposes,existential,BT-D2-U4,Everydayness requires temporal delimitation (§71).
Existence,Dasein,explains,existential,BT-Intro-U1,"Dasein's manner of Being is existence — it is 'to-be' rather than a fixed substance (§4, H.12)."
Existence,Dasein,is_meaning_of,existential,BT-D1-U1,"The 'essence' of Dasein lies in its existence (§9, H.42)."
Existential-Possibility,Presence-at-hand,contrasts_with,ontological,BT-D1-U5,"Existential possibility vs. contingency of presence-at-hand (§31, H.143–144)."
Existential-analytic,Anthropologie,contrasts_with,methodological,BT-D1-U1,"The existential analytic is prior to anthropology (§10, H.45–50)."
Existentialia,Kategorien,contrasts_with,methodological,BT-D1-U1,"Existentialia vs. categories: 'who' vs. 'what' (§9, H.44–45)."
Extensio,Kant-A-Priori,supports,genealogical,BT-D1-U3,"Descartes' extensio prepared the way for Kant's a priori (§21, H.101)."
Faktizitaet,Being-in-the-world,depends_on,existential,BT-D1-U1,"Facticity implies Being-in-the-world (§12, H.56)."
Falling,Ambiguity,depends_on,existentiale-structural,BT-D1-U7,"Ambiguity is the third constitutive phenomenon (§38, H.175)."
Falling,Being-in-the-world,operationalizes,existential,BT-D1-U7,"Falling is a mode of Being-in-the-world (§38, H.176)."
Falling,Being-towards-death,operationalizes,existential,BT-D2-U1,Falling determines Being-towards-death (§50–51).
Falling,Care,supports,existentiale-structural,BT-D1-U7,"Falling completes the preparatory exhibition for care (§38, H.180)."
Falling,Curiosity,depends_on,existentiale-structural,BT-D1-U7,"Curiosity is another constitutive phenomenon (§38, H.175)."
Falling,Idle-talk,depends_on,existentiale-structural,BT-D1-U7,"Idle talk is one constitutive phenomenon of falling (§38, H.175)."
Falling,Inauthenticity,explains,existential,BT-D1-U7,"Through falling, inauthenticity can be defined (§38, H.176)."
Falling,Present,depends_on,temporal,BT-D2-U4,Falling has its meaning in the Present (§68c).
Falling,Status-corruptionis,contrasts_with,methodological,BT-D1-U7,"Falling is distinguished from theological corruption (§38, H.180)."
Falling,The-they,presupposes,existentiale-structural,BT-D1-U7,"Falling is absorption in the 'they' (§38, H.175–176)."
Falling,Thrownness,presupposes,existentiale-structural,BT-D1-U7,"Falling discloses the movement-character of thrownness (§38, H.179)."
Fate,Anticipatory-resoluteness,depends_on,existential,BT-D2-U5,"Fate is primordial historizing in anticipatory resoluteness (§74, H.384)."
Fate,Heritage,presupposes,existential,BT-D2-U5,"Fate takes over the heritage disclosed in thrownness (§74, H.383–384)."
Fear,Anxiety,contrasts_with,existential,BT-D1-U5,"Fear has definite object; anxiety discloses Being-in-the-world as such (§30, H.142)."
Fear,Forgetting,depends_on,temporal,BT-D2-U4,Fear temporalizes as bewildered making-present grounded in forgetting (§68b).
Fear,State-of-mind,exemplifies,existential,BT-D1-U5,"Fear is a concrete mode of state-of-mind (§30, H.140–142)."
Finitude-of-temporality,Being-towards-death,depends_on,temporal,BT-D2-U3,"Primordial time is finite because of Being-towards-death (§65, H.329–330)."
For-the-sake-of-which,Dasein,depends_on,existential,BT-D1-U2,"The for-the-sake-of-which pertains to Dasein's Being (§18, H.84)."
Fore-conception,Interpretation,presupposes,existentiale-structural,BT-D1-U6,"Every interpretation presupposes fore-conception (§32, H.150)."
Fore-having,Interpretation,presupposes,existentiale-structural,BT-D1-U6,"Every interpretation presupposes fore-having (§32, H.150)."
Fore-sight,Interpretation,presupposes,existentiale-structural,BT-D1-U6,"Every interpretation presupposes fore-sight (§32, H.150)."
Future,Temporality,operationalizes,temporal,BT-D2-U3,"The future is the primary ecstasis (§65, H.327–330)."
Hardness-Resistance,Dasein,presupposes,existentiale-structural,BT-D1-U3,"Hardness/resistance phenomenally presuppose Dasein's kind of Being (§21, H.97)."
Hardness-Resistance,Extensio,operationalizes,ontological,BT-D1-U3,"Descartes reduces hardness to a mode of extensio (§19, H.91–92)."
Having-been,Future,depends_on,temporal,BT-D2-U3,"Having-been arises from the future (§65, H.326)."
Hearing,Discourse,depends_on,existentiale-structural,BT-D1-U6,"Hearing is constitutive for discourse (§34, H.163)."
Hegel-spirit-falls-into-time,Temporality,contrasts_with,ontological,BT-D2-U6,Spirit does not fall into time; existence falls FROM temporality (§82).
Hegel-time-as-negation,Now-time,refines,genealogical,BT-D2-U6,Hegel formalizes the now-sequence to its extreme (§81).
Heritage,Thrownness,depends_on,existentiale-structural,BT-D2-U5,"Heritage is hidden in thrownness (§74, H.383)."
Hermeneutic,Phenomenology,refines,methodological,BT-Intro-U2,"The phenomenology of Dasein is hermeneutic (§7C, H.37)."
Hermeneutical-Circle,Care,presupposes,methodological,BT-D2-U3,"The circle belongs to the structure of care (§63, H.314–316)."
Hermeneutical-Situation,Anticipatory-Resoluteness,depends_on,methodological,BT-D2-U3,"Anticipatory resoluteness provides the adequate hermeneutical Situation (§63, H.310–311)."
Historicality,Being-towards-death,depends_on,existential,BT-D2-U5,"Being-towards-death is the hidden basis of historicality (§74, H.386)."
Historicality,Dasein,depends_on,temporal,BT-Intro-U2,"Dasein's being is essentially historical (§6, H.19–20)."
Historicality,Temporality,depends_on,temporal,BT-D2-U3; BT-D2-U5,"Historicality is a temporalization-structure (§66, H.332). | Historicality is grounded in temporality (§72, H.375–376)."
Historicality,Within-time-ness,contrasts_with,temporal,BT-D2-U5,"Historicality vs. within-time-ness: both from temporality but distinct (§72, H.377)."
Historiology,Historicality,depends_on,methodological,BT-D2-U5,"Historiology has its source in Dasein's historicality (§76, H.392–394)."
Historiology,Repetition,operationalizes,methodological,BT-D2-U5,"Historiological disclosure is rooted in repetition (§76, H.394–395)."
Historizing,Stretching-along,explains,existential,BT-D2-U5,"Historizing is the specific movement of stretching-along (§72, H.375)."
Horizonal-schema,Worldhood,explains,ontological,BT-D2-U4,The unity of horizonal schemata constitutes worldhood (§69c).
Idle-talk,Disclosedness,contrasts_with,existentiale-structural,BT-D1-U7,"Idle talk perverts disclosure into closing-off (§35, H.169)."
Idle-talk,Discourse,is_meaning_of,existentiale-structural,BT-D1-U7,"Idle talk is the everyday fallen mode of discourse (§35, H.167)."
In-Sein,Being-in-the-world,operationalizes,existentiale-structural,BT-D1-U1,"Being-in is a constitutive moment of Being-in-the-world (§12, H.53–54)."
In-Sein,Vorhandenheit,contrasts_with,ontological,BT-D1-U1,"Existential Being-in vs. spatial insideness of present-at-hand (§12, H.54–55)."
Inauthentic-historicality,Authentic-historicality,contrasts_with,existential,BT-D2-U5,Inauthentic vs. authentic historicality (§§74–75).
Indicating,Reference,refines,ontological,BT-D1-U2,"Indicating is a specific kind of referring (§17, H.77–78)."
Individuation,Das-Man,contrasts_with,existential,BT-D1-U8,"Individuation is the counter-movement to lostness in the 'they' (§40, H.187–188)."
Infinity-of-time,Being-towards-death,contrasts_with,existential,BT-D2-U6,Infinity arises from fleeing finite futurity (§81).
Interpretation,Readiness-to-hand,presupposes,ontological,BT-D1-U6,"Circumspective interpretation operates within readiness-to-hand (§32, H.149)."
Interpretation,Understanding,depends_on,existentiale-structural,BT-D1-U6,"Interpretation is grounded in understanding (§32, H.148–149)."
Involvement,For-the-sake-of-which,depends_on,existential,BT-D1-U2,"Involvements terminate in Dasein's for-the-sake-of-which (§18, H.84)."
Involvement,Readiness-to-hand,is_meaning_of,ontological,BT-D1-U2,"Involvement is the Being of the ready-to-hand (§18, H.84)."
Jemeinigkeit,Dasein,explains,existential,BT-D1-U1,"Mineness characterizes Dasein's Being (§9, H.42)."
Jemeinigkeit,Existence,supports,existential,BT-D1-U1,"Mineness reinforces that existence is individuated (§9, H.42)."
Keeping-silent,Discourse,depends_on,existentiale-structural,BT-D1-U6,"Keeping silent is an essential possibility of discourse (§34, H.164–165)."
Keeping-silent,Idle-talk,contrasts_with,existential,BT-D1-U6,"Keeping silent does away with idle talk (§34, H.165)."
Language,Discourse,depends_on,existentiale-structural,BT-D1-U6,"Language is discourse expressed (§34, H.161)."
Leaping-ahead,Leaping-in,contrasts_with,existential,BT-D1-U4,"Domination vs. liberation (§26, H.122)."
Leaping-ahead,Solicitude,operationalizes,existential,BT-D1-U4,"Leaping-ahead is the liberating extreme of solicitude (§26, H.122)."
Leaping-in,Solicitude,operationalizes,existential,BT-D1-U4,"Leaping-in is the dominating extreme of solicitude (§26, H.122)."
Letting-be-involved,Dasein,explains,existential,BT-D1-U2,"Letting-be-involved characterizes Dasein's kind of Being (§18, H.85)."
Levelling-down,Averageness,refines,existential,BT-D1-U4,"Levelling down is the tendency of averageness (§27, H.127)."
Levelling-off,Falling,depends_on,existential,BT-D2-U6,Levelling-off is grounded in falling (§81).
Logos-apophansis,Aletheia,presupposes,ontological,BT-Intro-U2,"Logos as apophansis presupposes aletheia as its condition (§7B, H.33)."
Making-room,Dasein-spatiality,operationalizes,existentiale-structural,BT-D1-U4,"Making-room frees the ready-to-hand for its spatiality (§24, H.111)."
Meaning,Dasein,depends_on,existential,BT-D1-U6,"Meaning is an existentiale of Dasein (§32, H.152)."
Meaning,Projection,depends_on,methodological,BT-D2-U3,"Meaning is the upon-which of projection (§65, H.324)."
Meaning,Understanding,depends_on,existentiale-structural,BT-D1-U6,"Meaning is the upon-which of projection (§32, H.151)."
Moment-of-vision,Making-present,contrasts_with,temporal,BT-D2-U4,"Authentic vs. inauthentic Present (§68a,c)."
Not-yet,Outstanding-remainder,contrasts_with,ontological,BT-D2-U1,"Dasein's not-yet is not an outstanding remainder (§48, H.242–243)."
Now-time,World-time,depends_on,temporal,BT-D2-U6,Now-time is the levelled-off residue of world-time (§81).
Nullity,Projection,explains,existential,BT-D2-U2,"Projection is essentially null (§58, H.285)."
Nullity,Thrownness,explains,existential,BT-D2-U2,"Dasein has not laid its own basis (§58, H.284)."
Obstinacy,Readiness-to-hand,operationalizes,ontological,BT-D1-U2,"Obstinacy reveals presence-at-hand within readiness-to-hand (§16, H.74)."
Obtrusiveness,Readiness-to-hand,operationalizes,ontological,BT-D1-U2,"Obtrusiveness reveals readiness-to-hand through absence (§16, H.73)."
Phenomenology,Ontology,operationalizes,methodological,BT-Intro-U2,"'Only as phenomenology is ontology possible' (§7C, H.35)."
Phenomenon-phenomenological,Being,explains,ontological,BT-Intro-U2,"The phenomenological concept of phenomenon: Being itself as that which is hidden/closest (§7C, H.35–36)."
Place,Involvement,depends_on,existentiale-structural,BT-D1-U4,"Place is defined by belonging-to involvements (§22, H.102–103)."
Pre-ontological-understanding,Dasein,depends_on,existentiale-structural,BT-Intro-U1,"Pre-ontological understanding belongs to Dasein's constitution (§4, H.12–13)."
Presence-Anwesenheit,Being,explains,ontological,BT-Intro-U2,"The tradition interprets Being as ousia/parousia = presence; a specific mode of time (§6, H.25–26)."
Presence-at-hand,Mathematical-knowledge,explains,methodological,BT-D1-U3,"Orientation toward constant presence dictates privileging mathematical cognition (§21, H.95–97)."
Present,Future,depends_on,temporal,BT-D2-U3,"The Present is released from the future (§65, H.327–328)."
Presupposition-of-truth,Thrownness,depends_on,existential,BT-D1-U9,"The presupposition belongs to Dasein's thrownness (§44c, H.228)."
Projection,Thrownness,presupposes,existential,BT-D1-U5,"Projection is always thrown projection (§31, H.144–145)."
Projection,Understanding,operationalizes,existentiale-structural,BT-D1-U5,"Projection is the existential structure of understanding (§31, H.145)."
Publicness,Distantiality,depends_on,existential,BT-D1-U4,"Publicness is constituted by distantiality, averageness, levelling down (§27, H.127)."
Publicness-of-time,Being-with,depends_on,existentiale-structural,BT-D2-U6,Publicness of time arises from Being-with (§79).
Question-of-Being,Being,depends_on,methodological,BT-Intro-U1,The question asks about the meaning of Being; it depends on a prior (pre-ontological) understanding of Being to get started.
Question-of-Being,Dasein,presupposes,methodological,BT-Intro-U1,"Dasein is the entity through which the question must be pursued (§4, H.11–14)."
Readiness-to-hand,Presence-at-hand,contrasts_with,ontological,BT-D1-U2,Readiness-to-hand is more primordial than presence-at-hand (§15–16).
Readiness-to-hand,Worldhood,presupposes,ontological,BT-D1-U2,"Readiness-to-hand presupposes worldhood (§18, H.85–86)."
Reality,Being-in-the-world,presupposes,ontological,BT-D1-U9,"The 'external world' problem presupposes a worldless subject (§43a, H.202–206)."
Reality,Care,depends_on,ontological,BT-D1-U9,"Reality is referred back to care (§43c, H.212)."
Reality,Presence-at-hand,is_meaning_of,ontological,BT-D1-U9,"Reality designates the Being of entities present-at-hand (§43b, H.209)."
Reality,Worldhood,presupposes,ontological,BT-D1-U9,"Reality is ontologically conceivable only via worldhood (§43b, H.209)."
Reference,Equipment,explains,ontological,BT-D1-U2,"Reference is the relational structure constitutive of equipment (§15, H.68)."
Region,Place,presupposes,existentiale-structural,BT-D1-U4,"Region is prior to any individual place (§22, H.103)."
Repetition,Fate,operationalizes,existential,BT-D2-U5,"Repetition is fate handing itself down explicitly (§74, H.385–386)."
Repetition,Forgetting,contrasts_with,temporal,BT-D2-U4,Authentic vs. inauthentic having-been (§68a).
Repetition,Having-been-there,depends_on,temporal,BT-D2-U5,"Repetition goes back into possibilities of Da-gewesen (§74, H.385)."
Res-extensa,Readiness-to-hand,contrasts_with,ontological,BT-D1-U3,"Extensio-ontology cannot encounter readiness-to-hand (§21, H.95–98)."
Res-extensa,Substantiality,depends_on,ontological,BT-D1-U3,"Descartes' res extensa rests on unclarified substantiality (§20, H.92–95)."
Res-extensa,Worldhood,contrasts_with,ontological,BT-D1-U3,"Descartes skips over worldhood (§21, H.95)."
Resistance,Disclosedness,presupposes,ontological,BT-D1-U9,"Resistance is possible only through disclosed Being-in-the-world (§43b, H.210–211)."
Resoluteness,Anxiety,depends_on,existential,BT-D2-U2,"Anxiety is constitutive of resoluteness (§60, H.296)."
Resoluteness,Being-guilty,presupposes,existential,BT-D2-U2,"Resoluteness is self-projection upon Being-guilty (§60, H.296–297)."
Resoluteness,Being-towards-death,presupposes,existential,BT-D2-U2,Resoluteness without being-towards-death is incomplete (§60).
Resoluteness,Conscience,depends_on,existential,BT-D2-U2,"Resoluteness is the authentic potentiality attested in conscience (§60, H.295–297)."
Resoluteness,Disclosedness,refines,existentiale-structural,BT-D2-U2,"Resoluteness is authentic disclosedness (§60, H.296–297)."
Reticence,Keeping-silent,refines,existentiale-structural,BT-D2-U2,"Reticence refines keeping silent (§60, H.296)."
Sciences,Being,presupposes,ontological,BT-Intro-U1,"Each science operates with fundamental concepts that presuppose an understanding of Being (§3, H.8–11)."
Self-constancy,Anticipatory-Resoluteness,depends_on,existential,BT-D2-U3,"Self-constancy signifies anticipatory resoluteness (§64, H.322)."
Selfhood,Care,depends_on,existentiale-structural,BT-D2-U3,"Existentiality as constitutive for care provides Self-constancy (§64, H.322–323)."
