source_claim,relation,edge_domain,target,note,location
DISS-03-C039,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 96,"Deliberation as seeking the telos of a doxa","line 55"
DISS-03-C040,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433a13-15,"Speculative thought moves nothing; practical calculates means","line 57"
DISS-03-C040,grounds,architectural,DISS-03-C041,"Speculative case terminates at A3; chain does not continue to M3→A4","line 59"
DISS-03-C041,depends_on,architectural,DISS-03-C040,"A3-as-terminus vs A3-as-unmoved-originator depends on speculative vs practical case","line 59"
DISS-03-C042,needs-citation,citation,SECONDARY-LOCUS:Papachristou 2013 three-grades,"User flagged \inlinenote{have to cite/quote papacrhistoou three grades} at line 61","line 61"
DISS-03-C043,grounds,architectural,DISS-03-C044,"Three modes are analytical descriptions of a single rational cognitive apparatus","line 65"
DISS-03-C044,needs-citation,citation,HEIDEGGER-LOCUS:Zeitlichkeit ecstases-of-time,"User flagged \hl{(CITE)} for the Heidegger-ecstases-mapping at line 65","line 65"
DISS-03-C045,grounds,architectural,DISS-03-C046,"Multiple modes may operate simultaneously on the same phantasma","line 67"
DISS-03-C046,depends_on,structural,DISS-03-C047,"M2→M3 vs M2→A3 numbering at line 67 — user self-flagged \hl{(double check numbering)}","line 67"
DISS-03-C047,grounds,architectural,DISS-03-C048,"Doxa as orthogonal committal dimension follows from non-committal character of the three modes","lines 67; 71"
DISS-03-C048,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 427b17-21,"Imagining is in our power; opining is not","line 71"
DISS-03-C048,grounds,architectural,DISS-03-C049,"Doxa is involuntary because answerable to how things are","line 71"
DISS-03-C049,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 93-94,"Phantasia true/false from-without; doxa true/false in-itself","line 75"
DISS-03-C049,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 96,"Doxa's being-able-to-be-true-or-false already contained in formation of the view","line 77"
DISS-03-C050,needs-citation,citation,HEIDEGGER-LOCUS:Expansion needed,"User flagged \hl{(Expand)} at line 77 for phantasia's truthood being added to it","line 77"
DISS-03-C051,grounds,architectural,DISS-03-C052,"Doxa requires belief + conviction + discourse of reason","line 81"
DISS-03-C051,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 428a19-24,"Three conditions on doxa","line 81"
DISS-03-C052,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 101,"Doxa as being-oriented-in-the-world","line 79"
DISS-03-C052,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 93,"Doxa as yes-saying / having a view already","line 79"
DISS-03-C053,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 428b2-9,"Sun-passage: phantasma persists against the doxa","line 83"
DISS-03-C053,grounds,architectural,DISS-03-C054,"Sun-phenomenology proves doxa-phantasia ontological distinctness","line 83"
DISS-03-C054,grounds,architectural,DISS-03-C055,"Doxa is the assertoric act on the phantasma; phantasma is not the bearer of truth-value","line 83"
DISS-03-C055,depends_on,architectural,DISS-03-C002,"Taking-as / taking-as-true-or-false bifurcation depends on phantasma-as-substrate","line 87"
DISS-03-C055,grounds,architectural,DISS-03-C100,"Pre-propositional / propositional bifurcation is THE load-bearing architecture for §1.4 emotion-mechanism","lines 87; 93; 100; 114"
DISS-03-C056,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 428b11; 429a1-2,"Phantasia is the kinesis from actual sense","line 89"
DISS-03-C057,grounds,architectural,DISS-03-C058,"Phantasia's taking-as is pre-propositional; brutes navigate without logos","line 91"
DISS-03-C057,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.11 434a5-10; III.3 428a19-24,"Brute has imagination, navigates","line 91"
DISS-03-C058,contrasts_with,architectural,DISS-03-C059,"Phantasia's taking-as is not yet doxa's propositional taking-as-true","line 93"
DISS-03-C059,cites-as-support,citation,ARISTOTLE-LOCUS:MA 701a32-33,"Simple appetitive case: doxa not engaged for rational animal","line 93"
DISS-03-C059,grounds,architectural,DISS-03-C060,"Doxa's propositional ratification articulationally concretizes resonant orexis into determinate pathē","line 93"
DISS-03-C060,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 427b21-24,"Merely imagining fearful — unaffected; taking-as-fearful — emotion immediately","line 100"
DISS-03-C060,grounds,architectural,DISS-03-C100,"Propositional taking-as-true mobilizes generic resonant orexis into determinate pathē; bridges to §1.4","line 100"
DISS-03-C061,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 428b2-4,"Sun-phantasma persists against truth-bearing doxa","line 95"
DISS-03-C062,cites-as-support,citation,SECONDARY-LOCUS:O'Gorman 2005 p.25,"Through phantasia opinion makes judgments about appearances","line 98"
DISS-03-C063,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.11 434a10-11,"Imagination not based on inference; opinion involves imagination","line 98"
DISS-03-C064,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.3 414b4-6,"Resonant orexis co-given with perception","line 100"
DISS-03-C065,grounds,architectural,DISS-03-C066,"Doxa as orthogonal cuts across all three orientational modes","line 104"
DISS-03-C066,depends_on,architectural,DISS-03-C065,"Orthogonality preserves autonomy of phantasia from doxa","line 104"
DISS-03-C067,cites-as-support,citation,SECONDARY-LOCUS:Burke RoM 52,"Rhetoric proves opposites","line 108"
DISS-03-C067,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 110,"Rhetoric has its sight on krisis","line 108"
DISS-03-C067,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 95,"Views are cultivated, renewed, established, hardened in speaking","line 108"
DISS-03-C068,extends,architectural,DISS-03-C066,"Orthogonality of doxa is a condition of the possibility of rhetoric","line 108"
DISS-03-C069,grounds,architectural,DISS-03-C070,"A3 architecture is multi-dimensional achievement","lines 112; 117"
DISS-03-C070,grounds,architectural,DISS-03-C071,"A3 is constitutive; A3→A4 is operative","line 117"
DISS-03-C071,depends_on,architectural,DISS-03-C040,"A3 as unmoved originator of M3→A4 is conditional on disclosing a realizable good","line 117"
DISS-03-C072,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433a13-15,"Speculative thought moves nothing","line 117"
DISS-03-C072,cites-as-support,citation,ARISTOTLE-LOCUS:Physics 15-17 (251a-),"Nature as principle of being-moved","line 117"
DISS-03-C073,extends,interpretive,DISS-03-C055,"Refined formulation: phantasia as bodily-disclosive making-present","line 121"
DISS-03-C074,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 124 (krisis-doxa),"Heidegger reads doxa through krisis","line 123 (inlinenote)"
DISS-03-C075,needs-citation,citation,COINED-TERM:resonant orexis x15 cross-section drift check,"Highest-density site in dissertation; verify uniformity with §1.4","throughout"
DISS-03-C076,inconsistent-with,structural,DISS-03-C026,"Line 31 quadruples the count to four orientational modes vs line 29's three modes + orthogonal","lines 29; 31"
DISS-03-C077,needs-citation,citation,ARISTOTLE-LOCUS:DA III.3 14-15,"Phantasia not without sensation","line 37"
DISS-03-C078,grounds,architectural,DISS-03-C079,"Speculative phantasia is movement as thinking-through-phantasmata not as action-toward-good","line 57"
DISS-03-C079,refines,terminological,DISS-03-C040,"Atemporal-contemplative is the temporal orientation of speculative phantasia","line 57"
