source,relation,edge_domain,target,note,chapters
fourfold,depends_on,ontological,withdrawal,"The fourfold is never given entirely in presence; earth is the hidden building bearer that withdraws","Ch7;Ch8"
fourfold,historicizes,genealogical,chora,"Neolithic geometric forms and chora overlap with the fourfold's ancestral legacy","Ch7"
thing/gathering,exemplifies,ontological,nonhuman agency,"Things are not mere objects but participants in rhetoric; speed bump Berlin Key EV1 demonstrate material persuasion","Ch6;Ch7;Ch8"
thing/gathering,operationalizes,ontological,dwelling,"Things are knit into our way of making a home; we are the be-thinged the conditioned ones","Ch7"
nonhuman agency,supports,ontological,ambient rhetoric,"Distributed agency across human and nonhuman actants is constitutive of ambient rhetoric","Ch2;Ch3;Ch6;Ch8"
nonhuman agency,contrasts_with,ontological,subjectivity,"Nonhuman agency dissolves the autonomous willing subject","Ch2;Ch3;Ch6"
embodiment,supports,ontological,invention,"Minds are composites of intellect body information and material scaffoldings; invention is emplaced","Ch1;Ch2"
embodiment,supports,methodological,ambient rhetoric,"Clark/Dourish provide empirical evidence for cognition extending beyond the skull","Intro;Ch2;Ch3"
worldliness,presupposes,ontological,disclosure,"Being-in-the-world is the ground from which disclosure operates","Intro;Ch5"
worldliness,explains,ontological,attunement,"Stimmung arises from Being-in-the-world as a mode of such being","Intro;Ch4;Ch5"
withdrawal,supports,ontological,dwelling,"Withdrawing is also a form of supporting; it is the repletion of all that is","Ch7;Ch8"
withdrawal,explains,ontological,thing/gathering,"Objects withdraw from every relation; Harman's grand dark abundance exceeds human access","Ch6;Ch7"
periechon,refines,genealogical,ambience,"Periechon as that which surrounds is the ancient Greek precursor to ambience","Intro;Ch1;Conc"
technics,exemplifies,ontological,disclosure,"Technology discloses how we are in the world; Eno ambientROOM EV1 all disclose ambient conditions","Ch1;Ch3;Ch4;Ch8"
technics,contrasts_with,ontological,dwelling,"Technological solutions risk entrenching enframing rather than transforming dwelling","Ch8;Conc"
sufficiency,contrasts_with,ontological,efficiency,"Sufficiency as ontological attunement vs efficiency as ambient logic of modernity","Ch8"
sufficiency,depends_on,ontological,dwelling,"Sufficiency can only take hold when abstracted from already ongoing dwelling","Ch8"
assemblage,refines,ontological,networks,"Bennett replaces Latour's network with assemblage: historical contingent groupings with uneven power","Ch6"
assemblage,supports,ontological,nonhuman agency,"The 2003 blackout shows human activity alone cannot account for what happened","Ch6"
kairos,supports,ontological,chora,"Both are classical concepts Rickert recovers to disclose ambient dimensions suppressed by humanist tradition","Ch1;Ch2;Conc"
ambient music,exemplifies,practice,ambient rhetoric,"Eno's compositional method produces music as emergent phenomenon; disperses the locus of creation","Ch3;Ch4"
ambient music,exemplifies,ontological,emergence,"Tape-loop composition environmental incorporation demonstrate emergent phenomena beyond individual control","Ch3;Ch4"
emergence,supports,ontological,ambient rhetoric,"Music writing art information environments all produce meaning as emergent phenomena","Ch3;Ch4"
Latour (Dingpolitik),contrasts_with,political,dwelling,"Latour's representationalist parliament sneaks humanism back in; dwelling already gives rise to Dingpolitik","Ch7;Ch8"
Latour (actants),supports,ontological,nonhuman agency,"Speed bump Berlin Key gun-citizen assemblage demonstrate material persuasion","Ch6"
Harman (OOO),explains,ontological,withdrawal,"Tool-being analysis grounds the concept of withdrawal: objects harbor grand dark abundance","Ch6"
Burke (symbolic action),contrasts_with,ontological,Heidegger (language),"Burke grounds language in human symbolicity; Heidegger locates language in ecological disclosure of being","Ch5"
Burke (symbolic action),supports,rhetorical,ambient rhetoric,"Burke's nonverbal persuasion already gestures toward ambient rhetoric","Ch5"
preparatory rhetoric,operationalizes,rhetorical,ambient rhetoric,"Preparatory work lays groundwork for disclosure and transformed dwelling; the book itself is only preparatory","Ch8;Conc"
terroir,exemplifies,ontological,ecology,"Terroir as material-social-hermeneutic ecology","Preface;Conc"
Earthrise,exemplifies,ontological,ambient rhetoric,"Paradigmatic instance: a material thing that transforms dwelling","Ch6"
Earthrise,operationalizes,ontological,thing/gathering,"Earthrise as a thing that gathers concerns and transforms dwelling","Ch6"
play,explains,ontological,disclosure,"Play is the whirl of being-in-the-world; the emergent disclosive activities to which the world gives rise","Conc"
Barad (agential realism),supports,ontological,disclosure,"No unambiguous differentiation between object and agencies of observation; disclosure is itself ontological","Conc"
