source_id,relation,target_id,domain,evidence_page,contributor,note
Aristotle-Cydias-Samos,instances-in-text,negative-affordance-rhetorical,classical-rhetoric,103,Gross,Aristotle already doing affordance theory
US-03-RADCLIFFE-S2,cites,Bitzer-rhetorical-situation-1968,rhetorical-theory,103,Gross,Exigence/audience/constraints rehabilitated as proto-affordance
Bitzer-rhetorical-situation,instances-in-text,Mario-Savio-Jack-Weinberg-1964,rhetorical-theory,103,Gross,FSM event as Bitzer-diagram concrete
US-03-RADCLIFFE-S2,defines,cop-car-roof-affordance,rhetorical-theory,104,Gross,Climb-up-able invariant; speak-from-able historically fixed
cop-car-roof-affordance,instances-in-text,Mario-Savio-1964,rhetorical-theory,104,Gross,Oct 1 1964 UC Berkeley
cop-car-roof-affordance,bridges-to-pipeline,Rickert-Ambient-Rhetoric-attunement,rhetorical-theory,105,Gross,Cultural attunement-fact in Rickert's sense
US-03-RADCLIFFE-S2,defines,cultural-vs-social-affordance-distinction,rhetorical-theory,105,Gross,Communication-structural vs organizational-structural
cultural-affordance,cites,Kitayama-Mesquita-Karasawa-2006,social-psychology,105,Gross,Note 20
social-affordance,cites,Kaufman-Clement-2007,social-psychology,105,Gross,Note 21
US-03-RADCLIFFE-S2,cites,Koffka-Principles-of-Gestalt-Psychology-1935,Gestalt-psychology,104,Gross,Fruit/water/thunder/woman quotation
US-03-RADCLIFFE-S2,cites,Lewin-Dynamic-Theory-Personality-1935,Gestalt-psychology,105,Gross,Aufforderungscharakter genealogy
Lewin-1935,glosses-german,Aufforderungscharakter-valence,Gestalt-psychology,105,Gross,Brown 1929 / Adams 1931 translations
Lewin-1935,glosses-german,Umweltkrafte,Gestalt-psychology,105,Gross,Fields of force
Lewin-1935,glosses-german,Umstrukturierung,Gestalt-psychology,105,Gross,Transformation of total field
Lewin-1935,glosses-german,Aus-dem-Felde-Gehen,Gestalt-psychology,105,Gross,Embarrassment-then-withdrawal
Lewin-1935,defines,hopeless-situation,Gestalt-psychology,106,Gross,Child contracts; encysts the self; p.94
Lewin-1935,cites,Uexkull-biological-environment,biology,105,Gross,Lewin 1935 p.77
US-03-RADCLIFFE-S2,cites,Rietveld-Mind-117-2008,philosophy-of-mind,106,Gross,Expert-craftsman responsiveness; affordance affective dimension
Rietveld,cites,Wittgenstein-Lectures-on-Aesthetics-1938,aesthetics,106,Gross,Discontent/disgust/discomfort
US-03-RADCLIFFE-S2,defines,hostile-workplace-legal-category,jurisprudence,108,Gross,AT&T Kansas City Muslim-employee $5M case
hostile-workplace,cross-discipline-bridges,hostile-environment,jurisprudence,108,Gross,Legal-affordance intermediate between species-danger and rhetorical-hostility
US-03-RADCLIFFE-S2,qualifies,Gibsonian-monism,philosophy-of-perception,107,Gross,Monism honored but Shannon-Weaver communication theory critiqued
US-03-RADCLIFFE-S2,contests,Gibson-language-as-different-knowledge,philosophy-of-perception,107,Gross,Mind/body dualism back-door via Fig 3.1 Shannon-Weaver
US-03-RADCLIFFE-S2,cites,David-Herman-Re-Minding-Modernism,cognitive-narratology,111,Gross,Note 30 thanks Brendan Shapiro
Herman-2011,defines,Radcliffe-as-Umwelt-researcher,cognitive-narratology,111,Gross,Bridge between Gibson and literary studies
US-03-RADCLIFFE-S3,re-reads-author,Radcliffe-Romance-of-the-Forest-1791,literary-history,112,Gross,Title is OF not IN the forest
US-03-RADCLIFFE-S3,cites,Walpole-Mysterious-Mother-1768-epigraph,literary-history,113,Gross,'What a kind of being is circumstance' as nutshell
US-03-RADCLIFFE-S3,cites,Constable-Netley-Abbey-c1833,art-history,112,Gross,Fig 3.2
US-03-RADCLIFFE-S3,cites,Gilpin-Observations-1788,aesthetics,113,Gross,Picturesque ruined abbeys naturalized
US-03-RADCLIFFE-S3,instances-in-text,abbey-arrival-La-Motte,literary-rhetorical,113,Gross,Radcliffe pp.14-15
abbey-arrival-La-Motte,defines,mutuality-of-animal-and-environment,philosophy-of-perception,114,Gross,Birds-of-prey/giant-snails counterfactual
US-03-RADCLIFFE-S3,instances-in-text,Adeline-overlooker-p34,literary-rhetorical,114,Gross,Domestic asylum / admirable exactness
US-03-RADCLIFFE-S3,defines,asylum-ironic,literary-rhetorical,116,Gross,Granted by powers that be; never absolute
asylum-ironic,instances-in-text,Marquis-honorable-asylum-p125,literary-rhetorical,116,Gross,Promise=threat paradigm
US-03-RADCLIFFE-S3,defines,self-deception-Gothic-epistemic,literary-rhetorical,116,Gross,'Let me still be deceived' p.150
US-03-RADCLIFFE-S3,contests,Walter-Scott-supernatural-explained,literary-criticism,117,Gross,Scott Lives of Novelists 1825 pp.220-221
US-03-RADCLIFFE-S3,defines,supernatural-as-spectral,literary-rhetorical,118,Gross,Slips through fingers / evades glances / just out of earshot
US-03-RADCLIFFE-S3,defines,paradiastole-Radcliffe-signature,classical-rhetoric,119,Gross,'Care or rather neglect' p.12; 'denounce and terrify' p.36
paradiastole,cites,Austin-perlocutionary-illocutionary,philosophy-of-language,119,Gross,Translation of Gibson's direct/indirect into rhetorical
US-03-RADCLIFFE-S3,instances-in-text,Peter-Aus-dem-Felde-Gehen,literary-rhetorical,120,Gross,Domestics' retreat from world that matters
US-03-RADCLIFFE-S3,instances-in-text,Marquis-political-economy-of-emotion,literary-rhetorical,120,Gross,Hope-fear vectors with Marquis in middle
US-03-RADCLIFFE-S3,instances-in-text,Madame-La-Motte-Umweltkrafte-p210,literary-rhetorical,120,Gross,Territory affords shelter AND empowers betrayal
US-03-RADCLIFFE-S3,instances-in-text,surgeon-idealized-knowledge,literary-rhetorical,116,Gross,'My mind is not of that frivolous kind' p.186 botched Theodore
US-03-RADCLIFFE-S3,cites,Adeline-prayer-p22,literary-rhetorical,121,Gross,'Father of good' / 'great Author of Nature'
US-03-RADCLIFFE-S3,cites,Shakespeare-As-You-Like-It-II-1-3-7,literary-history,121,Gross,Radcliffe ch.3 epigraph penalty-of-Adam
US-03-RADCLIFFE-S3,cites,Burnet-Telluris-Theoria-Sacra-1694,theology,121,Gross,Chloe Chard's editorial note p.390n265
US-03-RADCLIFFE-S3,instances-in-text,La-Luc-theo-geology,literary-rhetorical,121,Gross,'Call them not the illusions of a visionary brain' p.274
US-03-RADCLIFFE-S3,defines,Umstrukturierung-narrative-resolution,literary-rhetorical,122,Gross,Marquis suicide + king's justice as Lewinian field-transformation
US-03-RADCLIFFE-CONCLUSION,bridges-to-pipeline,Rickert-Ambient-Rhetoric,rhetorical-theory,122,Gross,Ecological concerns find home in literature
US-03-RADCLIFFE-CONCLUSION,bridges-to-pipeline,HR-01-GROSS-rhetorical-ontology-2005,rhetorical-theory,122,Gross,2017 application of 2005 rhetorical-ontology thesis to environment-theory
US-03-RADCLIFFE-CONCLUSION,bridges-to-pipeline,Aristotle-Rhetoric-II-pathe,classical-rhetoric,122,Gross,Aristotelian heritage as conceptual ground floor
US-03-RADCLIFFE-CONCLUSION,bridges-to-pipeline,Uexkull-Foray-Umwelt,biology,111,Gross,Indirect via Lewin + Herman; Radcliffe as literary Umwelt-researcher
US-03-RADCLIFFE-S2,marginal-note,Lupton-Lewis-UCI-collaboration,academic-context,N-A,Gross,Acknowledged collaborators per Phase 0 / Ack
US-03-RADCLIFFE-S1,cites,Fodor-Against-Darwinism-2008,philosophy-of-mind,83,Gross,Pragmatic/rhetorical conclusion
US-03-RADCLIFFE-S1,cites,Kramnick-Against-Literary-Darwinism-2011,literary-theory,87,Gross,Rapprochement with science without consilience
US-03-RADCLIFFE-S2,cites,Burke-Permanence-and-Change-recalcitrance,rhetorical-theory,103,Gross,Note 19 pre-Bitzer recalcitrance
US-03-RADCLIFFE-S2,cites,Merleau-Ponty-Phenomenology-of-Perception,phenomenology,117,Gross,Note 33 Koffka reference; note 35 instability-of-levels
asylum-ironic,instances-in-text,Marquis-de-Montalt,literary-rhetorical,116,Gross,Lawful owner of abbey; emotional-political center
Gothic-sentimental-subgenre,instances-in-text,Walpole-Castle-of-Otranto-1764,literary-history,87,Gross,Implicit Gothic ancestor in genealogy
Gothic-sentimental-subgenre,instances-in-text,Lewis-The-Monk-1796,literary-history,87,Gross,Antonia 'undone' scene
Gothic-sentimental-subgenre,instances-in-text,Radcliffe-Romance-of-the-Forest-1791,literary-history,87,Gross,Genre's exemplary practitioner
