source_claim,relation,edge_domain,target,note,location
DISS-05-C050,depends_on,architectural,DISS-05-C027,"Technē-hexis-as-syllogism-fuel depends on GA 18 p.127 technē quote",line 21
DISS-05-C053,grounds,architectural,DISS-05-C050,"Structural-condition thesis grounds technē-hexis-as-syllogism-fuel",line 21
DISS-05-C055,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 p.127,"Grammatikos passage — T1 quoted",line 21
DISS-05-C055,cites-as-support,citation,ARISTOTLE-LOCUS:NE II.4 1105a22,"NE B 4 grammatikos passage — T1 quoted via Heidegger",line 21
DISS-05-C056,instantiates,kinetic,DISS-05-C002,"Type 2 kinetic roles instantiate DA III.10 schema",line 21
DISS-05-C057,grounds,architectural,DISS-05-C058,"Variable-presence thesis grounds Type-2-vs-Type-3 consolidation",line 21
DISS-05-C058,extends,architectural,DISS-05-C031,"Variable-presence with content-conditional gate extends three-types-tracks-bivalence thesis",line 21
DISS-05-C059,refines,typological,DISS-05-C012,"Type 3 dual-case (spontaneous + virtuously-habituated) refines Type 3 thesis",line 23
DISS-05-C060,refines,kinetic,DISS-05-C016,"Type 3 somatic specificity refines heating/cooling/trembling claim",line 23
DISS-05-C060,needs-citation,citation,ARISTOTLE-LOCUS:DA I.1 403a25-b19,"Boiling of blood paradigm needed",line 23
DISS-05-C062,instantiates,definitional,DISS-05-C061,"Anger-as-desire-to-retaliate instantiates emotion-IS-form-of-desire",line 23
DISS-05-C063,instantiates,definitional,DISS-05-C061,"Fear-as-desire-to-flee instantiates emotion-IS-form-of-desire",line 23
DISS-05-C064,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 427b20-23,"Doxa immediacy + involuntariness — T1 quoted",line 23
DISS-05-C066,refines,architectural,DISS-05-C065,"Involuntariness-as-signature refines pre-deliberative-mobilization",line 23
DISS-05-C068,instantiates,kinetic,DISS-05-C002,"Type 3 kinetic roles instantiate DA III.10 schema",line 23
DISS-05-C070,extends,architectural,DISS-05-C031,"Praxis-hexeis as sedimented dispositions extends three-types-tracks-bivalence thesis",line 25
DISS-05-C070,awaits-perplexity-resolution,citation,Perplexity:Sherman-1989-character-hexis,"Sherman not in corpus; Perplexity for verbatim",line 25
DISS-05-C071,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 p.125,"Hexis as how of pathos — T1 quoted",line 25
DISS-05-C072,cites-as-support,citation,ARISTOTLE-LOCUS:Met. Δ 12 1019a15,"Hexis as dynamis active-and-passive — T2 cited",line 25
DISS-05-C073,extends,Heideggerian,SZ-§29-Befindlichkeit,"Co-originality extends to SZ §29 Befindlichkeit-as-co-original",line 25
DISS-05-C074,extends,architectural,DISS-05-C031,"Aretē-as-praxis-hexis with virtue-pathos pairings extends three-types-tracks-bivalence",line 25
DISS-05-C074,cites-as-support,citation,ARISTOTLE-LOCUS:NE II.6 1106b36,"Phronimos as standard for aretē — T1 quoted",line 25
DISS-05-C074,needs-citation,citation,ARISTOTLE-LOCUS:NE III.7 + IV.3 + IV.9,"Courage/magnanimity/modesty NE loci needed",line 25
DISS-05-C075,cites-as-support,citation,ARISTOTLE-LOCUS:NE III.7 1115b7-13,"Brave person fears the genuinely fearsome — T1 cited",line 25
DISS-05-C076,extends,architectural,DISS-05-C070,"Two-modulation thesis extends praxis-hexeis-as-sedimented",line 25
DISS-05-C080,needs-citation,citation,ARISTOTLE-LOCUS:Rhet. II.12-17,"Ēthos analysis needs Bekker support",line 25
DISS-05-C081,inconsistent-with,architectural,DISS-04-EMOTION-HEXIS-TREATMENT,"Verify consistency with §1.4 hexis-bivalence treatment per Special Instruction (f)",line 25
DISS-05-C084,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 429a1-2,"Phantasia as movement resulting from perception — T1 quoted",line 27
DISS-05-C085,extends,architectural,DISS-05-C083,"Tri-modal phantasia thesis extends four-elements articulation",line 27
DISS-05-C085,awaits-corpus-resolution,citation,corpus/download/Papachristou-2013,"Three-grades-of-phantasia paper in corpus/download",line 27
DISS-05-C086,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. I.11 1370a28-30,"Man who remembers/hopes — T1 quoted",line 27
DISS-05-C088,extends,Heideggerian,DISS-05-C087,"Doxa-operates-on-phantasma; doxa-ratifies-taking-as extends Heideggerian SZ §32-33",line 27
DISS-05-C091,instantiates,rhetorical,DISS-05-C083,"Four-part climactic gradatio rhetorically instantiates four-elements articulation",line 27
DISS-05-C093,extends,architectural,DISS-05-C092,"Recursivity thesis extends chain-closes-but-not-stops opener",line 29
DISS-05-C095,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §65,"Temporality of care for recursivity-as-hexis-formation",line 29
DISS-05-C096,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.1 1378a24,"How-we-find-ourselves threefold — T1 quoted (verify 1378a24 vs 1378a20-22)",line 29
DISS-05-C096,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §29,"Befindlichkeit-as-proto-form — T2 cited",line 29
DISS-05-C098,inconsistent-with,structural,UPSTREAM-UNDERDEV,"'Chain analysis is complete' overreach given §§1.0-1.3 under-development",line 29
DISS-05-C001,relocate-to,structural,DISS-05-A4-MIGRATION-PATCH-LINE-1,"Heading M_3 → M_4 → M_3 → A_4",line 1
DISS-05-C003,relocate-to,structural,DISS-05-A4-MIGRATION-PATCH-LINE-3,"Body M_3 → M_4 → M_3 → A_4 at line 3",line 3
DISS-05-C013,relocate-to,structural,DISS-05-A4-MIGRATION-PATCH-LINE-5,"Body M_3 → M_4 → M_3 → A_4 at line 5 (first occurrence)",line 5
DISS-05-C016,relocate-to,structural,DISS-05-A4-MIGRATION-PATCH-LINE-5b,"Body M_3 → M_4 → M_3 → A_4 at line 5 (second occurrence — heating/cooling moments)",line 5
DISS-05-C060,relocate-to,structural,DISS-05-A4-MIGRATION-PATCH-LINE-23,"Body M_3 → M_4 → M_3 → A_4 at line 23",line 23
DISS-05-C015,relocate-to,structural,DISS-05-A4-CROSSREF-PATCH-LINE-5,"Self-reference '§1.5' likely intends '§1.4' or under-old-numbering subsection",line 5
DISS-05-C033,relocate-to,structural,DISS-05-A4-FORMULA-PATCH-LINE-9,"'A_0 → A_1 → orexis → action' formula non-standard; align with §1.0 diagram convention",line 9
