edge_id,source_id,source_label,relation,target_id,target_label,domain,tier,page_anchor,provenance,note
ig04-e015,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_max_payne,Max Payne (Rockstar Toronto 2001),game-studies,2,65-66,calleja-exegetical,Bullet-time-fantasy-realization paradigm (Figure 4.4)
ig04-e016,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_mirrors_edge,Mirror's Edge (DICE 2008),game-studies,1,68-69,calleja-exegetical,Continuity-of-movement paradigm (Figure 4.5); parkour inspiration
ig04-e017,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_red_orchestra,Red Orchestra (Tripwire 2006),game-studies,2,70,calleja-exegetical,Disposition-to-act paradigm; sniper as kinesthetically involved via anticipation
ig04-e018,control_continuum,Symbolic-mimetic-symbiotic continuum,instances-in-text,symbolic_control,Symbolic control,game-studies,1,63,calleja-exegetical,Keys buttons thumb sticks no mimetic mapping
ig04-e019,control_continuum,Symbolic-mimetic-symbiotic continuum,instances-in-text,mimetic_control,Mimetic control,game-studies,1,63-64,calleja-exegetical,Partial body-mapping (Wii Sports tennis steering wheels light guns)
ig04-e020,control_continuum,Symbolic-mimetic-symbiotic continuum,instances-in-text,symbiotic_control,Symbiotic control,game-studies,1,63-64,calleja-exegetical,Full body-capture (Kinect)
ig04-e021,internalization_quan,Internalization of controls,cites,player_as_extension,Player-as-extension framing (Morris 2002),game-studies,1,68,calleja-exegetical,Morris is the chapter's only academic anchor for the kinesthetic-pleasure thesis
ig04-e022,kinesthetic_pleasure,Kinesthetic pleasure,defines,internalization_quan,Internalization of controls,game-studies,1,66-69,calleja-exegetical,The pleasure peak: disappearance of mediation
ig04-e023,kinesthetic_pleasure,Kinesthetic pleasure,instances-in-text,bullet_time_fantasy,Bullet-time / fantasy of movement,game-studies,2,65-66,calleja-exegetical,Cinema-imported internal imagery externalized onscreen
ig04-e024,double_awareness_third_person,Double awareness third-person,qualifies,avatar_control,Avatar control,game-studies,2,66-67,calleja-exegetical,First-person collapses perception to mineness; third-person requires re-anchoring
ig04-e025,kinesthetic_involvement,Kinesthetic involvement,contests,ergodic_vs_mimetic_experience,Ergodic-vs-mimetic kinesthetic experience,game-studies,1,69-70,calleja-exegetical,Calleja contra Swalwell 2008 — onlookers extrinsic to agency-circuit
ig04-e026,kinesthetic_involvement,Kinesthetic involvement,defines,disposition_to_act,Disposition to act / anticipatory readiness,game-studies,1,70,calleja-exegetical,Red Orchestra sniper passage; readiness not realized input
ig04-e027,kinesthetic_involvement,Kinesthetic involvement,defines,movement_as_foundational,Movement as foundational across PIM,game-studies,1,71-72,calleja-exegetical,Closing coda: other dimensions depend on basic kinesthetic fluency
ig04-e028,kinesthetic_involvement,Kinesthetic involvement,maps-to-pentad-term,burke_agency,Burke: Agency,augmentation-burke,1,55-72,anticipatory-projection (dissertation),Whole expository thrust structurally aligned with Burke's Agency pentad-term; cleanest mapping in volume
ig04-e029,player_as_extension,Player-as-extension framing (Morris),maps-to-pentad-term,burke_consubstantiation,Burke: consubstantiation / identification,augmentation-burke,2,68,anticipatory-projection (dissertation),Player-as-extension parallels rhetorical figure of actor-and-instrument-one-substance
ig04-e030,control_continuum,Symbolic-mimetic-symbiotic continuum,maps-to-pentad-term,burke_agency,Burke: Agency,augmentation-burke,2,63-65,anticipatory-projection (dissertation),Trichotomy as a typology of Agency in pentadal sense
ig04-e031,internalization_quan,Internalization of controls,maps-to-uexkull-construct,uex_funktionskreis,Uexküll: Funktionskreis,augmentation-uexkull,1,66-68,anticipatory-projection (dissertation),Player-avatar feedback loop structurally identical to perception-action functional cycle
ig04-e032,control_continuum,Symbolic-mimetic-symbiotic continuum,maps-to-uexkull-construct,uex_merkorgan_wirkorgan_coupling,Uexküll: Merkorgan-Wirkorgan coupling tightness,augmentation-uexkull,1,63-65,anticipatory-projection (dissertation),Trichotomy reread as variable tightness of perception-effect organ coupling
ig04-e033,affordances_for_movement,Affordances for movement (generic non-Gibson),maps-to-uexkull-construct,uex_funktionskreis,Uexküll: Funktionskreis,augmentation-uexkull,3,69,anticipatory-projection (dissertation),Gibson-mediation hypothesis FALSIFIED — direct Uexküll mapping only; thin affordance-talk
ig04-e034,disposition_to_act,Disposition to act,awaits-ontological-grounding-in,onto_dunamis_hexis_bowin,Aristotelian dunamis-hexis via Bowin AMT,augmentation-onto,1,70,anticipatory-projection (dissertation),Red Orchestra sniper as paradigm of readiness-to-act; STRONGEST chapter for this anchor
ig04-e035,kinesthetic_pleasure,Kinesthetic pleasure,awaits-ontological-grounding-in,onto_aisthesis_kinesis_bowin,Aristotelian aisthesis-kinesis via Bowin AMT,augmentation-onto,1,66-69,anticipatory-projection (dissertation),Continuity-of-motion analysis bridges to Bowin's aisthesis-kinesis treatment
ig04-e036,disposition_to_act,Disposition to act,awaits-ontological-grounding-in,onto_kairos_bcap,Heideggerian kairotic readiness via BCAP,augmentation-onto,1,70,anticipatory-projection (dissertation),Tense-with-anticipation passage bridges to BCAP analyses of kairos
ig04-e037,player_as_extension,Player-as-extension framing (Morris),awaits-ontological-grounding-in,onto_zuhanden_bcap,Heideggerian zuhanden / equipment-totality via BCAP,augmentation-onto,2,68,anticipatory-projection (dissertation),Controls withdrawn into ready-to-hand availability when felt-as-extension
ig04-e038,bullet_time_fantasy,Bullet-time fantasy of movement,bridges-to-pipeline,phantasia_cluster,Phantasia Cluster (Hawhee-Papachristou),augmentation-onto,3,65-66,anticipatory-projection (dissertation),Cinema-imported internal imagery externalized onscreen = phantasia-as-imagistic-projection
ig04-e039,kinesthetic_involvement,Kinesthetic involvement,bridges-to-pipeline,dalton_dissertation,Dalton dissertation virtual-worlds adaptation,augmentation-onto,1,55-72,dissertation-instrument,Trichotomy as measurable design variable; disposition-to-act as temporally extended phenomenological category
ig04-e040,kinesthetic_involvement,Kinesthetic involvement,bridges-to-pipeline,bowin_amt,Bowin AMT pipeline,augmentation-onto,1,55-72,anticipatory-projection (dissertation),TIER-1 strongest in volume per cross-pipeline bridge assessment
