source,relation,target,locus,provenance,note
§23d,glosses-german,GERMAN:Leergelassenheit (refusal of things at hand),p.103 / GA pp.155-56 / pdf 63,faithful,things leave us empty precisely because they are at hand yet refuse themselves
§23d,contests,CLAIM:disappointment is boredom,p.104 / GA pp.156-58 / pdf 64,faithful,where disappointed we withdraw; in boredom we stay and are held in limbo (C19)
§23d,extends,CLAIM:being left empty and being held in limbo are structurally interwoven; limbo is primarily determinative (C20),p.105 / GA pp.158-59 / pdf 64,faithful,dragging time forces things to refuse themselves
§23d,grounds-question,METAPHYSICAL-QUESTION:what is time itself (such that boredom is possible),p.105 / GA pp.158-59 / pdf 64,faithful,boredom possible only because each thing has its time (C21)
STRUCTURAL-MOMENT:Hingehaltenheit,deepens-into,BOREDOM-FORM:profound boredom (entrancement of the threefold horizon),p.105 / GA pp.158-59 / pdf 64,faithful,first-form limbo is the seed of the temporal entrancement deepened in fcm-06
STRUCTURAL-MOMENT:Leergelassenheit,bridges-to-pipeline,CLAIM:King-Salvo low-arousal 'zombie stare' (things abandon us to ourselves),p.103 / GA pp.155-56 / pdf 63,faithful,emptying component maps onto disengaged low-arousal boredom
STRUCTURAL-MOMENT:Hingehaltenheit,bridges-to-pipeline,CLAIM:King-Salvo high-arousal 'searching gaze' (looking for diversion),p.100 / GA pp.150-52 / pdf 63,faithful,holding component maps onto active passing-the-time
TEMPORAL-STRUCTURE:time as too-slow / dragging,interprets-experiment-finding,CLAIM:engaged gaze + reported dragging-time dissociation,p.97 / GA pp.146-47 / pdf 61,faithful,'to be slow and to drag are not the same'; duration decoupled from dragging
CLAIM:looking at the watch is a sign of failed passing-the-time,bridges-to-pipeline,CLAIM:clock-checks / off-task glances as graded boredom marker,p.97 / GA pp.146-47 / pdf 61,faithful,behavioral index of failing Zeitvertreib for eye-tracking protocol
CLAIM:methodological directive — avoid analysis of consciousness,bridges-to-pipeline,CLAIM:self-report may distort the attunement; read off comportment,p.90 / GA pp.135-36 / pdf 58,faithful,caution for introspective boredom instruments
