source,relation,target,locus,provenance,note
episteme,glosses-greek,science,(p.33 / GA pp.49-51 / pdf 28),faithful,"epistasthai = to stand before a matter and know one's way around in it; only in Aristotle does episteme take the decided sense of 'science'."
§10,defines,scholastic disciplines,(p.36 / GA pp.54-55 / pdf 30),faithful,"physis, ethos (ethics) and the logos itself are codified as logic/physics/ethics — the decline of philosophizing proper, in which 'living questioning dies out'."
ethos,glosses-greek,scholastic disciplines,(p.36 / GA pp.54-55 / pdf 30),faithful,"ethos = man's stance/self-conduct (distinct from physis); source of 'ethics,' one of the three scholastic themes."
Sextus Empiricus,cites,Xenocrates,(p.36 / GA pp.54-55 / pdf 30),faithful,"Adversus Mathematicos VII.16 (ed. Bekker 1842): the logic/physics/ethics division was prefigured in Plato and founded by Xenocrates, the Peripatetics, and the Stoics."
§11,defines,ta meta ta physika,(p.38 / GA pp.57-58 / pdf 30),faithful,"First Philosophy fit no discipline ('embarrassment'); filed positionally 'behind physics' — a technical title saying nothing about content."
meta (technical / positional),qualifies,ta meta ta physika,(p.38 / GA pp.58-60 / pdf 30),faithful,"meta = after/behind/post (cf. methodos), purely positional; indicates only the order of the writings."
meta (content / trans),extends,meta (technical / positional),(p.39 / GA pp.58-60 / pdf 31),faithful,"meta shifts via metabole (changeover, Umschlag) to over/beyond (trans): metaphysics = knowledge of the suprasensuous, conceived in terms of content."
§11,defines,the fate of philosophy proper in the West,(p.39 / GA pp.58-60 / pdf 31),faithful,"Heidegger insists the post->trans changeover 'is by no means inconsequential': 'Something essential is decided by it — the fate of philosophy proper in the West'."
§12,defines,traditional concept of metaphysics,(p.41 / GA pp.61-63 / pdf 32),faithful,"Three incongruities asserted: trivialized, intrinsically confused, unproblematic (never lets 'metaphysics' itself become a problem)."
§12,contests,theion,(p.44 / GA pp.66-68 / pdf 33),faithful,"Trivialization (the metaphysical as a higher being merely 'at hand') is 'a complete misinterpretation of the theion which, in Aristotle, is at least left to stand as a problem'."
Thomas Aquinas,interprets-experiment-finding,prote philosophia,(p.46 / GA pp.69-71 / pdf 35),faithful,"§13: Aquinas equates prima philosophia = metaphysica = theologia/scientia divina via the threefold maxime intelligibile (Prooemium to his Aristotle commentary)."
maxime intelligibilia,glosses-greek,scientia regulatrix,(p.47 / GA pp.71-72 / pdf 35),faithful,"The most-knowable (Lat.) divided threefold yields the science governing all others; most intellectual because it deals with the most knowable = most suprasensuous."
transphysica,glosses-greek,traditional concept of metaphysics,(p.48 / GA pp.72-74 / pdf 36),faithful,"Aquinas's transphysica (unum, multa, potentia, actus) found 'in via resolutionis,' lying beyond the sensuous — his term anticipating ontology / metaphysica generalis."
Thomas Aquinas,concedes,prote philosophia,(p.49 / GA pp.74-75 / pdf 36),faithful,"Aquinas holds the three directions together 'in a way essentially determined by faith,' never oriented to the intrinsic problematic — 'covering over the problem'."
Franz Suarez,extends,traditional concept of metaphysics,(p.51 / GA pp.77-78 / pdf 37),faithful,"§14: Suarez (Disputationes metaphysicae, 1597) first develops the metaphysical problem independently/systematically, decisively shaping modern metaphysics and Descartes."
Franz Suarez,contests,Thomas Aquinas,(p.53 / GA pp.80-81 / pdf 38),faithful,"Suarez calls metaphysics 'metaphysica' because it is theology (deals with God), deviating from Aquinas's de ente in communi."
Descartes,extends,Franz Suarez,(p.52 / GA pp.78-80 / pdf 37),faithful,"Descartes (La Fleche; consulted Suarez repeatedly) carries the Suarezian metaphysics into modern philosophy; Meditationes de prima philosophia targets proof of God + immortality of the soul."
modern metaphysics,deepens-into,the fate of philosophy proper in the West,(p.55 / GA pp.83-84 / pdf 39),faithful,"Modern metaphysics demands absolute certainty (mathematical natural science); places the I as 'most secure and unquestioned foundation' — the questioner included only negatively."
§15,defines,metaphysics as the fundamental problem of metaphysics itself,(p.56 / GA pp.85-86 / pdf 39),faithful,"'Metaphysics' is taken over not traditionally but as the title for the question of what metaphysics itself is — inseparable from philosophy, unposable by the sciences about themselves."
metaphysics as the fundamental problem of metaphysics itself,grounds-question,fundamental attunement,(p.57 / GA pp.86-87 / pdf 40),faithful,"The negative result demands action 'within metaphysics': let world/finitude/individuation arise from a fundamental attunement — 'awakening a fundamental attunement of our philosophizing'."
fundamental attunement,bridges-to-pipeline,boredom spine,(p.57 / GA pp.86-87 / pdf 40),faithful,"§15->§16 seam hands directly into Part One's awakening of profound boredom (fcm-03+), the attunement on which the King-Salvo bridge turns."
