source,relation,target,locus,provenance,note
pre-predicative manifestness,grounds-question,logos apophantikos,(p.341 / GA pp.494 / pdf 183),faithful,"§73: the assertion is neither originary nor independent — it only takes apart (legt auseinander) what is already manifest; propositional truth is NOT the fundamental form of truth."
Vermögen / being free for beings,grounds-question,pre-predicative manifestness,(p.340 / GA pp.493 / pdf 182),faithful,"The logos is an ability grounded in being free for beings as such; only where there is freedom is there the binding character and the either/or of truth and falsity."
holding oneself toward something binding,deepens-into,unveiling the being of beings,(p.350 / GA pp.508 / pdf 187),faithful,"Three moments of the originary dimension of the assertion: [1] holding-toward-the-binding, [2] completion (prior forming of the 'as a whole'), [3] unveiling the being of beings."
Vollzug / completion,defines,im Ganzen / 'as a whole',(p.347 / GA pp.504 / pdf 186),faithful,"'The board is badly positioned' speaks out of the lecture theatre as a whole; ordinary understanding 'cannot see the world for beings'."
ontological difference / Sein und Seiendes,grounds-question,manifestness of beings as such as a whole,(p.357 / GA pp.520 / pdf 190),faithful,"§75 nine points: the distinction between being and beings is not made by us but happens to us, 'stands at the commencement of Dasein itself' — the central moment from which the problem of world is comprehended."
Entwurf / projection,defines,Walten der Welt / the prevailing of world,(p.363 / GA pp.527 / pdf 194),faithful,"§76: 'Projection is world-projection. World prevails in and for a letting-prevail that has the character of projecting.'"
Entwurf / projection,deepens-into,holding oneself toward something binding,(p.364 / GA pp.528 / pdf 194),faithful,"Projection originarily unifies the three moments: lets the binding character spring forth, is intrinsically completing (forms an 'as a whole'), and is the irruption into the 'between' in which the 'as' springs forth."
Entwurf / projection,extends,synthesis / diairesis,(p.365 / GA pp.530 / pdf 195),faithful,"Projection is what Aristotle 'necessarily had recourse to': it takes apart (diairesis) in raising away yet turns back to bind together (synthesis), 'intrinsically unit[ing] contradictory things'."
Nietzsche,glosses-german,Walten der Welt / the prevailing of world,(p.366 / GA pp.531 / pdf 195),faithful,"Closing: enthousiasmos as 'the breath of all philosophizing', via Zarathustra's 'intoxicated song' ('The world is deep') 'in which we also experience what the world is'."
Schelling,glosses-german,Entwurf / projection,(p.366 / GA pp.531 / pdf 195),faithful,"Projection borrowed as 'the look into the light of a possible making-possible' (Lichtblick ins Mögliche-Ermöglichende), after the 1809 Freiheitsschrift."
profound boredom,bridges-to-pipeline,King-Salvo boredom stimulus,(p.354 / GA pp.512 / pdf 188),faithful,"§75 lists being-left-empty / held-in-limbo / fulfilled / sustained as ways the 'as a whole' (world) prevails through us — the warrant for treating the lab's boring stimulus as a modulation of manifestness, not a feeling-state."
pre-predicative manifestness,interprets-experiment-finding,EEG/gaze/phenomenological triangulation,(p.341 / GA pp.494 / pdf 183),faithful,"'The assertion only takes apart what is already manifest' demotes measurable report beneath a pre-predicative manifestness — the bridge's surface/depth split that motivates triangulation over self-report."
Entwurf / projection,interprets-experiment-finding,clinical-video surface/depth split,(p.363 / GA pp.527 / pdf 194),faithful,"Projection as the disclosive letting-prevail of world underwrites reading engaged-surface vs disclosed-depth: boredom widens or forecloses the manifestness within which engaged/disengaged behavior shows up."
