edge_id,source,target,relation,locus,contributor,note
US04-E21,Austen-double-negation-Not-no-feelings,Galen-disequilibrium-recipe-model,contests,book p.120,Gross,'Not no feelings to use the double negative Austen found so stylistically congenial.' Double negation as rhetorical-emotional device resisting crass-utilitarian halving.
US04-E22,Elinor-as-skilled-rhetorician-subtle-seducer,Kahneman-interested-negotiator,exemplifies,book p.123,Gross,Elinor extracts gratitude / confronts with lowered-vs-raised expectations / exploits loss aversion. Sense as skilled rhetorical performance.
US04-E23,John-Dashwood-Mrs-Jennings-secondary-characters,Kahneman-Miller-1986-Norm-Theory-phenomenology-of-surprise,exemplifies,book p.124-125 + n.33,Gross,John (S&S p.200-201) and Mrs. Jennings (p.201) establish competing reference points = Kahnemanite norms outside central characters' purview.
US04-E24,Wollstonecraft-1792-equivocal-humiliating-situation,Austen-Dashwood-family-plot,parallels,book p.126 + n.36,Gross,'It is as if Wollstonecraft is describing the Dashwood situation exactly.' Both are skilled negotiators à la Kahneman.
US04-E25,Mrs-John-Dashwood-S&S-p5,Austen-occasion-vs-character-distinction,exemplifies,book p.128 (Austen p.5),Gross,'Mrs John Dashwood had never been a favourite ... had had no opportunity till the present of shewing them with how little attention to the comfort of other people she could act when occasion required it.' Occasion not character.
US04-E26,Knight-Dunlap-1932-fear-or-anger-Both,Barrett-Barsalou-situated-conceptualization,grounds,book p.118 + n.19,Gross,Dunlap AJP 1932: 'I may apprehend my situation primarily as one in which my welfare is threatened. I call my inner responses fear. You say I am angry. Which is correct? The answer may be: Both.'
US04-E27,Kagan-2007-incentive-response-uncertainty,Barrett-Barsalou-catch-trial-methodology,grounds,book p.115-117 + n.14 + n.17,Gross,Kagan's gender-study fearful-male-face longer-judgment problem. Ollinger Shulman Corbetta 2001 catch-trial method addresses Kagan-uncertainty in fMRI.
US04-E28,Schkade-Kahneman-1998-focusing-illusion,Kahneman-rhetoric-of-possibilities,grounds,book p.121-122 + n.27,Gross,'Does Living in California Make People Happy?' Advertisers exploit focusing illusion.
US04-E29,Kahneman-Tversky-loss-aversion,Elinor-S&S-Volume-III-rhetorical-negotiation,exemplifies,book p.123,Gross,Elinor 'has exploited what Kahneman and Tversky famously call loss aversion by presenting herself as the more immediate love object.'
US04-E30,Woloch-Character-Insecurity-S&S-Hegelian-relative-value,Kahneman-reference-point-relativity,parallels,book p.116 + n.15 + book p.126 + n.35,Gross,Woloch 2003 + 2011: 'absolute value no longer inheres within objects.' Hegelian relative-value analog of Kahneman reference-point relativity.
US04-E31,Frede-1996-Aristotle-mixed-feelings-Phileban-remedial,Aristotle-Rhetoric-actual-vocabulary,misreads,n.5,Gross,Frede subsumes Aristotle's temporal-intentional-object innovation to Phileban remedial framework despite admitting Aristotle uses 'mixture' vocabulary nowhere at all (p.268).
US04-E32,Gross-Ch4-cross-disciplinary-method,Gross-2005-Secret-History-of-Emotion,re-reads-author,book p.111 (n.2) + book p.122 (n.32),Gross,Self-citation: Ch.4 of Secret History 'The Politics of Pride in David Hume and David Simple' anchors the post-utilitarian rhetoric-of-economics genealogy.
US04-E33,Gross-Ch4-mixed-feelings-rhetorical-situation,Aristotle-pathē-rhetorical-tradition,cross-discipline-bridges,book p.116 + n.16 + Index 167n16,Gross,Austen-as-Aristotelian Index entry as major cross-pipeline anchor to Aristotle Rhetoric pathē tradition — qualified by Gross's note 16.
US04-E34,Barsalou-Barrett-scan-protocol-mini-narratives,Cicero-Verrine-Orations-vivid-description,cross-discipline-bridges,book p.119 + n.21 (Innocenti 1994 Rhetorica),Gross,Beth Innocenti on Ciceronian vivacity as classical-rhetorical analog for Barsalou-Barrett's experimental mini-narrative immersion protocol.
US04-E35,Gross-Ch4-rhetoric-rediscovered-at-the-heart,Snow-Two-Cultures-Epilogue-thesis,prepares-for,book p.128,Gross,Closing claim: 'No single discipline has a monopoly on how norms are established referentially and measured.' Sets up Epilogue with Preston.
US04-E36,Fauconnier-Turner-2002-conceptual-blending,half-mind-idioms-FEEL-TORN,explains,book p.113 + n.6,Gross,'I FEEL TORN' as conceptual blending Fauconnier-Turner 2002 The Way We Think.
US04-E37,Bentham-circumstances-influencing-sensibility,crass-utilitarianism-strawman,qualifies,book p.121 + n.25 + n.26,Gross,Bentham himself 'deeply interested in circumstances influencing sensibility' (gender education rank) — qualifies the crass-utilitarian model.
US04-E38,Wayne-Booth-Rhetoric-of-Fiction-Emma-reader-implication,Gross-interested-onlookers-include-us,builds-on,n.23,Gross,Booth on how reader is invited to measure distance between character and norm. Gross attributes 'more authorial skepticism about human felicity than either McCloskey or Booth would grant.'
US04-E39,Reddy-1997-Paxtun-ambivalence-nodal-instability,Gross-mixed-feelings-as-negotiated-circumstances,parallels,n.37,Gross,Reddy on intense ambivalence as 'nodal point of instability in a normative emotional style' — historical-ethnographic analog.
US04-E40,Hirschman-1977-Passions-and-the-Interests,Adam-Smith-rhetoric-of-economics,grounds,book p.122 + n.30,Gross,Hirschman's genealogy of capitalism-before-its-triumph anchors behavioral-economics rediscovery of rhetorical economics in Adam Smith.
US04-E41,Barrett-recent-gossip-top-down-visual-Fig4-5,John-Dashwood-Mrs-Jennings-norm-setters,exemplifies,book p.124-125 (Fig 4.5),Gross,Barrett's gossip article: top-down affective information 'influences vision' — experimental analog for secondary characters as Kahnemanite norm-setters.
US04-E42,Gross-Ch4-Austen-as-Aristotelian-qualified,HR-01-GROSS-2005-rhetorical-ontology,cross-discipline-bridges,book p.116 + n.16 + Index 167n16,Gross,Major cross-pipeline anchor: Gross's own 2006 Secret History rhetorical-ontology operative throughout Ch.4 mixed-feelings analysis.
