rcode,term,item,src,text
S25-R040,S25,Q10,E-SHA+KW,"* remote teamwork VR space weekly meetings, to ensure accountability and involvement in course throughout! / / * I would prefer a VR environment as mentioned where everyone meets using avatars at a posted time rather than synchronous zoom lectures. / / * Interactive museum exhibits as opposed to final reports may be more impactful as well, as well as presentations for our innovation lab notebook."
S25-R041,S25,Q6,KW,"Some aspect I would say is like the innovation notebook explanation, like maybe showing an example of how it would look. I would also say the professor meets with the team once every two weeks to see what's going on because my group is pretty good, it's just very poor communication and one-sided type of situations. So maybe with a meeting we can be on the same pace with the work. It felt alot of disconnection."
S25-R042,S25,Q5,KW,The videos from the virtual reality website were interesting to engage with and the group work was very helpful to communicate with and get feedback from peers.
S25-R043,S25,Q10,E-SHA,"I feel like VR programs could be effectively used with online courses so you become more engaged with the content. Also, I feel like having the professor or instructor logged in at the same time, explaining what we're visualizing, would be incredibly helpful."
S25-R047,S25,Q10,E-SHA+KW,"It could help with group projects in making meeting up more easy and effective for everyone; as college students people have differing schedules, so working together or having discussions in a virtual space would make group projects and communication a lot easier."
S25-R053,S25,Q6,KW,"For a class that is asynchronous, it is often hard to get in contact with other classmates, especially if we are given many class assignments. Often it is out of our control on who responds to us in a timely manner and not."
S25-R055,S25,Q10,E-SHA+KW,"A virtual space to work on group projects together seems like a good idea. Also, maybe a virtual space to move around in an operating room or even try to do the procedures yourself could be interesting."
S25-R057,S25,Q10,KW,"VR can greatly enhance education by providing immersive, interactive learning environments that go beyond traditional classroom or online methods. For example, students can perform virtual science experiments in fully equipped labs, explore human anatomy in 3D, or take virtual field trips to historical or remote locations. VR is particularly useful in medical, technical, and language education, where hands-on practice or cultural immersion is essential but difficult to achieve physically. It also enables collaborative learning through shared virtual spaces, allowing remote students to work together in real time. These experiences foster deeper engagement, improve retention, and offer safe, repeatable practice opportunities."
S25-R057,S25,Q9,E-SHA+KW,"To make the VR clinical immersion platform more educationally beneficial, several elements could be added or improved. Adding customizable scenarios tailored to different learning levels and specialties can make the experience more relevant and targeted. And incorporating multi-user collaboration features would encourage teamwork and communication skills essential in clinical settings."
S25-R062,S25,Q10,E-SHA+KW,"I like the virtual classroom idea with avatars, just because it would make students actually pay attention in class as opposed to ignore the zoom all together."
S25-R062,S25,Q5,KW,I think the group work was the most useful because it allowed me to bounce ideas off of my peers.
S25-R063,S25,Q10,E-SHA+KW,I think VR platforms could be useful to engage all types of careers and majors for students to be exposed to the environment they’ll work in or have interest in. For example creating scenarios and how one would respond in a situation through using avatars.
S25-R068,S25,Q10,E-SHA+KW,Meeting up with professionals around the world but in VR because sometimes video presentations with the professional's top half isn't as engaging.
S25-R068,S25,Q5,KW,The aspects I found most useful in this course was actually meeting up with the professor in office hours and discussing the material in order to make sure that I understood the material.
S25-R069,S25,Q5,KW,"I found meeting with the professor the most useful aspect, through zoom."
S25-R072,S25,Q10,KW,"The virtual space to meet up for teamwork was very smart, but my group utilized discord a lot. But as for virtual learning environment, it could be very interesting! I think it would be really cool. Interactive virtual spaces to teach concepts could also be vey cool too. I think it can work - with the right idea. Discord has become very mainstream for school users."
S25-R072,S25,Q6,KW,"I think that the group project definitely makes it difficult. I think if the class was simply just the Innovation Notebooks (identifying unmet needs), and a mini term paper (like a very condensed version of our final project with less stakes), the class could be a bit less stressful. I felt a lot of struggle getting in contact with my team and being able to meet up with them."
S25-R074,S25,Q10,E-SHA+KW,meeting avatars for effective group work would be great for this class as some of us don’t wanna have their cameras on but at the same time that isn’t much of an issue but students just making time to meet up. But I also feel VR would work in email form just to communicate.
S25-R074,S25,Q6,KW,"Just communication, my group was slow at replying and when they did canvas would not work. While we did have access to Discord and private messaging by exchanging #s or our IG handles, the lack of communication issue still persisted. Maybe have students all communicate through Pronto in order for a faster response than having people submit an email."
S25-R078,S25,Q10,KW,Some educational use of VR programs could be effectively used are : / / * virtual classrooms with different characters : this can be a classroom with avatars to interact with there learning and have actively participation in learning and make them more interested in this fund way. This can bring more attention participate in activities. / / * Build your own world : they can design there own world in showing the environmental science or engineering technique to this. It can bring creativity and help with different learning styles to this.
S25-R078,S25,Q5,KW,"One of the most useful aspects of the course was having access to recorded lectures and a variety of resources that helped me better understand the assignments. The videos and quizzes were especially helpful for checking my understanding along the way. I also liked how we had the opportunity to work in groups, as it allowed us to support one another and collaborate when we faced challenges. Additionally exploring the different platforms used throughout the course was great experience it was something new for me and added more engagement with the course."
S25-R079,S25,Q10,KW,"A gamified system could be really effective—where students complete tasks, demonstrate skills, or explore clinic scenarios to earn points. You could even create a PVP (player-vs-player) or team challenge setup where class groups compete in applying knowledge. This would boost engagement, promote collaboration, and make the learning experience more dynamic and fun."
S25-R079,S25,Q6,KW,"Since this course is collaboration-heavy, I think there could be better ways to connect with other students. It’s hard to meet classmates in an online class. The personality test helped a bit, but a scheduled online mixer or networking session early in the course would go a long way in demonstrating the networking aspect and helping us find group members more easily."
W25-R001,W25,Q10,KW,Virtual learning environment where all my classmates are also in the same game
W25-R004,W25,Q10,E-SHA,"Personally, I prefer using platforms I have never been exposed to with a group because everyone is able to share their own opinions and observations that others in the group may have missed. In other words, I would have possibly been able to learn more working on the VR platform and writing the innovation notebook with a group because I could expand my perspectives by getting observations from more people."
W25-R004,W25,Q6,KW,"The VR YouTube videos would tend to be very long. From what I understand, this class is supposed to prepare us for the BME 180 series, but the only knowledge I have about what BME 180 is supposed to be like is from fourth-year students or graduates, but I know some classmates who do not know the information that I know. Therefore, I think it would be helpful to include a unit about BME 180, with possible methods of brainstorming, examples of previous years' projects, and what to expect so that students are more prepared and may even be able to brainstorm ideas with their group before taking that class."
W25-R005,W25,Q6,KW,I feel like it would have been better to have more collaborative assignments besides just the final paper. This would have held us more accountable to work together maybe a bit better and would have yieled perhaps a better solution. I also think more feedback and examples of what was being looked for would be helpful.
W25-R011,W25,Q10,KW,"VR programs can definitely be used for online group meetings. Sometimes being on call removes that human element of interaction with one another. So being able to see an avatar or some sort of character, kind of improves on the human aspect as we are interacting with something rather than staring at a screen."
W25-R014,W25,Q10,KW,Meeting up with other people in the virtual space is an interesting idea but because I didn't actually experience it all I can say is it seems cool in theory.
W25-R017,W25,Q10,KW,I think it would be a great idea to do virtual meet ups with groups. Having users interact in VR would be exciting and engaging.
W25-R024,W25,Q5,KW,"The aspects that I found the most useful was the discord, the youtube videos, and the extra links provided after each topic."
W25-R025,W25,Q10,E-SHA+KW,"It might be cool to have avatars and work in virtual space groups because a lot of people have busy schedules so it would be nice if we could work on stuff in our own space, but still have the feeling that we're not working alone. Like be able to see our group's avatars when they log on and send comments."
W25-R028,W25,Q10,E-SHA,"Beyond the given examples, allowing for some sort of way for multiple people to watch a vr video could benefit teams in having real time discussion on what they may be noticing that other's aren't."
W25-R029,W25,Q10,E-SHA+KW,I think engaging with a group together on the platform can pretty cool and useful so that everyone can see the same thing without having to be with each other.
W25-R030,W25,Q10,KW,"The idea of meeting virtually with avatars would be effective in online learning. It would remind students of playing a game and would be more enjoyable to engage in, especially when compared to a zoom meeting where participation and immersion seem optional."
W25-R030,W25,Q5,E-SHA,I found the lecture videos and the group project learning most useful. The lecture videos contained a lot of information and resources to utilize in our own research. The group project allowed for in depth discussions over unmet needs and class content.
W25-R031,W25,Q10,KW,"I think that online classes where you can meet in a virtual space would be helpful. Texting your group or meeting over the phone can be difficult, but utilizing technology to make it seem like a real in-person meeting would be extremely productive and beneficial for online or hybrid classes."
W25-R032,W25,Q10,KW,Im not sure meeting in VR would be very helpful as it feels very disconnected from meeting in person and my group already doesnt communicate
W25-R035,W25,Q10,E-SHA+KW,"Maybe an interactive surgical platform where a group can work together to dissect/do surgery to further understand what a surgery consists of. I would suggest a 3D surgery like popular YouTube videos on different procedures, but this time it has steps so a group can virtually perform the surgery. Whenever they make a mistake, text would pop up to let them know what went wrong and why is it a problem. I think it would be very useful for addressing unmet needs when students know exactly what a specific surgery needs."
W25-R036,W25,Q5,KW,"I liked that it was easy to contact [instructor] due to her responsiveness in the discord, even though this is an online class. I think the videos staying concise also helped understand what the most important topics to take away from this class."
W25-R038,W25,Q10,KW,"I think VR programs might be effective for discussion classes where we need to converse with a small group of students about something. If we were learning about the human body anatomy, it might be cool to all gather around in a VR platform as a virtual teacher goes about explaining body parts. I think if that it would be effective if there was more interaction with other students or a feeling that I was alongside other students when in the platform, because I found that when I did log in, I was usually alone in the platform so it didn't really make me feel more connected with my peers. I do think a VR platform for education is a cool concept if engagement could be increased!"
W25-R040,W25,Q10,E-SHA+KW,"Simulate the experience of a school field trip through VR. Have groups attend together, exploring a hospital or something related. Going together will encourage discussion."
W25-R043,W25,Q10,E-SHA,I think different buildings or virtual spaces designed for specific things could be neat especially if we could explore with groupmates.
W25-R051,W25,Q10,KW,"It's like what you explained: interactive. That aspect is good for active learning,r rather than just doing reading or things on your own although it may be good for some people, I personally would benefit more from meeting even if it is virtually in a vr setting that allows that immersion."
W25-R053,W25,Q10,E-SHA,"I think the idea that everyone in a VR environment could increase the learning of student because students can talk among themselves to come up with ideas. Sometimes, some details could be missed if we are just watching the VR by ourselves."
W25-R056,W25,Q10,E-SHA+KW,"I think VR would be useful in online school sessions as a sort of replacement to zoom, this would allow online class to still be a thing while increasing community and interactability between classmates."
W25-R057,W25,Q10,KW,"Interactive virtual spaces and demonstrations to teach specific concepts, or interactive museum exhibits, might work for some concepts, but having normal lectures in VR would just be distracting, and would require a lot more computational resources. Similarly, avatars for standard lectures provide marginal improvement over zoom lectures, and have increased potential for distraction, and draw more computational resources, shortening battery life and slowing the computer."
W25-R058,W25,Q10,KW,"A believe in person is better since virtual learning requires everyone in the group to attend together, which can be hard due to different people's schedules."
W25-R060,W25,Q10,E-SHA+KW,"I do think a virtual space where a group can watch the video all at once, and then communicate all without physically meeting up, will help improve group participation. / / I also think by setting up a class google sheet where times are set by each group to enter the VR program/watch the videos, would help improve group participation. Since this is a one-unit, online class, group participation can be hard to do. / /"
W25-R061,W25,Q5,KW,"The discord being very active was the most useful in my opinion, it really felt like if I ever had questions I could get answers quickly and easily."
W25-R066,W25,Q10,KW,"I think using VR to work on an activity like a puzzle building exercise, with pieces of different unmet needs ideas combining together could be decent for a group to work on virtually."
W25-R068,W25,Q10,E-SHA+KW,"I think it could work well for online meeting spaces, in place of the traditional video call."
W25-R068,W25,Q6,KW,"I think it would be helpful if the innovation notebook assignment had smaller progress checkpoints, rather than just having us work on it alone for the whole quarter and turning everything in at the end. There were times when the requirements/expectations for the assignment weren't very clear."
W25-R069,W25,Q10,E-SHA+KW,Meeting with our groups would have been a great use of the VR platform along with maybe a VR program that goes more in detail or visually demonstrates the innovation process of medical devices.
W25-R070,W25,Q10,E-SHA+KW,"I think any time that breakout rooms would be used in zoom would be a good time to apply the VR platform. In my experience, zoom breakout rooms end up mostly silent and videos off except for myself and that is super awkward. I can see avatars being more interactive and people could participate without having to show their face or necessarily speak, especially if they live in a loud environment. / / I like the museum idea, like maybe if we had different virtual work stations where you would watch a video about something, then answer a question or do a task at that station before moving on to the next?"
W25-R071,W25,Q9,E-SHA,I think if there was a way to interact with other users who are online at the same time that would add to it. Watching the videos with other people in the course would make it more engaging and interactive.
W25-R072,W25,Q10,E-SHA,a virtual learning environment where everyone meets more effective remote teamwork and easy to work everywhere.
W25-R073,W25,Q10,E-SHA+KW,I think the virtual learning environment where everyone can meet with the instructor or their peers would help keep things on track.
W25-R073,W25,Q6,KW,"I think the course was well organized, but I think it would benefit from one meeting a week."
W25-R074,W25,Q5,KW,"The Discord and the VR program were especially useful in this course. The VR for the purposes of being able to expand and watch different topics, procedures, and interviews. The Discord was useful for getting any questions asked."
W25-R076,W25,Q9,KW,"I was just unable to download the platform, so I do not think I got as many of the benefits of the VR system as my peers may have."
W25-R079,W25,Q10,KW,"I think VR programs could potentially be useful as a virtual classroom for classes that do not necessarily need an in-person meeting. Another way it could be used to improve learning is as a way to simulate and practice hands-on work, whether that be in an engineering aspect (such as building circuits and assembling machinery) or even in a medical aspect (such as interacting with a virtual patient or performing a virtual operation). I think this would be a good way for students to practice while reducing stress and risks."
W25-R079,W25,Q9,E-SHA,"Potentially including a sort of ""notes"" aspect where teams could share notes within the VR space while watching the videos."
W25-R084,W25,Q10,E-SHA,"maybe arranging private rooms where we can meet virtually and utilize this tech for more than just this class, so students can meet virtually with in any course."
W25-R089,W25,Q6,E-SHA+KW,Having more of a community since it just seemed isolating.
W25-R090,W25,Q10,E-SHA+KW,I think a virtual space where you could meet up in groups for more effective remote teamwork would be useful.
W25-R094,W25,Q10,E-SHA+KW,"I think VR could help medical students practice surgeries safely. It could also allow students to meet in virtual classrooms and work on projects together, which would be really cool."
W25-R097,W25,Q6,E-SHA,"I wish there was an opportunity to interact more with the class, and learn more about actually getting a chance to go to a clinical place, etc."
W25-R097,W25,Q9,E-SHA+KW,more multiuser and collaborative features and cased based simulations.
W25-R098,W25,Q10,E-SHA+KW,"I think a virtual space to meet up for groups is helpful, especially for commuters who aren't at school on certain days or can't make the meeting time. I think VR programs could also be useful for teaching hands-on concepts as it allows students a more immersive experience while also allowing teachers to have a bigger class size."
W25-R098,W25,Q9,KW,I think the avatar should be able to affect the surroundings a bit more. Have it participate in the clinical immersion.
W25-R102,W25,Q10,E-SHA+KW,"Virtual labs can reduce safety risks, eliminate the need for expensive equipment, and allows students to repeat experiments without resource or time constraints. / / Virtual equipment training can offer a realistic, hands-on learning experience without the cost of materials or physical lab space. / / Virtual lectures/discussions can enhances social presence and engagement, making online learning less isolating than Zoom lectures or discussion boards."
W26-R001,W26,Q10,E-SHA,"I think a virtual group will be nice, students could make their own charactors, students who don't know each other may shy to speak in reality, but if there is a virtual image for them, they might have less stress talking to others."
W26-R006,W26,Q10,KW,"VR could be used for medical training, such as practicing surgical procedures / learning anatomy in a 3D environment. It could also be useful for virtual labs, historical simulations, or group learning spaces where students can collaborate in a shared virtual environment."
W26-R008,W26,Q10,KW,I didn't use the VR program but I think having an online space where we could meet up sounds pretty nice and more interactive!
W26-R011,W26,Q10,E-SHA+KW,something that comes in my head is maybe a vr simulation with multiple characters. These people can be in one room together and interact in spaces such as in real life.
W26-R016,W26,Q10,KW,"I think a VR room for virtual group work is a start, allowing us to be more immersed in our work in cases when we can't meet up in person. Additionally, VR can be used for certain lessons that can use a hands-on component, such as learning about different engineering procedures that may not be available on campus."
W26-R021,W26,Q10,E-SHA+KW,Interactive online environments for teamwork would be helpful since meeting in person isn't always convenient and meeting purely through zoom is can be hard to collaborate easily.
W26-R022,W26,Q10,E-SHA+KW,"To be frank, I think the traditional way of learning is the most effective because it is the least gimmicky. However, to answer the question, perhaps the ability to meet up with groups in a virtual reality setting so we can visibly see what each person is working and focusing on."
W26-R023,W26,Q10,E-SHA,"VR programs can be used when students want to learn more about a surgical procedure (during a classroom setting), used during teamwork projects when identifying umnet needs during a surgical procedure, can be used during formal meetings such as introducing students to this new platform, showing surgical videos, or trying to identify solutions."
W26-R034,W26,Q10,KW,"VR could be really useful for learning clinical environments or procedures because it lets you actually see the space and how things are set up. For example, it could be used to explore an operating room or clinic and understand how equipment and staff work together. I think that would be more engaging than just looking at pictures or slides since it gives a better sense of the real environment."
W26-R036,W26,Q6,E-SHA+KW,"A major aspect of this course that could be improved is the work load. As a 1-unit course, the work load is very large and comparable to many 4-unit courses I have taken (with the exception of midterm and final exams for this course). The work load should either be cut down, or the unit value of the course should be increased. Second, I would have benefited more from this class if it were taught in-person. I find it very difficult to remain engaged with virtual instruction, and I had a hard time connecting with my group without ever meeting them face-to-face. They reached out to me in order to begin the group project, and I responded, and I was ghosted until the final few weeks of the quarter where I found myself very behind in the group's work with no knowledge that they were organizing without me."
W26-R037,W26,Q10,E-SHA+KW,It is more effective that it does put you into a VR clinical environment and a cool interactive space. The main pro to the platform is you can watch with others.
W26-R038,W26,Q10,E-SHA+KW,I think it would be really helpful for there to be a virtual space where we could meet up with our group members because everyone has such different schedules that it is much harder to coordinate in-person meetings over online ones.
W26-R044,W26,Q5,KW,"I found the material focusing on issues regarding sustainability in the present society very compelling, sparking interest and discord among many. / / The readings had also been deemed useful in providing insight around real world events regarding issues surrounding sustainability."
W26-R045,W26,Q5,E-SHA,teamwork
W26-R046,W26,Q10,E-SHA+KW,I think it would be great if the virtual space could meet up in groups.
W26-R049,W26,Q10,E-SHA,I can see VR application being useful in online classes that include seminars or online language classes. I think this application could be useful in classes where student conversation in large groups is useful.
W26-R051,W26,Q10,E-SHA,"If I can interact more and be able to create a character look, it would be so fun."
W26-R052,W26,Q10,E-SHA+KW,"VR could be effectively used for group collaboration, allowing students to work together in virtual spaces, and for interactive simulations that teach specific concepts or skills. It could also provide immersive virtual labs, clinical training scenarios, or virtual field trips. VR is more effective than traditional or online methods because it allows hands-on, experiential learning, encourages engagement, and makes abstract or inaccessible content easier to understand."
W26-R052,W26,Q9,E-SHA+KW,"Incorporating a required group meetup within the VR simulation could incentivize more interactive learning, encouraging students to discuss observations, ask questions, and collaborate on problem-solving in real time. This could make the VR component more engaging and educationally effective."
W26-R053,W26,Q10,E-SHA+KW,"I think VR could be especially useful for medical and clinical education, anatomy learning, and team-based simulation training. For example, students could use VR to practice observing surgeries, understanding operating room setup, or learning spatial relationships in anatomy in a more immersive way than a regular lecture or video. It could also be effective for group collaboration in virtual lab or case-study environments where students interact more actively with the material. VR can be more effective than traditional class formats when students need hands-on visualization and engagement, but it works best when combined with clear instruction and explanation."
W26-R056,W26,Q10,E-SHA,"A virtual space for group meetings would be very useful, as I find it to be a step up from Zoom calls for group work."
