source,target,relation,domain,weight,units,evidence
unmoved_mover,kinesis,explains,ontological,0.90,"META-09","The unmoved mover is required because eternal movement requires an eternal actual cause (Lambda.6 1071b4-22)"
unmoved_mover,orexis,operationalizes,teleological,0.85,"META-09","The unmoved mover produces motion by being the object of desire — it moves as beloved (Lambda.7 1072a26-b4)"
unmoved_mover,hyle,contrasts_with,ontological,0.85,"META-09","The unmoved mover must be without matter for it must be eternal and purely actual (Lambda.6 1071b20-22)"
noesis,unmoved_mover,is_meaning_of,ontological,0.90,"META-09","God's actuality is thought; thought thinking itself is the divine life (Lambda.7 1072b14-30; Lambda.9 1074b34)"
noesis_noeseos,noesis,refines,ontological,0.85,"META-09","Divine thought is noesis noeseos noesis — in things without matter thought and object are identical (Lambda.9 1074b34)"
to_agathon,unmoved_mover,supports,teleological,0.80,"META-09","The first mover exists of necessity and insofar as necessary it is good (Lambda.7 1072a35-b1)"
to_agathon,cosmic_order,explains,teleological,0.80,"META-09","The universe contains the good both as separate principle and as order of parts; order depends on the good (Lambda.10 1075a11-25)"
kinesis,chronos,presupposes,temporal,0.80,"META-09","Movement is eternal because time cannot come into being or cease to be (Lambda.6 1071b6-10)"
kyklo_phora,kinesis,refines,ontological,0.80,"META-09","Circular locomotion is the only continuous and eternal kind of movement (Lambda.6 1071b10-11)"
to_hen,to_on,is_meaning_of,ontological,0.85,"META-04,META-08","Unity follows the categories in as many ways as being; to be one is to be a particular thing (Iota.2 1053b9-1054a19)"
enantiosis,steresis,presupposes,ontological,0.80,"META-03,META-08","The primary contrariety is state vs. privation; every contrariety involves privation of one of its terms (Iota.4 1055a33-b29)"
enantiosis,diaphora_eidei,explains,ontological,0.80,"META-08","Difference in species is contrariety in the formula: the differentia making the genus other (Iota.8 1058a7-b25)"
katholou,ousia,contrasts_with,ontological,0.90,"META-06","No universal is substance: substance is peculiar the universal is common; substance is a this the universal a such (Z.xiii 1038b-1039a)"
tode_ti,katholou,contrasts_with,ontological,0.85,"META-05,META-06","Substance indicates a this not a such; the universal always indicates a such (Z.xiii 1039a)"
genos,hyle,operationalizes,ontological,0.75,"META-06","The genus functions as matter relative to the differentia; it does not exist apart from species (Z.xii 1038a)"
diaphora,eidos,refines,ontological,0.80,"META-06","The last differentia is the form and the substance; successive differentiation yields the definition (Z.xii 1038a25)"
horismos,to_ti_en_einai,operationalizes,methodological,0.85,"META-06","Definition is the formula of the essence; it operationalizes the what-it-was-to-be in linguistic form (Z.iv 1030a)"
logos,eidos,supports,methodological,0.80,"META-06","The parts of the formula are parts of the form not of the matter; the formula captures the formal structure (Z.x 1035a)"
dynamis_meta_logou,dynamis_alogos,contrasts_with,ontological,0.80,"META-07","Rational potentialities produce contraries via the rational formula; non-rational produce only one effect (Theta.2 1046a36-b28)"
dynamis_meta_logou,steresis,depends_on,ontological,0.75,"META-07","The rational formula explains contraries because it explains both state and privation (Theta.2 1046b7-15)"
proairesis,dynamis_meta_logou,operationalizes,ontological,0.75,"META-07","Desire or choice determines which contrary a rational potentiality actualizes (Theta.5 1048a8-16)"
thigein,asyntheta,operationalizes,ontological,0.80,"META-07","Truth for incomposites is contact = assertion; non-contact = ignorance not error (Theta.10 1051b17-1052a4)"
energeia,aletheia,supports,ontological,0.80,"META-07","Being in the strictest sense is truth; incomposites exist actually and their truth-mode is contact (Theta.10 1051a34-b2)"
phusis,ousia,is_meaning_of,ontological,0.85,"META-04","Nature in the primary sense IS the substance of things having in themselves a source of movement (Delta.4 1015a11-19)"
aition,arche,refines,methodological,0.75,"META-01,META-04","All causes are archai; the four causes refine the generic notion of beginning into specific modes of explanation (Delta.2 1013a24-b3)"
sophia,aition,depends_on,methodological,0.90,"META-01","Wisdom is defined as knowledge of first causes and principles (Alpha.2 981b28-982b10)"
thaumazein,sophia,explains,psychological,0.75,"META-01","Wonder explains the origin of philosophy: men philosophize because they wonder (Alpha.2 982b11-25)"
ta_mathematika,aphairesis,depends_on,methodological,0.80,"META-10","Mathematical objects exist by abstraction — supposing separate what is not separate (Mu.3 1078a17-21)"
ta_mathematika,ousia,contrasts_with,ontological,0.80,"META-10","Mathematical objects are not substances; they are posterior in substance though prior in formula (Mu.2 1077a24-b4)"
platonic_forms,methexis,depends_on,ontological,0.75,"META-01,META-10","Forms require participation to explain the relation to sensibles but participation is empty words and poetical metaphors (Mu.5 1079b24)"
tritos_anthropos,platonic_forms,undermines,logical,0.85,"META-01,META-10","The third man regress shows positing Forms generates an infinite series of further Forms (Mu.4 1079a13)"
phtharton,aphtharton,contrasts_with,ontological,0.80,"META-08","Perishable and imperishable must differ in kind not by accident; rules out common Forms for both (Iota.10 1058b26-1059a14)"
eidos,steresis,contrasts_with,ontological,0.80,"META-09","Form and privation are the two contraries; with matter they constitute the three principles of sensible substance (Lambda.2 1069b33)"
dynamis,arche,depends_on,ontological,0.80,"META-07","Potentiality is defined as a starting-point of change in another or in the thing itself qua other (Theta.1 1046a4-11)"
zoe,energeia,depends_on,ontological,0.75,"META-09","The actuality of thought is life; God's essential actuality is life most good and eternal (Lambda.7 1072b27)"
apeiron,dynamis,depends_on,ontological,0.75,"META-08","The infinite exists only potentially by successive division or addition never as an actual completed magnitude (Kappa.10 1066a35-1067a37)"
complete_teleion,holon,refines,ontological,0.70,"META-04","Completeness (having attained one's end) refines wholeness; a complete thing is a whole whose form is fully realized (Delta.16-26)"
eidos,platonic_forms,contrasts_with,ontological,0.85,"META-06,META-10","Aristotelian immanent form contrasts with Platonic separated Forms: Forms are unnecessary as patterns and generate absurdities (Z.viii 1034a; Z.xiv 1039a-b)"
to_hen,metron,is_meaning_of,ontological,0.80,"META-08,META-10","Aristotle reinterprets the One not as substance but as measure — the unit appropriate to each kind (Nu.1 1088a1-14)"
