source,target,relation,domain,weight,units,evidence
ἐπιείκεια,δικαιοσύνη,refines,logical,0.85,"RHET-02","Equity corrects legal justice where law is defective owing to generality (1374a26-b2)"
φαντασία,ἡδονή,explains,psychological,0.85,"RHET-02","Imagination links memory and expectation to pleasure (1370a28-33)"
ἦθος,φρόνησις,has_component,proof-structure,0.9,"RHET-03","Good sense is first source of character-trust (1378a5)"
ἦθος,ἀρετή,has_component,proof-structure,0.9,"RHET-03","Excellence is second source of character-trust (1378a5)"
ἦθος,εὔνοια,has_component,proof-structure,0.9,"RHET-03","Goodwill is third source of character-trust (1378a10)"
ὀργή,πραότης,contrasts_with,psychological,0.9,"RHET-03","Calmness is the opposite of anger (1380a5)"
φόβος,θάρσος,contrasts_with,psychological,0.9,"RHET-03","Confidence is the opposite of fear (1383a15)"
ἔλεος,νέμεσις,contrasts_with,psychological,0.9,"RHET-03","Indignation directly opposed to pity (1386b10)"
φθόνος,ζῆλος,contrasts_with,psychological,0.85,"RHET-03","Envy = deprive others; emulation = acquire for oneself (1388a30)"
πάθος,πίστις,operationalizes,rhetorical,1.0,"RHET-01,RHET-03","Putting hearers into right emotional state is means of persuasion (1377b25)"
γνώμη,ἐνθύμημα,operationalizes,logical,0.9,"RHET-04","A maxim is premiss/conclusion of enthymeme with syllogistic element removed (1394a26-30)"
παράδειγμα,ἐνθύμημα,supports,methodological,0.85,"RHET-04","When enthymemes available, examples serve as supplementary witnesses (1394a9-19)"
φαινόμενον ἐνθύμημα,ἐνθύμημα,contrasts_with,logical,0.85,"RHET-04","Spurious enthymemes look genuine but are not; ten lines catalogued (1400b34)"
λέξις,σαφήνεια,depends_on,stylistic,1.0,"RHET-05","Clarity is the constitutive condition of good style (1404b1-3)"
λέξις,μεταφορά,depends_on,stylistic,1.0,"RHET-05","Metaphor gives clearness charm and distinction as nothing else can (1405a8-9)"
μεταφορά,εἰκών,has_species,stylistic,0.9,"RHET-05","The simile is a metaphor with the comparison made explicit (1406b20)"
λέξις,τὸ πρέπον,depends_on,stylistic,0.95,"RHET-05","Appropriateness is the governing principle of style (1408a10-11)"
τὸ πρέπον,ἦθος,presupposes,rhetorical,0.9,"RHET-05","Language must match character-class: age sex nationality disposition (1408a28-31)"
τὸ πρέπον,πάθος,presupposes,rhetorical,0.9,"RHET-05","Language must express the speaker's emotional state (1408a16-20)"
μεταφορά,αἴσθησις,presupposes,psychological,0.9,"RHET-05","Materials of metaphor must be beautiful to ear understanding eye or other sense (1405b18-20)"
πρὸ ὀμμάτων ποιεῖν,ἐνέργεια,operationalizes,rhetorical,1.0,"RHET-06","Setting before the eyes works by representing things in a state of activity (1411b24-25)"
ἐνέργεια,μεταφορά,refines,rhetorical,0.95,"RHET-06","Energeia specifies how metaphor achieves highest effect: conveying activity and life (1411b25-1412a10)"
πρὸ ὀμμάτων ποιεῖν,φαντασία,presupposes,psychological,0.9,"RHET-06","Making audience see through metaphor implies the psychological faculty of phantasia"
τάξις,λέξις,coordinate_with,methodological,0.8,"RHET-05,RHET-06","Style and arrangement are second and third points of study after invention (1403b6-8)"
λέξις,ψυχρότης,failure_mode,stylistic,0.8,"RHET-05","Four forms of frigidity arise from excess in compounds strange words epithets metaphor (1405b35-1406b)"
