source,target,relation,domain,weight,works,units,evidence
pro_ommaton_poiein,energeia,operationalizes,rhetorical,1.0,"Rhet","RHET-06","Setting before the eyes works by representing things in activity (1411b24-25)"
pro_ommaton_poiein,phantasia,presupposes,psychological,0.90,"Rhet,DA","RHET-06,DA-04","Visualization implies the psychological faculty of phantasia; soul never thinks without image (DA 431a17)"
to_prepon,ethos,presupposes,rhetorical,0.90,"Rhet","RHET-05","Language must match character-class (1408a28-31)"
to_prepon,pathos,presupposes,rhetorical,0.90,"Rhet","RHET-05","Language must express the speaker's emotional state (1408a16-20)"
phantasia,hedone,explains,psychological,0.85,"Rhet","RHET-02","Imagination links memory and expectation to pleasure (1370a28-33)"
psyche,entelecheia_prote,defined_as,ontological,1.0,"DA","DA-02","Soul IS first actuality of a natural organized body (412a27)"
psyche,ousia,instantiates,ontological,0.95,"DA,Met","DA-02,META-04","Soul is substance in the sense of form (DA 412a6-9); substance in primary sense is form (Met Z.xvii)"
psyche,eidos,defined_as,ontological,0.95,"DA","DA-02","Soul is substance as form of a body having life potentially (412a10-20)"
psyche,aitia,instantiates,ontological,0.95,"DA","DA-02","Soul is cause in three senses: efficient, final, formal (415b8-28)"
psyche,telos,instantiates,teleological,0.90,"DA","DA-02","All natural bodies are organs of soul; nature acts for an end (415b16-18)"
psyche,kinesis,contrasts_with,psychological,0.90,"DA","DA-01","Soul is not a self-mover; refutation of predecessors (406a12-407a2)"
entelecheia,energeia,contrasts_with,ontological,0.90,"DA,Met","DA-02,META-07","First actuality = possession (hexis); second = exercise (energeia). Sleep vs. waking (DA 412a23; Met Theta.6)"
aisthesis,dynamis_energeia,explained_by,ontological,1.0,"DA,SS","DA-02,SS-02","Perception = transition from potentiality to actuality (DA 416b33); threshold = actual at sufficient scale (SS 446a20)"
aisthesis,eidos_aneu_hyles,operationalizes,ontological,0.95,"DA","DA-03","Sense receives sensible forms without matter — wax-signet analogy (424a17-28)"
aisthesis,mesotes,depends_on,perceptual,0.90,"DA","DA-03","Sense-organ is a mean between contraries; grounds discriminative power (424a2-7)"
phantasia,aisthesis,depends_on,psychological,0.95,"DA,Mem,MA","DA-04,MEM-01,MA-01","Phantasia is kinesis from actual sense (DA 429a1); all objects of imagination potentially objects of memory (Mem 450a1); phantasia supports aisthesis (MA 702a19)"
phantasia,aisthesis,contrasts_with,psychological,0.85,"DA","DA-04","Phantasia distinct from sensation: occurs in dreams; can be false (428a1-16)"
phantasia,kinesis,defined_as,psychological,0.95,"DA","DA-04","Phantasia IS a kinesis from actual sensation (429a1-2)"
phantasia,orexis,supports,psychological,0.90,"DA,MA","DA-04,MA-01","Appetite cannot function without imagination (DA 433b28); phantasia presents objects to desire (MA 700b19)"
phantasia,phantasma,explains,psychological,0.90,"DA,Mem","DA-04,MEM-01","Imagination produces phantasmata; without it thinking impossible (DA 431a17; Mem 450a1)"
phantasia,alloiosis,explains,physiological,0.80,"MA","MA-01","Imaginations cause heating/chilling in the body: blushing trembling (701b16-32)"
nous,phantasia,depends_on,psychological,0.95,"DA","DA-04","The soul never thinks without an image (431a17)"
nous,aisthesis,contrasts_with,psychological,0.90,"DA","DA-04","Nous is separable and impassible; aisthesis depends on body (430a17 vs. 429a29)"
nous_poietikos,nous_pathetikos,explains,psychological,0.90,"DA","DA-04","Active nous makes all things thinkable (like light); passive is potentially all things (430a10-25)"
orexis,kinesis,explains,psychological-causal,0.95,"DA,MA","DA-04,MA-01","Appetite + practical thought = source of animal movement (DA 433a9; MA 700b17)"
to_agathon,orexis,explains,teleological,0.90,"DA,MA,Met","DA-04,MA-01,META-09","The real/apparent good is unmoved mover of action (DA 433a27; MA 700b25; Met Lambda.7)"
koine_aisthesis,aisthesis,operationalizes,psychological,0.90,"DA,SS,Mem","DA-03,SS-02,MEM-01","Common sense unifies perception across modalities (DA 426b8); governs simultaneous perception (SS 448a10); primary perceptive faculty of memory (Mem 450a12)"
phantasia_bouleutike,phantasia_aisthertike,refines,psychological,0.85,"DA","DA-04","Deliberative extends sensitive: making unity from several images (434a5-10)"
logos_ratio,mesotes,explains,ontological,0.90,"DA","DA-03","Sense is a logos between contraries; the mean is what makes it a ratio (426a27-b8)"
logoi_enuloi,psyche,explains,methodological,0.90,"DA","DA-01","Affections of soul require enmattered definitions (403a25-403b19)"
to_diaphanes,chroma,explains,natural-philosophical,1.0,"SS","SS-01","Colour is the limit of the transparent in bounded bodies (439b10-14)"
phos,to_diaphanes,operationalizes,natural-philosophical,0.90,"SS","SS-01","Light is the actuality of the transparent qua transparent (439a18-22)"
mixis,chroma,explains,natural-philosophical,0.90,"SS,Col","SS-01,COL-01","Intermediate colours by mixture of white and black (SS 440a15; Col 792a5)"
chumos,chroma,supports,natural-philosophical,0.70,"SS","SS-01","Savour stands to moist as colour stands to transparent; seven species each (442a10-25)"
dynamis_energeia,perceptual_threshold,explains,ontological,0.90,"SS","SS-02","Sensible qualities exist potentially below threshold; actually at sufficient scale (446a20-b20)"
koine_aisthesis,simultaneous_perception,explains,psychological,0.90,"SS","SS-02","Simultaneous perception requires a numerically one faculty (448a10-449a20)"
mneme,phantasma,depends_on,psychological,1.0,"Mem","MEM-01","Memory is having a phantasma related as likeness (451a14-16)"
mneme,chronos,depends_on,ontological,1.0,"Mem","MEM-01","All memory implies the lapse of time (449b28-30)"
mneme,proton_aisthertikon,depends_on,psychological,0.90,"Mem","MEM-01","Memory belongs to the primary faculty of sense-perception (450a12-14)"
phantasma,eikon_theorema,refines,psychological,0.90,"Mem","MEM-01","Phantasma dual nature: contemplation-object and likeness (450b20-451a2)"
phantasma,typos,depends_on,physiological,0.80,"Mem","MEM-01","Image results from impression stamped by perception — wax-seal analogy (450a27)"
anamnesis,mneme,presupposes,psychological,1.0,"Mem","MEM-01","Recollection distinct from memory; memory may follow recollection (451a18-22)"
anamnesis,kinesis,operationalizes,physiological,0.90,"Mem","MEM-01","Recollection through sequential reactivation of habitual movements (451b10-16)"
anamnesis,bouleutikon,depends_on,psychological,0.80,"Mem","MEM-01","Recollection belongs to beings with deliberative faculty; form of inference (453a10-14)"
anamnesis,chronos,depends_on,ontological,0.80,"Mem","MEM-01","Recollection involves perception of time as magnitude (452b7-8)"
proton_aisthertikon,chronos,operationalizes,psychological,0.80,"Mem","MEM-01","Primary perceptive faculty cognizes time magnitude and motion (450a9-12)"
kinesis,ethos_synetheia,supports,explanatory,0.70,"Mem","MEM-01","Custom creates quasi-natural movement sequences that steer recollection (451b28-452b1)"
orexis,kinesis_animal,explains,psychological-causal,1.0,"MA","MA-01","Desire is proximate efficient cause of animal locomotion (700b17-19; 701a1)"
phantasia,orexis,operationalizes,psychological-causal,0.90,"MA","MA-01","Phantasia presents objects to desire as faculty of discrimination (700b19-21)"
to_agathon,orexis_MA,presupposes,teleological,0.90,"MA","MA-01","The good (actual or apparent) is final cause initiating desire (700b25-29)"
practical_syllogism,action,explains,logical-practical,1.0,"MA","MA-01","Universal major + particular minor yields action as conclusion (701a13-23)"
orexis,practical_syllogism,operationalizes,logical-practical,0.80,"MA","MA-01","Desire supplies major premise; perception/phantasia supplies minor (701a29-33)"
symphyton_pneuma,orexis_limbs,explains,physiological,0.80,"MA","MA-01","Pneuma transmits desire's motive force through expansion/contraction (703a9-23)"
phantasia,involuntary_movement,refines,physiological,0.70,"MA","MA-01","Phantasia moves heart and genitals without rational mandate (703b6-8)"
kinoun_akineton,kinesis_cosmic,presupposes,cosmological,0.70,"MA,Phys,Met","MA-01,PHYS-08,META-09","All locomotion requires immovable ground; unmoved mover grounds all (MA 699a14; Phys 258b11; Met Lambda)"
chroma_simple,stoicheia,depends_on,ontological,1.0,"Col","COL-01","Simple colours belong to the four elements (791a1-12)"
chroma_intermediate,mixis_krasis,depends_on,ontological,0.90,"Col","COL-01","Intermediate colours from blending simple colours in varying strengths (792a5-b25)"
pepsis,plant_colour,explains,teleological,0.90,"Col","COL-01","Plant colour changes coincide with maturation (794b10-796a30)"
trophe,animal_colour,explains,teleological,0.80,"Col","COL-01","Animal colouring determined by nutriment and moisture (797a1-799b)"
plege,psophos,explains,perceptual,1.0,"AUD","AUD-01","All sounds produced by impact of air against bodies (800a1-5)"
pneuma_breath,vocal_quality,explains,physiological,0.90,"AUD","AUD-01","Force of breath determines vocal hardness/softness (803b10-25)"
saphes_sound,saphes_colour,exemplifies,perceptual,0.70,"AUD,SS","AUD-01,SS-01","Clearness in sound resembles clearness in colour (802a1-10)"
enantiosis,steresis,presupposes,ontological,0.80,"Met","META-03,META-08","Primary contrariety is state vs. privation (Iota.4 1055a33-b29)"
katholou,ousia,contrasts_with,ontological,0.90,"Met","META-06","No universal is substance; substance is a this not a such (Z.xiii 1038b-1039a)"
tode_ti,katholou,contrasts_with,ontological,0.85,"Met","META-05,META-06","Substance indicates a this; universal indicates a such (Z.xiii 1039a)"
dynamis_meta_logou,dynamis_alogos,contrasts_with,ontological,0.80,"Met","META-07","Rational potentialities produce contraries; non-rational produce one effect (Theta.2 1046a36)"
horismos,to_ti_en_einai,operationalizes,methodological,0.85,"Met","META-06","Definition is the formula of the essence (Z.iv 1030a)"
logos,eidos,supports,methodological,0.80,"Met,DA","META-06,DA-03","Parts of the formula are parts of the form (Met Z.x 1035a); sense is a logos/ratio (DA 426a27)"
sophia,aition,depends_on,methodological,0.90,"Met","META-01","Wisdom = knowledge of first causes and principles (Alpha.2 981b28)"
phtharton,aphtharton,contrasts_with,ontological,0.80,"Met","META-08","Perishable and imperishable differ in kind (Iota.10 1058b26)"
eidos_aristotle,platonic_forms,contrasts_with,ontological,0.85,"Met","META-06,META-10","Immanent form vs. separated Forms; Forms unnecessary as patterns (Z.viii 1034a; Mu.5)"
dynamis,arche,depends_on,ontological,0.80,"Met,Phys","META-07,PHYS-01","Potentiality is a starting-point of change (Theta.1 1046a4; Phys I.8)"
zoe,energeia,depends_on,ontological,0.75,"Met","META-09","Actuality of thought is life; God's essential actuality is life most good and eternal (Lambda.7 1072b27)"
apeiron,dynamis,depends_on,ontological,0.75,"Met,Phys","META-08,PHYS-03","The infinite exists only potentially by division (Met Kappa.10; Phys III.6 206a14)"
apeiron,steresis,has_essence_of,ontological,0.90,"Phys","PHYS-03","The essence of the infinite is privation (207b35-208a1)"
apeiron,hyle,is_cause_as,ontological,0.90,"Phys","PHYS-03","The infinite is a cause in the sense of matter (207b35)"
topos_physical,peras,defined_by,ontological,1.0,"Phys","PHYS-04","Place = innermost motionless boundary of what contains (212a20)"
topos_rhetorical,enthymema,operationalizes,rhetorical,0.90,"Rhet","RHET-01,RHET-04","Topics are argumentative places from which enthymemes are constructed"
phora,kinesis,is_primary_species_of,ontological,0.95,"Phys","PHYS-05,PHYS-08","Locomotion is primary: alteration/growth presuppose it (260a20-261a27)"
circular_motion,phora,is_primary_species_of,kinematic,0.95,"Phys","PHYS-08","Circular locomotion is the only continuous infinite locomotion (265b12)"
circular_motion,suneches,exemplifies,kinematic,0.90,"Phys","PHYS-08","Circular motion alone satisfies continuity: no termini no contraries (265a27)"
kinesis,metabole,is_species_of,ontological,0.95,"Phys","PHYS-05","Motion is change from subject to subject; metabole wider genus (225b10)"
genesis,enantia,presupposes,ontological,0.90,"Phys","PHYS-01","All coming-to-be proceeds between contraries (188a35-b1)"
aition,arche,refines,methodological,0.75,"Met","META-01,META-04","All causes are archai; four causes refine the notion of beginning (Delta.2 1013a24)"
hexis,steresis,contrasts_with,ontological,0.80,"Met,DA,Mem","META-04,DA-02,MEM-01","Primary contrariety state vs. privation (Met Iota.4); first actuality = hexis (DA 412a23); memory is hexis (Mem 449b25)"
threptikon,aisthertikon,presupposed_by,psychological,0.95,"DA","DA-02","Nutritive is base of faculty hierarchy; sensitive presupposes it (414b28-32)"
haphe,aisthesis,operationalizes,psychological,0.90,"DA","DA-03,DA-04","Touch is the foundational indispensable sense for animal existence (434a25-435b25)"
phone,phantasia,depends_on,psychological,0.85,"DA,AUD","DA-03,AUD-01","Voice requires imagination (DA 420b29); sound from breath (AUD 803b10)"
phone,psophos,specializes,perceptual,0.90,"DA","DA-03","Voice is a species of sound: ensouled, meaningful, requiring special organs"
hexis,rhetorike,operationalizes,rhetorical,0.85,"Rhet","RHET-01,RHET-03","Rhetoric is a hexis — settled capacity (1356a25)"
gnome,enthymema,operationalizes,logical,0.90,"Rhet","RHET-04","Maxim is premiss/conclusion of enthymeme with syllogistic element removed (1394a26)"
paradeigma,enthymema,supports,methodological,0.85,"Rhet","RHET-04","When enthymemes available, examples serve as supplementary witnesses (1394a9)"
anagke_ex_hypotheseos,hyle,is_located_in,modal-causal,0.90,"Phys","PHYS-02","Necessity is in the matter (200a14-15)"
anagke_ex_hypotheseos,telos,depends_on,modal-causal,0.90,"Phys","PHYS-02","Matter necessary FOR the end; saw must be iron if we are to saw (200a10-13)"
psyche,symphyton_pneuma,depends_on,physiological,0.60,"MA","MA-01","Spirit stands to soul-origin as moved joint-point to unmoved (703a13)"
aisthesis,soul_body_conjunction,depends_on,psychological,1.0,"SS","SS-01","Sensation generated in the soul through the medium of the body (436b1-8)"
ta_idia_aistheta,ta_koina_aistheta,contrasts_with,psychological,0.80,"SS,DA","SS-01,DA-02","Each sense has proper objects; common sensibles perceived by multiple senses (SS 437a8; DA 418a11)"
opsis,to_diaphanes,depends_on,natural-philosophical,0.80,"SS","SS-01","Vision requires the transparent medium; eye is water (438b5-25)"
osme,chumos,depends_on,natural-philosophical,0.70,"SS","SS-02","Nutritive odours parallel savours (443b-444a1)"
skotos,phos,contrasts_with,natural-philosophical,0.70,"SS,Col","SS-01,COL-01","Darkness is privation of light (SS 439a22; Col 791a12-b5)"
to_agathon,cosmic_order,explains,teleological,0.80,"Met","META-09","Universe contains the good as both separate principle and order of parts (Lambda.10 1075a11)"
aletheia,energeia,depends_on,ontological,0.80,"Met","META-07","Being in strictest sense is truth; for incomposites truth = contact (Theta.10 1051a34)"
dynamis_energeia_SS,finite_sensible_species,presupposes,ontological,0.60,"SS","SS-01,SS-02","Sensible qualities limited in species underwrites seven colour species (446a20-b5)"
melan_leukon,chroma,presupposes,ontological,0.80,"Col","COL-01","White and black are the extremes; all intermediate colours from their mixture (791a1; 792a5)"
