source,relation,edge_domain,target,note,contributors,unit_pages
CONCEPT:Physis,depends_on,ontological,CONCEPT:Polis,"Gross via GA 18 241: 'concepts of Being-in-the-polis have their foundation in the concepts of nature.' Polis depends on physis ontologically",HR-01-GROSS-A,p.13-15
CONCEPT:Trope,exemplifies,rhetorical,CONCEPT:Discourse,"Gross: 'a trope, acting in concert with its staid manifestation as a concept (Begriff), marks the contours of contingency' (p.3). Tropes give discourse its non-Saussurean depth",HR-01-GROSS-A,p.3
CONCEPT:Rhetorical Genealogy,historicizes,genealogical,CONCEPT:Hermeneutics of Facticity,"Gross: rhetorical genealogy of BT terms 'historicizes' the hermeneutics of facticity that 'predated SS 1924 by at least two years' (p.2)",HR-01-GROSS-A,p.2
CONCEPT:Naturwissenschaft-Geisteswissenschaft Distinction,is_undermined_by,methodological,POSITION:HR-01-GROSS-A-P5,"Gross's pathos-as-cosmologically-primary thesis undermines the Diltheyan partition; pathos extends across stones/plants/animals/humans",HR-01-GROSS-A,p.12-13;p.24
CONCEPT:Antihumanism,exemplifies,political,CONCEPT:Middle Voice,"Antihumanism (Derrida, Foucault, Bourdieu) takes middle voice as exemplifying agency-dissolution; Gross's P7 rejects this exemplification",HR-01-GROSS-A,p.18-21
CONCEPT:Pathos (Lutheran Affektenlehre),historicizes,genealogical,CONCEPT:Hermeneutics of Facticity,"Per Dockhorn: Luther's Affektenlehre 'opens the way for what would later become the hermeneutics of facticity practiced by both Heidegger and Gadamer'",HR-01-GROSS-B,p.33-34;p.44(n.48)
CONCEPT:Phobos,explains,existential,CONCEPT:Logos,"GA 18 261: 'Wenn uns unheimlich ist, fangen wir an zu reden' — uncanniness brings speech. Fear is the Befindlichkeit that brings into speech",HR-01-GROSS-B,p.37
CONCEPT:Pathos,presupposes,ontological,CONCEPT:Hexis,"GA 18 171: pathos as Umschlagen stands in possible relation to hexis. Pathos is dynamic-pole; hexis is settled-pole",HR-01-GROSS-B,p.35
CONCEPT:Doxa,is_meaning_of,ontological,CONCEPT:Miteinanderreden,"GA 18 151: 'doxa is set out as the ground and motive [Boden, Quelle und Antrieb] for speaking-with-one-another'. Doxa IS what Miteinanderreden means rhetorically-ontologically",HR-01-GROSS-B,p.31;p.32
CONCEPT:Roman Compromise,contrasts_with,rhetorical,CONCEPT:Pathos as Ontological Ground,"Cicero/Quintilian's 'add pathos to logos by sheer fiat' is exactly what Heidegger rejects",HR-01-GROSS-B,p.29;p.30;p.34;p.35
CONCEPT:Phantasia (Quintilian),contrasts_with,rhetorical,CONCEPT:Pathos (Heidegger),"Quintilian Inst. or. 6.2.29: passions as products of phantasia. Heidegger reverses: individual mentation is the product of passion",HR-01-GROSS-B,p.34;p.35
INTERLOCUTOR:Luther,historicizes,genealogical,INTERLOCUTOR:Heidegger,"Per Dockhorn (note 48): Luther's Tischreden 'Dialectica docet, Rhetorica movet' is the historical seed of Heidegger's pathos-as-grounding-logos",HR-01-GROSS-B,p.44(n.48);p.45
INTERLOCUTOR:Klaus Dockhorn,refines,hermeneutic,INTERLOCUTOR:Hans-Georg Gadamer,"Dockhorn's 1966 review of T&M (Göttingische Gelehrte Anzeigen) catalyzed Gadamer's rhetorical second-edition revisions",HR-01-GROSS-A,p.5;p.6
POSITION:HR-01-GROSS-A-P3,undermines,hermeneutic,INTERLOCUTOR:Hans-Georg Gadamer,"Gross's claim that hermeneutics 'depoliticizes' rhetoric undermines Gadamer's T&M position",HR-01-GROSS-A,p.5-9
POSITION:HR-01-GROSS-A-P7,contrasts_with,political,INTERLOCUTOR:Jacques Derrida,"Gross argues Derrida's differance/mouvance reading 'neutralizes' what Heidegger's middle voice 'interanimates'",HR-01-GROSS-A,p.18-19
POSITION:HR-01-GROSS-A-P8,undermines,ontological,INTERLOCUTOR:Plato,"Heidegger's kinesis-as-Dasein's-mode-of-being undermines Platonic-participatory readings of motion as methexis. Plato as 'villain' (p.23)",HR-01-GROSS-A,p.21;p.23
POSITION:HR-01-GROSS-B-P9,supports,political,POSITION:HR-01-GROSS-B-P10,"Gross's depoliticization-by-hermeneutics thesis provides the mechanism by which 1924 Heidegger could become 1933 Heidegger",HR-01-GROSS-B,p.39;p.40;p.41
POSITION:HR-01-GROSS-B-P1,contrasts_with,rhetorical,POSITION:HR-04-HYDE-P3,"VT5 cross-essay: Gross treats pathos as ontological substrate; Hyde keeps pathos as cognitive-rhetorical resource. Both cite GA 18 §§ on pathē",HR-01-GROSS-B,p.38;p.40
POSITION:HR-01-GROSS-B-P10,explains,political,POSITION:HR-07-POGGELER-P1,"VT1: Gross's depoliticization-by-hermeneutics thesis predicts Pöggeler's 'restricted conception' as a *symptom* of Heidegger's post-1924 trajectory. Gross provides the genetic story for what Pöggeler observes synchronically",HR-01-GROSS-B,p.41
POSITION:HR-01-GROSS-B-P7,supports,political,POSITION:HR-06-KISIEL-P1,"Gross's 'rhetorical pluralism of 1924' supports Kisiel's 'rhetorical protopolitics' — both argue SS 1924 is the locus of an explicit political-rhetorical Heidegger",HR-01-GROSS-B,p.39;p.40
POSITION:HR-01-GROSS-B-P1,supports,rhetorical,POSITION:HR-05-STRUEVER-P1,"Cross-essay support: Gross's pathos-as-ground supports Struever's rhetoric-as-life-science / Alltäglichkeit-as-temporality. Both read SS 1924 as the locus where rhetoric becomes constitutive",HR-01-GROSS-B,p.27;p.30;p.38;p.40
HEIDEGGER-LOCUS:GA18.110,operationalizes,rhetorical,ARISTOTLE-LOCUS:Rhet.II.1378a20,"Heidegger's identification of rhetoric with hermeneutic of Dasein (GA 18 110) operationalizes Aristotle's pathe-analysis in Rhetoric II as hermeneutic of everydayness",HR-01-GROSS-A,p.1;p.27
HEIDEGGER-LOCUS:GA18.288,refines,ontological,ARISTOTLE-LOCUS:Phys.III.202b23,"Heidegger's GA 18 288 ('kinesis is a mode of Being of Dasein itself') refines Aristotle Physics 202b23 by reading it not Platonically but as Dasein's mode of being",HR-01-GROSS-A,p.20-22
HEIDEGGER-LOCUS:BT.178,presupposes,genealogical,HEIDEGGER-LOCUS:GA18.110,"BT 178's claim that Aristotle Rhetoric II is 'first systematic hermeneutic of everydayness of Being with one another' presupposes the SS 1924 GA 18 110 identification",HR-01-GROSS-A;HR-05-STRUEVER,p.27;p.105
HEIDEGGER-LOCUS:GA18.205,exemplifies,ontological,ARISTOTLE-LOCUS:Phys.II,"Heidegger's 'house' passage at GA 18 205 exemplifies Aristotelian Physics II's nature/techne treatment — material shaped (pathetikos) and realized (poietikos)",HR-01-GROSS-A,p.25
ARISTOTLE-LOCUS:Phys.III.202b23,supports,ontological,ARISTOTLE-LOCUS:Rhet.II.1378a20,"LOCUS-to-LOCUS: Aristotle's Physics III kinesis-definition grounds the pathe-analysis in Rhetoric II — pathos as 'transfer point between social and naturo-physical phenomena' (Gross p.12)",HR-01-GROSS-A,p.12-13;p.20-22;p.27
HEIDEGGER-LOCUS:GA18.262,operationalizes,ontological,ARISTOTLE-LOCUS:Rhet.II,"GA 18 262 ('the pathē are the ground upon which language grows and to which expressions return') operationalizes Aristotle's Rhetoric II treatment of pathē as condition of judgment",HR-01-GROSS-B,p.38
HEIDEGGER-LOCUS:GA18.169,operationalizes,ontological,ARISTOTLE-LOCUS:Rhet.II,"GA 18 169 ('with the demonstration of the fundamental role pathē play in krinein, we realize at the same time the possibility of seeing more concretely the ground of logos itself') is Heidegger's programmatic statement of how he reads Aristotle Rhet II. Hyde's strongest anchor",HR-01-GROSS-B;HR-04-HYDE,p.30;p.89;p.95
HEIDEGGER-LOCUS:GA18.256-257,operationalizes,rhetorical,ARISTOTLE-LOCUS:Rhet.1382a20-1382b3,"GA 18 256-257 (nine-types-of-fearsome-people in three categories) operationalizes Aristotle Rhetoric II.5's phobos definition — turning rhetorical typology into relational-temporal-modal Befindlichkeit analysis",HR-01-GROSS-B,p.36;p.37
HEIDEGGER-LOCUS:GA18.171,refines,ontological,ARISTOTLE-LOCUS:Rhet.II,"GA 18 171's pathos-as-Umschlagen formulation refines Aristotle Rhet II by adding modal-ontological dimension (pathos has structure of being-able-to-recover-composure / Gefaßtsein dafür)",HR-01-GROSS-B,p.35;p.36
HEIDEGGER-LOCUS:GA18.127,operationalizes,political,ARISTOTLE-LOCUS:Politics.I,"GA 18 127 ('determination of Being-with-one-another in politikē founds that which rhetoric brings to language') operationalizes Aristotle Politics I framework of bios politikos / zoon politikon / koinonia",HR-01-GROSS-B;HR-05-STRUEVER,p.40;p.106;p.123
HEIDEGGER-LOCUS:BT.178,is_meaning_of,hermeneutic,ARISTOTLE-LOCUS:Rhet.II,"BT 178 (explicit footnote citation) reads Aristotle's Rhetoric II as the 'first systematic hermeneutic of the everydayness of Being-with-one-another'",HR-01-GROSS-B,p.27
HEIDEGGER-LOCUS:BT.344,contrasts_with,political,HEIDEGGER-LOCUS:GA18.127,"BT 344 ('only authentically Being-their-Selves in resoluteness can people authentically be with one another') contrasts with GA 18 127 ('determination of Being-with-one-another in politikē'): BT narrows authentic Mitsein to individual resoluteness, while SS 1924 grounded Miteinandersein in politikē",HR-01-GROSS-B,p.40
HEIDEGGER-LOCUS:BT.434,exemplifies,political,CONCEPT:Depoliticization-by-Hermeneutics,"BT 434 ('rarefied domain of the resolute Freeman') is canonical pinpoint of depoliticization. Phrase exemplifies hermeneutic turn's withdrawal from emotional public sphere into formal-individual resoluteness",HR-01-GROSS-B,p.40
POSITION:HR-01-GROSS-B-P10,undermines,rhetorical,INTERLOCUTOR:Searle/Grice/Habermas/Sperber,"Gross's depoliticization thesis undermines modern speech-act theory's adequacy: Searle/Grice/Habermas/Sperber analyze illocutionary/perlocutionary dimensions but with no political-ethical-rhetorical context",HR-01-GROSS-B,p.41
CONCEPT:Heidegger 1933 Turn,exemplifies,political,CONCEPT:Depoliticization-by-Hermeneutics,"Gross's bold thesis: Heidegger's 1933 is the political consequence of depoliticization. The 1933 'resolute Freeman → resolute nation → German Führer' progression exemplifies the hermeneutic turn's loss of rhetorical-political resources",HR-01-GROSS-B,p.39;p.40
ARISTOTLE-LOCUS:Rhet.1.2-1355b25,is_meaning_of,rhetorical,CONCEPT:Rhetoric as Dynamis,"Aristotle's Rhetoric I.2 *is* the locus where rhetoric is defined as dynamis (1355b25ff., dynamis tou theorēsai). Gadamer + Heidegger SS 1924 take this as the correct definition",HR-02-GADAMER;HR-05-STRUEVER,p.49;p.108
CONCEPT:Rhetoric as Dynamis,contrasts_with,rhetorical,CONCEPT:Rhetoric as Technē,"Heidegger GA 18 114 (Gadamer p.49): 'this designation [technē] is incorrect, whereas dynamis is the correct definition.' The dynamis/technē alternative IS volume tension VT2",HR-02-GADAMER;HR-05-STRUEVER;HR-06-KISIEL,p.49;p.108;p.146
HEIDEGGER-LOCUS:GA18.114,is_meaning_of,philological,ARISTOTLE-LOCUS:Rhet.1.2-1355b25,"Heidegger's GA 18 114 *interprets* Aristotle's Rhetoric I.2: the dynamis-clause is retained, the technē-clause rejected",HR-02-GADAMER;HR-06-KISIEL,p.49;p.146
CONCEPT:Logos as Speaking,contrasts_with,philological,CONCEPT:Logos as Reason (Marburg Neo-Kantian),"'In Marburg's Neo-Kantianism logos was just reason. I was completely puzzled that it should mean language and not reason' (Gadamer pp.47, 57). The legein-vs-ratio dispute is at the doctrinal heart of the Heidegger-Gadamer relation",HR-02-GADAMER,p.47;p.57
HEIDEGGER-LOCUS:GA18.117,refines,philological,HEIDEGGER-LOCUS:GA18.262,"GA 18 117 ('logos had its ground in pathē; pathē are fundamental possibilities by which Dasein orients itself') is refined at GA 18 262",HR-02-GADAMER,p.57
CONCEPT:Pathē as Ground of Logos,operationalizes,existential,CONCEPT:Sich-Befinden / Befindlichkeit,"The pathē-as-ground claim is operationalized in Heidegger's Sich-Befinden (SS 1924) and Befindlichkeit (BT §29). Gadamer treats the two terms as synonymous",HR-02-GADAMER,p.57;p.59
CONCEPT:Being-affected (Betroffensein),presupposes,existential,CONCEPT:Logos as Speaking,"Kemmann (p.57): 'must not a being-affected already exist, before one can speak about it?' Gadamer affirms: 'my own accomplishment beyond him goes exactly in this direction'",HR-02-GADAMER,p.57-58
CONCEPT:Rhetoric as Dynamis,is_meaning_of,hermeneutic,CONCEPT:Hermeneutics / Communal Listening,"Gadamer p.60: 'It is the same dynamis!' Rhetorical dynamis = hermeneutic capacity to understand. Closing extension (p.62): rhetoric is 'communal listening'",HR-02-GADAMER,p.60;p.62
CONCEPT:Linguisticality (Sprachlichkeit),is_meaning_of,hermeneutic,CONCEPT:Hermeneutics / Communal Listening,"Gadamer p.60: '[Sprachlichkeit means] everything that can allow something to be understood. Therefore, hermeneutics; thereby its indefinability.' Sprachlichkeit IS hermeneutics",HR-02-GADAMER,p.60
CONCEPT:Rhetoric as Overarching Concept,explains,rhetorical,CONCEPT:Linguisticality (Sprachlichkeit),"'In truth, rhetoric is the overarching concept for everything that has to do with the other' (Gadamer p.60). Rhetoric subsumes Sprachlichkeit",HR-02-GADAMER,p.60
CONCEPT:Conversation (Gespräch),contrasts_with,rhetorical,CONCEPT:Heidegger as Rhetor,"Heidegger refused conversation: 'It was very difficult to speak with Heidegger because he wanted to understand step by step' (p.50). Gadamer's hermeneutics privileges Gespräch against this refusal",HR-02-GADAMER,p.50;p.54
POSITION:HR-02-GADAMER-P1,contrasts_with,rhetorical,POSITION:HR-07-POGGELER-P1,"VT1: Gadamer's rhetoric-as-dynamis (P1) supports centrality; Pöggeler's restriction-thesis opposes",HR-02-GADAMER,p.49;p.60
POSITION:HR-02-GADAMER-P3,supports,ontological,POSITION:HR-01-GROSS-B-P1,"Gadamer's pathē-as-fundamental-possibilities reading supports Gross's pathos-as-ontological-substrate at conceptual level; bewährt caveat partially aligns with Hyde",HR-02-GADAMER,p.57
HEIDEGGER-LOCUS:GA18.117,operationalizes,existential,HEIDEGGER-LOCUS:BT.§29.Befindlichkeit,"GA 18 117's pathē-as-fundamental-possibilities is operationalized in BT §29 as Befindlichkeit",HR-02-GADAMER;HR-03-MICHALSKI;HR-05-STRUEVER,p.57;p.75;p.109
HEIDEGGER-LOCUS:GA18.169f,explains,rhetorical,CONCEPT:Speaking-to-Others,"GA 18 169f: 'philosophers could decide to consider what speaking to others really means.' Directly defines the concept",HR-02-GADAMER,p.49
HEIDEGGER-LOCUS:GA63.327,operationalizes,rhetorical,CONCEPT:Speaking-to-Others,"GA 63 327: 'The actual being of a teacher is to stand before another and to speak to him, and in such a way that the other, listening, follows him.' Operationalizes speaking-to-others as the *being* of teaching",HR-02-GADAMER,p.53
CONCEPT:Hermeneutics / Communal Listening,presupposes,hermeneutic,CONCEPT:Every Logos Is Incomplete,"'No one who expresses something says what he really means. Because no one can ever have the last word' (Gadamer p.60). Hermeneutics presupposes logos's structural incompleteness",HR-02-GADAMER,p.57;p.60;p.62
CONCEPT:Phronēsis as Virtue (Not Ability),refines,ethical,CONCEPT:Rhetoric as Dynamis,"Gadamer p.61: 'Phronēsis is a whole virtue; it is not an ability, but a being.' Rhetoric and phronēsis are both *being-conditions*, not skills",HR-02-GADAMER,p.61
CONCEPT:Rhetoric and Politics Binding,depends_on,political,CONCEPT:Phronēsis as Virtue (Not Ability),"Gadamer p.61: 'A philosophical rhetoric would take the political into account, but not be absorbed into the political.' Depends structurally on phronēsis-as-virtue",HR-02-GADAMER,p.61
ARISTOTLE-LOCUS:Rhet.II.pathē,operationalizes,philological,HEIDEGGER-LOCUS:GA18.117,"Aristotle's Rhet. II catalog of pathē is operationalized in GA 18 117 as 'fundamental possibilities by which Dasein primarily orients itself'",HR-02-GADAMER,p.48;p.57
INTERLOCUTOR:Plato (Symposium),explains,hermeneutic,CONCEPT:Hermeneutics / Communal Listening,"Gadamer p.48: 'Plato's Symposium ... You will not understand what I will now say. That's the origin of my hermeneutics'",HR-02-GADAMER,p.48
INTERLOCUTOR:Aeschylus (Agamemnon 177),is_meaning_of,ethical,CONCEPT:Pathei Mathos,"Gadamer p.59 (n.24): pathei mathos as 'the decisive statement' on linguisticality-attunement relation",HR-02-GADAMER,p.59
HEIDEGGER-LOCUS:DieSprache.1950,explains,ontological,CONCEPT:Linguisticality (Sprachlichkeit),"n.17 = Die Sprache (1950) in Unterwegs zur Sprache. Heidegger's 'living of mortals in the speaking of language' explains Sprachlichkeit in late-Heideggerian register",HR-02-GADAMER,p.55
HEIDEGGER-LOCUS:GA18.165,explains,rhetorical,CONCEPT:Hexis (Ethos and Pathē Constitutive of Legein),"n.27 = GA 18 165: 'Ethos and pathē are constitutive of legein itself.' Hexis-formula is operational link from Aristotle Rhet II to GA 18's hermeneutic-of-Dasein thesis",HR-02-GADAMER;HR-06-KISIEL,p.60;p.144-145
HEIDEGGER-LOCUS:GA18.118,operationalizes,rhetorical,CONCEPT:Rhetoric as Dynamis,"n.29 = GA 18 118: rhetorical dynamis as 'to be able to see what speaks for a thing.' Operationalizes I.2 dynamis-definition in a specific seeing-capacity",HR-02-GADAMER,p.60
CONCEPT:Philology (Heidegger),operationalizes,philological,CONCEPT:Hermeneutic Phenomenology,"Philology is the necessary element of hermeneutic phenomenology that takes account of the leading function of speech (logos) in the dominance of the interpretedness of Dasein",HR-03-MICHALSKI,p.76;p.77
CONCEPT:Hermeneutic Phenomenology,depends_on,hermeneutic,CONCEPT:Three Moments of Conceptuality (Fore-Structure),"Hermeneutical phenomenology accesses things from interpretedness of Dasein by explicit appropriation of fore-having/fore-seeing/fore-grasping (GA 18 13f, 270f, 338f, 354f)",HR-03-MICHALSKI,p.76-77
CONCEPT:Philology (Heidegger),contrasts_with,philological,CONCEPT:Idle Chatter (Gerede),"Philology delimits authentic conceptual speaking against idle chatter; philology is countermovement against idle chatter (GA 18 217, 276f)",HR-03-MICHALSKI,p.76;p.77
CONCEPT:Passion for Knowledge,is_meaning_of,philological,CONCEPT:Philology (Heidegger),"Heidegger's hypothetical formula identifies philology with Leidenschaft der Erkenntnis des Ausgesprochenen und des Sichaussprechens (GA 18 4, 333)",HR-03-MICHALSKI,p.66-67;p.74-75
CONCEPT:Logos (Structural Multiplicity),explains,philological,CONCEPT:Passion for Knowledge,"Duality of Ausgesprochenes/Sichaussprechen unfolds the structural multiplicity of Aristotelian logos (legein/legomenon/legein-and-legomenon)",HR-03-MICHALSKI,p.75-76
CONCEPT:Befindlichkeit,presupposes,philological,CONCEPT:Philology (Heidegger),"Theoretical cognition of speech is carried by passion (Befindlichkeit-attunement); the philologist's question is posed from befindlich-verstehendes In-der-Welt-sein. Aristotle's pathos translated by Heidegger as Befindlichkeit (GA 18 4, 120, 168)",HR-03-MICHALSKI,p.75
CONCEPT:Rhetoric as Hermeneutic of Dasein,historicizes,rhetorical,CONCEPT:Philology (Heidegger),"Aristotle's Rhetoric prefigures Heideggerian philology by attesting to a primordial viewing of speech (GA 18 110, 113, 117, 139)",HR-03-MICHALSKI,p.77;p.80
CONCEPT:Topology (Philology/Rhetoric/Dialectic),refines,methodological,CONCEPT:Rhetoric as Hermeneutic of Dasein,"Philology cannot be equated with rhetoric: theoretical vs. practical; conceptual-scientific vs. everyday. Philology exceeds rhetoric in the dialectical direction (GA 18 7, 127f)",HR-03-MICHALSKI,p.77-78
CONCEPT:Sui Ipsius Interpres,operationalizes,philological,CONCEPT:Destruktion,"Aristotle's self-interpretation (sola scriptura applied to Aristotle) operationalizes Destruktion by bracketing philosophical-theological tradition layered upon Aristotelian thinking",HR-03-MICHALSKI,p.65;p.67-69
CONCEPT:Autochthony of Conceptuality,presupposes,philological,CONCEPT:Translation as Experimental,"Heidegger's experimental translation practice presupposes that fundamental concepts are rooted in prephilosophical Greek language usage",HR-03-MICHALSKI,p.70-71
HEIDEGGER-LOCUS:GA18.110,is_meaning_of,rhetorical,ARISTOTLE-LOCUS:Rhet.entire,"Heidegger's identification at GA 18 110 ('The Rhetoric is nothing else than the interpretation of concrete Dasein, the hermeneutic of Dasein itself') states meaning of Aristotle's Rhetoric as a whole",HR-03-MICHALSKI,p.77;p.80
HEIDEGGER-LOCUS:GA18.4,refines,philological,HEIDEGGER-LOCUS:GA18.333,"Manuscript wording at GA 18 333 has full philology-formula; student-notes text at GA 18 4 omits trailing 'und des Sichaussprechens.' Manuscript refines/completes student-notes wording",HR-03-MICHALSKI,p.66;p.79
ARISTOTLE-LOCUS:Rhet.II.5,operationalizes,rhetorical,HEIDEGGER-LOCUS:GA18.249,"Heidegger's GA 18 249f operationalizes Aristotle's Rhetoric II.5 on phobos — bridges volume's pathos genealogy (HR-01-GROSS-B) and BT §30 fear analysis",HR-03-MICHALSKI,p.79
ARISTOTLE-LOCUS:Phys.III.1-3,operationalizes,ontological,HEIDEGGER-LOCUS:GA18.287,"Heidegger's GA 18 287f, 316, 323f operationalizes Aristotle's Physics III.1-3 with three approaches to kinēsis. Load-bearing for volume's kinēsis discussion (VT12)",HR-03-MICHALSKI,p.79
POSITION:HR-03-MICHALSKI-P8,contrasts_with,methodological,POSITION:HR-06-KISIEL-P1,"Michalski's philological framing of GA 18 contrasts with Kisiel's reading of GA 18 as 'rhetorical protopolitics' genesis text. Both cite GA 18 110 but draw different categorial consequences",HR-03-MICHALSKI,p.65-78
POSITION:HR-03-MICHALSKI-P4,supports,rhetorical,POSITION:HR-01-GROSS-B-P1,"Michalski's identification of pathos as Befindlichkeit supports Gross's pathos-as-substrate genealogy by anchoring pathos/Befindlichkeit equation in SS 1924 lectures",HR-03-MICHALSKI,p.75
INTERLOCUTOR:Werner Jaeger,contrasts_with,philological,POSITION:HR-03-MICHALSKI-P1,"Jaeger as foil: 'Jaeger, the classical philologist, gives us philosophy; Heidegger, the philosopher, gives us philology.' Label-switching frames §I",HR-03-MICHALSKI,p.66;p.68
INTERLOCUTOR:Edmund Husserl,is_presupposed_by,methodological,CONCEPT:Hermeneutic Phenomenology,"Heidegger's hermeneutic phenomenology is the recasting of Husserl's reflexive phenomenology (GA 18 199, 237, 254 contains a criticism of phenomenology)",HR-03-MICHALSKI,p.67;p.76
CONCEPT:Three Moments of Conceptuality,undermines,hermeneutic,CONCEPT:Idle Chatter (Gerede),"Fore-structure is carried by logos as everyday idle talk in ever greater distance from things — distortions through which Dasein conceals things must be thrown into relief",HR-03-MICHALSKI,p.76-77
HEIDEGGER-LOCUS:GA18.276,supports,philological,HEIDEGGER-LOCUS:GA18.358,"GA 18 276 ('The dominance of the interpretedness has the logos') supports GA 18 358 ('The being of this dominance lies in logos') — together establishing logos as the philological-hermeneutic-phenomenological pivot",HR-03-MICHALSKI,p.77;p.80
CONCEPT:Call of Conscience,is_meaning_of,rhetorical,CONCEPT:Epideictic Rhetoric,"Hyde's central thesis: the call of conscience IS the ontological-primordial form of epideictic — a silent showing-forth (epideixis) of the heart of human existence",HR-04-HYDE,p.82;p.84;p.88;p.90;p.95
HEIDEGGER-LOCUS:BT.H289,operationalizes,rhetorical,ARISTOTLE-LOCUS:Rhet.1358b1,"BT §55 ('character of conscience as a call', H.289 + 316 + 318) operationalizes Aristotle's epideictic genus (Rhet. I.3, 1358b1ff) in the existential register",HR-04-HYDE,p.95
HEIDEGGER-LOCUS:BT.H318,is_meaning_of,ontological,CONCEPT:Showing-Forth,"BT 318: 'Conscience discourses solely and constantly in the mode of keeping silent.' The silent call IS the showing-forth (epideixis / Aufzeigen / Sage)",HR-04-HYDE,p.92
ARISTOTLE-LOCUS:Rhet.1377b24,presupposes,rhetorical,HEIDEGGER-LOCUS:GA18.163,"Heidegger's GA 18 163 (Stimmung/Lage gloss) presupposes Aristotle's Rhet. 1377b24 ('put hearers into the right frame of mind')",HR-04-HYDE,p.84
CONCEPT:Pathē,is_meaning_of,ontological,CONCEPT:Stimmung,"Hyde aligns Aristotle's pathē with Heidegger's Stimmung — pathē constitute spirited potential to judge; Stimmung is the ontological mood-structure that constitutes Befindlichkeit",HR-04-HYDE,p.83-84;p.85
CONCEPT:Phronēsis,is_meaning_of,ethical,CONCEPT:Call of Conscience,"Per Taminiaux 1992 / Gadamer 1976: Heidegger said phronesis is Gewissen 'set in motion' that makes an action 'transparent' (durchsichtig). Etymological warrant: phronesis-phrēn (heart) / syn-eidesis / con-scientia",HR-04-HYDE,p.91
CONCEPT:Anger,operationalizes,rhetorical,CONCEPT:Existential Temporality,"Aristotle's analysis of orgē (Rhet. 1378b3-5, 1380b5) — anger collapses imagined future revenge into present immediacy and dissolves with time — perceptual restructuring of existential temporality",HR-04-HYDE,p.86-87
CONCEPT:Pity,operationalizes,rhetorical,CONCEPT:Existential Spatiality,"Pity (eleos, Rhet. 1382b26, 1386a1-3) modifies lived space via identification ('lack of remoteness') — operationalization of BT existential-spatial categories",HR-04-HYDE,p.87
