edge_id,source,source_type,relation,target,target_type,evidence_page,provenance,notes
E-MOORE-30,trunk-as-act,exhibit,instances,objects-as-volitions,concept,496-498,exegetical-intra-volume,Realism in its purity moment
E-MOORE-31,because-and-substitution,diagnostic,characterizes,Moore-objectivist-idiom,style-property,491,exegetical-intra-volume,Lyric causation rewritten as conjunction
E-MOORE-32,Spenser's-Ireland,poem,exemplifies,scene-act-compositional-logic,methodological-claim,489-490,exegetical-intra-volume,Descriptive material as scene for terminal lyric act
E-MOORE-33,Pangolin,poem,opens-motif,armored-animals,motif-cluster,500,exegetical-intra-volume,Another-armoured-animal as diagnostic incipit
E-MOORE-34,Paper-Nautilus,poem,closes-volume,bondage-freedom-merger,thematic-fusion,502,exegetical-intra-volume,Hindered-to-succeed; poet-poem ↔ mother-young
E-MOORE-35,The-Fish,poem,figures,synecdochic-reversibility,trope-instance,493-494,exegetical-intra-volume,Chasm-in-sea ↔ sea-in-chasm pivot
E-MOORE-36,Sojourn-in-the-Whale,poem,prefigures-oppositionally,What-Are-Years,poem,492-493,exegetical-intra-volume,Earlier defensive vs. later affirmative rising-water
E-MOORE-37,The-Plumet-Basilisk,poem,exemplifies,scene-appropriate-to-agent,ratio-instance,494,exegetical-intra-volume,Basilisk lives in basilica
E-MOORE-38,The-Jerboa,poem,exemplifies,scene-appropriate-to-agent,ratio-instance,494,exegetical-intra-volume,Honours-the-sand-by-assuming-its-colour
E-MOORE-39,An-Octopus,poem,figures,objectivist-esthetic,strategy-property,495-496,exegetical-intra-volume,Glacier with relentless accuracy
E-MOORE-40,oeuvre-level-dramatism,method,template-for,player-corpus-analysis,dissertation-application,GM-12-throughout,anticipatory-projection-dissertation,Player as Moore-oeuvre; PIM dimensions as native vocabulary
E-MOORE-41,oeuvre-level-dramatism,method,template-for,studio-corpus-analysis,dissertation-application,GM-12-throughout,anticipatory-projection-dissertation,Studio releases as Moore-oeuvre; cross-title motif convergence
E-MOORE-42,oeuvre-level-dramatism,method,template-for,community-archive-analysis,dissertation-application,GM-12-throughout,anticipatory-projection-dissertation,Forum/wiki/streamer-catalog corpora
E-MOORE-43,proportion-theory,method,template-for,game-studies-school-diagnosis,dissertation-application,486-487,anticipatory-projection-dissertation,Ludology/narratology/proceduralism as ingredient-proportions not labels
E-MOORE-44,trunk-as-act,exhibit,template-for,designer-late-condensed-system-reading,dissertation-application,497-498,anticipatory-projection-dissertation,Read later condensed design through earlier overt expression
E-MOORE-45,scene-act-ratio,ratio,bridges-to,Rickert-ambient-rhetoric,target-pipeline,489-491,anticipatory-projection-dissertation,Scene contains same quality as act = ambient co-actancy prefiguration
E-MOORE-46,scene-appropriate-to-agent,ratio,bridges-to,Uexkull-Umwelt,target-pipeline,488-494,anticipatory-projection-dissertation-parallel,Species-specific perceptual worlds analog; not influence
E-MOORE-47,visible-invisible-relation,concept,bridges-to,Aristotelian-phantasia,target-pipeline,485,anticipatory-projection-dissertation,Power-of-the-visible-is-invisible as phantasia analog
E-MOORE-48,objects-as-volitions,concept,bridges-to,Heidegger-energeia-reading,target-pipeline,496-498,anticipatory-projection-dissertation,Thing-as-actuality not thing-as-stuff
E-MOORE-49,appreciation-as-motive,concept,bridges-to,Burke-Rhetoric-1950-consubstantiation,target-pipeline,489,pending-future-rhetoric-of-motives-pipeline,Appropriation/make-it-one's-own as identification precursor
E-MOORE-50,redemption-of-complaint,concept,bridges-to,Gross-incipient-act-2017,target-pipeline,489,anticipatory-projection-dissertation,Emotion arrested at threshold and transformed
E-MOORE-51,oeuvre-level-dramatism,method,bridges-to,Calleja-PIM-corpus-application,target-pipeline,GM-12-throughout,anticipatory-projection-dissertation,Primary reciprocal dissertation bridge
E-MOORE-52,Coleridge-fancy,citation,footnote-supports,butterfly-poem-reading,exhibit,499-footnote,exegetical-intra-volume,Fancy as common-element-in-contrasted-images
E-MOORE-53,Wordsworth-ode,citation,footnote-frames,Virginia-Britannia,poem,500-footnote,exegetical-intra-volume,Intimation of glory as Wordsworthian close
E-MOORE-54,Verhaeren-clocks,citation,footnote-contrasts-with,Moore-contemplative-clocks,exhibit,495-footnote,exegetical-intra-volume,Ominous vs. contemplative clock-faces
E-MOORE-55,refutation-by-silence,concept,opposes,eristic-dialectic,opposition-target,492,exegetical-intra-volume,Feminine non-disputational refusal as dialectical posture
E-MOORE-56,methodological-poems-Selected-Poems,cluster,dropped-from,What-Are-Years,volume,502,exegetical-intra-volume,Burke's catalog of nine methodological poems Moore retired
