edge_id,source,target,relation,contributor,anchor_pdf,anchor_book,note
US05-E017,professional-expertise-limits,localization-illusion,exacerbates,Preston,144,134,Angular gyrus: arithmetic / metaphor / out-of-body / cross-modal-integration / self-relevant — single-discipline reading habits foreclose triangulation
US05-E018,monetary-incentivization-critique,fMRI-methodology,limits,Preston,142,132,Money produces a mindset that specifically limits prosocial motives; non-linear value across persons
US05-E019,technocratic-hierarchy,fMRI-methodology,structures,Preston,147,137,~$600/subject + $12,000+/experiment + $100,000+ infrastructure divides field; high-funding labs least likely to use simpler techniques
US05-E020,central-historical-claim,phelps-2000-study,explains-margin-of,Gross & Preston,147,137,Topic of fear-research coincides meaningfully with post-war anti-racism concerns at margins of experiment design
US05-E021,central-historical-claim,preston-hofelich-hospital-study,explains-margin-of,Gross & Preston,147,137,Topic of empathy-research coincides meaningfully with post-war humanitarianism concerns
US05-E022,empathy-apathy-reticence,mirror-neuron-circularity,breaks-circle-of,Preston,152,142,Three-term triad replaces the circular 'empathy = mirror-neuron activity = empathy' definition
US05-E023,preston-hofelich-hospital-study,empathy-apathy-reticence,empirically-grounds,Preston,152,142,Hospital-patient video study (Hofelich PhD 2012) produces variance pattern across distraught / reticent dimensions
US05-E024,depression-reduces-empathy,mirror-neuron-circularity,empirically-refutes,Preston,152,142,Observers with depression-driven negative affect report LESS sympathy for distraught patients — pain does not linearly trigger pain
US05-E025,perspective-takers-prefer-reticent,empathy-apathy-reticence,empirically-grounds,Preston,152,142,Perspective-taking habit interacts non-linearly with reticent-patient stimulus
US05-E026,dean-reticence-thesis,empathy-apathy-reticence,cross-discipline-bridges,Gross,153,143,Dean's post-WWII reticence-as-authentic-suffering norm bridges Preston's lab finding to Holocaust-survivor archive
US05-E027,dean-preston-disanalogy,dean-reticence-thesis,tensions-with,Gross & Preston,153,143,Preston-lab reticent = LEAST sympathy; Dean's survivor-reticence = MAXIMAL credibility — same surface term different cultural-historical situations
US05-E028,gender-in-empathy-study,preston-hofelich-hospital-study,destabilizes,Preston,154,144,Gender expectations differentiate willingness to help distraught vs. resilient patients — empathy research cannot be gender-neutral without distortion
US05-E029,humanities-construction-of-dignity,dean-reticence-thesis,extends,Gross,154,144,With Dean: humanities account of how victims are constituted along with the agencies expected to respond
US05-E030,situated-conceptualization,basic-emotion-critique,supersedes,Gross & Preston,150,140,Wilson-Mendenhall + Barsalou critique Ekman's inborn-instinct + stereotyped-trigger model (snake → fear circuit 1105)
US05-E031,barsalou-elliptical-limit,situated-conceptualization,critiques,Gross,151,141,Barsalou's modular-functionalist focus forced to rely on 'and so forth' / 'and many others' for non-conceptual social affordances
US05-E032,emotions-in-the-wild,situated-conceptualization,supersedes,Gross,151,141,Griffiths + Scarantino track emotions in marital quarrels / pre-performance embarrassment — environment AFFORDS skillful engagement
US05-E033,diachronic-synchronic-scaffolding,emotions-in-the-wild,operationalizes,Gross,151,141,Synchronic (Vygotskian confessional) + diachronic (Catholic culture) scaffolding + emotional capital concepts
US05-E034,critical-race-theory-bridge,phelps-2000-study,supplies-mediating-field,Gross,149,139,Critical race theory + rhetorical studies provide the mediating field of socio-historical phenomena Phelps's protocol does not articulate
US05-E035,methodological-wager,POS-snow-dichotomy-contested,answers,Gross & Preston,155,145,'Two-cultures collaboration at its early stages' — written by a rhetorician and a neuroscientist enacts the methodology it theorizes
US05-E036,ecological-experimental-protocols,POS-laboratory-eight-limits,obligates-scientist-side,Gross & Preston,154,144,Treaty: scientists must build ecological + situated + statistically powerful protocols within existing technology
US05-E037,all-or-none-refusal,POS-against-consilience-reduction,obligates-humanist-side,Gross & Preston,154,144,Humanists must refuse the demand that topics be EITHER completely available to experiment OR completely unavailable
US05-E038,POS-laboratory-topics-coincide-with-history,phelps-2000-study,instantiates-in,Gross & Preston,147-149,137-139,Fear-research / racism coincidence shown in Phelps study; bias built into stimulus design + interpretation
US05-E039,POS-laboratory-topics-coincide-with-history,preston-hofelich-hospital-study,instantiates-in,Gross & Preston,147 152-154,137 142-144,Empathy-research / humanitarianism coincidence shown in Preston-Hofelich hospital study + Dean cross-bridge
US05-E040,GROSS-RHETORICAL-ONTOLOGY,rhetorical-situational-reframing,grounds,Gross,(volume-wide),(volume-wide),HR-01-GROSS rhetorical ontology presupposed; Phelps reframing is direct application — re-reads-author bridge
US05-E041,GROSS-2012-NEURORHETORICS,phelps-2000-study,re-reads-author,Gross,n.34,n.34,'A portion of this experiment description and critique appeared in' Gross's 2012 'Toward a Rhetoric of Cognition' (Neurorhetorics ed. Jack)
US05-E042,BIESS-GROSS-2014,US05-EPILOGUE,is-prior-version-of,Gross,n.33,n.33,Earlier version published in Biess + Gross eds. Science and Emotion after 1945 (Chicago 2014) — self-citation
US05-E043,DEAN-2014-ERASURES,dean-reticence-thesis,grounds,Gross,153-154,143-144,Dean's chapter in Biess + Gross 2014 — quoted at 396 on reticence as marker of authenticity
US05-E044,WILSON-MENDENHALL-2011,situated-conceptualization,canonical-statement-of,Gross & Preston,150-151,140-141,Wilson-Mendenhall + Barsalou et al. 'Grounding Emotion in Situated Conceptualization' (Neuropsychologia 49) is the canonical statement
US05-E045,POLDRACK-2006,reverse-inference,canonical-statement-of,Preston,n.29,n.29,Poldrack 'Can Cognitive Processes Be Inferred from Neuroimaging Data?' (Trends Cog. Sci. 10.2)
US05-E046,WANG-PRESTON-2012,reverse-inference,illustrates-via-self-example,Preston,146,136,Preston-lab study: insula activated for ACQUIRING valuable goods (unexpected); reverse-inference ban forecloses confirmatory inference from prior literature
US05-E047,IACOBONI-2008,mirror-neuron-circularity,canonical-statement-of,Preston,n.3,n.3,Iacoboni Mirroring People (FSG 2008) — mirror-neuron synthesis Preston critiques as circular
US05-E048,PRESTON-DEWAAL-2011,monetary-incentivization-critique,grounds,Preston,n.16,n.16,Preston + de Waal 'Altruism' (Handbook of Social Neuroscience 2011) — Preston's altruism program contextualizing money-suppresses-prosociality critique
US05-E049,PRESTON-HOFELICH-2012,preston-hofelich-hospital-study,publishes,Preston,n.41,n.41,Preston + Hofelich 'The Many Faces of Empathy' (Emotion Review 4.1:24-33) — stable-state dynamic-systems approach
US05-E050,PRESTON-ALTRUISTIC-BRAIN-2014,empathy-apathy-reticence,authorial-background-of,Preston,(provenance),(provenance),Preston's Altruistic Brain (Oxford 2014) is the empathy-research substrate from which the triad emerges
US05-E051,SNOW-1959,two-cultures,canonical-statement-of,Gross & Preston,139,129,Snow's Rede Lecture is the operative framing for the Epilogue
US05-E052,PINKER-2007-CONSILIENT,consilience-response,exemplifies,Gross,n.6,n.6,Pinker 'Toward a Consilient Study of Literature' (Philosophy and Literature 31.1) — applies evolutionary psychology + Trivers's 'moral emotions' to Austen
US05-E053,SCARANTINO-GRIFFITHS-2011,incommensurability-response,exemplifies,Gross,n.5,n.5,Scarantino + Griffiths 'Don't Give Up on Basic Emotions' (Emotion Review 3.4) — Folk vs. Scientific Emotion Project distinction
US05-E054,DAMASIO-2000,reverse-inference,supporting-evidence-for,Preston,n.32,n.32,Damasio The Feeling of What Happens (2000:400) — insula in monetary cost-benefit decisions; bears on Wang-Preston insula puzzle
US05-E055,KAGAN-2007,fMRI-methodology,critiques,Gross,n.5 n.8,n.5 n.8,Kagan What Is Emotion? (Yale 2007) calls for moratorium on single-word emotion terms — sympathetic project
US05-E056,LEYS-2011-AFFECT,mirror-neuron-circularity,parallel-critique-of,Gross,n.8,n.8,Ruth Leys 'Both of Us Disgusted in My Insula' (in Biess + Gross 2014) critiques mirror-neuron theory of emotional empathy
US05-E057,Elizabeth A. Phelps,phelps-2000-study,authors,Preston,147,137,Phelps NYU cognitive scientist who led the 2000 J. Cog. Neuroscience study; interlocutor anchor
US05-E058,Stephanie D. Preston,preston-hofelich-hospital-study,authors,Gross,152,142,Co-author of the Epilogue; PI of the Preston Ecological Neuroscience Lab
US05-E059,Carolyn J. Dean,dean-reticence-thesis,authors,Gross,140 153-154,130 143-144,Dean's 'Empathy Pornography and Suffering' (2003) + 'Erasures' (in Biess + Gross 2014) — historian of post-war emotion
US05-E060,Lawrence Barsalou,situated-conceptualization,authors,Gross & Preston,150-151,140-141,Barsalou + Wilson-Mendenhall + Barrett situated-conceptualization program
US05-E061,Paul Griffiths,emotions-in-the-wild,authors,Gross,151,141,Griffiths + Scarantino 'Emotions in the Wild' chapter — environment AFFORDS skillful engagement
US05-E062,Russell Poldrack,reverse-inference,authors,Preston,n.29,n.29,Poldrack 2006 canonical reverse-inference critique
US05-E063,methodological-wager,situated-cognition,operates-through,Gross & Preston,155,145,'In situated cognition we identify an approach that invites such collaboration' — the framework of the volume's methodological self-justification
US05-E064,Olaudah Equiano,familiarity-as-mediation,cross-references-from-ch2,Gross,150,140,Volume-internal Ch.2 callback: Equiano's familiarity with slavemaster Pascal — historical counter-case to Phelps's familiarity construct
US05-E065,Jane Austen,POS-against-consilience-reduction,cross-references-from-ch4,Gross,140,130,Volume-internal Ch.4 callback via Pinker's evolutionary-psychological reading of Sense and Sensibility
US05-E066,J. J. Gibson,emotions-in-the-wild,phenomenological-tradition-anchors,Gross,147,137,Gibson's ecological perception bridges Wittgenstein + Vygotsky + Heideggerian phenomenology to the alternative tradition the chapter endorses
