rcode,term,item,codes,disputed,agree_jaccard,evidence
S25-R046,S25,Q9,G3-CONTENT,,,
S25-R047,S25,Q10,E-SHA;G6-USECASE,,,
S25-R047,S25,Q5,E-LUD,,,
S25-R047,S25,Q6,G3-CONTENT,,,
S25-R047,S25,Q9,G5-GUIDE,,,
S25-R048,S25,Q10,G6-USECASE,,,
S25-R048,S25,Q5,E-AFF;E-SPA;F2-WORLD,,,
S25-R048,S25,Q6,D1-A2;G2-OPTIMIZE;G3-CONTENT,,,
S25-R048,S25,Q9,X-EMPTY,,,
S25-R049,S25,Q10,G4-INTERACT;G5-GUIDE,,,
S25-R049,S25,Q5,D2-A3,,,
S25-R049,S25,Q6,X-OFFTOPIC,,,
S25-R049,S25,Q9,G3-CONTENT,,,
S25-R050,S25,Q10,G6-USECASE,,,
S25-R050,S25,Q5,D2-A3,,,
S25-R050,S25,Q6,X-EMPTY,,,
S25-R050,S25,Q9,X-EMPTY,,,
S25-R052,S25,Q10,X-EMPTY,,,
S25-R052,S25,Q5,X-OFFTOPIC,,,
S25-R052,S25,Q6,X-OFFTOPIC,,,
S25-R052,S25,Q9,G4-INTERACT,,,
S25-R053,S25,Q10,G6-USECASE,,,
S25-R053,S25,Q5,D2-A3,,,
S25-R053,S25,Q6,X-OFFTOPIC,,,
S25-R053,S25,Q9,G4-INTERACT,,,
S25-R054,S25,Q10,F1-PRESENCE;G6-USECASE,,,"""VR can help you transport there"""
S25-R054,S25,Q5,X-OFFTOPIC,,,
S25-R054,S25,Q6,A2-DIFFUSE,,,"""The VR can definitely be improved"""
S25-R054,S25,Q9,A1.crash;E-KIN;G4-INTERACT,,,"""seems to get stuch a lot"""
S25-R055,S25,Q10,E-SHA;E-SPA;G6-USECASE,,,
S25-R055,S25,Q5,D2-A3;E-AFF;E-NAR,,,
S25-R055,S25,Q6,X-OFFTOPIC,,,
S25-R055,S25,Q9,G5-GUIDE,,,
S25-R057,S25,Q10,G6-USECASE,,,
S25-R057,S25,Q5,D2-A3,,,
S25-R057,S25,Q6,X-OFFTOPIC,,,
S25-R057,S25,Q9,E-SHA;G4-INTERACT,,,
S25-R058,S25,Q10,X-EMPTY,,,
S25-R058,S25,Q5,X-OFFTOPIC,,,
S25-R058,S25,Q6,G5-GUIDE,,,
S25-R058,S25,Q9,G5-GUIDE,,,
S25-R059,S25,Q10,X-EMPTY,,,
S25-R059,S25,Q5,X-OFFTOPIC,,,
S25-R059,S25,Q6,X-EMPTY,,,
S25-R059,S25,Q9,G1-PROVISION,,,
S25-R061,S25,Q5,X-EMPTY,,,
S25-R061,S25,Q6,A1.other,,,"""were kind of hard to watch"""
S25-R062,S25,Q10,E-SHA;G6-USECASE,,,
S25-R062,S25,Q5,X-OFFTOPIC,,,
S25-R062,S25,Q6,X-OFFTOPIC,,,
S25-R062,S25,Q9,A1.nav,,,"""annoying especially when trying to select a specific video"""
S25-R063,S25,Q10,E-SHA;G6-USECASE,,,
S25-R063,S25,Q5,D2-A3,,,
S25-R063,S25,Q6,X-EMPTY,,,
S25-R063,S25,Q9,G4-INTERACT,,,
S25-R064,S25,Q10,G6-USECASE,,,
S25-R064,S25,Q5,X-OFFTOPIC,,,
S25-R064,S25,Q6,X-EMPTY,,,
S25-R064,S25,Q9,G5-GUIDE,,,
S25-R065,S25,Q10,G6-USECASE,,,
S25-R065,S25,Q5,X-OFFTOPIC,,,
S25-R065,S25,Q6,X-OFFTOPIC,,,
S25-R065,S25,Q9,A1.hw,,,"""Not every student owns a high-end VR headset"""
S25-R066,S25,Q10,D2-A3;X-NONUSE,,,
S25-R066,S25,Q5,X-OFFTOPIC,,,
S25-R066,S25,Q6,X-OFFTOPIC,,,
S25-R066,S25,Q9,X-EMPTY,,,
S25-R067,S25,Q5,D2-A3,,,
S25-R067,S25,Q6,X-OFFTOPIC,,,
S25-R067,S25,Q9,G5-GUIDE;X-NONUSE,,,"""didn't use"""
S25-R068,S25,Q10,E-SHA;G6-USECASE,,,
S25-R068,S25,Q5,X-OFFTOPIC,,,
S25-R068,S25,Q6,X-OFFTOPIC,,,
S25-R068,S25,Q9,A1.lag;A1.nav,,,"""easily get lost in the lobby"" and ""playback issues"""
S25-R069,S25,Q10,X-OFFTOPIC,,,
S25-R069,S25,Q5,X-OFFTOPIC,,,
S25-R069,S25,Q6,A1.hw,,,"""program was not compatible with my computer"""
S25-R069,S25,Q9,D1-A0A1,,,"""video was...not that clear"" and ""POV's were stagnant"""
S25-R070,S25,Q10,D2-A3,,,
S25-R070,S25,Q5,B1-FALLBACK,,,"""youtube video is the most helpful thing"""
S25-R070,S25,Q6,X-OFFTOPIC,,,
S25-R070,S25,Q9,A1.install,,,
S25-R071,S25,Q10,X-EMPTY,,,
S25-R071,S25,Q5,X-OFFTOPIC,,,
S25-R071,S25,Q6,X-OFFTOPIC,,,
S25-R071,S25,Q9,X-EMPTY,,,
S25-R072,S25,Q10,G6-USECASE,,,
S25-R072,S25,Q5,X-OFFTOPIC,,,
S25-R072,S25,Q6,X-OFFTOPIC,,,
S25-R072,S25,Q9,A1.hw;X-NONUSE,,,"""strained my computer a lot"""
S25-R073,S25,Q10,G6-USECASE,,,
S25-R073,S25,Q5,X-OFFTOPIC,,,
S25-R073,S25,Q6,X-OFFTOPIC,,,
S25-R073,S25,Q9,X-EMPTY,,,
S25-R074,S25,Q10,E-SHA;G6-USECASE,,,
S25-R074,S25,Q5,B1-FALLBACK;X-NONUSE,,,"""could not access the VR"""
S25-R074,S25,Q6,X-OFFTOPIC,,,
S25-R074,S25,Q9,A1.install;D1-A0A1,,,"""echo x3"" and ""couldn't get the VR software to work"""
S25-R077,S25,Q10,F1-PRESENCE;G6-USECASE,,,"""experiencing things that normally students wouldn't be able to be in contact with"""
S25-R077,S25,Q5,D2-A3,,,
S25-R077,S25,Q6,D1-A0A1,,,"""audio...was really bad"""
S25-R077,S25,Q9,G2-OPTIMIZE,,,
S25-R078,S25,Q10,G6-USECASE,,,
S25-R078,S25,Q5,D2-A3,,,
S25-R078,S25,Q6,X-OFFTOPIC,,,
S25-R078,S25,Q9,G3-CONTENT;G4-INTERACT,,,
S25-R079,S25,Q10,E-LUD;G6-USECASE,,,
S25-R079,S25,Q5,D2-A3,,,
S25-R079,S25,Q6,X-OFFTOPIC,,,
S25-R079,S25,Q9,X-EMPTY,,,
W25-R001,W25,Q10,G6-USECASE,,,
W25-R001,W25,Q5,X-OFFTOPIC,,,
W25-R001,W25,Q6,X-OFFTOPIC,,,
W25-R001,W25,Q9,A1.crash;A1.lag;D3-A3A4,,,just crash or take long to load
W25-R002,W25,Q10,G6-USECASE,,,
W25-R002,W25,Q5,D2-A3,,,
W25-R002,W25,Q6,X-OFFTOPIC,,,
W25-R002,W25,Q9,A1.nav;B1-FALLBACK;D0-A0A1,,,curved video overlay which can be weird viewing
W25-R003,W25,Q10,A1.hw;G6-USECASE,,,couldn't open the VR program
W25-R003,W25,Q5,D2-A3;TRANSLATED,,,
W25-R003,W25,Q6,A1.hw;TRANSLATED,,,couldn't use the VR program
W25-R003,W25,Q9,G5-GUIDE;TRANSLATED,,,
W25-R004,W25,Q10,E-SHA;G6-USECASE,,,
W25-R004,W25,Q5,C3-LENGTH;D2-A3,,,
W25-R004,W25,Q6,C3-LENGTH,,,
W25-R004,W25,Q9,G4-INTERACT,,,
W25-R005,W25,Q10,G6-USECASE,,,
W25-R005,W25,Q5,D2-A3,,,
W25-R005,W25,Q6,X-OFFTOPIC,,,
W25-R005,W25,Q9,A1.hw,,,wasn't able to use the VR
W25-R006,W25,Q10,E-NAR;F1-PRESENCE,,,see all parts of the surgical area in detail
W25-R006,W25,Q5,F2-WORLD,,,
W25-R006,W25,Q6,X-OFFTOPIC,,,
W25-R006,W25,Q9,A1.crash;G2-OPTIMIZE,,,sometimes break
W25-R007,W25,Q10,A4-DIV,,,
W25-R007,W25,Q5,D2-A3,,,
W25-R007,W25,Q6,B1-FALLBACK,,,
W25-R007,W25,Q9,A1.crash;G2-OPTIMIZE,,,so many bugs
W25-R008,W25,Q10,A2-DIFFUSE,,,
W25-R008,W25,Q5,D2-A3,,,
W25-R008,W25,Q6,A1.hw;A1.install;B1-FALLBACK,,,have a Mac so it was far more inconvenient
W25-R008,W25,Q9,G5-GUIDE,,,
W25-R009,W25,Q10,G6-USECASE,,,
W25-R009,W25,Q5,E-NAR;F1-PRESENCE,,,became a real engineer
W25-R009,W25,Q6,X-EMPTY,,,
W25-R009,W25,Q9,G3-CONTENT,,,
W25-R010,W25,Q10,G6-USECASE,,,
W25-R010,W25,Q5,D2-A3,,,
W25-R010,W25,Q6,X-OFFTOPIC,,,
W25-R010,W25,Q9,A1.lag;A1.nav;G2-OPTIMIZE,,,lag between the movements
W25-R011,W25,Q10,G6-USECASE,,,
W25-R011,W25,Q5,F1-PRESENCE,,,never get to experience such as in-person surgery
W25-R011,W25,Q6,X-OFFTOPIC,,,
W25-R011,W25,Q9,A1.nav;G2-OPTIMIZE;G5-GUIDE,,,get around to each video faster
W25-R012,W25,Q10,X-EMPTY,,,
W25-R012,W25,Q5,X-OFFTOPIC,,,
W25-R012,W25,Q6,X-EMPTY,,,
W25-R012,W25,Q9,D2-A3;G5-GUIDE,,,confusing to view the procedures
W25-R013,W25,Q10,G6-USECASE,,,
W25-R013,W25,Q5,D2-A3;E-NAR,,,
W25-R013,W25,Q6,D0-A0A1;D1-A2;G5-GUIDE,,,
W25-R013,W25,Q9,A1.nav;D1-A2;G2-OPTIMIZE;G5-GUIDE,,,instead of walking over
W25-R014,W25,Q10,G6-USECASE;X-NONUSE,,,
W25-R014,W25,Q5,C3-LENGTH;D2-A3;E-NAR,,,
W25-R014,W25,Q6,A1.crash;A1.lag;A4-DIV;B1-FALLBACK,,,buggy and slow
W25-R014,W25,Q9,A2-DIFFUSE;A4-DIV;B1-FALLBACK,,,
W25-R015,W25,Q10,A2-DIFFUSE,,,
W25-R015,W25,Q5,D2-A3,,,
W25-R015,W25,Q6,A1.crash;A1.install,,,would crash and took a lot of space
W25-R015,W25,Q9,G2-OPTIMIZE,,,
W25-R016,W25,Q5,D2-A3,,,
W25-R016,W25,Q6,X-OFFTOPIC,,,
W25-R016,W25,Q9,A1.nav;G5-GUIDE,,,hard to navigate
W25-R017,W25,Q10,E-AFF;G6-USECASE,,,exciting and engaging
W25-R017,W25,Q5,X-OFFTOPIC,,,
W25-R017,W25,Q6,X-EMPTY,,,
W25-R017,W25,Q9,A4-DIV;B1-FALLBACK,,,
W25-R018,W25,Q10,G6-USECASE,,,
W25-R018,W25,Q5,C3-LENGTH;D2-A3,,,
W25-R018,W25,Q6,A1.hw;G5-GUIDE,,,wasn't able to use the VR program
W25-R019,W25,Q10,G6-USECASE,,,
W25-R019,W25,Q5,D2-A3,,,
W25-R019,W25,Q6,X-OFFTOPIC,,,
W25-R019,W25,Q9,A1.install;B1-FALLBACK;G2-OPTIMIZE,,,trouble with downloading the program
W25-R020,W25,Q10,G6-USECASE,,,
W25-R020,W25,Q5,D2-A3,,,
W25-R020,W25,Q6,X-OFFTOPIC,,,
W25-R020,W25,Q9,A1.hw;G1-PROVISION,,,feels off when seeing it in the laptop screen
W25-R021,W25,Q10,G6-USECASE,,,
W25-R021,W25,Q5,X-EMPTY,,,
W25-R021,W25,Q6,X-EMPTY,,,
W25-R021,W25,Q9,D4-LOOP;G4-INTERACT,,,
W25-R022,W25,Q10,X-EMPTY,,,
W25-R022,W25,Q5,X-EMPTY,,,
W25-R022,W25,Q6,A2-DIFFUSE,,,
W25-R022,W25,Q9,A1.crash;G2-OPTIMIZE,,,causes problems with the software
W25-R023,W25,Q10,G6-USECASE,,,
W25-R023,W25,Q5,D2-A3,,,
W25-R023,W25,Q6,A1.hw;G2-OPTIMIZE,,,
W25-R024,W25,Q10,G6-USECASE,,,
W25-R024,W25,Q5,X-OFFTOPIC,,,
W25-R024,W25,Q6,X-OFFTOPIC,,,
W25-R024,W25,Q9,X-EMPTY,,,
W25-R025,W25,Q10,E-AFF;E-SHA;G6-USECASE,,,
W25-R025,W25,Q5,D2-A3;E-AFF,,,
W25-R025,W25,Q6,A3-MONOTONY;C3-LENGTH;D0-A0A1;D2-A3;D3-A3A4,,,a lot of space of inactivity
W25-R025,W25,Q9,A3-MONOTONY;D0-A0A1;D3-A3A4;G5-GUIDE,,,lot of filler space period of inactivity
W25-R026,W25,Q10,G6-USECASE,,,
W25-R026,W25,Q5,X-OFFTOPIC,,,
W25-R026,W25,Q6,A2-DIFFUSE;B1-FALLBACK;D4-LOOP,,,
W25-R026,W25,Q9,A1.crash;B1-FALLBACK,,,ran into a lot of bugs
W25-R027,W25,Q10,X-EMPTY,,,
W25-R027,W25,Q5,D2-A3;D4-LOOP,,,
W25-R027,W25,Q6,X-EMPTY,,,
W25-R027,W25,Q9,A1.crash;A1.hw;B1-FALLBACK;X-NONUSE,,,laptop would always crash upon opening
W25-R028,W25,Q10,E-SHA;G6-USECASE,,,
W25-R028,W25,Q5,D2-A3;E-NAR,,,
W25-R028,W25,Q6,X-OFFTOPIC,,,
W25-R028,W25,Q9,G5-GUIDE,,,
W25-R029,W25,Q10,E-AFF;E-SHA;G6-USECASE,,,
W25-R029,W25,Q5,D2-A3,,,
W25-R029,W25,Q6,X-OFFTOPIC,,,
W25-R029,W25,Q9,A1.other;A2-DIFFUSE;A4-DIV;B1-FALLBACK,,,gimmicky and clunky
W25-R030,W25,Q10,E-AFF;G6-USECASE,,,
W25-R030,W25,Q5,D2-A3;E-SHA,,,
W25-R030,W25,Q6,X-OFFTOPIC,,,
W25-R030,W25,Q9,A1.hw;A1.lag;A4-DIV;D0-A0A1,,,laptop is unable to run the program
W25-R031,W25,Q10,G6-USECASE,,,
W25-R031,W25,Q5,D2-A3;D4-LOOP,,,
W25-R031,W25,Q6,X-OFFTOPIC,,,
W25-R031,W25,Q9,A3-MONOTONY;D2-A3;G5-GUIDE,,,videos are very long
W25-R032,W25,Q10,A2-DIFFUSE,,,
W25-R032,W25,Q5,D2-A3,,,
W25-R032,W25,Q6,D2-A3;G5-GUIDE,,,
W25-R032,W25,Q9,A1.crash;G2-OPTIMIZE,,,nonstraightforward controls just to avoid a bug
W25-R033,W25,Q10,G6-USECASE,,,
W25-R033,W25,Q5,E-AFF;E-NAR;F1-PRESENCE,,,really cool and interesting
W25-R033,W25,Q6,X-OFFTOPIC,,,
W25-R033,W25,Q9,G4-INTERACT,,,
W25-R034,W25,Q10,F1-PRESENCE;G6-USECASE,,,
W25-R034,W25,Q5,D2-A3;E-NAR;F1-PRESENCE,,,
W25-R034,W25,Q6,D1-A2;G2-OPTIMIZE,,,
W25-R034,W25,Q9,A1.other;D1-A2;G2-OPTIMIZE,,,difficult to make out finer details
W25-R035,W25,Q10,E-SHA;G4-INTERACT;G6-USECASE,,,
W25-R035,W25,Q5,D2-A3,,,
W25-R035,W25,Q6,G5-GUIDE,,,
W25-R035,W25,Q9,A1.install;B1-FALLBACK,,,forgot my password and it was too much work
W25-R036,W25,Q10,E-SPA;F1-PRESENCE;F3-CARRY,,,eye opening
W25-R036,W25,Q5,C3-LENGTH;D2-A3,,,
W25-R036,W25,Q6,X-OFFTOPIC,,,
W25-R036,W25,Q9,A1.crash;G2-OPTIMIZE,,,
W25-R037,W25,Q10,F1-PRESENCE;G1-PROVISION;G6-USECASE,,,
W25-R037,W25,Q5,X-OFFTOPIC,,,
W25-R037,W25,Q6,X-OFFTOPIC,,,
W25-R037,W25,Q9,A1.hw;A4-DIV;B1-FALLBACK,,,should be compatible with Mac
W25-R038,W25,Q10,A4-DIV;G6-USECASE,,,I was usually alone in the platform
W25-R038,W25,Q5,D2-A3;E-AFF;E-NAR;E-SPA,,,
W25-R038,W25,Q6,A1.nav;B1-FALLBACK,,,extra layer of work and effort to open it up
W25-R038,W25,Q9,G4-INTERACT,,,
W25-R039,W25,Q10,G6-USECASE,,,
W25-R039,W25,Q5,D2-A3,,,
W25-R039,W25,Q9,D1-A2;G3-CONTENT,,,
W25-R040,W25,Q10,E-SHA;G6-USECASE,,,
W25-R041,W25,Q10,G6-USECASE,,,
W25-R041,W25,Q5,X-OFFTOPIC,,,
W25-R041,W25,Q6,A1.install;A5-WITHDRAWN;B1-FALLBACK,,,gave up on it and just watching the youtube videos
W25-R041,W25,Q9,B1-FALLBACK;G2-OPTIMIZE,,,
W25-R042,W25,Q10,D3-A3A4;G6-USECASE,,,
W25-R042,W25,Q5,D2-A3,,,
W25-R042,W25,Q6,G5-GUIDE,,,
W25-R042,W25,Q9,A1.hw;G2-OPTIMIZE,,,
W25-R043,W25,Q10,E-SHA;G6-USECASE,,,
W25-R043,W25,Q5,D2-A3,,,
W25-R043,W25,Q6,A3-MONOTONY,,,overwhelmed with how much there was
W25-R043,W25,Q9,A1.install;A1.lag,,,downloading was a bit difficult
W25-R044,W25,Q10,F1-PRESENCE;F2-WORLD,,,feels like you are in it
W25-R044,W25,Q5,D2-A3;F1-PRESENCE,,,super interesting
W25-R044,W25,Q6,X-EMPTY,,,
W25-R044,W25,Q9,A1.lag;D1-A2,,,a bit glitchy at points and took some time to load
W25-R045,W25,Q10,G6-USECASE,,,
