rcode,term,item,words,text
W25-R021,W25,Q9,22,Add assignment to ensure the VR clinical immersion platform is being used in a way that it is meant to be used
W25-R021,W25,Q10,18,I do think that virtual meetings would be better than zoom classes but not better than in-person classes
W25-R022,W25,Q5,4,Performing a gap analysis
W25-R022,W25,Q6,9,The VR space is not the most efficient platform
W25-R022,W25,Q9,39,"If you don't properly ""kill"" the video before exiting, it causes problems with the software, making you restart it entirely. This is highly inconvenient and if it is possible to fix this, it would make the experience more smooth."
W25-R022,W25,Q10,1,n/a
W25-R023,W25,Q5,14,The video lectures would be very helpful in getting ready for senior design projects.
W25-R023,W25,Q6,4,Easier access VR program.
W25-R023,W25,Q10,29,VR lab options since we don’t have much courses that requires taking lab with it would be helpful to have those labs virtually so we still have some experience.
W25-R024,W25,Q5,22,"The aspects that I found the most useful was the discord, the youtube videos, and the extra links provided after each topic."
W25-R024,W25,Q6,20,I think this course could be improved if it was an in-person class since there is group work for this.
W25-R024,W25,Q9,15,Some elements that could be added to improve the VR clinical immersion platform is maybe
W25-R024,W25,Q10,54,"I think this could be useful in courses that are related to the subject. For instance in a class like BME 120 where we focused on topics such as ECG, EGG, etc, it would have been nice to see a procedure to gain an idea on what it is like to use these instruments."
W25-R025,W25,Q5,28,I like the short lecture videos because I didn't feel my attention shift and I felt a lot more engaged compared to a long 2 hr lecture video.
W25-R025,W25,Q6,41,I didn't like the interactive videos so much because it was hard to really understand what was going on and I couldn't really hear what was going on and there was a lot of space of inactivity. Videos were unnecessarily long.
W25-R025,W25,Q9,61,"Better sound/perhaps subtitles or explanation of what's going on at that point in time. For the EEG 170 videos, there was a good idea of what was happening throughout the videos, but in most videos, there was a lot of filler space/period of inactivity and you could not really hear or guess what was going on and it made it confusing."
W25-R025,W25,Q10,61,"It might be cool to have avatars and work in virtual space groups because a lot of people have busy schedules so it would be nice if we could work on stuff in our own space, but still have the feeling that we're not working alone. Like be able to see our group's avatars when they log on and send comments."
W25-R026,W25,Q5,30,I think the most useful parts of this course was the innovation notebook and gap analysis that helped us understand what a typical regulatory analysis in industry would look like.
W25-R026,W25,Q6,44,I think finding ways to entice students to join the VR world more would be something that could be improved. I found myself watching on Youtube a lot more than joining the VR world because it seemed a little bit more convenient for me.
W25-R026,W25,Q9,40,"I think I ran into a lot of bugs in the VR player that made it feels not as beneficial. With these issues, I found it more straightforward to watch on Youtube because I knew there would be no bugs."
W25-R026,W25,Q10,68,"I think that virtual spaces would be good if we are looking into the anatomy of a procedure, not necessarily following the procedure through a video. If there was a 3D rendering of, say a hysterectomy, and there was an animation of what surgeons do, I think having an enlarged 3D rendering animation would be a lot more immersive than watching videos that could be viewed through Youtube."
W25-R027,W25,Q5,26,I found that the recorded lectures were extremely helpful. There were often times I would refer back to the lecture slides when working on the projects.
W25-R027,W25,Q6,4,Nothing comes to mind
W25-R027,W25,Q9,20,Did not use the platform because my laptop would always crash upon opening. I would refer to the youtube videos.
W25-R027,W25,Q10,1,N/a
W25-R028,W25,Q5,18,I found the interviews to be most useful at providing concrete examples of unmet needs throughout the world.
W25-R028,W25,Q6,29,Providing more check-ins for the project so that teams can be more organized if they're a group of randomly chosen people who may not be able to communicate much.
W25-R028,W25,Q9,26,Giving a more thorough explanation of the video such as why there may be multiple videos of the same surgery in similar settings given different circumstances.
W25-R028,W25,Q10,35,"Beyond the given examples, allowing for some sort of way for multiple people to watch a vr video could benefit teams in having real time discussion on what they may be noticing that other's aren't."
W25-R029,W25,Q5,21,I found that the quizzes were useful to making sure I understood the material and was focusing on the right parts.
W25-R029,W25,Q6,8,I think more in-depth lectures would be helpful.
W25-R029,W25,Q9,34,"I think the platform is a little gimmicky and clunky. It was annoying to use at times, so I just stuck to the YouTube videos even though I thought the platform was pretty cool."
W25-R029,W25,Q10,30,I think engaging with a group together on the platform can pretty cool and useful so that everyone can see the same thing without having to be with each other.
W25-R030,W25,Q5,42,I found the lecture videos and the group project learning most useful. The lecture videos contained a lot of information and resources to utilize in our own research. The group project allowed for in depth discussions over unmet needs and class content.
W25-R030,W25,Q6,70,"Though the lecture videos are very helpful and full of resources, they were not very interactive. The quizzes usually refer directly to the slides and lecture videos, but to apply the knowledge learned from the videos, it would be interactive (let’s assume referring to a useful website) if a question asked the student to find something on that particular website and would require the student to use the website themselves."
W25-R030,W25,Q9,49,"The idea of the clinical immersion platform was very clever, however I think it did not greatly impact my learning personally because my laptop is unable to run the program to an effective degree. When I tried watching the videos on the platform, they were either blurry or lagging."
W25-R030,W25,Q10,42,"The idea of meeting virtually with avatars would be effective in online learning. It would remind students of playing a game and would be more enjoyable to engage in, especially when compared to a zoom meeting where participation and immersion seem optional."
W25-R031,W25,Q5,22,"I think that the course was easily digestible and offered many interactive opportunities, whether through the VR platform or links to databases."
W25-R031,W25,Q6,21,"I think the course could provide a little more clarity on what is expected, especially for reports and the innovation notebook."
W25-R031,W25,Q9,44,I think that the videos are very long and don't necessarily give a clear idea of what is going on. I think that if there were short descriptions explaining part of the procedure or what the patients are doing it would be more helpful.
W25-R031,W25,Q10,50,"I think that online classes where you can meet in a virtual space would be helpful. Texting your group or meeting over the phone can be difficult, but utilizing technology to make it seem like a real in-person meeting would be extremely productive and beneficial for online or hybrid classes."
W25-R032,W25,Q5,27,"Walkling through identifying and forming solutions to an unmet clinical need was very helpful, probably would have been a really good class before 180 (currently taking 180)"
W25-R032,W25,Q6,25,"The videos and innovation notebook, its very difficult to determine in a lot of the videos what exactly is happening without any transcript or description."
W25-R032,W25,Q9,19,"Bug fixes, when theres specific and nonstraightforward controls just to avoid a bug it can be a little troublesome"
W25-R032,W25,Q10,25,Im not sure meeting in VR would be very helpful as it feels very disconnected from meeting in person and my group already doesnt communicate
W25-R033,W25,Q5,42,The VR experience was really cool and interesting to see and observe different surgical performances all over the world. It really helped visualize just how different a surgery here in America is compared to one in Vietnam or another third world country.
W25-R033,W25,Q6,36,One thing that could be improved is to have a little bit more instructions when it comes to the email and the final project because I feel like some parts are a little vague at times.
W25-R033,W25,Q9,27,One element that could be improved is maybe having some sort of note taking ability so that we can keep our observation journal in the app itself.
W25-R033,W25,Q10,106,"I think one really cool thing could be like high schools or even middle schools can experience real high-tech labs that they would not have the clearance to visit in person; however, they can visit these labs in a VR setting, and even do their own experiment in a VR setting to really immerse themselves in a real-life science application setting without the risk and safety that comes from being in person. They even have the opportunity to redo the experiment as many times as they want without the extra need of preparation and cleaning and safety protocols that comes with doing experiments in real life."
W25-R034,W25,Q5,66,"I think the most useful aspects were the weekly lectures and quizzes, as they were a good way to cover relevant information regarding the process of addressing unmet needs, when it comes to the development, regulatory, and business sides. I also think the virtual platform was useful in order to better experience operations and other things in a better way than just watching a Youtube video."
W25-R034,W25,Q6,74,"I think for the virtual platform, the videos could be in better resolution as it is a little difficult to make out some of the finer details in these operations. Also, for the innovation notebook, I think it would be good to have deadlines for notebook entries, as otherwise I didn't really work on the innovation notebook for a while and put it on the back burner compared to other classwork and other classes."
W25-R034,W25,Q9,61,"The main thing is making the videos more higher resolution, as for some videos it was difficult to make out finer details, and it was a little blurry. Also, the videos should fully unload after you are done with them, not stay up because then it is difficult to go back and watch that video again and it just looks awkward."
W25-R034,W25,Q10,73,"VR programs are an interesting way to improve learning, especially in a remote learning setting. It is an interesting way to conduct lectures in an environment more closely mimicking a physical lecture hall, and could encourage more connection and focus compared to a Zoom lecture. I have had trouble with disconnection or not properly paying attention in virtual lectures and settings, and something like this would definitely be more conducive for me personally."
W25-R035,W25,Q5,25,I like how the weekly lecture videos were very easy to understand and the check in quiz that follows recapture the important concepts of it
W25-R035,W25,Q6,200,"I think this course needs to be heavier: maybe worth 2-3 units to have a more thorough check-in weekly. I would prefer being forced to watch at least one video per week and analyze it thoroughly, then get feedbacks on how my observations are (are they on point, what am I missing, what did I got wrong, etc). I believe getting more feedbacks would help a lot. / / I like the videos but I know not many people watch as much as I did (I watched like 10 and I think most watched even less). I believe the videos are helpful and important, but I think I would need more guidance on what to look for in them. I came into this class not knowing what to do, so the lack of guidance on what to specifically look for held me back a lot. / / I would suggest maybe each week each group watch at least one video and write about it (if one video per person is too much to grade). I would like to see others' opinion and observations on the videos I watched, to find out what I'm missing and get a more well-rounded view."
W25-R035,W25,Q9,54,"The security was too much. I forgot my password and it was too much work to try to get it back so I just used the YouTube videos. I also couldn't use some features in the VR space when I had access, such as I couldn't get the Canvas page to open in Lobby."
W25-R035,W25,Q10,91,"Maybe an interactive surgical platform where a group can work together to dissect/do surgery to further understand what a surgery consists of. I would suggest a 3D surgery like popular YouTube videos on different procedures, but this time it has steps so a group can virtually perform the surgery. Whenever they make a mistake, text would pop up to let them know what went wrong and why is it a problem. I think it would be very useful for addressing unmet needs when students know exactly what a specific surgery needs."
W25-R036,W25,Q5,43,"I liked that it was easy to contact [instructor] due to her responsiveness in the discord, even though this is an online class. I think the videos staying concise also helped understand what the most important topics to take away from this class."
W25-R036,W25,Q6,21,I think more examples or one full example of what the Innovation notebook is supposed to be like would be helpful.
W25-R036,W25,Q9,56,"I'm not sure if it was only an issue for me. But when I would watch a video partially, then try to switch it to the next video, I wouldn't be able to pause the new video without playing the old one at the same time. So maybe a video on trouble shooting this might help"
W25-R036,W25,Q10,61,I think the main takeaway from VR videos over regular videos would be a better understanding of spacing. It's easy to think a hospital has a lot of space until you're in it and a couple of people are moving around trying to get past each other. This was eye opening when I was comparing the different conditions from different places.
W25-R037,W25,Q5,88,"I believe that the final report was the perfect final assignment for a class like this since it was actually quite enjoyable to research about the FDA regulations involved with our proposed device and the pathway we would need to take to make it happen. As a prerequisite for the BME180, this course I believe helped me a lot especially with the online lecture format due to the third-year coursework being extremely time-consuming such that I can take time out of my weekend to finally process these lectures."
W25-R037,W25,Q6,122,"There is nothing inherently wrong about the course, but something to note is that before heading into BME180, I think it would be amazing if there was a reference sheet of the business values, FDA resources, unmet needs websites like Gfinder, and other notable resources that would be worthy to add in since as soon to be graduating class of 2026, we will never gain access to this again to reference. Rather it be about theory, these resources are actually useful when bringing into BME180 where we take an idea and turn it into reality and with the proper knowledge from this class, we know what to look for in industry and faculty partners to guide us in addition to FDA checkpoints."
W25-R037,W25,Q9,94,"It should be compatible with Mac if possible since although I do have a Windows desktop at home that I use time to time, I primarily use my Macbook day to day for common assignments because of its battery life and ease of use. This is why I opted to watch the youtube videos instead since I did not want to invest a grand in a windows laptop unless absolutely necessary. However, I felt like the youtube videos were stellar in quality such that I believe it should not have made a great difference."
W25-R037,W25,Q10,86,"I think the operating room is a great example of this and unless there is a way to hand out VR headsets to loan or to move within the operating room there to really immerse ourselves like we are a medical student shadowing a surgeon, I think this is optimal. / / Other areas that VR could be implemented is training activities with VR where we could perform the surgery ourselves, we could have a general understanding of the ergonomics of the device and its effectiveness."
W25-R038,W25,Q5,59,I found the lecture videos and clinical immersion videos most useful for learning. I liked watching the interviews because I liked hearing about the unmet issues and problems from the people themselves. It was also cool to see some of the procedures being carried out from different points of views and being able to move around the operating rooms.
W25-R038,W25,Q6,47,"Even though I was able to use the VR platform, I felt like it added an extra layer of work and effort to open it up and find the videos in the platform than just going through the website that had all the videos embedded in it."
W25-R038,W25,Q9,33,I think making the VR clinical immersion platform more like a game with some sort of reward with checkpoints would make me more inclined to use it over the website and YouTube videos.
W25-R038,W25,Q10,127,"I think VR programs might be effective for discussion classes where we need to converse with a small group of students about something. If we were learning about the human body anatomy, it might be cool to all gather around in a VR platform as a virtual teacher goes about explaining body parts. I think if that it would be effective if there was more interaction with other students or a feeling that I was alongside other students when in the platform, because I found that when I did log in, I was usually alone in the platform so it didn't really make me feel more connected with my peers. I do think a VR platform for education is a cool concept if engagement could be increased!"
W25-R039,W25,Q5,27,"The aspect of this course that is most useful is were the interview videos that give a lot of context to each health institution, and the surgeries."
W25-R039,W25,Q9,56,"You should put a description, through captions, as to what the surgeons are doing. Most surgery videos are silent, and do not have much context to them. When I observe, I can only make vague inferences of what the surgeons would need, as I don't know the flaws of the tools or procedures there doing are."
W25-R039,W25,Q10,30,"I think some use cases where VR programs can be very useful, when you're simulating experiences like doing an actual surgery procedure, or teaching someone how to operate a machinery."
W25-R040,W25,Q10,25,"Simulate the experience of a school field trip through VR. Have groups attend together, exploring a hospital or something related. Going together will encourage discussion."
W25-R041,W25,Q5,114,"I really enjoyed the project and the report that went along with it. I think if taken seriously, there's a lot of potential to learn how to properly screen an idea and see if it's good or not. / / Going into the project, I thought the idea my group had was good and could be taken to senior design and this was reinforced by doing research and reading papers. Then, my group went and we talked to multiple physicians and went to look at the device we thought needed iterating just to learn that it's not as big of a problem as we had previously thought and definitely was not a winning idea."
W25-R041,W25,Q6,41,The software. I ended up just giving up on it and just watching the youtube videos. It's not worth the effort to even learn how to use it and download it all when I could just pull it up on youtube.
W25-R041,W25,Q9,55,I used the YouTube videos exclusively but just ease-of-use improvements would be hugely beneficial. I see the vision behind the VR platform but think the ease-of-use needs to be improved and the software needs to be polished before implementing it in a course. The complicated log-in process and the associated instructions was too much already.
W25-R041,W25,Q10,34,"Exactly the scenario it's being applied in for this class! I can't imagine it being more effective for teaching maths, but it's good to give people experiences they wouldn't have access to through VR."
W25-R042,W25,Q5,12,I found the lecture videos and the youtube videos the most useful.
W25-R042,W25,Q6,12,Maybe some more guidelines/examples for the innovative notebook and the final project.
W25-R042,W25,Q9,6,More inclusive for macbook users :(
W25-R042,W25,Q10,10,Virtual space with simulations could be cool for testing ideas/innovations
W25-R043,W25,Q5,14,I found the lecture videos particularly useful and the resources given at the bottom
W25-R043,W25,Q6,36,I do think there could be improvements on all the links that are listed weekly as I felt overwhelmed with how much there was to check out. I think if somehow things could be more condensed.
W25-R043,W25,Q9,24,I think downloading was a bit difficult however I think the rest was fine but the videos would have a hard time loading sometimes
W25-R043,W25,Q10,21,I think different buildings or virtual spaces designed for specific things could be neat especially if we could explore with groupmates.
W25-R044,W25,Q5,21,I found that the VR simulation was super interesting and the wide-view videos of the procedures being performed was very helpful
W25-R044,W25,Q6,7,I enjoyed all aspects of this course
W25-R044,W25,Q9,21,"The VR was a bit glitchy at points and took some time to load, but the videos were educational to watch"
W25-R044,W25,Q10,24,"The virtual space feels like you are in it, while just a video doesn't. It makes you more involved and interactive with the space."
W25-R045,W25,Q5,13,"In this class, I found the lectures and the lecture quizzes most helpful"
W25-R045,W25,Q6,33,I think the instructions for the innovation notebook and final project could be made a bit clearer. I think it was difficult to figure out exactly how I needed to complete these sections.
W25-R045,W25,Q9,71,"I only used the YouTube videos, but I still found that very immersive as I was able to move the camera around and see different parts of the room or clinic. I do think some of the videos were difficult to analyze and find an unmet need as you were stuck watching from afar. I ended up finding the interviews very helpful in understanding the procedure and an unmet need more."
W25-R045,W25,Q10,34,"I think that a VR program could be effectively used to improve learning specifically for this class like a fake business setting, where the practice of exchanged ideas to help prep for the final."
W25-R048,W25,Q5,60,"I really liked the video interviews and clinical videos that were included in this course. It helped me understand what healthcare looks like in different areas of the world and how we can improve healthcare. Additionally, I found the innovation notebook to be useful since it gave me an opportunity to reserach unmet needs, make need statements, and gap analyses."
W25-R048,W25,Q6,47,"Although the VR platform has potential, I think there are some details that could be worked on to improve the quality of the platform. For instance, I found it to be a little confusing/tricky to learn how to play the videos. Additionally, the videos would sometimes freeze."
W25-R048,W25,Q9,24,"More details to the rooms, better labeled areas/videos, widgets that are easier to operate, and a map to help you know where to go."
W25-R048,W25,Q10,65,"VR for watching videos (like in this class) since it helps you immerse into the environment, VR for virtual group meetings since you don't have to have your camera on but it still feels like you're talking to someone (and can be in the comfort of your home), VR for lab experiments (so that they can still experience the procedure without actually needing the equipment)."
W25-R049,W25,Q5,35,I found the short lecture videos the most useful. Often times lecture videos are way too long and never are short and condensed. I enjoyed the information being presented in a short and concise way
W25-R049,W25,Q6,39,"I think the lecture notes should be PDFs, not Powerpoint slides. I unfortunately do not have access to Powerpoint and can never open up any of the slides after. Converting the .PPT to .PDF would be a great help"
W25-R049,W25,Q9,45,"I think there should be a skip ahead 10 seconds and go back 10 seconds buttons, it was rather irritating that I had to click and then wait for the video to reload, and then I was often times not even at the right spot."
W25-R049,W25,Q10,54,"I think it allows for more accessibility for all people, especially if someone is sick. After having to deal with COVID-19, going to school sick is even more frowned upon. I think it could be very useful to those who are sick or just cannot simply make it on certain days of the week."
W25-R050,W25,Q5,18,regulatory and Ip protection as well as patent rights and how to observe unmet needs in current designs
W25-R050,W25,Q6,10,perhaps other types of interviews and interviews outside of UCI
W25-R050,W25,Q9,1,NA
W25-R050,W25,Q10,1,NA
W25-R051,W25,Q5,41,I found the professor's lecture videos to be very informative. they were short but perfect for my attention span as she highlighted all the important parts to cover. The quizzes after are a good review of what I learned and watched.
W25-R051,W25,Q6,42,"Maybe the VR aspect or even a video explaining the final, the pdf is good but I personally would learn and understand better hearing her explain even if it is a video of her going over the pdf of the final rubric."
W25-R051,W25,Q9,51,Maybe a reflection assignment like a bi weekly writing assignment rather than a notebook at the end. It can be both but if you do a biweekly assignment just like the innovation notebook it allows students to be more engaged and keep up with their notebook to ensure their on track.
