source,relation,target,domain,evidence,contributor
the passionate part of the soul (pathetikon),defines,the seat of the passions that exercises perception/phantasia but NOT belief,philosophy-of-mind,p.71-73; de An. 431a13-14; EE 1219b23,Moss
orektikon,glosses-greek,the desiderative part = the aisthetikon = the phantastikon (different only in being),philology-of-aristotle,de An. 431a13-14; Insomn. 459a16-17,Moss
pathetikon meros,glosses-greek,the 'passionate part' of the soul (Politics name adopted by ancient commentaries),philology-of-aristotle,Pol. 1254b8; p.72,Moss
animals,extends-reading-of,genuinely have passions (the passionate part is non-rational and shared with animals),moral-psychology,p.73-74; Rhet. 1380a24; EN 1111b12; HA 608b10,Moss
Moss,contests,the doxastic 'only analogous' downgrade of animal passions,moral-psychology,p.73 n.11; Fortenbaugh 2002 69,Moss
the passions,defines,states essentially pleasurable/painful and directed at non-present objects (hence involving phantasia),moral-psychology,p.75-82; Rhet. 1378a19-22; 1370a28-35,Moss
anger,instances-in-text,the phantasia of revenge produces pleasure 'just as the phantasia that occurs in dreams',philology-of-aristotle,Rhet. 1378b1-10,Moss
pity and shame,instances-in-text,induced by orators 'putting things before the eyes' (pro ommaton poiein),rhetorical-theory,Rhet. 1386a29-b7; 1384b32-35,Moss
'before the eyes' (pro ommaton),glosses-greek,the canonical signature of exercising phantasia,philology-of-aristotle,de An. 427b18-19; Mem. 450a5; Insomn. 458b20,Moss
Moss,extends-reading-of,Plato (Philebus painter; Timaeus liver-mirror) as precedent for phantasia-based passions,history-of-philosophy,p.85-87; Phil. 39a-40a; Tim. 71a-d,Moss
EN VII.6 'logos OR phantasia',contests,the doxastic reading of the awareness of a slight,philology-of-aristotle,EN VII.6 1149a32-34,Moss
Moss,concedes,passion-representations are propositional and predicate value-properties,philosophy-of-mind,p.87-88 (Dow's first objection),Moss
Moss,qualifies,Aristotle treats perception as propositional and value as literally perceptible (answering the contents objection),philosophy-of-mind,p.88-89; de An. 418a21-22; 430b29-30; Sorabji 1996,Moss
Moss,defines,accepting vs. believing (acceptance = active assent OR passive failure-to-question),philosophy-of-mind,p.90-93,Moss
non-rational soul-part,qualifies,being-appeared-to IS a default non-rational acceptance (no gap between appearance and acceptance),philosophy-of-mind,p.93,Moss
Moss,qualifies,de An. 427b21-24 (phantasia inert) applies only to the voluntary 'up to us' species,philology-of-aristotle,p.90-91; de An. 427b17-24,Moss
the passions,extends-reading-of,independent of belief (one can feel a passion against one's belief),moral-psychology,p.94; Hume Treatise I.iii.xiii,Moss
Moss,cites,Gendler 2008 (alief) for non-rational motivation against belief,philosophy-of-mind,p.94 n.46; 112 n.22,Moss
Aristotelian passions,bridges-to-pipeline,Stoic phantasia + assent (synkatathesis): Aristotle's passions = the default acceptances Stoics ascribe to animals,moral-psychology,p.92-94; Origen On Principles 3.1.2; Sextus AM 7.225-6,Moss
Moss,contests-reading-of,the over-Stoicizing commentators (Themistius/Alexander/Hicks) on phantasia-and-assent,philology-of-aristotle,p.96-97; Hicks 1907,Moss
phantasia,defines,necessary condition of all thought and hence of belief-mediated passions (thesis a),philosophy-of-mind,p.94-96; de An. 432a3-9; 431a14-17; Mem. 449b30-450a9,Moss
phantasia,defines,sufficient for belief: a phantasia 'as of p' standardly triggers the belief that p (thesis b),philosophy-of-mind,p.96-98; Insomn. 461b31-462a2,Moss
Moss,defines,appearance-based beliefs (proto-Stoic: most beliefs are automatic assents to appearances),philosophy-of-mind,p.97-98; Sextus AM 7.225-6,Moss
Moss,contests-reading-of,the strongly-Stoicizing reading that bases the passion on the belief (Andronicus/Aspasius),philology-of-aristotle,p.94-98; Aspasius in EN 44.33-45.10,Moss
Moss,defines,the passions are based on phantasiai ALONE but normally prompt corresponding beliefs (the reconciliation),moral-psychology,p.98-99,Moss
feeling anger,qualifies,results-from / normally-entails / yet is independent-of the belief one has been wronged (round/round analogy),philosophy-of-mind,p.99,Moss
passions,qualifies,affect the kriseis of jurors without themselves being judgments,rhetorical-theory,Rhet. 1378a19-22; 1354a24-26; p.99,Moss
Moss 2012 (this book) Ch.5,extends-reading-of,Moss 2009 'Akrasia and Perceptual Illusion' (= aes-03; the passion-vs-belief divergence cases),moral-psychology,Intro xi; p.94; 99,Moss
Moss,shifts-debate-axis,reframes emotion-cognition from doxastic to phantastic (quasi-perceptual appearing-good),moral-psychology,Ch.4 passim; p.69-70,Moss
Moss,cites-cluster-author,Dow 2009 (named chief opponent of the phantastic interpretation),moral-psychology,p.70 n.3; 87 n.33; 90 n.38,Moss
Moss,cites-cluster-author,Fortenbaugh 2002 (the belief view; passionate-part-as-nous argument),philosophy-of-mind,p.69 n.2; 72-74,Moss
Moss,cites,Cooper 1996a (phantasia as nonepistemic appearance - a phantastic ally),moral-psychology,p.91; Cooper 1996a 417,Moss
Moss,cites,Sihvola 1996 (some passions require belief while others do not - rejected),moral-psychology,p.73 n.11; 95,Moss
Moss,cites,Caston 1996/1998 (indefinite singular content; quasi-perceptual common currency - congenial),philosophy-of-mind,p.64 n.34; Caston 1998 290,Moss
Moss,cites,D. Frede 1992 (cognitive role; merely-metaphorical reading of de An. III.3),philosophy-of-mind,p.91 n.39; D. Frede 1992,Moss
