unit,source,relation,target,locus,note
rdr-01-bagnoli,rdr-01-bagnoli,qualifies,analysis limited to selected meaningful scenes,Part 3 sec.1 p.61; Conclusion,acknowledges curation given the game's length
rdr-01-bagnoli,rdr-01-bagnoli,shifts-debate-axis,ludology-vs-narratology toward porosity,Part 1 sec.2.1 pp.16-17,declares the opposition past; gameplay and narration co-articulate
rdr-01-bagnoli,rdr-01-bagnoli,shifts-debate-axis,meaning located in co-operation of all game elements,Part 3 Conclusion p.94,'games are a whole; one aspect does not go without another'
rdr-01-bagnoli,rdr-01-bagnoli,shifts-debate-axis,history as vehicle for present-day values,General Intro pp.6-7; Part 3,anachronism thesis anticipates the cluster authenticity debate
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,honor gauge / honor system,Part 1 p.9; Part 2 pp.41-44; Part 3,spine of the procedural-rhetoric reading; absent in main missions
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,interaction verbs (greet/antagonize/rob/aim weapon),Part 2 sec.3 p.41,free-roam dialogue verbs with honor consequences
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,snake-bite roadside encounter,Part 1 sec.1.2.1 pp.13-14,four-option choice-with-consequence paradigm
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,The Course of True Love (Ch.2 mission),Part 3 sec.2.1 pp.62-63,suffragist-march escort; no option to refuse
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Saint-Denis suffragette PNJ,Part 3 sec.2.1 pp.61-65,scripted feminist discourse; harming her costs honor
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Norris Forsythe eugenics supporter,Part 3 sec.2.2 pp.65-70,racist pamphlet component; Hitler likeness; killable without penalty
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Ku Klux Klan encounters (x2 Lemoyne),Part 3 sec.2.3 pp.71-75,self-immolating ceremony; killing grants honor; Meeting-notes letter
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Charles Chatenay (French painter quest),Part 3 sec.2.4.1 pp.76-80,bar + nude-gallery scenes; French stereotype remediatized
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Angelo Bronte (Italian mafioso mission #44),Part 3 sec.2.4.2 pp.80-82,kidnaps the gang's boy; Italian-mafia stereotype remediatized
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,animal cause / hunting system,Part 3 sec.2.5 pp.83-85,over-hunting/horse/dog penalties as pro-animal procedural argument
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Albert Mason (Arcadia for Amateurs strand),Part 3 sec.2.5 pp.84-87,wolves + alligator missions; hypocritical conservationist
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,random PNJ conversation (Sampson Black trial),Part 3 sec.2.6 pp.88-89,overheard conservative-vs-progressive debate; environment-as-discourse
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Red Skins vs US Army strand (Wapiti Ch.6),Part 3 sec.2.7 pp.89-94,Indians peaceful (deconstructed) vs treaty-breaking army
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Rains Fall (Wapiti chief),Part 3 sec.2.7 pp.91-94,peace-seeking figure dismantling the 'savage' stereotype
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Colonel Favours + Leviticus Cornwall,Part 3 sec.2.7 pp.91-92,withholds medicine/horses for oil tycoon; venal-authority antagonist
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Honor Amongst Thieves (Ch.6 mission),Part 2 sec.7.2 pp.53-54,recover stolen Indian medicine; music = Indian peacefulness
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,The Fine Art of Conversation (mission #77),Part 3 sec.2.7 pp.91-93,escort Rains Fall to failed Favours meeting
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Banking the Old American Art (Ch.4 #57),Part 1 sec.5.2 p.31,Saint-Denis bank robbery; gameplay-as-staging + cinema mode
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Van der Linde gang / camp (Family-ISA),Part 2 sec.8.2 pp.56-58,camp read as Family ISA; loyalty + Dutch-vs-Arthur axis
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Dutch van der Linde,Part 2 sec.8.2 pp.56-57,anti-modern decadence; greed precipitates the gang's fall
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Arthur Morgan moral arc,Part 2 sec.8.2 pp.57-58,late-game conscience; refuses to collect for Strauss
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Herr Strauss (gang accountant),Part 2 sec.8.2 p.58,German loan-shark; Arthur's refusal/expulsion marks moral turn
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Reverend Swanson,Part 2 sec.8.1 p.54,debauched clergyman; religion (Church ISA) mocked
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Chelonia (fictional cult),Part 2 sec.8.1 pp.54-55,utopian cult; strangle-or-talk choice; religion satire
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,Agent Milton (Pinkerton),Part 3 sec.2.7 pp.90-91,'we didn't kill all them savages' camp confrontation
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,He Is British Of Course (side mission),Part 1 sec.2.2 p.18; Part 2 sec.9,painted-donkey 'zebra'; mission name as stereotype channel
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,cinema mode + cinemascope conversation framing,Part 1 sec.5.2 pp.31-32,player-as-camera + black bars; western-filmic register
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,components (pamphlets/letters/newspapers),Part 1 sec.2.2 pp.18-19; Part 3,value-bearing inventory objects; eugenics pamphlet + KKK notes
rdr-01-bagnoli,rdr-01-bagnoli,treats-game-element,setting/regions (Saint-Denis/Lemoyne/Rhodes),Part 3 passim,Saint-Denis as discourse-hub; Lemoyne swamps; 6 chapters + epilogue
rdr-01-bagnoli,rdr-01-bagnoli,instances-in-text,killing KKK members raises honor,Part 3 sec.2.3 pp.72-73,procedural anti-KKK stance shown via the gauge
rdr-01-bagnoli,rdr-01-bagnoli,instances-in-text,killing eugenics supporter has no honor/police consequence,Part 3 sec.2.2 pp.67-70,exception to the general no-killing-citizens rule
rdr-01-bagnoli,rdr-01-bagnoli,instances-in-text,over-hunting and dog/horse killing lower honor,Part 3 sec.2.5 pp.83-84,pro-animal procedural argument; dogs trigger town hostility
rdr-01-bagnoli,rdr-01-bagnoli,instances-in-text,suffragette utters identical discourse whether greeted or antagonized,Part 3 sec.2.1 p.61,scripted-PNJ exception to verb-contingent reactions
rdr-01-bagnoli,rdr-01-bagnoli,contests-reading-of,army-valorized / religion-criticized asymmetry in games,Part 2 sec.8.1 pp.55-56,RDR2 criticizes both but they are not subversive in the same way
rdr-01-bagnoli,rdr-01-bagnoli,extends-reading-of,Bogost 'crime as decadence' to Dutch,Part 2 sec.8.2 pp.57-58,Dutch's escalating violence read as decadence (cf. GTA San Andreas)
rdr-04-crowley,rdr-04-crowley,defines,virtual ecology / virtual ecologies,"pp. 1231,1238","Simulated dynamic ecosystem treated as object of study and site of learning; title concept; player action alters 'the virtual ecology of the game'"
rdr-04-crowley,rdr-04-crowley,defines,vicarious experience of nature,"pp. 1230-1231","Understanding of the living world formed through representation rather than direct contact; framing adopted after Kellert and Clayton et al."
rdr-04-crowley,rdr-04-crowley,defines,virtual biophilia,p. 1230,"Attraction to healthy vegetated landscapes accessible virtually; drawn from Truong et al. (2018) on World of Warcraft"
rdr-04-crowley,rdr-04-crowley,defines,recency effect,"pp. 1237,1239","Apparent decay of gained knowledge over time, mirroring retention of basic science knowledge"
rdr-04-crowley,rdr-04-crowley,treats-game-element,hunting & fishing,"pp. 1231,1238-1240","Key gameplay; quarry species (ungulates, fish) of high in-game utility value show largest identification gains; mechanic not skimmed, provokes guilt"
rdr-04-crowley,rdr-04-crowley,treats-game-element,animal AI / wildlife behaviour systems,"pp. 1231,1237-1239","~200 species programmed to appear, sound and behave realistically; players learn behaviours incl. wolves apparently mourning pack members"
rdr-04-crowley,rdr-04-crowley,treats-game-element,biomes / regions / territories,"pp. 1231,1237","Five territories reflecting North American biomes; wildlife spawns in appropriate habitats so players learn species-region links"
rdr-04-crowley,rdr-04-crowley,treats-game-element,animal compendium,p. 1240,"In-game species-fact catalogue used as contrast case; immersion teaches more than compendium facts"
rdr-04-crowley,rdr-04-crowley,treats-game-element,weather & dynamic environment,"pp. 1231,1238-1239","Storms, dust storms, sunsets; environment as 'resource and antagonist'; central to aesthetic memorable experiences"
rdr-04-crowley,rdr-04-crowley,treats-game-element,flora / plant systems & pollution,"pp. 1237,1240","Toxic mining run-off pollutes Elysian Pool yielding unhealthy flora and fauna; extinct Carolina Parakeet present"
rdr-04-crowley,rdr-04-crowley,treats-game-element,Naturalist role (Red Dead Online),"pp. 1231,1234,1239","Rewards non-violent interaction; associated with broader species identification, especially smaller non-quarry species"
rdr-04-crowley,rdr-04-crowley,treats-game-element,honour system,p. 1231,"Mechanic delivering different consequences based on player actions"
rdr-04-crowley,rdr-04-crowley,treats-game-element,story missions / scripted quests,"pp. 1234,1239-1240","Completing storyline (~40-60 hr) raises scores; cannot finish without killing animals; hidden quest hunts a bird to extinction for no reward"
rdr-04-crowley,rdr-04-crowley,extends,Clayton et al. (2017) transformation-of-experience framework,"pp. 1230,1239","Adopts broadened 'experiences of nature' and extends it to validate violent and interactive virtual encounters"
rdr-04-crowley,rdr-04-crowley,cites,Truong et al. (2018) / Truong & Clayton (2020),"pp. 1230,1240-1241","Virtual biophilia and technologically transformed nature; flattening risk"
rdr-04-crowley,rdr-04-crowley,cites,Balmford et al. (2002),p. 1230,"Children identify Pokemon better than UK wildlife; conservationists less effective than game developers"
rdr-04-crowley,rdr-04-crowley,cites,Sandbrook et al. (2015),p. 1230,"Games for conservation; risk of hyper-real alternative to real nature"
rdr-04-crowley,rdr-04-crowley,cites,Custers (2010),p. 1237,"Long-term retention of basic science knowledge supports recency interpretation"
rdr-04-crowley,rdr-04-crowley,cites,Holmes (2019),"pp. 1231,1239","Ecocritical reading of RDR2; environment as resource and antagonist rendered in high detail"
rdr-04-crowley,rdr-04-crowley,cites,Humphreys (2012),p. 1239,"Frontier ideology of original RDR — white, colonial, 'ruggedly masculine' living off the land"
rdr-04-crowley,rdr-04-crowley,cites-cluster-author,Westerside & Holopainen (2019),p. 1239,"Cited for RDR2 opening novel spaces for social and ethical reflection (only cluster-mate cited)"
rdr-04-crowley,rdr-04-crowley,instances-in-text,nature-as-lively-co-agent reading,p. 1239,"World 'always lively, risky and to be negotiated with, rather than mute, benign and there to be observed' — quarry/ungulate and fish identification data + wolf-mourning, predator-risk examples"
rdr-04-crowley,rdr-04-crowley,shifts-debate-axis,nature-as-resource <-> nature-as-ecological,"pp. 1239-1240","Concedes dominant resource/frontier framing but relocates the game's educational value in the ecological depth and agency of the simulation plus the Naturalist counter-frame"
rdr-04-crowley,rdr-04-crowley,shifts-debate-axis,entertainment games <-> educational games,"pp. 1230,1241","Inverts framing: popular entertainment games can be educational and should be taken seriously as a communicative force"
rdr-04-crowley,rdr-04-crowley,qualifies,virtual experience replaces embodied experience,"pp. 1240-1241","Validates virtual/vicarious nature as informative but explicitly declines to propose it replace embodied encounters; warns of 'flattening'"
rdr-04-crowley,rdr-04-crowley,concedes,limits of RDR2's ecological realism,"pp. 1239-1240","Repetition of a few behaviours in responses and exaggerated predator aggression hint at constrained, developer-selected simulation that can mislead"
rdr-04-crowley,rdr-04-crowley,contests-reading-of,video games as antithesis of engaging with nature,"pp. 1229-1230,1241","Challenges the common perception that gaming opposes nature engagement; provides quantitative + qualitative evidence of learning"
rdr-11-donald-reid,rdr-11,defines,historical account,Account,"Evidentiary basis a game depicts; games as 'containers of account' on developer research."
rdr-11-donald-reid,rdr-11,defines,historical accuracy,Accuracy,"Contextualisation and alignment with the established historical record (timeline + material)."
rdr-11-donald-reid,rdr-11,defines,historical authenticity,Authenticity,"More personal/subjective; rooted in communal and collective memory; about feeling of period."
rdr-11-donald-reid,rdr-11,defines,material accuracy,Accuracy,"Factual use of organisations, events, buildings, outfits, objects; grounds believability."
rdr-11-donald-reid,rdr-11,cites,Tracy Fullerton (Game Design Workshop 2014),Account,"Borrows formal-elements vs. dramatic-elements split to separate game 'layers.'"
rdr-11-donald-reid,rdr-11,extends,formal vs. dramatic elements,Account,"Applies Fullerton's distinction to analysis of specific in-game instances (e.g., Civilisation V)."
rdr-11-donald-reid,rdr-11,cites,Clara Fernandez-Vara (Introduction to Game Analysis 2015),Account,"Game analysis as content-analysis method treating games as text."
rdr-11-donald-reid,rdr-11,extends,games as text,Account,"Reframes games as 'containers of historical text' for classroom inquiry."
rdr-11-donald-reid,rdr-11,contests,authenticity-as-accuracy,Authenticity,"Authenticity 'does not have to be accurate but it has to feel authentic.'"
rdr-11-donald-reid,rdr-11,qualifies,historical accuracy,Accuracy,"Accuracy applies to material detail but NOT to characters' thought/action (deliberately exempt)."
rdr-11-donald-reid,rdr-11,concedes,RDR2 is not historically accurate,Authenticity,"Concedes inaccuracy while crediting authentic feel ('firmly rooted in the early 20th century')."
rdr-11-donald-reid,rdr-11,concedes,Rockstar avoids social commentary,Events > Spanish-American War,"'Rockstar stop short of making any social commentary'; anti-imperialism absent."
rdr-11-donald-reid,rdr-11,concedes,concepts are nebulous,Next Steps,"Account/accuracy/authenticity 'at best nebulous,' admitted in conclusion."
rdr-11-donald-reid,rdr-11,qualifies,games teach history,Next Steps,"'not a game that teaches history' but an inquiry gateway to American Expansionism."
rdr-11-donald-reid,rdr-11,treats-game-element,Saint Denis (city),Environment > Saint Denis,"Fictionalised New Orleans; Plessy v. Ferguson segregation echo; Nosferatu vampire encounter."
rdr-11-donald-reid,rdr-11,treats-game-element,Declining Wild West open world,Environment > Declining Wild West,"1899 Gilded-Age-to-progressivism setting; Bierstadt + N. C. Wyeth painting sources."
rdr-11-donald-reid,rdr-11,treats-game-element,Encampments / Horseshoe Overlook,Environment > Encampments,"Camp system; reflects Wyoming Hole-in-the-Wall Pass; projects insecurity/paranoia."
rdr-11-donald-reid,rdr-11,treats-game-element,Van der Linde Gang,Characters > Van der Linde Gang,"Composited from Dalton/Doolin-Dalton/Wild Bunch; Dutch from Cassidy mythos as framework."
rdr-11-donald-reid,rdr-11,treats-game-element,Pinkerton Detective Agency,Characters > Pinkerton Detective Agency,"Real agency; cease-and-desist; Take-Two fair-use counter-filing; settled out of court."
rdr-11-donald-reid,rdr-11,treats-game-element,Murfree Brood,Characters > Murfree Brood,"Cannibal-clan; read as more film-based (Deliverance/Hills Have Eyes) than historical."
rdr-11-donald-reid,rdr-11,treats-game-element,Union Pacific Overland Flyer Robbery,Events > train robbery,"Mission 5 set-piece; modelled on 1899 Wilcox Robbery; leaping-aboard diverges from real flag-down."
rdr-11-donald-reid,rdr-11,treats-game-element,In-game newspapers (Spanish-American War),Events > Spanish-American War,"Authenticity-effect; jingoistic yellow-journalism tone; simplified/modernised; Guarma=fictitious Cuba."
rdr-11-donald-reid,rdr-11,treats-game-element,Braithwaite-Gray feud,Events > Civic Unrest,"Chapter 3 arc composited from Liddell-Jones and Hatfield-McCoy feuds; player as external force."
rdr-11-donald-reid,rdr-11,treats-game-element,Weapons/outfits/objects (period detail),Accuracy,"Subsumed under material accuracy as believability-anchoring layer, not standalone analysis."
rdr-11-donald-reid,rdr-11,instances-in-text,Leviticus Cornwall (robber-baron caricature),Events > train robbery,"Amalgam of Vanderbilt/J.P. Morgan/Carnegie; authentic feeling without social critique."
rdr-11-donald-reid,rdr-11,instances-in-text,President Alfred MacAlister ~ McKinley,Events > Spanish-American War,"Fictional president mirrors McKinley; Waxman mirrors Theodore Roosevelt Jr."
rdr-11-donald-reid,rdr-11,contests-reading-of,RDR2 as cinematic Western,Characters > Murfree Brood,"Authenticity traced to film tropes more than historical record (genre is film-mediated)."
rdr-11-donald-reid,rdr-11,shifts-debate-axis,authenticity-as-feel,Authenticity,"Reframes accuracy as servant of authenticity: material accuracy serves immersion/feel."
rdr-11-donald-reid,rdr-11,extends-reading-of,collective memory and 'who owns history',Characters > Pinkerton Detective Agency,"IP/trademark dispute reframed as contested ownership of the past."
rdr-11-donald-reid,rdr-11,cites,Paul Krause (Battle for Homestead),Characters > Pinkerton Detective Agency,"Sources Pinkerton anti-labour/strikebreaking history."
rdr-11-donald-reid,rdr-11,cites,Richard Gambino (Vendetta),Environment > Saint Denis,"Sources the New Orleans lynchings behind the Henry Jenkins murder design."
rdr-11-donald-reid,rdr-11,cites,Altina L. Waller (Feud: Hatfields McCoys),Events > Civic Unrest,"Sources the Hatfield-McCoy feud behind the Braithwaite-Gray arc."
rdr-12-immersion-ux,Immersion-UX FDP,defines,driving question (good things outshined by problems?),(slide 2),frames the study
rdr-12-immersion-ux,Immersion-UX FDP,instances-in-text,three-method design (heuristic + usability + immersion),(slide 4),user-facing methodology
rdr-12-immersion-ux,Immersion-UX FDP,instances-in-text,heuristic evaluation (~70 problems),(slide 5),narrative/structural/mechanics categories
rdr-12-immersion-ux,Immersion-UX FDP,treats-game-element,interface / HUD (interface awareness),(slide 7),immersion dimension + structural problems
rdr-12-immersion-ux,Immersion-UX FDP,treats-game-element,control scheme / mechanics,(slide 5),mechanics problems + sense-of-control
rdr-12-immersion-ux,Immersion-UX FDP,treats-game-element,audio / sound design (auditory presence),(slide 8),rated exceptional / highest
rdr-12-immersion-ux,Immersion-UX FDP,treats-game-element,onboarding / 7-task flow,(slide 6),usability test
rdr-12-immersion-ux,Immersion-UX FDP,defines,immersion test (5 dimensions),(slide 7),control/visual/auditory presence + interface/real-world awareness
rdr-12-immersion-ux,Immersion-UX FDP,concedes,RDR2 has many usability problems,(slide 9),~70 issues; could use changes
rdr-12-immersion-ux,Immersion-UX FDP,extends,RDR2 engages well despite problems,(slide 9),answer = NO (not outshined)
rdr-12-immersion-ux,Immersion-UX FDP,instances-in-text,auditory presence exceptional,(slide 8),standout immersion strength
rdr-12-immersion-ux,Immersion-UX FDP,qualifies,usability struggle localized to two tasks,(slide 8),corroborates heuristic findings
rdr-08-mcevoy,rdr-08-mcevoy,defines,procedural rhetoric,Critical Context (Bogost p.122),"authoring code that enforces rules to generate a representation rather than authoring the representation itself"
rdr-08-mcevoy,rdr-08-mcevoy,defines,play as free space of movement within a rigid structure,Critical Context (Bogost p.120),adopts Salen & Zimmerman definition as the paper's basis for player choice
rdr-08-mcevoy,rdr-08-mcevoy,defines,the fourth dimension (realism),Worldbuilding (Goldberg/Vulture),"Houser's term for a world that unfolds around the player and persists without them"
rdr-08-mcevoy,rdr-08-mcevoy,defines,deep play / historical imaginary,Critical Context (Denning p.197),historical games as a form of public history with embedded historiographical debate
rdr-08-mcevoy,rdr-08-mcevoy,defines,enemy reduction,Critical Context (Denning p.183),stock villains stripped of humanity to keep the player's conscience at bay
rdr-08-mcevoy,rdr-08-mcevoy,defines,Honor system as the seat of the game's rhetoric,A Return to Rhetoric,reward/punishment morality meter identified as where the rhetoric of the game lies
rdr-08-mcevoy,rdr-08-mcevoy,cites,Ian Bogost,Critical Context (pp.119-136),primary source for procedural rhetoric and games as systems for critique/commentary
rdr-08-mcevoy,rdr-08-mcevoy,cites,Andrew Denning,Critical Context & 'Playing' History (AHR 2021),deep play; Wolfenstein: New Order; public history shaping understanding in lieu of historians
rdr-08-mcevoy,rdr-08-mcevoy,cites,Louise Rosenblatt,Critical Context ('Literature and the Invisible Reader'),the invisible/passive reader and attention to felt response over formula
rdr-08-mcevoy,rdr-08-mcevoy,cites,Stanley Fish,Critical Context ('Is There a Text in This Class?'),interpretive communities; interpretation as constructing not construing
rdr-08-mcevoy,rdr-08-mcevoy,cites,Jeroen Bourgonjon,Critical Context ('Video Game Literacy'),games deserve scholarly study but cannot be read like traditional text forms
rdr-08-mcevoy,rdr-08-mcevoy,cites,Jonathan Ostenson,A Return to Rhetoric (English Journal 2013),classroom experiment; games as more immersive participation than novels
rdr-08-mcevoy,rdr-08-mcevoy,cites,Johansen Quijano,Opening framing (The Composition of Video Games),source for Amy Green's definition of long-form games
rdr-08-mcevoy,rdr-08-mcevoy,cites,Katie Salen and Eric Zimmerman,Critical Context (via Bogost p.120),definition of play adopted as analytic basis
rdr-08-mcevoy,rdr-08-mcevoy,cites,Harold Goldberg,Worldbuilding (Vulture interview),How the West Was Digitized; Sam & Dan Houser on the creative process
rdr-08-mcevoy,rdr-08-mcevoy,cites,Keza MacDonald,Worldbuilding (The Guardian),behind-the-scenes interview with Rob Nelson and Phil Hooker
rdr-08-mcevoy,rdr-08-mcevoy,cites,Dinnerstein and Reimers,Immigrant Discrimination (Ethnic Americans),turn-of-century immigration figures and nativist discrimination
rdr-08-mcevoy,rdr-08-mcevoy,cites,Martha Menchaca,Immigrant Discrimination (Naturalizing Mexican Immigrants),the 1896 Rodriguez naturalization case as public spectacle of anti-Mexican antagonism
rdr-08-mcevoy,rdr-08-mcevoy,cites,RealPixels,'Playing' History (YouTube series),sourced the coins-over-the-eyes Gaelic burial reading of Davey's death
rdr-08-mcevoy,rdr-08-mcevoy,extends,procedural rhetoric,Critical Context to A Return to Rhetoric,extends Bogost's Animal Crossing debt analysis to RDR2's market/morality/law systems
rdr-08-mcevoy,rdr-08-mcevoy,extends,reader-response theory,Critical Context,extends Rosenblatt/Fish from literary texts to a reading method for narrative video games
rdr-08-mcevoy,rdr-08-mcevoy,extends-reading-of,Wolfenstein: New Order (Denning),'Playing' History,applies Denning's enemy-reduction reading to RDR2's mandatory Pinkerton shootouts
rdr-08-mcevoy,rdr-08-mcevoy,qualifies,enemy reduction,'Playing' History,qualifies that RDR2 preserves the humanity of passive NPCs unlike New Order's monstrous enemies
rdr-08-mcevoy,rdr-08-mcevoy,concedes,games prioritize entertainment over historical analysis,A Return to Rhetoric (Denning p.195),concedes developers are not interested in why-did-it-occur / why-is-it-significant
rdr-08-mcevoy,rdr-08-mcevoy,contests,games as mere entertainment incapable of teaching,A Return to Rhetoric (Ostenson),argues games are worth academic examination as teaching tools despite that view
rdr-08-mcevoy,rdr-08-mcevoy,contests-reading-of,GTA V consequence-free open world,Worldbuilding,contrasts RDR2's enforced social reaction against GTA V's escapist mayhem with few consequences
rdr-08-mcevoy,rdr-08-mcevoy,shifts-debate-axis,locus of game rhetoric (narrative vs. systems),A Return to Rhetoric,relocates RDR2's rhetoric from plot/dialogue to coded systems (Honor + reactive NPCs)
rdr-08-mcevoy,rdr-08-mcevoy,shifts-debate-axis,realism as pedagogy vs. romanticization,Opening framing,holds open that RDR2 simultaneously teaches and romanticizes a recreated American past
rdr-08-mcevoy,rdr-08-mcevoy,instances-in-text,Honor system,A Return to Rhetoric,worked reading - polite/spare/low-crime = high honor; rob/murder/harm animals = low honor
rdr-08-mcevoy,rdr-08-mcevoy,treats-game-element,Valentine saloon brawl with Tommy,'Playing' History,tutorial brawl read as dual-purpose: combat training plus marker of Arthur's potential dishonor
