source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
C-AGENCY,awaits-ontological-grounding-in,ARIST-TECHNE,exegetical-bridge,2,15,anticipatory-projection,Agency anticipated to Aristotelian techne (anticipatory)
C-PURPOSE,awaits-ontological-grounding-in,ARIST-TELOS,exegetical-bridge,1,15,anticipatory-projection,Purpose anticipated to Aristotelian telos + Heideggerian Worumwillen
C-SCENE,maps-to-uexkull-construct,UEX-UMWELT,exegetical-bridge,1,15,anticipatory-projection,Scene parallels Uexkullian Umwelt (Layer C strongest convergence)
C-ACT,maps-to-uexkull-construct,UEX-WIRKMAL,exegetical-bridge,2,15,anticipatory-projection,Act parallels Wirkmal-actualization in Funktionskreis
C-AGENT,maps-to-uexkull-construct,UEX-INNENWELT,exegetical-bridge,2,15,anticipatory-projection,Agent parallels subject-of-functional-circle (Innenwelt)
P-PENTAD-GRAMMATICAL,contests,I-BEHAVIORISTS,dramatism,1,20,burke-own-claim,motives are grammatical-terministic not empirical-psychological
P-GRAMMAR-VS-IDIOM,defines,C-UNIVERSAL-GRAMMAR-OPEN-IDIOM,philosophy-of-history-of-philosophy,1,17,burke-own-claim,position grounding the two-level distinction
P-AMBIGUITY-AS-RESOURCE,contests,X-SYMBOLIC-LOGIC,dramatism,1,18,burke-own-claim,Burke vs logical-positivism on ambiguity
P-COMMON-GROUND-TRANSFORMABILITY,defines,C-COMMON-GROUND-SUBSTANCE,dramatism,1,19,burke-own-claim,position grounding the transformability claim
P-COMMON-GROUND-TRANSFORMABILITY,contests,X-METAPHYSICS-GRAND-STYLE,dramatism,1,22,burke-own-claim,refuses to causally privilege any one term as ancestor
P-COMMON-GROUND-TRANSFORMABILITY,contests,X-NO-METAPHYSICS,dramatism,1,22,burke-own-claim,refuses the atomic-constituent reduction also
P-PHILOSOPHIC-NOT-EMPIRICAL,contests,X-EMPIRICAL-MOTIVE-SCIENCE,dramatism,1,23,burke-own-claim,closing position-statement
T-UNIVERSAL-VS-OPEN,qualifies,C-UNIVERSAL-GRAMMAR-OPEN-IDIOM,dramatism,1,17,burke-own-claim,tension in the two-level claim
T-PLIANCY-VS-CRITIQUE,qualifies,C-PENTAD-OVERLAPS,dramatism,1,22,burke-own-claim,tension between pliancy-as-feature and pliancy-as-licensing-reductionism
T-ACT-VS-MOTION,qualifies,C-ACT,dramatism,2,20,burke-own-claim,tension between grammatical-universality and substantive act/motion threshold
T-DRAMATISM-AS-METAPHOR-OR-ONTOLOGY,qualifies,C-LANGUAGE-AS-MODE-OF-ACTION,dramatism,2,22,burke-own-claim,tension on whether dramatism is metaphor or ontology
