source_claim,relation,edge_domain,target,note,location
DISS-04-C053,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.2 1378a30,Anger,line 21
DISS-04-C053,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.5 1382a21-22,Fear,line 21
DISS-04-C053,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.8 1385b13-15,Pity,line 21
DISS-04-C055,relocate-to,relocation,SECTION:DISS-02-A1A2,Paschein dual-sense (relocation ii) moves to §1.2,line 23
DISS-04-C055,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.5 417b2-7,DA II.5 dual-paschein,line 23
DISS-04-C056,relocate-to,relocation,SECTION:DISS-02-A1A2,Destruction sense moves to §1.2,line 23
DISS-04-C057,relocate-to,relocation,SECTION:DISS-02-A1A2,Preservation sense moves to §1.2,line 23
DISS-04-C058,extends,architectural,DISS-04-C057,Hearing-as-preservation extends preservation sense,line 23
DISS-04-C059,extends,architectural,DISS-04-C058,Anger-fear-as-preservation extends to emotion case,line 23
DISS-04-C062,grounds,architectural,DISS-04-C063,Three-dimensional axis grounds intensity-vs-articulation distinction,line 23
DISS-04-C062,depends_on,citation,HEIDEGGER-LOCUS:BCAP 132,Three-dimensional axis depends on Heidegger's fourth-sense reading,line 23
DISS-04-C065,refines,architectural,DISS-04-C062,Articulational-primacy refines the three-dimensional axis,line 23
DISS-04-C067,grounds,architectural,DISS-04-C068,Graduation summary grounds the alley illustration,line 23
DISS-04-C069,grounds,architectural,DISS-04-C075,Heidegger-trajectory thesis grounds BCAP 176 quotation,line 27
DISS-04-C070,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §29 H.138,BT retrospective Rhetoric citation,line 27
DISS-04-C075,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 176,Pathē-ground-of-logos,lines 29-31
DISS-04-C077,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §29 H.135,Attunement prior to cognition/volition,line 33
DISS-04-C078,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §29 H.137,Mood disclosed Being-in-world-as-whole,line 33
DISS-04-C079,grounds,architectural,DISS-04-C080,Lectures-BT bridge grounds the grounding-direction-identical thesis,line 33
DISS-04-C080,needs-citation,citation,HEIDEGGER-LOCUS:SZ §31-32,(CITE) placeholder at line 33 — understanding/discourse grounded in attunement,line 33
DISS-04-C082,extends,architectural,DISS-04-C081,Pre-doxa pre-logos extension applies pre-cognitive grounding to chain,line 33
DISS-04-C083,grounds,architectural,DISS-04-C246,Chain exhibits mood as disclosive ground — informs conclusion's five-fold,line 33
DISS-04-C084,relocate-to,relocation,SECTION:DISS-02-A1A2,Metaphysics fourfold introduction (relocation i) moves to §1.2,lines 35-49
DISS-04-C084,cites-as-support,citation,ARISTOTLE-LOCUS:Met. Δ 21 1022b15-21,Met. fourfold anchor,line 37
DISS-04-C085,relocate-to,relocation,SECTION:DISS-02-A1A2,Sense 1 moves to §1.2,line 40
DISS-04-C085,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 131,Heidegger's gloss of sense 1,line 40
DISS-04-C086,relocate-to,relocation,SECTION:DISS-02-A1A2,Sense 2 moves to §1.2,line 41
DISS-04-C087,relocate-to,relocation,SECTION:DISS-02-A1A2,Sense 3 moves to §1.2,line 42
DISS-04-C088,relocate-to,relocation,SECTION:DISS-02-A1A2,Sense 4 moves to §1.2,line 43
DISS-04-C089,refines,architectural,DISS-04-C084,Progression-thesis refines fourfold introduction,line 46
DISS-04-C090,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 132,Heidegger's unifying thesis,line 46
DISS-04-C091,grounds,architectural,DISS-04-C092,Being-occurrable-to thesis grounds living-as-being-occurrable-to,line 46
DISS-04-C093,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 132,Heidegger on sōtēria,line 46
DISS-04-C094,relocate-to,relocation,SECTION:DISS-02-A1A2,DA II.5 footnote (relocation ii continuation) moves to §1.2,line 46
DISS-04-C094,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.5 417b2-5,DA II.5 dual-paschein quoted in footnote,line 46
DISS-04-C099,grounds,architectural,DISS-04-C100,Fourfold-at-basic-valence thesis grounds sense-1 application,line 48
DISS-04-C099,grounds,architectural,DISS-04-C101,Fourfold-at-basic-valence thesis grounds sense-2 application,line 48
DISS-04-C099,grounds,architectural,DISS-04-C102,Fourfold-at-basic-valence thesis grounds sense-3 application,line 48
DISS-04-C099,grounds,architectural,DISS-04-C103,Fourfold-at-basic-valence thesis grounds sense-4 application,line 48
DISS-04-C100,needs-citation,citation,ARISTOTLE-LOCUS:DA II.5 417a20-b16,Alterability at aisthēsis needs DA II.5 anchor,line 48
DISS-04-C101,needs-citation,citation,ARISTOTLE-LOCUS:DA II.5 417a20-b16,Energeia of aisthētikon needs DA II.5 anchor,line 48
DISS-04-C102,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.2 413b24,Pleasure-with-sensation,line 48
DISS-04-C102,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.2 426a30-b8,Excess destroys ratio,line 48
DISS-04-C103,cites-as-support,citation,ARISTOTLE-LOCUS:Sense 7 447b4-5,Stronger stimuli mask weaker,line 48
DISS-04-C104,refines,architectural,DISS-04-C062,Fourfold-at-basic-valence summary refines the three-dimensional axis,line 48
DISS-04-C105,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.1 1378a20-22,Rhetoric primary definition,line 52
DISS-04-C106,depends_on,citation,HEIDEGGER-LOCUS:BCAP 115,Defense-of-Rhetoric-as-ontological needs Heidegger anchor,line 52
DISS-04-C108,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 115,Three-fold of Rhetoric per Heidegger,lines 52-54
DISS-04-C108,grounds,architectural,DISS-04-C112,Heidegger threefold grounds the per-pathos summary,lines 52-54
DISS-04-C113,refines,architectural,DISS-04-C112,Threefold-at-perceptual-level refines the per-pathos summary,line 58
DISS-04-C114,relocate-to,relocation,SECTION:DISS-02-A1A2,Perception-as-krisis BCAP 126 (relocation iii) moves to §1.2,line 58
DISS-04-C114,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 126,Perception as mesotēs with kritikon character,line 58
DISS-04-C115,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431a8-12,Perceiving soul affirmation/negation,line 58
DISS-04-C115,inconsistent-with,citation,ARISTOTLE-LOCUS:DA III.7 431a8-12,T7 typo 'ON the Soul' should be 'On the Soul',line 58
DISS-04-C116,glosses-german,terminological,CONCEPT:Stimmung,Stimmung=attunement/mood translation,line 58
DISS-04-C116,glosses-german,terminological,CONCEPT:Befindlichkeit,Befindlichkeit=state-of-mind translation,line 58
DISS-04-C116,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §29 H.134,Mood as ontically familiar,line 58
DISS-04-C118,grounds,architectural,DISS-04-C119,Position-taking-at-perception grounds pre-propositional-not-pre-positional,line 58
DISS-04-C120,cites-as-support,citation,ARISTOTLE-LOCUS:DA I.4 408b5-7,Being-pained or pleased as kinēseis of soul,line 58
DISS-04-C122,refines,architectural,DISS-04-C037,Emotion-as-more-articulationally-concrete refines central thesis,line 58
DISS-04-C123,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.2 1378a30,Anger as desire for retaliation,line 58
DISS-04-C124,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.2 1378a30-32,Anger per-emotion,line 58
DISS-04-C124,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.5 1382a21-22,Fear per-emotion,line 58
DISS-04-C124,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.8 1385b13-15,Pity per-emotion,line 58
DISS-04-C127,refines,architectural,DISS-04-C112,Threefold-as-general-pathos-structure refines the per-pathos summary,line 58
DISS-04-C128,cites-as-support,citation,ARISTOTLE-LOCUS:DA I.1 403a25-b19,Enmattered-accounts canonical anchor,line 64
DISS-04-C128,grounds,architectural,DISS-04-C131,Enmattered-accounts grounds eidos-hylē complementarity,line 64
DISS-04-C131,grounds,architectural,DISS-04-C132,Eidos-hylē complementarity grounds meaning-inseparable-from-bodily-occurrence,line 64
DISS-04-C133,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 134,No-division-between-psychic-and-bodily,line 64
DISS-04-C134,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 139,Eidos of fearing as bodily,line 64
DISS-04-C140,grounds,architectural,DISS-04-C142,Reductionism-rejection grounds placement-constraint,line 64
DISS-04-C142,grounds,architectural,DISS-04-C164,Placement-constraint grounds placement-justification at line 80,line 64
DISS-04-C143,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 427b21-24,Doxa → emotion immediately,line 68
DISS-04-C143,grounds,architectural,DISS-04-C150,DA III.3 grounds doxa-as-immediate-concretizer,line 68
DISS-04-C147,cites-as-support,citation,ARISTOTLE-LOCUS:Poetics 6 1449b24-28,Catharsis confirms non-apathy of imagination,line 68
DISS-04-C150,grounds,architectural,DISS-04-C151,Doxa-as-immediate-concretizer grounds doxa-gate thesis,line 70
DISS-04-C151,grounds,architectural,DISS-04-C152,Doxa-gate grounds involuntariness-of-doxa,line 70
DISS-04-C152,grounds,architectural,DISS-04-C153,Involuntariness grounds the finding-oneself-fearful claim,line 70
DISS-04-C154,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 173-174,Heidegger on fear-believing,lines 70-74
DISS-04-C156,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 174,Heidegger on negative cases of fear,line 74
DISS-04-C159,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.6 1383b15-17,Shame definition,line 76
DISS-04-C159,grounds,architectural,DISS-04-C160,Shame definition grounds shame cognitive content,line 76
DISS-04-C160,grounds,architectural,DISS-04-C161,Shame cognitive content grounds shame conative interpolation,line 76
DISS-04-C163,needs-citation,citation,ARISTOTLE-LOCUS:MA 7 701a29-b1,Causal chain Bekker needed at line 80,line 80
DISS-04-C164,refines,architectural,DISS-04-C036,Placement-justification refines articulational-concretion canonical thesis,line 80
DISS-04-C165,glosses-greek,terminological,CONCEPT:pathē,Loeb attribution glosses Greek pathē,line 80
DISS-04-C167,cites-as-support,citation,ARISTOTLE-LOCUS:MA 8 701b33-702a3,Heating-chilling causal mechanism,line 82
DISS-04-C167,inconsistent-with,citation,ARISTOTLE-LOCUS:MA 8 701b33-702a3,T7 Bekker typo '7022' should be '702a2' or '702a3',line 82
DISS-04-C170,grounds,architectural,DISS-04-C171,DA-MA convergence grounds boiling-blood identity,line 82
DISS-04-C174,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433b10-18,Orexis as moved mover,line 82
DISS-04-C175,grounds,architectural,DISS-04-C176,Non-redundancy argument grounds emotion-as-composite,line 82
DISS-04-C178,grounds,architectural,DISS-04-C179,Doxa-as-truth-committal grounds taking-as-true-produces-fear,line 84
DISS-04-C183,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431b5-6,Beacon-fire illustration,line 84
DISS-04-C184,depends_on,architectural,DISS-04-C151,Feedback-loop puzzle depends on doxa-gate thesis,line 88
DISS-04-C185,grounds,architectural,DISS-04-C187,Synchronic-diachronic introduction grounds canonical pathos-feedback-loop,lines 88-90
DISS-04-C187,grounds,architectural,DISS-04-C200,Pathos-feedback-loop grounds the canonical synchronic-diachronic distinction,line 92
DISS-04-C188,cites-as-support,citation,ARISTOTLE-LOCUS:On Dreams 460b3-11,Seminal feedback text,lines 94-96
DISS-04-C189,grounds,architectural,DISS-04-C191,Corrective-faculty mechanism grounds self-reinforcing recursion,line 98
DISS-04-C189,needs-citation,citation,SECONDARY-LOCUS:Caston 2021 Cartesian Theatre,Controlling-sense differentiation needs secondary anchor,line 98
DISS-04-C190,cites-as-support,citation,ARISTOTLE-LOCUS:On Dreams 460b3-16,Non-identity of faculties,line 98
DISS-04-C191,grounds,architectural,DISS-04-C192,Self-reinforcing recursion grounds the phenomena-explanation list,line 98
DISS-04-C193,refines,architectural,DISS-04-C191,Loop-as-intrinsic refines the recursion mechanism,line 100
DISS-04-C195,grounds,architectural,DISS-04-C196,Asymmetry-in-time grounds past-to-present direction,line 100
DISS-04-C196,grounds,architectural,DISS-04-C197,Past-to-present direction grounds the diachronic-forecast,line 100
DISS-04-C198,glosses-greek,methodological,CONCEPT:feedback-loop,Footnote explicitly flags feedback-loop as interpretive reconstruction,line 100 footnote
DISS-04-C199,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 427b21-24,Doxa-emotion convergence,line 100 footnote
DISS-04-C199,cites-as-support,citation,ARISTOTLE-LOCUS:On Dreams 460b3-16,Insomniis convergence,line 100 footnote
DISS-04-C199,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.1 1378a20-22,Pathē-modify-kriseis convergence,line 100 footnote
DISS-04-C200,grounds,architectural,DISS-04-C201,Canonical distinction grounds synchronic specification,line 102
DISS-04-C200,grounds,architectural,DISS-04-C203,Canonical distinction grounds diachronic specification,line 102
DISS-04-C200,grounds,architectural,DISS-04-C205,Canonical distinction grounds two-mechanisms introduction,line 102
DISS-04-C201,inconsistent-with,numbering,DISS-04-C082,Synchronic A0→A4 numbering conflicts with C082 placing basic pathos simpliciter at A1,line 102
DISS-04-C204,instantiates,architectural,DISS-04-C200,De Insomniis as diachronic instantiates the distinction,line 102
DISS-04-C205,grounds,architectural,DISS-04-C206,Two-mechanisms introduction grounds Stimmung-saturation mechanism,line 104
DISS-04-C205,grounds,architectural,DISS-04-C207,Two-mechanisms introduction grounds corrective-faculty mechanism,line 104
DISS-04-C206,depends_on,citation,HEIDEGGER-LOCUS:SZ §29 H.137,Stimmung-saturation needs SZ §29 anchor,line 104
DISS-04-C207,cites-as-support,citation,ARISTOTLE-LOCUS:On Dreams 460b3-11,Corrective-faculty mechanism anchor,line 104
DISS-04-C208,refines,architectural,DISS-04-C205,Two-mechanisms localization refines the distinction,line 104
DISS-04-C209,refines,architectural,DISS-04-C208,Diachronic-not-extra-synchronic refines localization,line 104
DISS-04-C210,grounds,architectural,DISS-04-C211,Hexis-Geworfenheit identification grounds NE habituation introduction,line 106
DISS-04-C210,grounds,architectural,DISS-04-C218,Hexis-Geworfenheit identification grounds SZ §68b Gewesenheit,line 106
DISS-04-C211,cites-as-support,citation,ARISTOTLE-LOCUS:NE II.1 1103a16-17,Moral excellence as habit,line 106
DISS-04-C212,cites-as-support,citation,ARISTOTLE-LOCUS:NE II.1 1103a31-b2,Learning by doing,line 106
DISS-04-C212,grounds,architectural,DISS-04-C213,Learning-by-doing grounds hexis-consolidation,line 106
DISS-04-C214,refines,architectural,DISS-04-C213,Hexis-as-sedimentation refines consolidation,line 106
DISS-04-C215,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §29 H.137,SZ §29 three disclosures,line 108
DISS-04-C216,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §29 H.135,Geworfenheit definition,line 108
DISS-04-C218,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §68b H.340,Stimmung-as-Gewesenheit,line 110
DISS-04-C218,refines,architectural,DISS-04-C216,Stimmung-as-Gewesenheit refines Geworfenheit definition,line 110
DISS-04-C220,refines,architectural,DISS-04-C219,Thrown-as-condition refines Gewesenheit-not-past-now,line 110
DISS-04-C221,grounds,architectural,DISS-04-C264,Aristotle-Heidegger convergence grounds Rhetoric-as-phenomenology conclusion,line 112
DISS-04-C222,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 122,Hexis as self-cultivation,line 112
DISS-04-C223,refines,architectural,DISS-04-C222,Lectures-as-prefiguration refines the BCAP 122 passage,line 112
DISS-04-C224,grounds,architectural,DISS-04-C225,Feedback-as-thrownness grounds synchronic-directional-diachronic-saturated payoff,line 112
DISS-04-C225,grounds,architectural,DISS-04-C246,Synchronic-directional-diachronic-saturated grounds conclusion's five-fold,line 114
DISS-04-C226,inconsistent-with,numbering,DISS-04-C227,Line 114 M→A vs line 118 M→M — mixed convention in same paragraph cluster,lines 114-118
DISS-04-C227,inconsistent-with,numbering,DISS-04-C228,Notation-settled meta-claim uses old M→M while content presupposes new M→A,line 118
DISS-04-C228,grounds,architectural,DISS-04-C229,Emotion-as-conversion grounds individuation argument,line 118
DISS-04-C229,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433a31-b1,Orexis-apparent-good ground,line 118
DISS-04-C230,grounds,architectural,DISS-04-C231,Individuation grounds emotion-as-form-of-desire,line 118
DISS-04-C231,grounds,architectural,DISS-04-C232,Form-of-desire grounds fear-illustration,line 120
DISS-04-C231,grounds,architectural,DISS-04-C233,Form-of-desire grounds anger-illustration,line 120
DISS-04-C231,grounds,architectural,DISS-04-C234,Form-of-desire grounds pity-illustration,line 120
DISS-04-C235,grounds,architectural,DISS-04-C236,Rhetoric-confirms-composite grounds mutually-constitutive aspects,line 120
DISS-04-C236,inconsistent-with,terminological,CONCEPT:pathē-vs-pathos,T4 unflagged 'pathe/pathos?' query reveals user-internal uncertainty at canonical site,line 120
DISS-04-C237,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433a9-b30,Three-factor schema canonical,line 122
DISS-04-C239,grounds,architectural,DISS-04-C240,Schema-leaves-complexity-unspecified grounds emotion-as-internal-complexity,line 122
DISS-04-C240,grounds,architectural,DISS-04-C241,Emotion-as-internal-complexity grounds soul-body-bridge,line 122
DISS-04-C243,grounds,architectural,DISS-04-C244,Scope-restriction grounds appetitive-case-no-emotion-needed,line 124
DISS-04-C244,cites-as-support,citation,ARISTOTLE-LOCUS:MA 7 701a32-33,Drinking case Bekker,line 124
DISS-04-C244,inconsistent-with,numbering,DISS-04-C227,Line 124 M→A vs line 118 M→M — mixed convention,line 124
DISS-04-C246,grounds,architectural,DISS-04-C247,Five-fold canonical thesis grounds full-register statement,line 128
DISS-04-C246,grounds,architectural,DISS-04-C250,Five-fold canonical thesis grounds integration claim,line 128
DISS-04-C246,grounds,architectural,DISS-04-C256,Five-fold canonical thesis grounds element 1,line 128
DISS-04-C246,grounds,architectural,DISS-04-C257,Five-fold canonical thesis grounds element 2,line 128
DISS-04-C246,grounds,architectural,DISS-04-C258,Five-fold canonical thesis grounds element 3,line 128
DISS-04-C246,grounds,architectural,DISS-04-C260,Five-fold canonical thesis grounds element 4,line 128
DISS-04-C246,grounds,architectural,DISS-04-C263,Five-fold canonical thesis grounds element 5,line 128
DISS-04-C248,inconsistent-with,citation,DISS-04-C246,T7 typo 'ontologicla' at line 128,line 128
DISS-04-C250,grounds,architectural,DISS-04-C251,Integration grounds krisis-mapped-to-element-2-5,line 130
DISS-04-C250,grounds,architectural,DISS-04-C252,Integration grounds hedonic-tonality-absorbed,line 130
DISS-04-C250,grounds,architectural,DISS-04-C253,Integration grounds metaphysics-fourfold-bedrock,line 130
DISS-04-C250,grounds,architectural,DISS-04-C254,Integration grounds enmattered-account-to-element-3,line 130
DISS-04-C257,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.2 1378a30-b9,Anger toward-which,line 136
DISS-04-C257,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.5 1382a22-32,Fear toward-which,line 136
DISS-04-C257,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.8 1385b13-19,Pity toward-which,line 136
DISS-04-C258,cites-as-support,citation,ARISTOTLE-LOCUS:DA I.1 403a25-b19,Element 3 bodily form ground,line 140
DISS-04-C258,cites-as-support,citation,ARISTOTLE-LOCUS:MA 8 701b33-702a3,Element 3 somatic preparation,line 140
DISS-04-C260,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.6 1383b13-15,Element 4 temporal range — shame names all three ecstases,line 142
DISS-04-C262,extends,architectural,DISS-04-C260,Temporal range applies fully to basic affective valence (thirst case),line 142
DISS-04-C263,grounds,architectural,DISS-04-C264,Element 5 grounds per-emotion disclosive function,line 144
DISS-04-C263,inconsistent-with,numbering,DISS-04-C226,Line 144 M→M vs line 114 M→A,line 144
DISS-04-C266,refines,architectural,DISS-04-C246,Five-fold summary refines canonical thesis,line 150
DISS-04-C268,grounds,architectural,DISS-04-C272,Temporal-range-not-retrojection grounds per-emotion temporal distribution,line 152
DISS-04-C269,cites-as-support,citation,ARISTOTLE-LOCUS:De Memoria 449b10-15,Three temporal modes,line 154
DISS-04-C269,cites-as-support,citation,ARISTOTLE-LOCUS:De Memoria 449b28-30,Memory-time anchor,line 154
DISS-04-C270,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. I.11 1370a28-33,Imagination grounds memory/expectation,line 154
DISS-04-C271,grounds,architectural,DISS-04-C272,Phantasia-grounds-three-ecstases grounds per-emotion temporal,line 154
DISS-04-C273,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.5 1382a21,Fear primary-futural,line 156
DISS-04-C273,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.5 1382b28-35,Fear dispositional ground,line 156
