source,relation,target,domain,evidence,contributor
judgment,instances-in-text,arousing the body in sexual desire ('judgment arouses the body not vice versa'),philosophy-of-mind,p.87; EN 1118b9-11,Fortenbaugh
bare bodily appetite,qualifies,persuasion-proof (one does not reason one's hunger away),moral-psychology,EN 1113b26-30,Fortenbaugh
Fortenbaugh,contests,the possibility of genuine emotion/virtue/akrasia in animals (animals lack doxa open to logos),moral-psychology,De An. 431a9-10; EN 1149b31-32,Fortenbaugh
animal pursuit,qualifies,a 'quasi-affirmation' short of doxa,philosophy-of-mind,De An. 431a9-10; 428a22-24,Fortenbaugh
friendliness/wittiness/truthfulness,qualifies,moral virtues dissociated from emotion and appetite (perfections of the alogical half in speech and action),moral-psychology,pp.87-92; EN 1126b19-25; 1127a13-14,Fortenbaugh
Fortenbaugh,cites,Bedford 1956-7 (cognition essential to emotion) against Pitcher and James,philosophy-of-mind,p.12; pp.275-283,Fortenbaugh
Fortenbaugh,cites,Sorabji (Aristotle on Memory; 'Intellect in Virtue') on animal cognition and unreflective virtue,philosophy-of-mind,pp.67-68n; 72n,Fortenbaugh
Fortenbaugh,bridges-to-pipeline,the Phantasia Secondary cluster (by his conspicuous silence on phantasia),philosophy-of-mind,Index of Subjects (no phantasia/imagination/appearance entry),Fortenbaugh
Fortenbaugh,bridges-to-pipeline,Heidegger BCAP (doxa-as-efficient-cause as analytic counterpart to doxa-as-ratification),history-of-philosophy,pp.16-18; EN 1102a26-1103a3,Fortenbaugh
Konstan,defines,pathos as a cognitive act / construal of others' acts bearing on social standing,history-of-emotions,Rhet. II.1 1378a20-23 (Ch.1 p.23-24;33),Konstan
Konstan,defines,the social-relational / toward-whom structure of the pathe,history-of-emotions,p.39-40;248,Konstan
Konstan,extends-reading-of,Aristotle's Rhetoric II.1 definition as a GENERAL definition of emotion (not context-local),philology-of-aristotle,Rhet. II.1 1378a20-23 (p.33-35),Konstan
Konstan,contests,Fortenbaugh's claim that the Rhetoric II.1 definition is merely local to the rhetorical context,philology-of-aristotle,Fortenbaugh 2002:114 (p.35),Konstan
Rhetoric II.1 definition,defines,emotion by its effect on judgment (krisis) plus attendant pain and pleasure,philology-of-aristotle,Rhet. II.1 1378a20-23,Konstan
Konstan,extends-reading-of,the De Anima I.1 form/matter (dialektikos vs phusikos) defense of the emotion-definition,philosophy-of-mind,De Anima I.1 403a29-b2 (p.35-37),Konstan
pathos,qualifies,changeable by persuasion (altering the construal alters the emotion),rhetorical-theory,Preface xii; p.35,Konstan
Konstan,defines,emotion-belief feedback as a self-validating / circular cognitive system (the pathetic loop),philosophy-of-mind,p.37-38,Konstan
Konstan,extends-reading-of,Fortenbaugh's cognitivist reading of Aristotle (the locus classicus),philosophy-of-mind,Fortenbaugh 2002 [orig.1975] (p.22-23;31;43),Konstan
Konstan,cites,Fortenbaugh 2002:94 (animals lack the cognitive capacity; beast-emotion is analogical usage),philosophy-of-mind,p.22,Konstan
Konstan,defines,animals and small children lack pathe 'in the proper sense',history-of-emotions,Preface xii; Ch.1 p.22-23,Konstan
Konstan,contests,Nussbaum's ascription of emotions (and judgment) to animals,philosophy-of-mind,Nussbaum 2001:89-138 (p.23 n.32),Konstan
beast-applications of orge/phobos,qualifies,analogical usage (not pathe in the proper sense),philology-of-aristotle,p.22 (Fortenbaugh 2002:94),Konstan
human startle (the snake-stick recoil),qualifies,a 'pre-emotion' / sub-emotional automatism (merely analogous to fear),philosophy-of-mind,p.25-27 (LeDoux 1996),Konstan
Konstan,defines,anger as desire for a perceived revenge for a perceived slight (oligoria) by those not fit to slight,philology-of-aristotle,Rhet. II.2 1378a31-33,Konstan
oligoria (slight),instances-in-text,three species: kataphronesis (contempt) / epereasmos (spite) / hubris (insolence),philology-of-aristotle,Rhet. II.2 1378b14-31,Konstan
slight (oligoria),defines,the activation (energeia) of a belief (doxa) that something seems worthless,philology-of-aristotle,Rhet. II.2 1378b10-11,Konstan
anger,contests,hatred (misos): hatred aims at harm and is not painful; anger aims at the other's felt pain (antipathein),philology-of-aristotle,Rhet. II.4 1382a8-15,Konstan
anger,qualifies,a desire to adjust the record / restore diminished social standing via a compensatory act of revenge,history-of-emotions,p.75,Konstan
Konstan,defines,shame (aiskhune) as a unitary pathos with three elements (act / character-flaw / loss of community esteem),philology-of-aristotle,Rhet. II.6 1383b12-1385a15 (p.99-102),Konstan
aiskhune,contests,aidos (prospective/inhibitory; 'not shame'),philology-of-aristotle,Cairns 1993 (p.93-96),Konstan
shame,extends-reading-of,a bridge across the modern shame/guilt divide (particular act + the vice it reveals),history-of-emotions,p.101-102,Konstan
Konstan,defines,phthonos (envy) as pain at an equal's success irrespective of desert and of one's own need,philology-of-aristotle,Rhet. II.10 1387b23-25,Konstan
phthonos,qualifies,the only unqualifiedly negative pathos (mark of the mikropsukhos/philodoxos),philology-of-aristotle,Rhet. II.10 1387b33-34 (p.113),Konstan
Konstan,defines,to nemesan / nemesis (indignation) as pain at undeserved good fortune (a judgment of desert),philology-of-aristotle,Rhet. II.9 1386b8-9,Konstan
Konstan,contests,the assumption that 'indignation' (to nemesan) was a common independent Greek emotion,history-of-emotions,p.111-115; EE III.7 1233b16-34,Konstan
Aristotle's emotion-catalogue,qualifies,partly a philosophical construct diverging from ordinary usage (nemesis appropriated to answer phthonos),philology-of-aristotle,EE III.7 1233b16-34 (p.114-115),Konstan
Konstan,defines,fear (phobos) as pain from a phantasia of a near future destructive/painful evil,philology-of-aristotle,Rhet. II.5 1382a21-25,Konstan
fear,qualifies,supposition-laden: the truth lies more with Andronicus (hupolepsis) than with Aspasius (bare phantasia),philosophy-of-mind,Rhet. II.5 1382a21-25 (p.132),Konstan
Konstan,contests,Aspasius's view that the Rhetoric emotions arise from bare phantasiai (perception) prior to supposition,philology-of-aristotle,p.132 (Aspasius CAG 19.1),Konstan
Konstan,extends-reading-of,Andronicus's view that emotion arises from a supposition (hupolepsis) of good/bad,philology-of-aristotle,p.132 (Andronicus On the Emotions),Konstan
fear,defines,a socially conditioned response to hostile agents WITH the power to harm,history-of-emotions,Rhet. II.5 1382a32-b19 (p.132),Konstan
fear,instances-in-text,Fortenbaugh's soldier infers the dust-cloud is a hostile army (logos; 'fear makes men deliberate'),philology-of-aristotle,Rhet. II.5 1385a5 (Fortenbaugh 2002:103; p.133),Konstan
Konstan,defines,pity (eleos) as pain at undeserved harm to one like oneself when near,philology-of-aristotle,Rhet. II.8 1385b13-16,Konstan
pity,qualifies,requires the 'distance' between pitier and pitied (resemblance without shared plight),history-of-emotions,p.201-202,Konstan
Konstan,defines,grief (lupe/penthos) as NOT fitting Aristotle's conception of a pathos,history-of-emotions,Rhet. II (grief absent from the catalogue) (p.245-248),Konstan
grief,contests,the genuine pathe: it involves no judgment of intentions / desert / status and no action-readiness,history-of-emotions,p.247-248,Konstan
lupe ('grief'),qualifies,also Aristotle's word for 'pain' — a constituent sensation (aisthesis) of pathe rather than a pathos itself,philology-of-aristotle,p.245-246 (Harris 2001:340-343),Konstan
grief,extends-reading-of,'might not qualify as a pathos at all' (the natural fact of death stands outside the social system),history-of-emotions,p.248;258,Konstan
Sophocles' Electra,instances-in-text,Electra's driving passion is anger/vengeance (father murdered) not 'passive grief' for a morally neutral event,history-of-emotions,p.249-252,Konstan
Konstan,contests,the neo-Darwinian / basic-emotions program (Ekman; evolutionary psychology) as fixated on expression,history-of-emotions,p.8-20;28-31 (Darwin 1872; Ekman 1998),Konstan
Konstan,cites,appraisal theory (Lazarus; Roseman & Smith) as converging on Aristotle's cognitive account,history-of-emotions,p.23;31 (Lazarus 2001:40),Konstan
Konstan,extends-reading-of,the emotional lexicon as culturally constructed (colour-terminology analogy),history-of-emotions,p.5-16 (J. Lyons; Lutz 1988),Konstan
Konstan,bridges-to-pipeline,Heidegger BCAP (pathos as being-with-others / doxa as the public taking-as; Mitsein),phenomenology-of-emotion,p.24;30-31;248,Konstan
Konstan,bridges-to-pipeline,Gross Uncomfortable Situations (situated/social emotion contra the inner-state model),rhetorical-theory,p.30-31;259-261,Konstan
the pathe,glosses-greek,orge / phthonos / aidos / aiskhune / phobos / eleos / nemesis / lupe / penthos / zelos,philology-of-aristotle,Ch.1-12 (passim),Konstan
Moss,defines,the illusion account of akrasia,moral-psychology,DA III.10 433a9-b12 (p.122-130),Moss
illusion account,contests-reading-of,standard minor-premise reading of EN VII.3 (Ross et al.),philology-of-aristotle,p.121;149-152,Moss
phantasia,defines,value-appearance (the appearance of things as good/bad),philosophy-of-mind,DA III.10 433a9-b12,Moss
apparent good (phainomenon agathon),defines,object of appetite as non-doxastic,moral-psychology,EE VII.2 1235b25-29,Moss
phantasia,contests,doxa (located in different part of the soul),philosophy-of-mind,EE VII.2 1235b26-29,Moss
value-appearance,instances-in-text,the sun appears a foot wide though believed larger than earth,philology-of-aristotle,DA III.3 428b2-4,Moss
akrasia,extends-reading-of,perceptual illusion (structural parallel),moral-psychology,Insomn. 460b16-20,Moss
strong pathos,defines,the 'covering over' of intellect,philosophy-of-mind,DA III.3 429a5-8,Moss
rational faculty,defines,the function of noticing-and-contradicting false appearances,philosophy-of-mind,Insomn. 459a6-8,Moss
de Insomniis 460b3-16,instances-in-text,pathe deceive perception (coward sees enemies; feverish see animals in wall-cracks),philology-of-aristotle,Insomn. 460b3-16,Moss
following-against-knowledge,qualifies,default yielding rather than active rational assent,philosophy-of-mind,p.135; Insomn. 461b29-462a8,Moss
Moss,cites,Gallop 1991 (non-doxastic 'acceptance by default'),philosophy-of-mind,p.135,Moss
Moss,cites,Pickave/Whiting 2008 (nondoxastic reading of the fever case),philosophy-of-mind,p.135;141,Moss
Aristotle appearance-vs-acceptance distinction,bridges-to-pipeline,Stoic assent (synkatathesis),moral-psychology,Origen SVF 2.988 (p.136),Moss
illusion account,qualifies,EN VII.3 ignorance account (compatible with and supplements struggle),philology-of-aristotle,EN VII.3 1147a10-18,Moss
body-altering pathos,defines,akratic ignorance as literal physical inability to use knowledge,philosophy-of-mind,Ph. VII.3 247b13; EN VII.3 1147b6-9,Moss
EN VII.6 'logos OR perception',contests,the syllogistic-only reading of akratic appetite,philology-of-aristotle,EN VII.6 1149a34-b1,Moss
beasts,contests,the possibility of animal akrasia (no universal supposition),moral-psychology,EN VII.3 1147b3-5,Moss
'last protasis',extends-reading-of,the conclusion reading (over the minor-premise reading),philology-of-aristotle,EN VII.3 1147b9-18,Moss
illusion account,contests-reading-of,'clear-eyed' akrasia (Davidson's tooth-brusher),moral-psychology,p.153-154,Moss
pathe,defines,the generation of false appearances (not only their non-correction),rhetorical-theory,Rh. II.1 1377b31-1378a5,Moss
practical cognition,contests,the Humean means-end reading,moral-psychology,DA III.10 433a9-b12,Moss
Moss,contests,Ross 1949 (VII.3 leaves no room for moral struggle),philology-of-aristotle,p.121;144,Moss
character-virtue,defines,correct non-rational evaluative phantasia,moral-psychology,n.37; EN X.5 1176a15-22,Moss
Moss 2009,extends-reading-of,Moss 2012 Aristotle on the Apparent Good (ch.5),moral-psychology,n.28,Moss
Moss,cites,Plato (Protagoras; Republic X; Timaeus 86b-c; Laws 645d-e) on the illusion parallel,history-of-philosophy,p.130;154 n.60,Moss
Moss,cites,Lorenz 2006 (the 'covered over' reading; rational/non-rational communication),philosophy-of-mind,p.133;146,Moss
melancholics,instances-in-text,phantasia-prone agents are akrasia-prone,philosophy-of-mind,EN VII.7 1150b25; Mem. 453a21,Moss
Moss,defines,the apparent good (phainomenon agathon) as a literal quasi-perceptual phantasia-appearance,moral-psychology,Intro xi-xii; EE VII.2 1235b26-29; Insomn. 460b16-20,Moss
the apparent good,instances-in-text,the sun appears a foot wide though believed larger than the earth,philology-of-aristotle,de An. 428b2-4; Insomn. 460b16-20,Moss
phantasia,contests,doxa (they reside in different parts of the soul),philosophy-of-mind,EE VII.2 1235b26-29,Moss
Moss,defines,evaluative phantasia (a pleasurable motivating appearance of something as good),philosophy-of-mind,p.63-64; de An. 431a8-12,Moss
Moss,defines,the basic (minimalist) conception of phantasia as 'a movement arising from actual perception',philosophy-of-mind,p.51-57; de An. 428a1-2; 429a1-2,Moss
minimalist phantasia,contests-reading-of,Nussbaum 1978 (phantasia as interpretation of perception),philosophy-of-mind,p.54; Nussbaum 1978 240/255-259,Moss
minimalist phantasia,contests-reading-of,Lorenz 2006 (phantasia as 'envisaging prospects'),philosophy-of-mind,p.56; Lorenz 2006 131,Moss
minimalist phantasia,contests-reading-of,Modrak 1986/1987 (phantasia reinterprets in light of pleasures/pains),philosophy-of-mind,p.55; Modrak 1987 97,Moss
phantasia,defines,affective preservation (it copies the pleasurableness/painfulness of perception),philosophy-of-mind,p.57-63; MA 701b33-35; 702a2-7,Moss
evaluative phantasia,extends-reading-of,the apparent good (a pleasurable phantasia IS a cognition of something as good),moral-psychology,p.63-64,Moss
Moss,extends-reading-of,Whiting 2002 (pleasure central to phantasia's motivating role),philosophy-of-mind,p.57-58; Whiting 2002 173,Moss
Practical Empiricism,extends,the British-empiricist view (Hume) that desire rests on copies of pleasurable perceptions,moral-psychology,Intro xiii-xv; p.66 n.36,Moss
Moss,defines,the phantastic account of the passions (passions based on literal phantasiai),moral-psychology,p.69-70; Rhet. 1382a21-22,Moss
phantastic account of the passions,contests,the doxastic account of the passions (passions based on belief/doxa),moral-psychology,p.70; 4.1,Moss
Moss,contests-reading-of,Fortenbaugh 2002 (passionate part as a division of nous / alogical intellect),philosophy-of-mind,p.72-74; Fortenbaugh 2002 26-27,Moss
Moss,contests-reading-of,Dow 2009 (the two doxastic objections),moral-psychology,p.70 n.3; 87-92; Dow 2009,Moss
Moss,contests-reading-of,Nussbaum 1996 (Rhetoric's appearance-language is non-technical),rhetorical-theory,p.70 n.3; Nussbaum 1996 307,Moss
the passionate part of the soul (pathetikon),defines,the seat of the passions that exercises perception/phantasia but NOT belief,philosophy-of-mind,p.71-73; de An. 431a13-14; EE 1219b23,Moss
orektikon,glosses-greek,the desiderative part = the aisthetikon = the phantastikon (different only in being),philology-of-aristotle,de An. 431a13-14; Insomn. 459a16-17,Moss
pathetikon meros,glosses-greek,the 'passionate part' of the soul (Politics name adopted by ancient commentaries),philology-of-aristotle,Pol. 1254b8; p.72,Moss
animals,extends-reading-of,genuinely have passions (the passionate part is non-rational and shared with animals),moral-psychology,p.73-74; Rhet. 1380a24; EN 1111b12; HA 608b10,Moss
Moss,contests,the doxastic 'only analogous' downgrade of animal passions,moral-psychology,p.73 n.11; Fortenbaugh 2002 69,Moss
the passions,defines,states essentially pleasurable/painful and directed at non-present objects (hence involving phantasia),moral-psychology,p.75-82; Rhet. 1378a19-22; 1370a28-35,Moss
anger,instances-in-text,the phantasia of revenge produces pleasure 'just as the phantasia that occurs in dreams',philology-of-aristotle,Rhet. 1378b1-10,Moss
pity and shame,instances-in-text,induced by orators 'putting things before the eyes' (pro ommaton poiein),rhetorical-theory,Rhet. 1386a29-b7; 1384b32-35,Moss
'before the eyes' (pro ommaton),glosses-greek,the canonical signature of exercising phantasia,philology-of-aristotle,de An. 427b18-19; Mem. 450a5; Insomn. 458b20,Moss
Moss,extends-reading-of,Plato (Philebus painter; Timaeus liver-mirror) as precedent for phantasia-based passions,history-of-philosophy,p.85-87; Phil. 39a-40a; Tim. 71a-d,Moss
EN VII.6 'logos OR phantasia',contests,the doxastic reading of the awareness of a slight,philology-of-aristotle,EN VII.6 1149a32-34,Moss
Moss,concedes,passion-representations are propositional and predicate value-properties,philosophy-of-mind,p.87-88 (Dow's first objection),Moss
Moss,qualifies,Aristotle treats perception as propositional and value as literally perceptible (answering the contents objection),philosophy-of-mind,p.88-89; de An. 418a21-22; 430b29-30; Sorabji 1996,Moss
Moss,defines,accepting vs. believing (acceptance = active assent OR passive failure-to-question),philosophy-of-mind,p.90-93,Moss
non-rational soul-part,qualifies,being-appeared-to IS a default non-rational acceptance (no gap between appearance and acceptance),philosophy-of-mind,p.93,Moss
Moss,qualifies,de An. 427b21-24 (phantasia inert) applies only to the voluntary 'up to us' species,philology-of-aristotle,p.90-91; de An. 427b17-24,Moss
the passions,extends-reading-of,independent of belief (one can feel a passion against one's belief),moral-psychology,p.94; Hume Treatise I.iii.xiii,Moss
Moss,cites,Gendler 2008 (alief) for non-rational motivation against belief,philosophy-of-mind,p.94 n.46; 112 n.22,Moss
Aristotelian passions,bridges-to-pipeline,Stoic phantasia + assent (synkatathesis): Aristotle's passions = the default acceptances Stoics ascribe to animals,moral-psychology,p.92-94; Origen On Principles 3.1.2; Sextus AM 7.225-6,Moss
Moss,contests-reading-of,the over-Stoicizing commentators (Themistius/Alexander/Hicks) on phantasia-and-assent,philology-of-aristotle,p.96-97; Hicks 1907,Moss
phantasia,defines,necessary condition of all thought and hence of belief-mediated passions (thesis a),philosophy-of-mind,p.94-96; de An. 432a3-9; 431a14-17; Mem. 449b30-450a9,Moss
phantasia,defines,sufficient for belief: a phantasia 'as of p' standardly triggers the belief that p (thesis b),philosophy-of-mind,p.96-98; Insomn. 461b31-462a2,Moss
Moss,defines,appearance-based beliefs (proto-Stoic: most beliefs are automatic assents to appearances),philosophy-of-mind,p.97-98; Sextus AM 7.225-6,Moss
Moss,contests-reading-of,the strongly-Stoicizing reading that bases the passion on the belief (Andronicus/Aspasius),philology-of-aristotle,p.94-98; Aspasius in EN 44.33-45.10,Moss
Moss,defines,the passions are based on phantasiai ALONE but normally prompt corresponding beliefs (the reconciliation),moral-psychology,p.98-99,Moss
feeling anger,qualifies,results-from / normally-entails / yet is independent-of the belief one has been wronged (round/round analogy),philosophy-of-mind,p.99,Moss
passions,qualifies,affect the kriseis of jurors without themselves being judgments,rhetorical-theory,Rhet. 1378a19-22; 1354a24-26; p.99,Moss
Moss 2012 (this book) Ch.5,extends-reading-of,Moss 2009 'Akrasia and Perceptual Illusion' (= aes-03; the passion-vs-belief divergence cases),moral-psychology,Intro xi; p.94; 99,Moss
Moss,shifts-debate-axis,reframes emotion-cognition from doxastic to phantastic (quasi-perceptual appearing-good),moral-psychology,Ch.4 passim; p.69-70,Moss
Moss,cites-cluster-author,Dow 2009 (named chief opponent of the phantastic interpretation),moral-psychology,p.70 n.3; 87 n.33; 90 n.38,Moss
Moss,cites-cluster-author,Fortenbaugh 2002 (the belief view; passionate-part-as-nous argument),philosophy-of-mind,p.69 n.2; 72-74,Moss
Moss,cites,Cooper 1996a (phantasia as nonepistemic appearance - a phantastic ally),moral-psychology,p.91; Cooper 1996a 417,Moss
Moss,cites,Sihvola 1996 (some passions require belief while others do not - rejected),moral-psychology,p.73 n.11; 95,Moss
Moss,cites,Caston 1996/1998 (indefinite singular content; quasi-perceptual common currency - congenial),philosophy-of-mind,p.64 n.34; Caston 1998 290,Moss
Moss,cites,D. Frede 1992 (cognitive role; merely-metaphorical reading of de An. III.3),philosophy-of-mind,p.91 n.39; D. Frede 1992,Moss
Dow,defines,passion-arousal as proper grounds for conviction (pistis),rhetorical-theory,Introduction; ch.10.1; ch.6,Dow
passions,defines,representational states in which the subject takes things to be as represented,moral-psychology,Introduction (Synopsis); ch.10.8,Dow
passions,defines,pleasures and pains (Claim 1),moral-psychology,Rhet. 2.1 1378a19-22 (ch.9.2),Dow
passion-pleasure-and-pain,qualifies,intentional/representational - AT a target ON grounds (Claim 2),moral-psychology,Rhet. 2.1 1378a22-4 (ch.9.3),Dow
Dow,defines,affirmation by the subject herself of phantasia's content,philosophy-of-mind,ch.10.1; 10.4; 10.8,Dow
affirmation,qualifies,relational person-level treating-as-true (not a separate act; gradable),philosophy-of-mind,DA 3.3 429a4-8; ch.10.4.1,Dow
affirmation,instances-in-text,'the origin affirms what comes from each sense unless a more authoritative one contradicts',philology-of-aristotle,Insomn. 461b2-5,Dow
affirmation,contests,full doxa/belief with pistis/conviction (distinct faculty and strength),philosophy-of-mind,DA 3.3 428a18-24; EN 1.13 1102b13-33,Dow
passions,defines,exercise of phantasia (non-reasoning part),philosophy-of-mind,DA 1.1 403a3-10; EN 1.13 1102a27-1103a3,Dow
passions,extends-reading-of,sensory pleasure/pain involving phantasia,philosophy-of-mind,Rhet. 1.11 1370a27-32; Phys. 7.3 247a7-18,Dow
Dow,contests,the 'mere/uncommitted appearance' (non-epistemic) reading of the passions,moral-psychology,ch.10.3.3; 10.4; Dow (2009),Dow
Dow,contests-reading-of,Cooper's 'non-epistemic appearance' reading of Rhet. 2.2-11,philology-of-aristotle,Cooper (1996 p.247; 1999 p.417); ch.10.3.3-10.4,Dow
Dow,contests-reading-of,Sihvola's 'krisis as studied neutrality' reading,philology-of-aristotle,Sihvola (1996 p.74); ch.8.5,Dow
Dow,contests-reading-of,Striker's 'no theory of Aristotle's own' reading of Rhet. 2,philology-of-aristotle,Striker (1996 pp.287-8); ch.9.1,Dow
Dow,contests-reading-of,Frede's 'Philebus mixed pleasure-and-pain' reading,philology-of-aristotle,Frede (1996 pp.258-60); ch.9.2,Dow
phantasia-terminology in Rhet. 2.2-11,instances-in-text,how the subject takes things to be (not the faculty),rhetorical-theory,Rhet. 2.2 1378a30-2; 2.3 1380a8-12,Dow
calmness (anger abating toward the apparently innocent),instances-in-text,affirmation is required - an unendorsed thought cannot quell anger,rhetorical-theory,Rhet. 2.3 1380a8-12,Dow
believing-something-fearsome,defines,immediate cause of a passion (uncommitted phantasia is not),philosophy-of-mind,DA 3.3 427b16-24,Dow
the foot-wide sun appearance,contests-reading-of,the visual-illusion model of recalcitrant passion (DISANALOGY),philosophy-of-mind,DA 3.3 428a18-b9,Dow
sun-illusion,qualifies,a case with NO subject-level inconsistency (belief 'sun is huge' uncompromised),philology-of-aristotle,DA 3.3 428b7-9; ch.10.4.4,Dow
Dow,contests,the Platonic 'mixture view' of appearance (doxa + aisthesis),history-of-philosophy,Sophist 263d-264b; DA 3.3 428a24-b9,Dow
recalcitrant passion,extends-reading-of,genuine subject-level conflict/inconsistency (a desideratum met),philosophy-of-mind,ch.10.2; 10.4.4,Dow
recalcitrant passion,defines,two malfunctions (unregulated phantasia + still-affirmed less-authoritative phantasma),moral-psychology,ch.10.6,Dow
evaluative phantasmata,defines,necessary motivational consequences regardless of conflicting belief,philosophy-of-mind,De Motu 8 701b33-702a2,Dow
covering-over of reason,qualifies,a matter of degree (not all-or-nothing),philosophy-of-mind,Insomn. 460b11-16; DA 3.3 429a7,Dow
evaluative phantasia,qualifies,must 'listen to reason' / completely concur (non-evaluative need not),moral-psychology,EN 1.13 1102b13-33; ch.10.5.3,Dow
the painting case (unmoved as by a painting),instances-in-text,evaluative phantasia successfully concurring with reason,philosophy-of-mind,DA 3.3 427b21-4; Rep. 10 596d-e,Dow
Odysseus's anger (thumos-akrasia),instances-in-text,conflict over the all-things-considered verdict not the representation,moral-psychology,EN 7.6 1149a21-b26; Od. 20,Dow
appetite-akrasia,instances-in-text,reason rejects appetite's 'unqualifiedly good' not its pro-tanto representation,moral-psychology,DA 3.10 433b5-10,Dow
