source_id,relation,target_id,domain,centrality_tier,book_page,provenance,supporting_unit_ids,notes,source_id_original,target_id_original,resolution_status
IG-00:macro-micro-preview,announces,IG-03:macro-micro-temporal-phase,game-studies,1,4,text-anchored-forward-pointer,IG-00-INTRO,"Lines 110-118 — macro (off-line: initial attraction, returning, community, off-line planning) vs. micro (moment-to-moment); full elaboration in Ch.3",,,unresolved
C-003,announces,C-003,game-studies,1,4,text-anchored-forward-pointer,IG-00-INTRO,Lines 137-146 — Ch.10 will argue incorporation avoids the four challenges and emerges from combinations of PIM dimensions; two participant-reported incorporating experiences forward-pointed,,,resolved
C-018,announces,C-018,virtual-worlds-theory,1,3,text-anchored-forward-pointer,IG-00-INTRO,Lines 103-107 — Ch.2 will outline four challenges for understanding presence/immersion in game research; challenges NOT enumerated in Intro,,,resolved
IG-00:family-resemblance-preview,announces,IG-01:wittgensteinian-family-resemblance,game-studies,2,3,text-anchored-forward-pointer,IG-00-INTRO,Lines 88-102 — Ch.1 will refuse essentialist definition via family-resemblance approach; Wittgenstein not named in Intro,,,unresolved
IG-00:holistic-common-framework,announces,IG-11:conclusion,game-studies,2,5,text-anchored-forward-pointer,IG-00-INTRO,Lines 158-161 — PIM offered as common holistic framework for further research; methodological-reflection + future-research agenda in Ch.11,,,unresolved
C-012,instances-in-text,IG-00.G1:kick-off,game-studies,3,2,text-anchored,IG-00-INTRO,Lines 33-37 — Kick-Off (Dini 1989) as exemplar of digital game with machine-upheld rules; passing-illustrative in Gzira vignette,,,partial
IG-00:family-resemblance-preview,instances-in-text,IG-00.G2:grand-theft-auto-iv,game-studies,3,3,text-anchored,IG-00-INTRO,Line 92 — GTA IV (Rockstar North 2008) paired with Tetris as heterogeneity-pole of family-resemblance argument,,,unresolved
IG-00:family-resemblance-preview,instances-in-text,IG-00.G3:tetris,game-studies,3,3,text-anchored,IG-00-INTRO,Line 92 — Tetris (Pajitnov 1985) paired with GTA IV as abstract-puzzle pole of family-resemblance argument; recurs in IG-02 (Salen+Zimmerman immersive fallacy) and IG-10 (excluded from incorporation by spatial+kinesthetic cornerstone),,,unresolved
C-003,replaces-prior-construct,IG-02:murray-1998-deep-immersion,virtual-worlds-theory,2,3,anticipatory-consistent-with-IG-10-absorption,IG-00-INTRO,"Lines 83-85 — Intro's 'avoids problematic connotations' framing (not 'replaces phenomenon') anticipates IG-10's absorbed-not-refused stance toward Murray (IG-10 deep finding: incorporation IS Calleja's term for immersion-as-transportation, p.172). Anticipatory at Intro level.",,,partial
C-001,bridges-to-pipeline,dissertation:analytical-instrument,dissertation-augmentation,1,5,dissertation-instrument,IG-00-INTRO,Lines 158-161 — PIM offered as 'common holistic framework' for further research licenses dissertation adoption per plan v3 §1.2,,,partial
C-017,bridges-to-pipeline,phantasia-cluster:spatial-imagery,dissertation-augmentation,2,2,anticipatory-projection (dissertation),IG-00-INTRO,Lines 20-27 — 'transported our imaginations to the places represented on screen' + 'having the chance to inhabit those landscapes' anticipate phantasma operations without naming phantasia,,,partial
IG-00:macro-micro-preview,bridges-to-pipeline,heidegger-bcap:phenomenology-of-time,dissertation-augmentation,1,4,anticipatory-projection (dissertation),IG-00-INTRO,Lines 110-118 — macro/micro temporal-phase distinction is strongest pre-augmentation bridge to BCAP phenomenology of time; Calleja's preview uses no phenomenological vocabulary,,,unresolved
C-008,awaits-ontological-grounding-in,heidegger:bauen-wohnen-denken,dissertation-augmentation,1,5,anticipatory-projection (dissertation),IG-00-INTRO,Lines 153-156 — habitation is the surviving metaphor after demolition of presence/immersion; highest-yield Layer A anchor candidate (RP4). Heidegger Bauen Wohnen Denken 1951 is closest grounding target,,,partial
C-017,awaits-ontological-grounding-in,heidegger:entfernung-being-and-time-23,dissertation-augmentation,2,2,anticipatory-projection (dissertation),IG-00-INTRO,Lines 63-66 — 'subjective distance' + 'sensation of inhabiting' is residually phenomenological (RP1); closest grounding is Heideggerian Entfernung (de-distancing) from Being and Time §23,,,partial
C-012,maps-to-uexkull-construct,uexkull:funktionskreis,dissertation-augmentation,2,2,anticipatory-projection (dissertation) - singly-anchored,IG-00-INTRO,Lines 40-46 — Gzira vignette 'cybernetic circuit' + 'symbiotic relationship with machines' is structurally analogous to Funktionskreis perception-action loop. Singly-anchored: Gibson-mediation falsified per Phase 0 (Calleja uses affordance 11x without Gibson attribution),,,partial
C-008,maps-to-uexkull-construct,uexkull:umwelt,dissertation-augmentation,1,5,anticipatory-projection (dissertation) - singly-anchored,IG-00-INTRO,Lines 153-156 — habitation as bounded subjective environment is structurally analogous to Umwelt; Layer C signature payoff per plan v3 §5 (Umwelt may be more apt than In-der-Welt-sein for designer-constituted virtual environments),,,partial
IG-00:six-dimensions-preview,maps-to-pentad-term,burke:pentad-six-mapping,dissertation-augmentation,2,4,anticipatory-projection (dissertation),IG-00-INTRO,Standard plan v3 mapping: Kinesthetic→Agency; Spatial→Scene; Shared→Agent+ratios; Narrative→Act+Purpose; Affective→Attitude; Ludic→Purpose+Act. Burke wholly absent from Calleja (Phase 0 cite_check),,,unresolved
C-003,maps-to-pentad-term,burke:consubstantiation-identification,dissertation-augmentation,2,3,anticipatory-projection (dissertation),IG-00-INTRO,Calleja's 'most intensified and internalized blend' language is structurally adjacent to Burke's identification/consubstantiation (Rhetoric of Motives 1950). Anticipatory.,,,partial
IG-00:incorporation-as-metaphor,qualifies,C-003,virtual-worlds-theory,2,3,text-anchored,IG-00-INTRO,"Lines 83-87 — metalinguistic self-positioning constrains any ontological-grounding reading: incorporation is metaphor + scaffold, not ontological discovery. Consequential for dissertation Layer A grounding",,,partial
IG-00:other-media-frameworks-expansion-rethinking,qualifies,C-002,game-studies,2,2,text-anchored,IG-00-INTRO,"Lines 49-56 — other-media perspectives 'not irrelevant' but require 'expansion and, at times, a rethinking'; calibrates relation to inherited theory (neither full importation nor full refusal)",,,partial
C-007,cites,I-WITTGENSTEIN,game-studies,1,8,calleja,IG-01-GAMES,Philosophical Investigations 1997 ed. — methodological anchor,,,partial
C-007,defines,C-007,game-studies,1,11,calleja,IG-01-GAMES,family-resemblance is the methodological alternative to essentialist definition,,,resolved
C-007,contests,I-JUUL,game-studies,1,11,calleja,IG-01-GAMES,Juul 2005 Half-Real named as essentialist foil — volume's first explicit POSITION-edge against Tier-A interlocutor || canonical-id-resolution-pending,,,partial
C-007,contests,I-SALEN-ZIMMERMAN,game-studies,1,11,calleja,IG-01-GAMES,Salen+Zimmerman 2003 Rules of Play named as essentialist foil — volume's first explicit POSITION-edge against Tier-A interlocutor,,,partial
C04-VERBAL-DISAGREEMENT,cites,I-NAESS,game-studies,2,9,calleja,IG-01-GAMES,Naess 2005 p.64 — methodological-hazard construct || canonical-id-resolution-pending,,,unresolved
C-007,qualifies,C04-VERBAL-DISAGREEMENT,game-studies,2,9,calleja,IG-01-GAMES,family-resemblance is the prophylactic against verbal-disagreement,,,partial
C04-VERBAL-DISAGREEMENT,operationalizes-via-game,G-TETRIS,game-studies,2,9,calleja,IG-01-GAMES,Tetris-vs-HL2 contrast illustrates verbal-disagreement risk,,,unresolved
C04-VERBAL-DISAGREEMENT,operationalizes-via-game,G-HL2,game-studies,2,9,calleja,IG-01-GAMES,HL2-vs-Tetris contrast illustrates verbal-disagreement risk || canonical-id-resolution-pending,,,unresolved
C05-OBJECT-PROCESS,defines,C06-PROCESSUAL-APPROACH,game-studies,1,10,calleja,IG-01-GAMES,actualization principle motivates endorsement of processual approach,,,unresolved
C05-OBJECT-PROCESS,operationalizes-via-game,G-SETTLERS,game-studies,1,9,calleja,IG-01-GAMES,Settlers of Catan = paradigm for object/process distinction,,,unresolved
C05-OBJECT-PROCESS,instances-in-text,G-SETTLERS,game-studies,2,10,calleja,IG-01-GAMES,visual qualities of hexagonal pieces + colour scheme + value of robber = object-side discussion,,,unresolved
C06-PROCESSUAL-APPROACH,cites,I-TAYLOR,game-studies,1,10,calleja,IG-01-GAMES,Taylor 2006 endorsed processual-game-theorist,,,unresolved
C06-PROCESSUAL-APPROACH,cites,I-MALABY,game-studies,1,10,calleja,IG-01-GAMES,Malaby 2007 p.8 quoted directly on each-game-as-ongoing-process,,,unresolved
C06-PROCESSUAL-APPROACH,contests,C07-LUSORY-ATTITUDE-FLAG,game-studies,2,10,calleja,IG-01-GAMES,processual continuity-with-experience refuses experiential-separateness of lusory attitude,,,unresolved
C07-LUSORY-ATTITUDE-FLAG,cites,I-SUITS,game-studies,3,10,calleja,IG-01-GAMES,Suits 1978 p.55 — prospective citation only; full Ch.3 critique || canonical-id-resolution-pending,,,unresolved
C07-LUSORY-ATTITUDE-FLAG,instances-in-text,I-SALEN-ZIMMERMAN,game-studies,3,11,calleja,IG-01-GAMES,Salen+Zimmerman 2003 cited as lusory-attitude adopters,,,unresolved
C07-LUSORY-ATTITUDE-FLAG,instances-in-text,I-JUUL,game-studies,3,11,calleja,IG-01-GAMES,Juul 2005 cited as lusory-attitude adopter || canonical-id-resolution-pending,,,unresolved
C08-FIVE-ELEMENT-FRAMEWORK,defines,C09-PLAYER-ELEMENT,game-studies,1,11,calleja,IG-01-GAMES,element 1 — human agent NOT 'playfulness-bearer',,,unresolved
C08-FIVE-ELEMENT-FRAMEWORK,defines,C10-REPSIGN,game-studies,1,12,calleja,IG-01-GAMES,element 2 — representational sign,,,unresolved
C08-FIVE-ELEMENT-FRAMEWORK,defines,C11-CODED-RULES,game-studies,1,12,calleja,IG-01-GAMES,element 3a — coded rules + coded/socially-negotiated coexistence,,,unresolved
C08-FIVE-ELEMENT-FRAMEWORK,defines,C13-SIM-ENV-PROPS,game-studies,1,13,calleja,IG-01-GAMES,element 3b — simulated environmental properties,,,unresolved
C08-FIVE-ELEMENT-FRAMEWORK,defines,C14-MATERIAL-MEDIUM,game-studies,1,14,calleja,IG-01-GAMES,element 4 — material medium / platform specificity,,,unresolved
C-007,extends,C08-FIVE-ELEMENT-FRAMEWORK,game-studies,1,11,calleja,IG-01-GAMES,framework is descriptive matrix not essentialist checklist,,,partial
C09-PLAYER-ELEMENT,operationalizes-via-game,G-CALLOFDUTY4,game-studies,2,12,calleja,IG-01-GAMES,CoD IV death-match — same-object-different-process via divergent player practices,,,unresolved
C11-CODED-RULES,cites,I-AARSETH,game-studies,2,12,calleja,IG-01-GAMES,Aarseth 1997 Cybertext pp.1+40 — ergodic media + nontrivial code-to-surface-sign relation,,,unresolved
C-010,cites,I-AARSETH,game-studies,2,12,calleja,IG-01-GAMES,Aarseth Cybertext source,,,partial
C11-CODED-RULES,extends,C-010,game-studies,2,12,calleja,IG-01-GAMES,coded rules subsection imports Aarseth's ergodic/nontrivial-sign distinction,,,partial
C11-CODED-RULES,operationalizes-via-game,G-CSSOURCE,game-studies,2,13,calleja,IG-01-GAMES,Counter-Strike: Source clan banning sniper rifles — coded + socially-negotiated rule coexistence,,,unresolved
C13-SIM-ENV-PROPS,operationalizes-via-game,G-NONDIG-EXEMPLARS,game-studies,3,13,calleja,IG-01-GAMES,tabletop RPG 3D6-fall-damage = analog simulation of physics,,,unresolved
C13-SIM-ENV-PROPS,operationalizes-via-game,G-CALLOFDUTY4,game-studies,2,13,calleja,IG-01-GAMES,CoD IV brick density + bullet penetration + avatar movement speeds = hard-coded physics,,,unresolved
C13-SIM-ENV-PROPS,operationalizes-via-game,G-PONG,game-studies,2,14,calleja,IG-01-GAMES,Pong = low-end of simulated-environmental-properties complexity || canonical-id-resolution-pending,,,unresolved
C13-SIM-ENV-PROPS,operationalizes-via-game,G-CRYSIS,game-studies,2,14,calleja,IG-01-GAMES,Crysis = high-end of simulated-environmental-properties complexity,,,unresolved
C13-SIM-ENV-PROPS,operationalizes-via-game,G-CODMW2,game-studies,2,14,calleja,IG-01-GAMES,CoD: Modern Warfare 2 = high-end of simulated-environmental-properties complexity,,,unresolved
C14-MATERIAL-MEDIUM,operationalizes-via-game,G-SETTLERS,game-studies,2,14,calleja,IG-01-GAMES,Settlers of Catan board-vs-software = paradigm material-medium variation,,,unresolved
C15-VIRTUAL-GAME-ENVIRONMENTS,defines,C16-DIGITAL-GAMES-AS-HYBRIDS,game-studies,1,14,calleja,IG-01-GAMES,digital-games-as-hybrids motivates virtual-game-environment as unit of analysis,,,unresolved
C16-DIGITAL-GAMES-AS-HYBRIDS,operationalizes-via-game,G-GTA4,game-studies,1,15,calleja,IG-01-GAMES,GTA IV = paradigm Wittgensteinian-hybrid + multiple-embedded-games || canonical-id-resolution-pending,,,unresolved
C16-DIGITAL-GAMES-AS-HYBRIDS,operationalizes-via-game,G-WOW,game-studies,1,15,calleja,IG-01-GAMES,WoW = paradigm Wittgensteinian-hybrid + virtual-game-environment || canonical-id-resolution-pending,,,unresolved
C16-DIGITAL-GAMES-AS-HYBRIDS,operationalizes-via-game,G-HL2,game-studies,1,15,calleja,IG-01-GAMES,HL2 = paradigm Wittgensteinian-hybrid + virtual-game-environment || canonical-id-resolution-pending,,,unresolved
C16-DIGITAL-GAMES-AS-HYBRIDS,cites,I-RYAN,game-studies,2,15,calleja,IG-01-GAMES,Ryan 2006 Avatars of Story = corroborating witness for hybrid-rule-systems-plus-narrative claim || canonical-id-resolution-pending,,,unresolved
C16-DIGITAL-GAMES-AS-HYBRIDS,extends,C-007,game-studies,1,15,calleja,IG-01-GAMES,Wittgensteinian-hybrid is family-resemblance applied at sub-family-intersection level,,,partial
C15-VIRTUAL-GAME-ENVIRONMENTS,instances-in-text,G-HL2,game-studies,1,16,calleja,IG-01-GAMES,HL2 named as paradigm virtual-game-environment for rest of book || canonical-id-resolution-pending,,,unresolved
C15-VIRTUAL-GAME-ENVIRONMENTS,instances-in-text,G-WOW,game-studies,1,16,calleja,IG-01-GAMES,WoW named as paradigm virtual-game-environment for rest of book || canonical-id-resolution-pending,,,unresolved
C15-VIRTUAL-GAME-ENVIRONMENTS,contests,G-NONDIG-EXEMPLARS,game-studies,2,16,calleja,IG-01-GAMES,digitized hearts/poker/crosswords/sudoku excluded from book's primary scope,,,unresolved
C01-THREE-AXES,defines,C02-EXPERIENTIAL-AXIS-POS,game-studies,1,7,calleja,IG-01-GAMES,three-axes mapping + volume's experiential-axis self-positioning,,,unresolved
C02-EXPERIENTIAL-AXIS-POS,qualifies,C01-THREE-AXES,game-studies,1,7,calleja,IG-01-GAMES,formal + sociocultural axes will continue to inform experiential analysis,,,unresolved
C19-DUAL-DOMAIN-OF-PERFORMANCE,defines,C18-RECURSIVE-CULTURAL-PROCESS,game-studies,3,8,calleja,IG-01-GAMES,dual-domain performance entails recursive cultural-process understanding,,,unresolved
C19-DUAL-DOMAIN-OF-PERFORMANCE,awaits-ontological-grounding-in,A-ARISTOTLE-AISTHESIS-PRAXIS,game-studies,2,7,anticipatory-projection (dissertation),IG-01-GAMES,Layer A — dual-domain performance maps to aisthesis/praxis + Befindlichkeit/Rede; RESIDUAL-PHENOMENOLOGY FLAG,,,unresolved
C05-OBJECT-PROCESS,awaits-ontological-grounding-in,A-ARISTOTLE-DUNAMIS-ENERGEIA,game-studies,1,10,anticipatory-projection (dissertation),IG-01-GAMES,Layer A — dormant-potential-actualized-through-gameplay is textbook dunamis/energeia; Phantasia Cluster + BCAP anchors; RESIDUAL-PHENOMENOLOGY FLAG (highest-leverage),,,unresolved
C06-PROCESSUAL-APPROACH,awaits-ontological-grounding-in,A-HEIDEGGER-VOLLZUG,game-studies,1,11,anticipatory-projection (dissertation),IG-01-GAMES,Layer A — Malaby-quoted process-ontology reads through Heideggerian Vollzug + BCAP being-in-act; RESIDUAL-PHENOMENOLOGY FLAG,,,unresolved
C15-VIRTUAL-GAME-ENVIRONMENTS,awaits-ontological-grounding-in,U-UMWELT,game-studies,1,16,anticipatory-projection (dissertation),IG-01-GAMES,Layer C — virtual game environments as designer-constituted Umwelt; signature Layer C anchor; single-anchored (no Gibson cite in IG-01),,,unresolved
C08-FIVE-ELEMENT-FRAMEWORK,awaits-ontological-grounding-in,U-FUNKTIONSKREIS,game-studies,2,11,anticipatory-projection (dissertation),IG-01-GAMES,Layer C — five-element framework re-readable through Uexküllian functional circle,,,unresolved
C08-FIVE-ELEMENT-FRAMEWORK,maps-to-pentad-term,B-PENTAD-COMPOSITE,game-studies,2,11,anticipatory-projection (dissertation),IG-01-GAMES,Layer B — Player↔Agent / RepSign↔Agency-partial / CodedRules↔Agency+Purpose / SimEnvProps↔Scene / MaterialMedium↔Scene-substrate,,,unresolved
C-007,bridges-to-pipeline,Dalton-dissertation,virtual-worlds-theory,1,8,dissertation-instrument,IG-01-GAMES,family-resemblance is portable methodological commitment for dissertation's own definitional moves,,,partial
C-007,bridges-to-pipeline,IG-03-PIM-DIMENSIONS,game-studies,1,8,calleja,IG-01-GAMES,methodological-signature: family-resemblance recurs at IG-03 as PIM-dimensions-as-overlapping-non-essential axes,,,partial
C-007,bridges-to-pipeline,IG-10-INCORPORATION,game-studies,1,8,calleja,IG-01-GAMES,methodological-signature: family-resemblance recurs at IG-10 as incorporation-as-family-resemblance-of-experiential-modes,,,partial
C15-VIRTUAL-GAME-ENVIRONMENTS,bridges-to-pipeline,Uexkull-Foray,virtual-worlds-theory,1,16,anticipatory-projection (dissertation),IG-01-GAMES,Layer C signature payoff — Umwelt more apt than In-der-Welt-sein for bounded designer-fabricated environments,,,unresolved
C-IG02-IMMERSION-AS-ABSORPTION,contests,C-IG02-IMMERSION-AS-TRANSPORTATION,game-studies,,32-33,text-anchored,IG-02-IMMERSION,Canonical two-metaphor partition (challenge 1),,,unresolved
PCIM-SALEN-ZIMMERMAN-2003,defines,C-IG02-IMMERSIVE-FALLACY,game-studies,,25-27,text-anchored,IG-02-IMMERSION,Immersive fallacy = mimetic-realism imperative critique,,,unresolved
PCIM-SALEN-ZIMMERMAN-2003,instances-in-text,C-IG02-IMMERSION-AS-ABSORPTION,game-studies,,26-27,text-anchored,IG-02-IMMERSION,Via Gorfinkel: 'one can get immersed in Tetris',,,unresolved
PCIM-SALEN-ZIMMERMAN-2003,qualifies,GL-IG02-TETRIS,game-studies,,26-27,text-anchored,IG-02-IMMERSION,Tetris-as-immersive used to attack mimetic-realism imperative,,,unresolved
C-IG02-IMMERSIVE-FALLACY,contests,GL-IG02-TETRIS,game-studies,,27,text-anchored,IG-02-IMMERSION,Calleja: S+Z's Tetris move sidelines spatiality as defining feature,,,unresolved
PCIM-MURRAY-1998,defines,C-IG02-IMMERSION-AS-TRANSPORTATION,game-studies,,17-18,text-anchored,IG-02-IMMERSION,Murray = named ancestor of transportation-sense,,,unresolved
PCIM-RYAN-2001,extends,C-IG02-IMMERSION-AS-TRANSPORTATION,game-studies,,31-32,text-anchored,IG-02-IMMERSION,Spatial / textual-world immersion defends transportation-side,,,unresolved
PCIM-RYAN-2001,defines,C-008,game-studies,,31-32,text-anchored,IG-02-IMMERSION,'Expanse to be immersed within ... a textual world',,,partial
PCIM-SLATER-WILBUR-1997-SLATER-2003,defines,C-IG02-FIDELITY-DETERMINISM,presence-research,,20-22,text-anchored,IG-02-IMMERSION,Quadraphonic-orchestra example as paradigm of fidelity-determinism,,,unresolved
PCIM-SLATER-WILBUR-1997-SLATER-2003,defines,C-IG02-FORM-CONTENT-PARTITION,presence-research,,20-22,text-anchored,IG-02-IMMERSION,Slater 2003 form/content split critiqued,,,unresolved
C-IG02-FIDELITY-DETERMINISM,contests,C-IG02-INTERPRETIVE-COMPORTMENT,presence-research,,21,text-anchored,IG-02-IMMERSION,Heidegger p.21 cite mobilized against fidelity-determinism,,,unresolved
INT-HEIDEGGER-M,cites,C-IG02-INTERPRETIVE-COMPORTMENT,phenomenology,,21,text-anchored,IG-02-IMMERSION,Sole Heidegger cite in volume — Question Concerning Technology,,,unresolved
C-IG02-INTERPRETIVE-COMPORTMENT,awaits-ontological-grounding-in,Heidegger-BCAP-pipeline,phenomenology,,21,anticipatory-projection,IG-02-IMMERSION,Dissertation Layer A bridge — late-Heidegger here proxies for SZ-era apparatus,,,unresolved
PCIM-WITMER-SINGER-1998,defines,C-IG02-IMMERSION-AS-ABSORPTION,presence-research,,21,text-anchored,IG-02-IMMERSION,Witmer+Singer's psychological-envelopment inverts Slater+Wilbur,,,unresolved
PCIM-WITMER-SINGER-1998,contests,PCIM-SLATER-WILBUR-1997-SLATER-2003,presence-research,,21-22,text-anchored,IG-02-IMMERSION,Terminological inversion symptomatic of definitional confusion,,,unresolved
PCIM-LOMBARD-DITTON-1997,defines,C-IG02-PERCEPTUAL-ILLUSION-NON-MEDIATION,presence-research,,23,text-anchored,IG-02-IMMERSION,Distilled from six characterizations,,,unresolved
PCIM-LOMBARD-DITTON-1997,defines,C-IG02-PERCEPTUAL-vs-PSYCHOLOGICAL-IMMERSION,presence-research,,23,text-anchored,IG-02-IMMERSION,Sub-partition under 'presence as immersion',,,unresolved
INT-BOLTER-GRUSIN,defines,C-IG02-TRANSPARENT-IMMEDIACY,new-media,,23,text-anchored,IG-02-IMMERSION,Remediation logic-of-transparent-immediacy,,,unresolved
C-IG02-TRANSPARENT-IMMEDIACY,extends,C-IG02-PERCEPTUAL-ILLUSION-NON-MEDIATION,new-media,,23,text-anchored,IG-02-IMMERSION,Theoretically adjacent but distinct concept-nodes,,,unresolved
PCIM-MCMAHAN-2003,instances-in-text,PCIM-LOMBARD-DITTON-1997,game-studies,,24,text-anchored,IG-02-IMMERSION,Myst III analysis applies L+D six categories,,,unresolved
PCIM-MCMAHAN-2003,qualifies,GL-IG02-MYST-III-EXILE,game-studies,,24,text-anchored,IG-02-IMMERSION,McMahan's social-realism analysis,,,unresolved
C-IG02-PERCEPTUAL-ILLUSION-NON-MEDIATION,contests,PCIM-MCMAHAN-2003,game-studies,,24-25,text-anchored,IG-02-IMMERSION,L+D framework operationalized = descriptive feature-listing,,,unresolved
PCIM-DOUGLAS-HARGADON-2001,defines,C-IG02-ATTENTIONAL-CONTINUUM,game-studies,,29-30,text-anchored,IG-02-IMMERSION,Within-frame schema vs. extra-textual perspective continuum,,,unresolved
PCIM-DOUGLAS-HARGADON-2001,contests,C-010,game-studies,,29-30,text-anchored,IG-02-IMMERSION,Balzac-Dickens-Krantz-equals-Space-Invaders move collapses distinction,,,partial
PCIM-DOUGLAS-HARGADON-2001,instances-in-text,GL-IG02-SPACE-INVADERS,game-studies,,29,text-anchored,IG-02-IMMERSION,Space Invaders as cognitive-load immersion example,,,unresolved
PCIM-DOUGLAS-HARGADON-2001,cites,INT-NELL-V,game-studies,,29,text-anchored,IG-02-IMMERSION,Nell 1988 psychology-of-reading antecedent,,,unresolved
PCIM-BROWN-CAIRNS-2004,defines,C-IG02-ENGAGEMENT-ENGROSSMENT-TOTAL-IMMERSION,game-studies,,30-31,text-anchored,IG-02-IMMERSION,Three-degree ladder typology,,,unresolved
C-IG02-ENGAGEMENT-ENGROSSMENT-TOTAL-IMMERSION,qualifies,C-IG02-IMMERSION-AS-ABSORPTION,game-studies,,30-31,text-anchored,IG-02-IMMERSION,Levels 1-2 in absorption-sense,,,unresolved
C-IG02-ENGAGEMENT-ENGROSSMENT-TOTAL-IMMERSION,qualifies,C-IG02-IMMERSION-AS-TRANSPORTATION,game-studies,,30-31,text-anchored,IG-02-IMMERSION,Level 3 in transportation-sense — mixed metaphor critique,,,unresolved
INT-CAIRNS-ET-AL,extends,PCIM-BROWN-CAIRNS-2004,game-studies,,31,text-anchored,IG-02-IMMERSION,Cairns et al. 2006 quantification follow-on inherits mixed-metaphor,,,unresolved
PCIM-ERMI-MAYRA-2005,defines,C-IG02-SENSORY-CHALLENGE-IMAGINATIVE-IMMERSION,game-studies,,31-32,text-anchored,IG-02-IMMERSION,Sensory + challenge-based + imaginative tri-partition,,,unresolved
C-IG02-SENSORY-CHALLENGE-IMAGINATIVE-IMMERSION,extends,C-IG02-IMMERSION-AS-ABSORPTION,game-studies,,31-32,text-anchored,IG-02-IMMERSION,E+M derive immersion-meaning from child interviews — collapses to colloquial sense,,,unresolved
INT-MINSKY-M,defines,C-IG02-TELEPRESENCE,virtual-worlds-theory,,18,text-anchored,IG-02-IMMERSION,Minsky 1980 coined telepresence,,,unresolved
C-IG02-PRESENCE,extends,C-IG02-TELEPRESENCE,virtual-worlds-theory,,18-19,text-anchored,IG-02-IMMERSION,Presence-theory descends from telepresence,,,unresolved
INT-SHERIDAN-T,defines,C-IG02-VIRTUAL-PRESENCE,virtual-worlds-theory,,19,text-anchored,IG-02-IMMERSION,Sheridan 1992 coined virtual-presence; abandoned,,,unresolved
